sequence,v115@KhA8FeD8AeB8CeG8AeB8Jef9IvhFxaBTfBigBcmB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8JeZ6IvhFfdBqfBTbBcmB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8Je/7IvhFTaBZhB8hBykB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8JeK0IvhFcgB5jBTfBOmBXi?BdoB,v115@KhA8FeD8AeB8CeG8AeB8Je/wIvhFZaB8hBzfBamB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8JezxIvhF/bBZhB8hBykB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8Je86IvhF/eB2kBxgBliBim?BToB,v115@KhA8FeD8AeB8CeG8AeB8Jea+IvhF5eBOgBTfBFhBXi?BUoB,v115@KhA8FeD8AeB8CeG8AeB8Je/1IvhFKfBZhBFgBzhBGj?BUoB,v115@KhA8FeD8AeB8CeG8AeB8Je83IvhFZaBeiBzfBFhBfo?B6oB,v115@KhA8FeD8AeB8CeG8AeB8Jec1IvhFFbBXcBmdB5jBTf?BCiB
comments,Z_tetramino < S_tetramino,Z_tetramino < S_tetramino,L_tetramino < O_tetramino - 66.67% cover with L_tetraminospin,I_tetramino < L_tetramino STSD (still good),I_tetramino < S_tetramino,gamble bag 3 for early O_tetramino,not great - forced early doubleup,penguincolonel thing - not LST,dono,dono (followup w/ TST tower?),terrible dono
TILJSZO,X,X,O,O,X,O,X,X,X,X,X
TILJSOZ,X,X,O,O,X,O,X,X,X,X,O
TILJZSO,X,O,O,O,X,O,X,X,X,X,X
TILJZOS,X,O,O,O,O,O,O,X,X,X,X
TILJOSZ,X,X,O,O,O,X,O,X,X,X,O
TILJOZS,X,O,O,O,O,X,O,X,X,X,O
TILSJZO,X,X,O,O,X,O,X,X,X,O,X
TILSJOZ,X,X,O,O,X,O,X,X,X,O,O
TILSZJO,X,X,O,O,X,O,X,X,O,X,X
TILSZOJ,X,X,O,O,X,O,X,X,O,X,X
TILSOJZ,X,X,O,O,X,O,X,X,X,O,O
TILSOZJ,X,X,O,O,X,O,X,X,O,X,O
TILZJSO,X,O,O,O,X,O,X,X,O,X,X
TILZJOS,X,O,O,O,O,O,X,X,O,X,X
TILZSJO,X,O,O,O,X,O,X,X,O,X,X
TILZSOJ,X,O,O,O,X,O,X,X,O,X,X
TILZOJS,X,O,O,O,O,X,X,X,O,X,X
TILZOSJ,X,O,O,O,O,X,X,X,O,X,X
TILOJSZ,X,X,O,O,O,X,O,X,X,X,O
TILOJZS,X,O,O,O,O,X,O,X,X,X,O
TILOSJZ,X,X,O,O,O,X,O,X,X,O,O
TILOSZJ,X,X,O,O,O,X,X,X,O,X,O
TILOZJS,X,O,O,O,O,X,X,X,O,X,O
TILOZSJ,X,O,O,O,O,X,X,X,O,X,O
TIJLSZO,X,X,O,O,X,O,X,X,X,X,X
TIJLSOZ,X,X,O,O,X,O,X,X,X,X,X
TIJLZSO,X,O,O,O,X,O,X,X,X,X,X
TIJLZOS,X,O,O,O,O,O,O,X,X,X,X
TIJLOSZ,X,X,O,O,O,X,O,X,X,X,X
TIJLOZS,X,O,O,O,O,X,O,X,X,X,X
TIJSLZO,X,X,O,O,X,O,X,X,X,O,X
TIJSLOZ,X,X,O,O,X,O,X,X,X,O,X
TIJSZLO,X,X,O,O,X,O,X,X,X,O,X
TIJSZOL,X,X,X,O,O,O,X,X,X,O,X
TIJSOLZ,X,X,X,O,O,O,X,X,X,O,X
TIJSOZL,X,X,X,O,O,O,X,X,X,O,X
TIJZLSO,X,O,O,O,X,O,X,X,X,X,X
TIJZLOS,X,O,O,O,O,O,O,X,X,X,X
TIJZSLO,X,O,O,O,X,O,X,X,X,O,X
TIJZSOL,X,X,X,O,O,O,X,X,X,O,X
TIJZOLS,X,X,X,O,O,X,O,X,X,X,X
TIJZOSL,X,X,X,O,O,O,O,X,X,O,X
TIJOLSZ,X,X,X,O,O,X,O,X,X,X,X
TIJOLZS,X,X,X,O,O,X,O,X,X,X,X
TIJOSLZ,X,X,X,O,O,O,O,X,X,O,X
TIJOSZL,X,X,X,O,O,O,O,X,X,O,X
TIJOZLS,X,X,X,O,O,X,O,X,X,X,X
TIJOZSL,X,X,X,O,O,O,O,X,X,O,X
TISLJZO,X,X,O,O,X,O,X,X,X,O,X
TISLJOZ,X,X,O,O,X,O,X,X,X,O,O
TISLZJO,X,X,O,O,X,O,X,X,X,X,X
TISLZOJ,X,X,O,O,X,O,X,X,X,X,X
TISLOJZ,X,X,O,O,X,O,X,X,X,O,O
TISLOZJ,X,X,O,O,X,O,X,X,X,X,O
