sequence,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?vkByqBUgBTVB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?vkBalBzlB0bB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?0kBvlBamBzWB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?vkBTlBamB0cB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?amBTlBvkB0aB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?amBvlB0kBTaB
TILJSZO,O,X,O,O,X,O
TILJSOZ,O,O,O,O,O,O
TILJZSO,O,X,O,O,X,O
TILJZOS,X,O,O,O,O,X
TILJOSZ,O,O,O,O,O,O
TILJOZS,X,O,O,O,O,X
TILSJZO,O,X,O,X,X,O
TILSJOZ,O,X,O,X,X,O
TILSZJO,O,X,O,X,X,O
TILSZOJ,O,X,O,X,X,O
TILSOJZ,O,X,O,X,X,X
TILSOZJ,O,X,O,X,X,X
TILZJSO,X,X,X,O,X,X
TILZJOS,X,X,X,O,X,X
TILZSJO,X,X,X,X,X,X
TILZSOJ,X,O,X,X,X,X
TILZOJS,X,O,X,O,X,X
TILZOSJ,X,O,X,O,X,X
TILOJSZ,X,O,O,O,O,X
TILOJZS,X,O,O,O,O,X
TILOSJZ,X,X,O,O,O,X
TILOSZJ,X,X,O,O,O,X
TILOZJS,X,O,X,O,X,X
TILOZSJ,X,O,X,O,X,X
TIJLSZO,O,O,O,O,O,O
TIJLSOZ,O,O,O,O,O,O
TIJLZSO,O,X,O,O,X,O
TIJLZOS,X,O,O,O,O,O
TIJLOSZ,O,O,O,O,O,O
TIJLOZS,X,O,O,O,O,X
TIJSLZO,O,O,O,O,O,O
TIJSLOZ,O,O,O,O,O,O
TIJSZLO,O,O,O,O,O,O
TIJSZOL,O,O,O,O,O,O
TIJSOLZ,O,O,O,O,O,O
TIJSOZL,O,O,O,O,O,O
TIJZLSO,O,X,O,O,X,O
TIJZLOS,X,O,O,O,O,O
TIJZSLO,O,O,O,O,O,O
TIJZSOL,O,O,O,O,O,O
TIJZOLS,X,O,X,O,O,O
TIJZOSL,X,O,O,O,O,O
TIJOLSZ,O,O,O,O,O,O
TIJOLZS,X,O,O,O,O,X
TIJOSLZ,O,O,O,O,O,O
TIJOSZL,O,O,O,O,O,O
TIJOZLS,X,O,X,O,O,O
TIJOZSL,X,O,O,O,O,O
TISLJZO,O,O,O,X,X,O
TISLJOZ,O,O,O,X,X,O
TISLZJO,O,X,O,X,X,O
TISLZOJ,O,O,O,X,X,O
TISLOJZ,O,O,O,X,X,X
TISLOZJ,O,O,O,X,X,X
TISJLZO,O,O,O,X,O,O
TISJLOZ,O,O,O,O,O,O
TISJZLO,O,O,O,X,O,O
TISJZOL,O,O,O,O,O,O
TISJOLZ,O,O,O,O,O,O
TISJOZL,O,O,O,O,O,O
TISZLJO,O,X,O,X,X,O
TISZLOJ,O,X,O,X,X,O
TISZJLO,O,X,O,X,O,O
TISZJOL,O,X,O,X,O,O
TISZOLJ,O,X,X,X,O,O
TISZOJL,O,X,X,X,O,O
TISOLJZ,O,O,X,O,O,X
TISOLZJ,O,O,X,O,O,X
TISOJLZ,O,O,X,O,O,X
TISOJZL,O,O,X,O,O,X
TISOZLJ,O,X,X,X,O,X
TISOZJL,O,X,X,X,O,X
TIZLJSO,X,X,X,X,X,X
TIZLJOS,X,X,X,X,X,X
TIZLSJO,X,X,X,X,X,X
TIZLSOJ,X,X,X,X,X,X
TIZLOJS,X,X,X,X,X,X
TIZLOSJ,X,X,X,X,X,X
TIZJLSO,X,X,O,X,X,O
TIZJLOS,X,X,X,X,X,O
TIZJSLO,X,X,O,X,X,O
TIZJSOL,X,X,O,X,X,O
TIZJOLS,X,X,X,X,X,O
TIZJOSL,X,X,O,X,X,O
TIZSLJO,X,X,O,X,X,O
TIZSLOJ,X,X,O,X,X,O
TIZSJLO,X,X,O,X,X,O
TIZSJOL,X,X,O,X,X,O
TIZSOLJ,X,X,X,X,X,O
TIZSOJL,X,X,X,X,X,O
TIZOLJS,X,X,X,X,X,X
TIZOLSJ,X,X,X,X,X,X
TIZOJLS,X,X,X,X,X,O
TIZOJSL,X,X,X,X,X,O
TIZOSLJ,X,X,X,X,X,O
TIZOSJL,X,X,X,X,X,O
TIOLJSZ,X,O,X,O,O,X
TIOLJZS,X,O,X,O,O,X
TIOLSJZ,X,X,X,O,O,X
TIOLSZJ,X,X,X,O,O,X
TIOLZJS,X,O,X,O,X,X
TIOLZSJ,X,O,X,O,X,X
TIOJLSZ,X,O,X,O,O,X
TIOJLZS,X,O,X,O,O,X
TIOJSLZ,X,O,X,O,O,X
TIOJSZL,X,O,X,O,O,X
TIOJZLS,X,O,X,O,O,X
TIOJZSL,X,O,X,O,O,X
TIOSLJZ,X,O,X,O,O,X
TIOSLZJ,X,O,X,O,O,X
