sequence,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Jem1IvhFqcBxYB?TaBXeB0iBlsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Jei1IvhFWdBTZB?3aBRiB0iBlsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Jem1IvhFqcBxYB?TaB0dBXjBlsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Jei1IvhFzXB3aB?RiBuiBcjBlsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8JeO6IvhF8aBzXB?CZBRiBXjBlsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Jei1IvhFTZB3aB?RiBGiB8sBFsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Jei1IvhFRYBceB?3aBznBFnBGsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8JeK6IvhFzVBWdB?RiB3nBcoBlsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8JeK6IvhFzVBlYB?RiBusBfsBctB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8JeO6IvhF8aBSeB?RiBznBfnBlsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8JeO6IvhF8aBzXB?RiB3nBFoBCtB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8JeK6IvhFzVBxYB?FeBGiB8sBfsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Je26IvhFRYBceB?zcBqiB3fBlsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Jey6IvhFUYBOjB?5nBfsBTkBFtB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Jem1IvhFTaBRiB?cjBqnBfnBlsB
TILJSZO,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
TILJSOZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TILJZSO,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TILJZOS,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X
TILJOSZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TILJOZS,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X
TILSJZO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TILSJOZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TILSZJO,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X
TILSZOJ,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X
TILSOJZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TILSOZJ,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X
TILZJSO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TILZJOS,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TILZSJO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TILZSOJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TILZOJS,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TILZOSJ,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TILOJSZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TILOJZS,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X
TILOSJZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TILOSZJ,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X
TILOZJS,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TILOZSJ,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TIJLSZO,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJLSOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZSO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJLZOS,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TIJLOSZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOZS,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TIJSLZO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TIJSLOZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJSZLO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TIJSZOL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJSOLZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJSOZL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJZLSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJZLOS,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TIJZSLO,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJZSOL,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJZOLS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJZOSL,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLZS,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TIJOSLZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJOSZL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJOZLS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJOZSL,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TISLJZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISLJOZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISLZJO,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TISLZOJ,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TISLOJZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISLOZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TISJLZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJLOZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJZLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJZOL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJOLZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJOZL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISZLJO,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TISZLOJ,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TISZJLO,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TISZJOL,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TISZOLJ,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TISZOJL,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TISOLJZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISOLZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TISOJLZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISOJZL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISOZLJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TISOZJL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TIZLJSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZLJOS,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TIZLSJO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZLSOJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZLOJS,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
