sequence,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jex1IvhFTXB/dB?0bBOjBCjBlsB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jem1IvhFqbBTXB?xYB0dBXjBlsB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jem1IvhFqbBTXB?xYBXeB0iBlsB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jex1IvhFTXB0bB?6iBOjB/sBFtB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jem1IvhFqbBTXB?xdB0dBXjBlsB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jem1IvhFScBxdB?zbB0dBXjBlsB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jem1IvhFRXBzbB?FeBfoBUnBCtB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jem1IvhFRcBFeB?zbBfoBUnBCtB
TILJSZO,O,X,O,X,X,O,X,X
TILJSOZ,X,X,O,X,O,O,X,X
TILJZSO,O,O,X,X,X,O,X,X
TILJZOS,O,O,X,O,O,O,X,X
TILJOSZ,X,X,O,X,O,O,X,X
TILJOZS,X,O,X,X,O,O,X,X
TILSJZO,O,X,O,X,X,O,X,X
TILSJOZ,X,X,O,X,O,O,X,X
TILSZJO,O,X,O,X,X,X,X,X
TILSZOJ,O,X,O,X,X,X,X,X
TILSOJZ,X,X,O,X,O,X,X,X
TILSOZJ,X,X,O,X,X,X,X,X
TILZJSO,O,O,X,X,X,O,X,X
TILZJOS,O,O,X,O,O,O,X,X
TILZSJO,O,O,X,X,X,X,X,X
TILZSOJ,O,O,X,X,X,X,X,X
TILZOJS,O,O,X,O,O,X,X,X
TILZOSJ,O,O,X,X,X,X,X,X
TILOJSZ,X,X,O,X,O,O,X,X
TILOJZS,X,O,X,X,O,O,X,X
TILOSJZ,X,X,O,X,O,X,X,X
TILOSZJ,X,X,O,X,X,X,X,X
TILOZJS,X,O,X,X,O,X,X,X
TILOZSJ,X,O,X,X,X,X,X,X
TIJLSZO,O,X,O,X,X,O,X,X
TIJLSOZ,X,X,O,X,O,O,X,X
TIJLZSO,O,O,X,X,X,O,X,X
TIJLZOS,O,O,X,O,O,O,X,X
TIJLOSZ,X,X,O,X,O,O,X,X
TIJLOZS,X,O,X,X,O,O,X,X
TIJSLZO,O,X,O,X,X,O,X,X
TIJSLOZ,X,X,O,X,O,O,X,O
TIJSZLO,O,X,O,X,X,X,X,X
TIJSZOL,O,X,X,X,X,X,X,O
TIJSOLZ,X,X,O,X,X,X,X,O
TIJSOZL,O,X,X,X,X,X,X,O
TIJZLSO,O,O,X,X,X,O,X,X
TIJZLOS,O,O,X,O,O,O,X,X
TIJZSLO,O,O,X,X,X,X,X,X
TIJZSOL,O,X,X,X,X,X,X,X
TIJZOLS,O,O,X,O,X,X,X,X
TIJZOSL,O,X,X,X,X,X,X,X
TIJOLSZ,X,X,X,X,O,O,X,X
TIJOLZS,X,X,X,X,O,O,X,X
TIJOSLZ,X,X,X,X,X,X,X,X
TIJOSZL,O,X,X,X,X,X,X,X
TIJOZLS,O,X,X,X,X,X,X,X
TIJOZSL,O,X,X,X,X,X,X,X
TISLJZO,O,X,O,X,X,O,X,X
TISLJOZ,X,X,O,X,O,O,X,O
