sequence,v115@OhA8IeC8AeC8AeE8JeZEJvhFqkB/lBFhBOnBTjBcrB,v115@OhA8IeC8AeC8AeE8JeZEJvhFCgBXhBOnBTjBVqBcrB,v115@OhA8IeC8AeC8AeE8JeZEJvhFUgBFhBXiBTjBWqBirB
TILJSZO,O,O,O
TILJSOZ,O,O,O
TILJZSO,O,O,O
TILJZOS,O,O,O
TILJOSZ,O,O,O
TILJOZS,O,O,O
TILSJZO,O,O,O
TILSJOZ,O,O,O
TILSZJO,O,O,O
TILSZOJ,O,O,O
TILSOJZ,O,O,O
TILSOZJ,O,O,O
TILZJSO,O,O,O
TILZJOS,O,O,O
TILZSJO,O,O,O
TILZSOJ,O,O,O
TILZOJS,O,O,O
TILZOSJ,O,O,O
TILOJSZ,O,O,O
TILOJZS,O,O,O
TILOSJZ,O,O,O
TILOSZJ,O,O,O
TILOZJS,O,O,O
TILOZSJ,O,O,O
TIJLSZO,O,O,O
TIJLSOZ,O,O,O
TIJLZSO,O,O,O
TIJLZOS,O,O,O
TIJLOSZ,O,O,O
TIJLOZS,O,O,O
TIJSLZO,X,O,O
TIJSLOZ,X,O,O
TIJSZLO,X,O,O
TIJSZOL,X,O,O
TIJSOLZ,X,O,O
TIJSOZL,X,O,O
TIJZLSO,O,O,O
TIJZLOS,O,O,O
TIJZSLO,X,O,O
TIJZSOL,X,O,O
TIJZOLS,O,O,O
TIJZOSL,X,O,O
TIJOLSZ,O,O,O
TIJOLZS,O,O,O
TIJOSLZ,X,O,O
TIJOSZL,X,O,O
TIJOZLS,O,O,O
TIJOZSL,X,O,O
TISLJZO,X,O,O
TISLJOZ,X,O,O
TISLZJO,X,O,O
TISLZOJ,X,O,O
TISLOJZ,X,O,O
TISLOZJ,X,O,O
TISJLZO,X,O,O
TISJLOZ,X,O,O
TISJZLO,X,O,O
TISJZOL,X,O,O
TISJOLZ,X,O,O
TISJOZL,X,O,O
TISZLJO,X,O,X
TISZLOJ,X,O,X
TISZJLO,X,O,O
TISZJOL,X,O,O
TISZOLJ,X,O,X
TISZOJL,X,O,O
TISOLJZ,X,O,O
TISOLZJ,X,O,O
TISOJLZ,X,O,O
TISOJZL,X,O,O
TISOZLJ,X,O,X
TISOZJL,X,O,O
TIZLJSO,O,O,X
TIZLJOS,O,O,X
TIZLSJO,O,O,X
TIZLSOJ,O,O,X
TIZLOJS,O,O,X
TIZLOSJ,O,O,X
TIZJLSO,O,O,X
TIZJLOS,O,O,X
TIZJSLO,X,O,X
TIZJSOL,X,O,X
TIZJOLS,O,O,X
TIZJOSL,X,O,X
TIZSLJO,X,O,X
TIZSLOJ,X,O,X
TIZSJLO,X,O,X
TIZSJOL,X,O,X
TIZSOLJ,X,O,X
TIZSOJL,X,O,X
TIZOLJS,O,O,X
TIZOLSJ,O,O,X
TIZOJLS,O,O,X
TIZOJSL,X,O,X
TIZOSLJ,X,O,X
TIZOSJL,X,O,X
TIOLJSZ,O,O,O
TIOLJZS,O,O,O
TIOLSJZ,O,O,O
TIOLSZJ,O,O,O
TIOLZJS,O,O,O
TIOLZSJ,O,O,O
TIOJLSZ,O,O,O
TIOJLZS,O,O,O
TIOJSLZ,X,O,O
TIOJSZL,X,O,O
TIOJZLS,O,O,O
TIOJZSL,X,O,O
TIOSLJZ,X,O,O
TIOSLZJ,X,O,O
TIOSJLZ,X,O,O
TIOSJZL,X,O,O
TIOSZLJ,X,O,X
TIOSZJL,X,O,O
TIOZLJS,O,O,X
TIOZLSJ,O,O,X
TIOZJLS,O,O,X
TIOZJSL,X,O,X
TIOZSLJ,X,O,X
TIOZSJL,X,O,X
TLIJSZO,O,O,O
TLIJSOZ,O,O,O
TLIJZSO,O,O,O
TLIJZOS,O,O,O
TLIJOSZ,O,O,O
TLIJOZS,O,O,O
TLISJZO,O,O,O
TLISJOZ,O,O,O
TLISZJO,O,O,O
TLISZOJ,O,O,O
TLISOJZ,O,O,O
TLISOZJ,O,O,O
TLIZJSO,O,O,O
TLIZJOS,O,O,O
TLIZSJO,O,O,O
TLIZSOJ,O,O,O
TLIZOJS,O,O,O
TLIZOSJ,O,O,O
TLIOJSZ,O,O,O
TLIOJZS,O,O,O
TLIOSJZ,O,O,O
TLIOSZJ,O,O,O
TLIOZJS,O,O,O
TLIOZSJ,O,O,O
TLJISZO,O,O,O
TLJISOZ,O,O,O
TLJIZSO,O,O,O
TLJIZOS,O,O,O
TLJIOSZ,O,O,O
TLJIOZS,O,O,O
TLJSIZO,O,O,O
TLJSIOZ,O,O,O
TLJSZIO,O,O,O
TLJSZOI,O,O,O
TLJSOIZ,O,O,O
TLJSOZI,O,O,O
TLJZISO,O,O,O
TLJZIOS,O,O,O
TLJZSIO,O,O,O
TLJZSOI,O,O,O
TLJZOIS,O,O,O
TLJZOSI,O,O,O
TLJOISZ,O,O,O
TLJOIZS,O,O,O
TLJOSIZ,O,O,O
TLJOSZI,O,O,O
TLJOZIS,O,O,O
TLJOZSI,O,O,O
TLSIJZO,O,O,O
TLSIJOZ,O,O,O
TLSIZJO,O,O,O
TLSIZOJ,O,O,O
TLSIOJZ,O,O,O
TLSIOZJ,O,O,O
TLSJIZO,O,O,O
TLSJIOZ,O,O,O
TLSJZIO,O,O,O
TLSJZOI,O,O,O
TLSJOIZ,O,O,O
TLSJOZI,O,O,O
TLSZIJO,O,O,O
TLSZIOJ,O,O,O
TLSZJIO,O,O,O
TLSZJOI,O,O,O
TLSZOIJ,O,O,O
TLSZOJI,O,O,O
TLSOIJZ,O,O,O
TLSOIZJ,O,O,O
TLSOJIZ,O,O,O
TLSOJZI,O,O,O
TLSOZIJ,O,O,O
TLSOZJI,O,O,O
TLZIJSO,O,O,O
TLZIJOS,O,O,O
TLZISJO,O,O,O
TLZISOJ,O,O,O
TLZIOJS,O,O,O
TLZIOSJ,O,O,O
TLZJISO,O,O,O
TLZJIOS,O,O,O
TLZJSIO,O,O,O
TLZJSOI,O,O,O
TLZJOIS,O,O,O
TLZJOSI,O,O,O
TLZSIJO,O,O,O
TLZSIOJ,O,O,O
TLZSJIO,O,O,O
TLZSJOI,O,O,O
TLZSOIJ,O,O,O
TLZSOJI,O,O,O
TLZOIJS,O,O,O
TLZOISJ,O,O,O
TLZOJIS,O,O,O
TLZOJSI,O,O,O
TLZOSIJ,O,O,O
TLZOSJI,O,O,O
TLOIJSZ,O,O,O
TLOIJZS,O,O,O
TLOISJZ,O,O,O
TLOISZJ,O,O,O
TLOIZJS,O,O,O
TLOIZSJ,O,O,O
TLOJISZ,O,O,O
TLOJIZS,O,O,O
TLOJSIZ,O,O,O
TLOJSZI,O,O,O
TLOJZIS,O,O,O
TLOJZSI,O,O,O
TLOSIJZ,O,O,O
TLOSIZJ,O,O,O
TLOSJIZ,O,O,O
TLOSJZI,O,O,O
TLOSZIJ,O,O,O
TLOSZJI,O,O,O
