sequence,v115@OhA8AeA8GeC8AeE8BeB8JeZEJvhFCgBemBFjBXlBzm?BUsB,v115@OhA8AeA8GeC8AeE8BeB8JeZEJvhFukB3gBFjByqBzm?BUsB,v115@OhA8AeA8GeC8AeE8BeB8JeZEJvhFCgBemBzhBFjBXl?BUsB,v115@OhA8AeA8GeC8AeE8BeB8JeZEJvhFukB3gBzhBFjByq?BUsB
TILJSZO,X,X,X,O
TILJSOZ,X,O,X,X
TILJZSO,X,X,X,O
TILJZOS,X,X,X,O
TILJOSZ,X,O,X,X
TILJOZS,X,X,X,X
TILSJZO,X,X,X,O
TILSJOZ,X,O,X,X
TILSZJO,X,X,X,O
TILSZOJ,X,X,X,O
TILSOJZ,X,O,X,X
TILSOZJ,X,X,X,X
TILZJSO,X,X,X,O
TILZJOS,X,X,X,O
TILZSJO,X,X,X,O
TILZSOJ,X,X,X,O
TILZOJS,X,X,X,O
TILZOSJ,X,X,X,O
TILOJSZ,X,O,X,X
TILOJZS,X,X,X,X
TILOSJZ,X,O,X,X
TILOSZJ,X,X,X,X
TILOZJS,X,X,X,X
TILOZSJ,X,X,X,X
TIJLSZO,X,X,X,O
TIJLSOZ,X,O,X,X
TIJLZSO,X,X,X,O
TIJLZOS,X,X,X,O
TIJLOSZ,X,O,X,X
TIJLOZS,X,X,X,X
TIJSLZO,X,X,O,X
TIJSLOZ,O,X,X,X
TIJSZLO,X,X,O,X
TIJSZOL,X,X,O,X
TIJSOLZ,O,X,X,X
TIJSOZL,X,X,X,X
TIJZLSO,X,X,X,X
TIJZLOS,X,X,X,X
TIJZSLO,X,X,O,X
TIJZSOL,X,X,O,X
TIJZOLS,X,X,X,X
TIJZOSL,X,X,O,X
TIJOLSZ,X,O,X,X
TIJOLZS,X,X,X,X
TIJOSLZ,O,X,X,X
TIJOSZL,X,X,X,X
TIJOZLS,X,X,X,X
TIJOZSL,X,X,X,X
TISLJZO,X,X,O,X
TISLJOZ,O,X,X,X
TISLZJO,X,X,X,X
TISLZOJ,X,X,X,X
TISLOJZ,O,X,X,X
TISLOZJ,X,X,X,X
TISJLZO,X,X,O,X
TISJLOZ,O,X,X,X
TISJZLO,X,X,O,X
TISJZOL,X,X,O,X
TISJOLZ,O,X,X,X
TISJOZL,X,X,X,X
TISZLJO,X,X,X,X
TISZLOJ,X,X,X,X
TISZJLO,X,X,X,X
TISZJOL,X,X,X,X
TISZOLJ,X,X,X,X
TISZOJL,X,X,X,X
TISOLJZ,O,X,X,X
