sequence,v115@HhA8AeA8GeC8GeB8BeE8Kel/IvhFqmBmiB5oBzlB0n?B3qB,v115@HhA8AeA8GeC8GeB8BeE8Kel/IvhFUiBaoB5oBzlBWs?B3qB,v115@HhA8AeA8GeC8GeB8BeE8Kel/IvhFzgBqmBmiB5oB0n?B3qB,v115@HhA8AeA8GeC8GeB8BeE8Kel/IvhFzgBUiBaoB5oBWs?B3qB
TILJSZO,X,O,O,O
TILJSOZ,X,O,O,O
TILJZSO,O,O,O,O
TILJZOS,O,O,O,O
TILJOSZ,X,O,X,O
TILJOZS,O,O,X,O
TILSJZO,X,O,O,O
TILSJOZ,X,O,O,O
TILSZJO,O,X,O,X
TILSZOJ,O,X,O,X
TILSOJZ,X,O,O,X
TILSOZJ,O,X,O,X
TILZJSO,O,O,O,O
TILZJOS,O,O,O,O
TILZSJO,O,X,O,X
TILZSOJ,O,X,O,X
TILZOJS,O,O,O,X
TILZOSJ,O,X,O,X
TILOJSZ,X,O,X,O
TILOJZS,O,O,X,O
TILOSJZ,X,O,O,X
TILOSZJ,O,X,O,X
TILOZJS,O,O,O,X
TILOZSJ,O,X,O,X
TIJLSZO,X,O,O,O
TIJLSOZ,X,O,O,O
TIJLZSO,O,O,O,O
TIJLZOS,O,O,O,O
TIJLOSZ,X,O,X,O
TIJLOZS,O,O,X,O
TIJSLZO,X,O,X,O
TIJSLOZ,X,O,X,O
TIJSZLO,X,O,X,O
TIJSZOL,X,O,X,O
TIJSOLZ,X,O,X,O
TIJSOZL,X,O,X,O
TIJZLSO,O,O,O,O
TIJZLOS,O,O,O,O
TIJZSLO,O,O,O,O
TIJZSOL,O,O,X,O
TIJZOLS,O,O,O,O
TIJZOSL,O,O,X,O
TIJOLSZ,X,O,X,O
TIJOLZS,O,O,X,O
TIJOSLZ,X,O,X,O
TIJOSZL,X,O,X,O
TIJOZLS,O,O,X,O
TIJOZSL,O,O,X,O
TISLJZO,X,O,O,O
TISLJOZ,X,O,O,O
TISLZJO,O,X,O,X
TISLZOJ,O,X,O,X
TISLOJZ,X,O,O,X
TISLOZJ,O,X,O,X
TISJLZO,X,O,X,O
TISJLOZ,X,O,X,O
TISJZLO,X,O,X,O
TISJZOL,X,O,X,O
TISJOLZ,X,O,X,O
TISJOZL,X,O,X,O
TISZLJO,O,X,O,X
TISZLOJ,O,X,O,X
TISZJLO,O,X,O,X
TISZJOL,O,X,X,X
TISZOLJ,O,X,X,X
TISZOJL,O,X,X,X
TISOLJZ,X,O,X,X
TISOLZJ,O,X,X,X
TISOJLZ,X,O,X,X
TISOJZL,X,O,X,X
TISOZLJ,O,X,X,X
TISOZJL,O,X,X,X
TIZLJSO,O,O,O,O
TIZLJOS,O,O,O,O
TIZLSJO,O,X,O,X
TIZLSOJ,O,X,O,X
TIZLOJS,O,O,O,X
TIZLOSJ,O,X,O,X
TIZJLSO,O,O,O,O
TIZJLOS,O,O,O,O
TIZJSLO,O,O,O,O
TIZJSOL,O,O,X,O
TIZJOLS,O,O,O,O
TIZJOSL,O,O,X,O
TIZSLJO,O,X,O,X
TIZSLOJ,O,X,O,X
TIZSJLO,O,X,O,X
TIZSJOL,O,X,X,X
TIZSOLJ,O,X,X,X
TIZSOJL,O,X,X,X
TIZOLJS,O,O,O,X
TIZOLSJ,O,X,O,X
TIZOJLS,O,O,O,X
TIZOJSL,O,O,X,X
TIZOSLJ,O,X,X,X
TIZOSJL,O,X,X,X
TIOLJSZ,X,O,X,O
TIOLJZS,O,O,X,O
TIOLSJZ,X,O,O,X
TIOLSZJ,O,X,O,X
TIOLZJS,O,O,O,X
TIOLZSJ,O,X,O,X
TIOJLSZ,X,O,X,O
TIOJLZS,O,O,X,O
TIOJSLZ,X,O,X,O
TIOJSZL,X,O,X,O
TIOJZLS,O,O,X,O
TIOJZSL,O,O,X,O
TIOSLJZ,X,O,X,X
TIOSLZJ,O,X,X,X
TIOSJLZ,X,O,X,X
TIOSJZL,X,O,X,X
TIOSZLJ,O,X,X,X
