sequence,v115@QhA8CeB8DeA8AeE8AeC8JeZEJvhFqkBTgB/mBFiBOo?BcsB,v115@QhA8CeB8DeA8AeE8AeC8JeZEJvhFGgBihBFjBzkBfs?B0sB,v115@QhA8CeB8DeA8AeE8AeC8JeZEJvhFGgB/mBUiBFjBzk?BisB
TILJSZO,X,O,X
TILJSOZ,X,O,X
TILJZSO,X,X,X
TILJZOS,X,X,X
TILJOSZ,X,O,X
TILJOZS,X,X,X
TILSJZO,X,X,X
TILSJOZ,X,X,X
TILSZJO,X,X,X
TILSZOJ,X,X,X
TILSOJZ,X,X,X
TILSOZJ,X,X,X
TILZJSO,X,X,X
TILZJOS,X,X,X
TILZSJO,X,X,X
TILZSOJ,X,X,X
TILZOJS,X,X,X
TILZOSJ,X,X,X
TILOJSZ,X,O,X
TILOJZS,X,X,X
TILOSJZ,X,X,X
TILOSZJ,X,X,X
TILOZJS,X,X,X
TILOZSJ,X,X,X
TIJLSZO,X,O,X
TIJLSOZ,X,O,X
TIJLZSO,X,X,X
TIJLZOS,X,X,X
TIJLOSZ,X,O,X
TIJLOZS,X,X,X
TIJSLZO,X,O,O
TIJSLOZ,X,O,X
TIJSZLO,X,X,X
TIJSZOL,X,X,O
TIJSOLZ,X,X,X
TIJSOZL,X,X,X
TIJZLSO,X,X,X
TIJZLOS,X,X,X
TIJZSLO,X,O,X
TIJZSOL,X,X,X
TIJZOLS,X,X,X
TIJZOSL,X,X,X
TIJOLSZ,X,X,X
TIJOLZS,X,X,X
TIJOSLZ,X,X,X
TIJOSZL,X,X,X
TIJOZLS,X,X,X
TIJOZSL,X,X,X
TISLJZO,X,O,O
TISLJOZ,X,O,X
TISLZJO,X,X,O
TISLZOJ,X,X,O
TISLOJZ,X,O,O
TISLOZJ,X,X,O
TISJLZO,X,O,O
TISJLOZ,X,O,X
TISJZLO,X,X,X
TISJZOL,X,X,O
TISJOLZ,X,X,X
TISJOZL,X,X,X
TISZLJO,X,X,X
TISZLOJ,X,X,X
TISZJLO,X,X,X
TISZJOL,X,X,O
TISZOLJ,X,X,X
TISZOJL,X,X,O
TISOLJZ,X,O,O
TISOLZJ,X,X,O
TISOJLZ,X,O,O
TISOJZL,X,X,O
TISOZLJ,X,X,X
TISOZJL,X,X,O
TIZLJSO,X,X,X
TIZLJOS,X,X,X
TIZLSJO,X,X,X
TIZLSOJ,X,X,X
TIZLOJS,X,X,X
TIZLOSJ,X,X,X
