sequence,v115@GhA8IeA8CeA8EeE8BeD8Jei/IvhF3gBRiB1pBOrB8r?BzsB,v115@GhA8IeA8CeA8EeE8BeD8JeT/IvhFxgBmiBypBFmB0n?B3rB,v115@GhA8IeA8CeA8EeE8BeD8Jel/IvhF3gBUiBaoB2pBxr?BTrB,v115@GhA8IeA8CeA8EeE8BeD8Jel/IvhF3gBaoB2pBxmBUn?BTrB,v115@GhA8IeA8CeA8EeE8BeD8Je0/IvhFlgBziB2pBimBRs?B3rB,v115@GhA8IeA8CeA8EeE8BeD8JecGJvhFxkBlnBTkBilBmn?B3rB
TILJSZO,O,X,O,X,O,X
TILJSOZ,O,X,O,X,O,X
TILJZSO,X,O,O,X,O,X
TILJZOS,X,O,O,X,O,X
TILJOSZ,O,X,O,X,O,X
TILJOZS,X,O,O,X,O,X
TILSJZO,O,X,O,X,O,X
TILSJOZ,O,X,O,X,O,X
TILSZJO,O,O,O,X,X,O
TILSZOJ,O,O,O,X,X,O
TILSOJZ,O,X,X,X,O,X
TILSOZJ,O,O,O,X,X,X
TILZJSO,O,O,O,X,O,X
TILZJOS,O,O,O,X,O,X
TILZSJO,O,O,O,X,X,X
TILZSOJ,O,O,O,X,X,X
TILZOJS,O,O,X,X,O,X
TILZOSJ,O,O,X,X,X,X
TILOJSZ,O,X,X,X,O,X
TILOJZS,O,O,X,X,O,X
TILOSJZ,O,X,X,X,O,X
TILOSZJ,O,O,X,X,X,X
TILOZJS,O,O,X,X,O,X
TILOZSJ,O,O,X,X,X,X
TIJLSZO,O,X,O,X,O,X
TIJLSOZ,O,X,O,X,O,X
TIJLZSO,X,O,O,X,O,X
TIJLZOS,X,O,O,X,O,X
TIJLOSZ,O,X,O,X,O,X
TIJLOZS,X,O,O,X,O,X
TIJSLZO,O,X,O,X,O,X
TIJSLOZ,O,X,O,X,O,X
TIJSZLO,O,X,O,X,O,O
TIJSZOL,O,X,O,X,O,O
TIJSOLZ,O,X,O,X,O,X
TIJSOZL,O,X,O,X,O,X
TIJZLSO,X,O,O,X,O,X
TIJZLOS,X,O,O,X,O,X
TIJZSLO,X,O,O,X,O,X
TIJZSOL,X,X,O,X,O,X
TIJZOLS,X,O,O,X,O,X
TIJZOSL,X,X,O,X,O,X
TIJOLSZ,O,X,O,X,O,X
TIJOLZS,X,X,O,X,O,X
TIJOSLZ,O,X,O,X,O,X
TIJOSZL,O,X,O,X,O,X
TIJOZLS,X,X,O,X,O,X
TIJOZSL,X,X,O,X,O,X
TISLJZO,O,X,O,X,O,X
TISLJOZ,O,X,O,X,O,X
TISLZJO,O,O,O,X,X,O
TISLZOJ,O,O,O,X,X,O
TISLOJZ,O,X,X,X,O,X
TISLOZJ,O,O,O,X,X,X
TISJLZO,O,X,O,X,O,X
TISJLOZ,O,X,O,X,O,X
TISJZLO,O,X,O,X,O,O
TISJZOL,O,X,O,X,O,O
TISJOLZ,O,X,O,X,O,X
TISJOZL,O,X,O,X,O,X
TISZLJO,O,O,O,X,X,O
TISZLOJ,O,O,O,X,X,O
TISZJLO,O,O,O,X,X,O
TISZJOL,X,X,O,X,X,O
TISZOLJ,O,X,O,X,X,O
TISZOJL,O,X,X,X,X,O
TISOLJZ,O,X,X,X,O,X
TISOLZJ,O,X,O,X,X,X
TISOJLZ,O,X,X,X,O,X
TISOJZL,O,X,X,X,O,X
TISOZLJ,O,X,O,X,X,O
TISOZJL,O,X,X,X,X,O
TIZLJSO,O,O,O,X,O,X
TIZLJOS,O,O,O,X,O,X
TIZLSJO,O,O,O,X,X,X
TIZLSOJ,O,O,O,X,X,X
TIZLOJS,O,O,X,X,O,X
TIZLOSJ,O,O,X,X,X,X
TIZJLSO,O,O,O,X,O,X
TIZJLOS,O,O,O,X,O,X
TIZJSLO,O,O,O,X,O,X
TIZJSOL,O,X,O,X,O,X
TIZJOLS,O,O,O,X,O,X
TIZJOSL,O,X,O,X,O,X
TIZSLJO,O,O,O,X,X,O
TIZSLOJ,O,O,O,X,X,O
TIZSJLO,O,O,O,X,X,O
TIZSJOL,X,X,O,X,X,O
TIZSOLJ,O,X,O,X,X,O
TIZSOJL,O,X,X,X,X,O
TIZOLJS,O,O,X,X,O,X
TIZOLSJ,O,O,X,X,X,X
TIZOJLS,O,O,X,X,O,X
TIZOJSL,O,X,X,X,O,X
TIZOSLJ,O,X,X,X,X,X
TIZOSJL,O,X,X,X,X,X
TIOLJSZ,O,X,X,X,O,X
TIOLJZS,O,O,X,X,O,X
TIOLSJZ,O,X,X,X,O,X
TIOLSZJ,O,O,X,X,X,X
TIOLZJS,O,O,X,X,O,X
TIOLZSJ,O,O,X,X,X,X
TIOJLSZ,O,X,X,X,O,X
TIOJLZS,O,X,X,X,O,X
TIOJSLZ,O,X,X,X,O,X
TIOJSZL,O,X,X,X,O,X
TIOJZLS,O,X,X,X,O,X
TIOJZSL,O,X,X,X,O,X
TIOSLJZ,O,X,X,X,O,X
TIOSLZJ,O,X,X,X,X,X
TIOSJLZ,O,X,X,X,O,X
TIOSJZL,O,X,X,X,O,X
TIOSZLJ,O,X,X,X,X,O
TIOSZJL,O,X,X,X,X,O
TIOZLJS,O,O,X,X,O,X
TIOZLSJ,O,O,X,X,X,X
TIOZJLS,O,O,X,X,O,X
TIOZJSL,O,X,X,X,O,X
TIOZSLJ,O,X,X,X,X,X
TIOZSJL,O,X,X,X,X,X
TLIJSZO,O,X,O,X,O,X
TLIJSOZ,O,X,O,X,O,X
TLIJZSO,X,O,O,X,O,X
