sequence,v115@UhA8EeB8BeB8BeC8JeOEJvhGXgBdmB5mBiiBcoBcsB?zpB,v115@UhA8EeB8BeB8BeC8Jex/IvhGXhBdnBunBcoBikBzpB?0rB,v115@UhA8EeB8BeB8BeC8JeNEJvhGUhBRiBSoBXlB2sB0rB?zpB,v115@UhA8EeB8BeB8BeC8JeNEJvhGUgBRhBCjBmmBXoBzpB?0rB,v115@UhA8EeB8BeB8BeC8Je0/IvhGdmBRiBcoB/pBqrBTnB?OqB,v115@UhA8EeB8BeB8BeC8JeT/IvhGNlBamBRiBcoBWsB0pB?XsB,v115@UhA8EeB8BeB8BeC8JeXAJvhGdmBRiBcoB2pBSsBzrB?0pB,v115@UhA8EeB8BeB8BeC8JeT/IvhGNlBRhBCjBmmBXoB0pB?0rB,v115@UhA8EeB8BeB8BeC8JeT/IvhGNlBRhBunBcoB/rBasB?0pB
ZTILJSZO,X,X,X,X,X,X,X,X,X
ZTILJSOZ,X,X,X,X,X,X,X,X,X
ZTILJZSO,X,X,X,X,X,X,X,X,X
ZTILJZOS,X,X,X,X,X,X,X,X,X
ZTILJOSZ,X,X,X,X,X,X,X,X,X
ZTILJOZS,X,X,X,X,X,X,X,X,X
ZTILSJZO,X,X,X,X,X,X,X,X,X
ZTILSJOZ,X,X,X,X,X,X,X,X,X
ZTILSZJO,X,X,X,X,X,X,X,X,X
ZTILSZOJ,X,X,X,X,X,X,X,X,X
ZTILSOJZ,X,X,X,X,X,X,X,X,X
ZTILSOZJ,X,X,X,X,X,X,X,X,X
ZTILZJSO,X,X,X,X,X,X,X,X,X
ZTILZJOS,X,X,X,X,X,X,X,X,X
ZTILZSJO,X,X,X,X,X,X,X,X,X
ZTILZSOJ,X,X,X,X,X,X,X,X,X
ZTILZOJS,X,X,X,X,X,O,X,X,X
ZTILZOSJ,X,X,X,X,X,X,X,X,X
ZTILOJSZ,X,X,X,X,X,X,X,X,X
ZTILOJZS,X,X,X,X,X,X,X,X,X
ZTILOSJZ,X,X,X,X,X,X,X,X,X
ZTILOSZJ,X,X,X,X,X,X,X,X,X
ZTILOZJS,X,X,X,X,X,X,X,X,X
ZTILOZSJ,X,X,X,X,X,X,X,X,X
ZTIJLSZO,X,X,X,X,X,X,X,X,X
ZTIJLSOZ,X,X,X,X,X,X,X,X,X
ZTIJLZSO,X,X,X,X,X,X,X,X,X
ZTIJLZOS,X,X,X,X,X,O,X,X,X
ZTIJLOSZ,X,X,X,X,X,X,X,X,X
ZTIJLOZS,X,X,X,X,X,X,X,X,X
ZTIJSLZO,X,X,X,X,X,X,X,O,X
ZTIJSLOZ,X,X,X,X,X,X,X,X,X
ZTIJSZLO,O,X,X,X,X,X,X,O,X
ZTIJSZOL,X,X,X,X,X,X,X,O,X
ZTIJSOLZ,X,X,X,X,X,X,X,X,X
ZTIJSOZL,X,X,X,X,X,X,X,X,X
ZTIJZLSO,O,X,X,X,X,X,X,X,X
ZTIJZLOS,X,X,X,X,X,O,X,X,X
ZTIJZSLO,O,X,X,X,X,X,X,O,X
ZTIJZSOL,X,X,X,X,X,X,X,O,X
ZTIJZOLS,X,X,X,X,X,O,X,X,X
ZTIJZOSL,X,X,X,X,X,X,X,O,O
ZTIJOLSZ,X,X,X,X,X,X,X,X,X
ZTIJOLZS,X,X,X,X,X,X,X,X,X
ZTIJOSLZ,X,X,X,X,X,X,X,X,X
ZTIJOSZL,X,X,X,X,X,X,X,X,X
ZTIJOZLS,X,X,X,X,X,X,X,X,X
ZTIJOZSL,X,X,X,X,X,X,X,X,X
ZTISLJZO,X,X,X,X,X,X,X,X,X
ZTISLJOZ,X,X,X,X,X,X,X,X,X
ZTISLZJO,X,X,X,X,X,X,X,X,X
ZTISLZOJ,X,X,X,X,X,X,X,O,X
ZTISLOJZ,X,X,X,X,X,X,X,X,X
ZTISLOZJ,X,X,X,X,X,X,X,O,X
ZTISJLZO,X,X,X,X,X,X,X,X,X
ZTISJLOZ,X,X,X,X,X,X,X,X,X
ZTISJZLO,O,X,X,X,X,X,X,X,X
ZTISJZOL,X,X,X,X,X,X,X,X,X
ZTISJOLZ,X,X,X,X,X,X,X,X,X
ZTISJOZL,X,X,X,X,X,X,X,X,X
ZTISZLJO,O,X,X,X,X,X,X,X,X
ZTISZLOJ,X,X,X,X,X,X,X,O,X
ZTISZJLO,O,X,X,X,X,X,X,X,X
ZTISZJOL,X,X,X,X,X,X,X,X,O
ZTISZOLJ,X,X,X,X,X,X,X,O,X
ZTISZOJL,X,X,X,X,X,X,X,X,O
ZTISOLJZ,X,X,X,X,X,X,X,X,X
ZTISOLZJ,X,X,X,X,X,X,X,O,X
ZTISOJLZ,X,X,X,X,X,X,X,X,X
ZTISOJZL,X,X,X,X,X,X,X,X,X
ZTISOZLJ,X,X,X,X,X,X,X,X,X
ZTISOZJL,X,X,X,X,X,X,X,X,O
ZTIZLJSO,O,X,X,X,X,X,X,X,X
ZTIZLJOS,X,X,X,X,X,X,X,X,X
ZTIZLSJO,O,X,X,X,X,X,X,X,X
ZTIZLSOJ,X,X,X,X,X,X,X,X,X
ZTIZLOJS,O,X,X,X,X,O,X,X,X
ZTIZLOSJ,O,X,X,X,X,X,X,X,X
ZTIZJLSO,O,X,X,X,X,X,X,X,X
ZTIZJLOS,X,X,X,X,X,O,X,X,X
