sequence,v115@RhA8EeB8BeD8AeE8Je/EJvhFUgBRhBCjBlmBToBmqB,v115@RhA8EeB8BeD8AeE8Jex/IvhFXhB8mBCjBlkBToBmqB,v115@RhA8EeB8BeD8AeE8Je/EJvhFUgBFhBxiBCnBToBmqB,v115@RhA8EeB8BeD8AeE8Jem/IvhFFhBxiB0kBfrBCsBTtB,v115@RhA8EeB8BeD8AeE8JeT/IvhFelBSoBRmBfrBlrBUtB,v115@RhA8EeB8BeD8AeE8JeT/IvhFxgBymBGjBXlBUoBFrB,v115@RhA8EeB8BeD8AeE8Je/EJvhFRgBzhBGjBilBUoBFrB,v115@RhA8EeB8BeD8AeE8JemAJvhFzhBfoB6oBxkB0kBFrB
TILJSZO,O,X,X,X,X,O,X,O
TILJSOZ,O,X,X,X,X,O,X,O
TILJZSO,O,O,X,X,X,O,X,X
TILJZOS,X,O,X,X,X,O,X,X
TILJOSZ,O,X,X,X,O,X,X,O
TILJOZS,O,X,X,X,O,O,X,X
TILSJZO,O,X,X,X,X,O,O,O
TILSJOZ,O,X,X,X,X,O,O,O
TILSZJO,O,O,X,X,X,O,O,O
TILSZOJ,O,O,X,X,X,O,O,O
TILSOJZ,O,X,X,X,X,O,O,O
TILSOZJ,O,X,X,X,X,O,O,O
TILZJSO,O,O,X,X,X,O,O,X
TILZJOS,X,O,X,X,X,O,O,X
TILZSJO,O,O,X,X,X,O,O,X
TILZSOJ,O,O,X,X,X,O,O,X
TILZOJS,X,O,X,X,X,O,O,X
TILZOSJ,X,O,X,X,X,O,O,X
TILOJSZ,O,X,X,X,O,X,X,O
TILOJZS,O,O,X,X,O,O,X,X
TILOSJZ,O,X,X,X,X,O,O,O
TILOSZJ,O,O,X,X,X,O,O,O
TILOZJS,O,O,X,X,X,O,O,X
TILOZSJ,O,O,X,X,X,O,O,X
TIJLSZO,O,X,X,X,X,X,X,O
TIJLSOZ,O,X,X,X,X,X,X,O
TIJLZSO,O,O,X,X,X,X,X,X
TIJLZOS,X,O,X,X,X,X,X,X
TIJLOSZ,O,X,X,X,O,X,X,O
TIJLOZS,O,X,X,X,O,X,X,X
TIJSLZO,O,X,X,X,X,X,X,O
TIJSLOZ,O,X,X,X,X,X,X,O
TIJSZLO,O,X,X,X,X,X,X,O
TIJSZOL,O,X,X,X,X,X,X,O
TIJSOLZ,O,X,X,X,X,X,X,O
TIJSOZL,O,X,X,X,X,X,X,O
TIJZLSO,O,O,X,X,X,X,X,X
TIJZLOS,X,O,X,X,X,X,X,X
TIJZSLO,O,O,X,X,X,X,X,O
TIJZSOL,O,O,X,X,X,X,X,O
TIJZOLS,O,O,X,X,X,X,X,X
TIJZOSL,O,O,X,X,X,X,X,O
TIJOLSZ,O,X,X,X,O,X,X,O
TIJOLZS,O,O,X,X,O,X,X,X
TIJOSLZ,O,X,X,X,X,X,X,O
TIJOSZL,O,X,X,X,X,X,X,O
