sequence,v115@PhA8AeA8GeE8AeA8AeD8Je/EJvhFUgBRhBGjB6rBTn?BlqB,v115@PhA8AeA8GeE8AeA8AeD8Jex/IvhFThB/nBGjB0kB6q?BlrB,v115@PhA8AeA8GeE8AeA8AeD8JeyEJvhF5lBThB/nBGjB0k?BlrB,v115@PhA8AeA8GeE8AeA8AeD8Jex/IvhFlhBGjB0kB6qB/r?BTsB,v115@PhA8AeA8GeE8AeA8AeD8JeT/IvhFUiBGjBVqBxrB6q?B/rB
TILJSZO,O,O,O,X,O
TILJSOZ,O,O,O,X,O
TILJZSO,O,X,X,X,O
TILJZOS,X,X,X,X,O
TILJOSZ,O,O,O,X,O
TILJOZS,X,X,X,X,O
TILSJZO,O,O,O,X,O
TILSJOZ,O,O,O,X,O
TILSZJO,O,O,O,X,O
TILSZOJ,O,O,O,X,O
TILSOJZ,O,O,O,X,O
TILSOZJ,O,O,O,X,O
TILZJSO,O,O,X,X,O
TILZJOS,X,O,X,X,O
TILZSJO,O,O,O,X,O
TILZSOJ,O,O,O,X,O
TILZOJS,X,O,X,X,O
TILZOSJ,X,O,O,X,O
TILOJSZ,O,O,O,X,O
TILOJZS,O,X,X,X,O
TILOSJZ,O,O,O,X,O
TILOSZJ,O,O,O,X,O
TILOZJS,O,O,X,X,O
TILOZSJ,O,O,O,X,O
TIJLSZO,O,X,O,X,O
TIJLSOZ,O,X,O,X,O
TIJLZSO,O,X,X,X,O
TIJLZOS,X,X,X,X,O
TIJLOSZ,O,X,O,X,O
TIJLOZS,X,X,X,X,O
TIJSLZO,O,X,O,X,O
TIJSLOZ,O,X,O,X,O
TIJSZLO,O,X,O,X,O
TIJSZOL,O,X,O,X,O
TIJSOLZ,O,X,O,X,O
TIJSOZL,O,X,O,X,O
TIJZLSO,X,X,X,X,O
TIJZLOS,X,X,X,X,O
TIJZSLO,X,X,X,X,O
TIJZSOL,X,X,X,X,O
TIJZOLS,X,X,X,X,O
TIJZOSL,X,X,X,X,O
TIJOLSZ,O,X,O,X,O
TIJOLZS,O,X,X,X,O
TIJOSLZ,O,X,O,X,O
TIJOSZL,O,X,O,X,O
TIJOZLS,X,X,X,X,O
TIJOZSL,O,X,X,X,O
TISLJZO,O,O,O,X,O
TISLJOZ,O,O,O,X,O
TISLZJO,O,O,O,X,O
TISLZOJ,O,O,O,X,O
TISLOJZ,O,O,O,X,O
TISLOZJ,O,O,O,X,O
TISJLZO,O,O,O,X,O
TISJLOZ,O,O,O,X,O
TISJZLO,O,O,O,X,O
TISJZOL,O,O,O,X,O
TISJOLZ,O,O,O,X,O
TISJOZL,O,O,O,X,O
TISZLJO,O,O,O,X,O
TISZLOJ,O,O,O,X,O
TISZJLO,O,O,O,X,O
TISZJOL,O,O,O,X,O
TISZOLJ,O,O,O,X,O
TISZOJL,O,O,O,X,O
TISOLJZ,O,O,O,X,O
TISOLZJ,O,O,O,X,O
TISOJLZ,O,O,O,X,O
TISOJZL,O,O,O,X,O
TISOZLJ,O,O,O,X,O
TISOZJL,O,O,O,X,O
TIZLJSO,X,O,X,X,O
TIZLJOS,X,O,X,X,O
