sequence,v115@HhA8GeA8AeA8GeE8CeD8Jex/IvhFThB/nBGjBClB0q?BlrB,v115@HhA8GeA8AeA8GeE8CeD8Jex/IvhFlhBGjBClB/rBTn?B0qB,v115@HhA8GeA8AeA8GeE8CeD8Jex/IvhF/nBGjBzkBCmB0m?BVwB,v115@HhA8GeA8AeA8GeE8CeD8Jex/IvhF8lBqmB/nBGjBzk?BVwB
TILJSZO,O,O,X,X
TILJSOZ,O,O,O,X
TILJZSO,O,O,X,X
TILJZOS,X,O,X,X
TILJOSZ,O,O,O,X
TILJOZS,X,O,O,X
TILSJZO,O,O,X,O
TILSJOZ,O,O,O,O
TILSZJO,O,O,X,O
TILSZOJ,O,X,X,O
TILSOJZ,O,O,O,O
TILSOZJ,O,O,O,O
TILZJSO,O,O,X,O
TILZJOS,O,O,X,X
TILZSJO,O,O,X,O
TILZSOJ,O,O,X,O
TILZOJS,O,O,X,O
TILZOSJ,O,O,X,O
TILOJSZ,O,O,O,X
TILOJZS,X,O,O,X
TILOSJZ,O,O,O,O
TILOSZJ,O,O,O,O
TILOZJS,X,O,O,O
TILOZSJ,O,O,O,O
TIJLSZO,O,O,X,X
TIJLSOZ,O,O,O,X
TIJLZSO,O,O,X,X
TIJLZOS,X,O,X,X
TIJLOSZ,O,O,O,X
TIJLOZS,X,O,O,X
TIJSLZO,O,O,X,O
TIJSLOZ,O,O,O,O
TIJSZLO,O,O,X,X
TIJSZOL,O,O,X,X
TIJSOLZ,O,O,O,O
TIJSOZL,O,O,O,X
TIJZLSO,O,O,X,X
TIJZLOS,X,O,X,X
TIJZSLO,O,O,X,X
TIJZSOL,O,O,X,X
TIJZOLS,X,O,X,X
TIJZOSL,X,O,X,X
TIJOLSZ,X,O,O,X
TIJOLZS,X,O,O,X
TIJOSLZ,O,O,O,O
TIJOSZL,O,O,O,X
TIJOZLS,X,O,O,X
TIJOZSL,X,O,O,X
TISLJZO,O,O,X,O
TISLJOZ,O,O,O,O
TISLZJO,O,X,X,O
TISLZOJ,O,X,X,O
TISLOJZ,O,X,O,O
TISLOZJ,O,X,O,O
TISJLZO,O,O,X,O
TISJLOZ,O,O,O,O
TISJZLO,O,O,X,X
TISJZOL,O,O,X,X
TISJOLZ,O,O,O,O
TISJOZL,O,O,O,X
TISZLJO,O,X,X,X
TISZLOJ,O,X,X,X
TISZJLO,O,O,X,X
TISZJOL,O,O,X,X
TISZOLJ,O,X,X,X
TISZOJL,O,X,X,X
TISOLJZ,O,O,O,O
TISOLZJ,O,X,O,O
TISOJLZ,O,O,O,O
TISOJZL,O,O,O,X
TISOZLJ,X,X,O,X
TISOZJL,O,O,O,X
TIZLJSO,O,O,X,O
TIZLJOS,O,O,X,X
TIZLSJO,O,O,X,O
TIZLSOJ,O,O,X,O
TIZLOJS,O,O,X,O
TIZLOSJ,O,O,X,O
TIZJLSO,O,O,X,O
TIZJLOS,O,O,X,X
TIZJSLO,O,O,X,X
TIZJSOL,O,O,X,X
TIZJOLS,X,O,X,X
TIZJOSL,O,O,X,X
TIZSLJO,O,O,X,O
TIZSLOJ,O,X,X,O
TIZSJLO,O,O,X,X
TIZSJOL,O,O,X,X
TIZSOLJ,O,O,X,X
TIZSOJL,O,O,X,X
TIZOLJS,O,O,X,O
TIZOLSJ,O,O,X,O
TIZOJLS,X,O,X,O
TIZOJSL,O,O,X,X
TIZOSLJ,O,O,X,O
TIZOSJL,O,O,X,X
TIOLJSZ,O,O,O,X
TIOLJZS,X,O,O,X
TIOLSJZ,O,O,O,O
TIOLSZJ,O,O,O,O
TIOLZJS,X,O,O,O
TIOLZSJ,O,O,O,O
TIOJLSZ,X,O,O,X
TIOJLZS,X,O,O,X
TIOJSLZ,O,O,O,O
TIOJSZL,O,O,O,X
TIOJZLS,X,O,O,X
TIOJZSL,X,O,O,X
TIOSLJZ,O,O,O,O
TIOSLZJ,O,X,O,O
TIOSJLZ,O,O,O,O
