sequence,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8Je5EJvhFigB3hB?GjBcqBlnBzrB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8Je5EJvhFigBGiB?TjBcqBlmBXsB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8Je5EJvhFigBGjB?cqBlmB3nBzrB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8JeuEJvhF1lB0hB?xiBCoBXqBzrB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8Je5EJvhFXiBTjB?llBSsBOqB0rB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8JeRAJvhFGjBClB?0mBlnBXqBzrB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8JeRAJvhFFiBTjB?WqB6rBcsBXqB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8JexBJvhFTjBfqB?llBurBcsBCqB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8JeTDJvhFRlBGnB?XnBFqBCqB0rB
TILJSZO,O,X,X,O,X,X,X,X,X
TILJSOZ,X,X,X,O,O,X,X,X,X
TILJZSO,O,O,X,O,X,X,X,X,X
TILJZOS,O,O,X,O,X,X,X,X,X
TILJOSZ,X,X,X,O,O,X,X,X,O
TILJOZS,X,O,X,O,X,X,X,X,X
TILSJZO,O,X,O,O,X,X,X,X,X
TILSJOZ,X,X,X,O,O,X,X,X,X
TILSZJO,O,X,O,O,X,X,X,X,X
TILSZOJ,O,X,O,O,O,X,X,X,X
TILSOJZ,X,X,X,O,O,X,X,X,X
TILSOZJ,X,X,X,O,O,X,X,X,X
TILZJSO,O,O,O,O,X,X,X,X,X
TILZJOS,O,O,X,O,X,X,X,X,X
TILZSJO,O,O,O,O,X,X,X,X,X
TILZSOJ,O,O,O,O,O,X,X,X,X
TILZOJS,O,O,X,O,X,X,X,X,X
TILZOSJ,O,O,O,O,O,X,X,X,X
TILOJSZ,X,X,X,O,O,X,X,X,O
TILOJZS,X,O,X,O,X,X,X,X,X
TILOSJZ,X,X,X,O,O,X,X,X,X
TILOSZJ,X,X,X,O,O,X,X,X,X
TILOZJS,X,O,X,O,X,X,X,X,X
TILOZSJ,X,O,X,O,O,X,X,X,X
TIJLSZO,O,X,X,O,X,X,X,X,X
TIJLSOZ,X,X,X,X,O,X,X,X,X
TIJLZSO,O,O,X,O,X,X,X,X,X
TIJLZOS,O,O,X,O,X,X,X,X,X
TIJLOSZ,X,X,X,O,O,X,X,X,O
TIJLOZS,X,O,X,O,X,X,X,X,X
TIJSLZO,O,X,O,X,X,O,X,X,X
TIJSLOZ,X,X,X,X,X,O,X,X,X
TIJSZLO,O,O,O,X,X,O,X,X,X
TIJSZOL,O,O,O,X,X,X,X,X,X
TIJSOLZ,X,X,X,X,X,X,X,X,O
TIJSOZL,O,O,O,X,X,X,X,X,O
TIJZLSO,O,O,O,O,X,X,X,X,X
TIJZLOS,O,O,X,O,X,X,X,X,X
TIJZSLO,O,O,O,O,X,O,X,X,X
TIJZSOL,O,O,O,X,X,X,X,X,X
TIJZOLS,O,O,X,O,X,X,X,X,X
TIJZOSL,O,O,X,X,X,X,X,X,O
TIJOLSZ,X,X,X,O,O,X,X,X,O
TIJOLZS,X,O,X,O,X,X,X,X,X
TIJOSLZ,X,X,X,X,X,X,X,X,O
TIJOSZL,O,O,X,X,X,X,X,X,O
TIJOZLS,O,O,X,O,X,X,X,X,X
TIJOZSL,O,O,X,O,X,X,X,X,O
TISLJZO,O,O,O,O,X,O,X,X,X
TISLJOZ,X,O,X,O,O,O,X,X,X
TISLZJO,O,O,O,O,X,O,X,X,X
TISLZOJ,O,O,O,O,O,O,X,X,X
TISLOJZ,X,O,X,O,O,O,X,X,X
TISLOZJ,X,O,X,O,O,O,X,X,X
TISJLZO,O,O,O,O,X,O,X,X,X
TISJLOZ,X,O,X,O,X,O,X,X,X
TISJZLO,O,O,O,O,X,O,X,X,X
TISJZOL,O,O,O,O,X,X,X,X,X
TISJOLZ,X,O,X,O,X,X,X,X,O
TISJOZL,O,O,O,O,X,X,X,X,O
TISZLJO,O,O,O,O,X,O,X,X,X
TISZLOJ,O,O,O,O,X,O,X,X,X
TISZJLO,O,O,O,O,X,O,X,X,X
TISZJOL,O,O,O,O,X,X,X,X,X
TISZOLJ,O,O,O,X,X,X,X,X,X
TISZOJL,O,O,O,O,X,X,X,X,X
TISOLJZ,X,O,X,O,O,X,X,X,X
TISOLZJ,X,O,X,O,O,X,X,X,X
TISOJLZ,X,O,X,O,X,X,X,X,O
TISOJZL,O,O,O,O,X,X,X,X,O
TISOZLJ,O,O,O,O,X,X,X,X,X
TISOZJL,O,O,O,O,X,X,X,X,X
TIZLJSO,O,O,O,O,X,X,X,X,X
TIZLJOS,O,O,X,O,X,X,X,X,X
TIZLSJO,O,O,O,O,X,X,X,X,X
TIZLSOJ,O,O,O,O,O,X,X,X,X
TIZLOJS,O,O,X,O,X,X,X,X,X
TIZLOSJ,O,O,O,O,O,X,X,X,X
TIZJLSO,O,O,O,O,X,X,X,X,X
TIZJLOS,O,O,X,O,X,X,X,X,X
TIZJSLO,O,O,O,O,X,O,X,X,X
TIZJSOL,O,O,O,O,X,X,X,X,X
TIZJOLS,O,O,X,O,X,X,X,X,X
TIZJOSL,O,O,X,X,X,X,X,X,O
TIZSLJO,O,O,O,O,X,O,X,X,X
TIZSLOJ,O,O,O,O,X,O,X,X,X
TIZSJLO,O,O,O,O,X,O,X,X,X
TIZSJOL,O,O,O,O,X,X,X,X,X
TIZSOLJ,O,O,O,X,X,X,X,X,X
TIZSOJL,O,O,O,O,X,X,X,X,X
TIZOLJS,O,O,X,X,X,X,X,X,X
TIZOLSJ,O,O,O,X,O,X,X,X,X
TIZOJLS,O,O,X,O,X,X,X,X,X
TIZOJSL,O,O,X,X,X,X,X,X,O
TIZOSLJ,O,O,O,X,X,X,X,X,X
TIZOSJL,O,O,O,O,X,X,X,X,X
TIOLJSZ,O,X,X,O,O,X,X,X,O
TIOLJZS,O,O,X,O,X,X,X,X,X
TIOLSJZ,O,X,X,O,O,X,X,X,X
TIOLSZJ,O,X,X,O,O,X,X,X,X
TIOLZJS,O,O,X,O,X,X,X,X,X
TIOLZSJ,O,O,X,O,O,X,X,X,X
TIOJLSZ,O,X,X,O,O,X,X,X,O
TIOJLZS,O,O,X,O,X,X,X,X,X
TIOJSLZ,O,X,X,X,X,X,X,X,O
TIOJSZL,O,O,X,X,X,X,X,X,O
TIOJZLS,O,O,X,O,X,X,X,X,X
TIOJZSL,O,O,X,O,X,X,X,X,O
TIOSLJZ,O,O,X,O,O,X,X,X,X
TIOSLZJ,O,O,X,O,O,X,X,X,X
TIOSJLZ,O,O,X,O,X,X,X,X,O
TIOSJZL,O,O,O,O,X,X,X,X,O
TIOSZLJ,O,O,O,O,X,X,X,X,X
TIOSZJL,O,O,O,O,X,X,X,X,X
TIOZLJS,O,O,X,O,X,X,X,X,X
TIOZLSJ,O,O,O,O,O,X,X,X,X
TIOZJLS,O,O,X,O,X,X,X,X,X
TIOZJSL,O,O,X,O,X,X,X,X,O
TIOZSLJ,O,O,O,O,X,X,X,X,X
TIOZSJL,O,O,O,O,X,X,X,X,X
TLIJSZO,O,X,X,O,X,X,X,X,X
TLIJSOZ,X,X,X,O,O,X,X,X,X
TLIJZSO,O,O,X,O,X,X,X,X,X
TLIJZOS,O,O,X,O,X,X,X,X,X
TLIJOSZ,X,X,X,O,O,X,X,X,O
TLIJOZS,X,O,X,O,X,X,X,X,X
TLISJZO,O,X,O,O,X,X,X,X,X
TLISJOZ,X,X,X,O,O,X,X,X,X
TLISZJO,O,X,O,O,X,X,X,X,X
TLISZOJ,O,X,O,O,O,X,X,X,X
TLISOJZ,X,X,X,O,O,X,X,X,X
TLISOZJ,X,X,X,O,O,X,X,X,X
TLIZJSO,O,O,O,O,X,X,X,X,X
TLIZJOS,O,O,X,O,X,X,O,X,X
TLIZSJO,O,O,O,O,X,X,X,X,X
TLIZSOJ,O,O,O,O,O,X,O,X,X
TLIZOJS,O,O,X,O,X,X,O,X,X
TLIZOSJ,O,O,O,O,O,X,O,X,X
TLIOJSZ,X,X,X,O,O,X,X,X,O
TLIOJZS,X,O,X,O,X,X,X,X,X
TLIOSJZ,X,X,X,O,O,X,X,X,X
TLIOSZJ,X,X,X,O,O,X,X,X,X
TLIOZJS,X,O,X,O,X,X,O,X,X
TLIOZSJ,X,O,X,O,O,X,O,X,X
TLJISZO,O,X,X,O,X,X,X,X,X
TLJISOZ,X,X,X,O,O,X,X,X,X
TLJIZSO,O,O,X,O,X,X,O,X,X
TLJIZOS,O,O,X,O,X,X,O,X,X
TLJIOSZ,X,X,X,O,O,X,X,X,O
TLJIOZS,X,O,X,O,X,X,O,X,X
TLJSIZO,O,X,X,O,X,O,X,X,X
TLJSIOZ,X,X,X,O,O,O,X,X,X
TLJSZIO,O,X,X,O,X,O,X,X,X
TLJSZOI,O,X,X,O,X,O,X,X,X
TLJSOIZ,X,X,X,O,O,O,X,X,X
TLJSOZI,X,X,X,O,X,O,X,X,X
TLJZISO,O,O,X,O,X,X,O,X,X
TLJZIOS,O,O,X,O,X,X,O,X,X
TLJZSIO,O,O,X,O,X,O,O,X,X
TLJZSOI,O,O,X,O,X,O,O,X,X
TLJZOIS,O,O,X,O,X,X,O,X,X
TLJZOSI,O,O,X,O,X,X,O,X,X
TLJOISZ,X,X,X,O,O,X,X,X,O
TLJOIZS,X,O,X,O,X,X,O,X,X
TLJOSIZ,X,X,X,O,O,X,X,X,X
TLJOSZI,X,X,X,O,X,X,X,X,X
TLJOZIS,X,O,X,O,X,X,O,X,X
TLJOZSI,X,O,X,O,X,X,O,X,X
TLSIJZO,O,X,O,O,X,O,X,X,X
TLSIJOZ,X,X,X,O,O,O,X,X,X
TLSIZJO,O,X,O,O,X,O,X,X,X
TLSIZOJ,O,X,O,O,O,O,X,X,X
TLSIOJZ,X,X,X,O,O,O,X,X,X
TLSIOZJ,X,X,X,O,O,O,X,X,X
TLSJIZO,O,X,O,O,X,O,X,X,X
TLSJIOZ,X,X,X,O,O,O,X,X,X
TLSJZIO,O,X,O,O,X,O,X,X,X
TLSJZOI,O,X,O,O,X,O,X,X,X
TLSJOIZ,X,X,X,O,O,O,X,X,X
TLSJOZI,X,X,X,O,X,O,X,X,X
TLSZIJO,O,X,O,O,X,O,X,X,X
TLSZIOJ,O,X,O,O,O,O,X,X,X
TLSZJIO,O,X,O,O,X,O,X,X,X
TLSZJOI,O,X,O,O,X,O,X,X,X
TLSZOIJ,O,X,O,O,O,O,X,X,X
