sequence,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeCAJvhFxhBXjBllBu?rBctBTsB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeCAJvhFxhBTjBllBu?rBcsBXtB,v115@9gA8IeA8IeC8AeA8EeE8DeA8Jez/IvhFulBFiBXjB0?mBStBRxB,v115@9gA8IeA8IeC8AeA8EeE8DeA8Jez/IvhFulBfoB6oBl?mBUnBRxB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeCAJvhF0hBxiBllBW?tBzrBXtB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeRAJvhF3hBGlBlnBc?tBzrBCtB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeRAJvhFTjBGlBlmBc?sBXtBCsB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeCAJvhFxhBXjBllBc?tBGsBzrB,v115@9gA8IeA8IeC8AeA8EeE8DeA8Jez/IvhFulBRiBSoBV?sBXtB0rB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeRAJvhFfoB6oBGlBl?mB0sBzrB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeRAJvhFGlBlmBcsBT?oBCsBXtB
TILJSZO,O,O,O,O,X,X,X,O,X,X,X
TILJSOZ,O,O,O,O,X,X,X,X,X,X,X
TILJZSO,O,O,O,O,X,X,X,O,X,X,X
TILJZOS,O,O,O,O,X,X,X,O,X,X,X
TILJOSZ,O,X,O,O,O,X,X,X,X,X,X
TILJOZS,O,O,O,O,O,X,X,O,X,X,X
TILSJZO,O,O,O,O,X,X,X,O,X,X,X
TILSJOZ,O,O,O,O,X,X,X,X,X,X,X
TILSZJO,O,O,O,O,X,X,X,O,X,X,X
TILSZOJ,O,O,O,O,X,X,X,O,X,X,X
TILSOJZ,X,O,O,O,X,X,X,X,X,X,X
TILSOZJ,O,O,O,O,X,X,X,X,X,X,X
TILZJSO,O,O,O,O,X,X,X,O,X,X,X
TILZJOS,O,O,O,O,O,X,X,O,X,X,X
TILZSJO,O,O,O,O,X,X,X,O,X,X,X
TILZSOJ,O,O,O,O,O,X,X,O,X,X,X
TILZOJS,O,X,O,O,O,X,X,X,X,X,X
TILZOSJ,O,O,O,O,O,X,X,O,X,X,X
TILOJSZ,O,X,O,O,O,X,X,X,X,X,X
TILOJZS,O,O,O,O,O,X,X,O,X,X,X
TILOSJZ,X,O,O,O,X,X,X,X,X,X,X
TILOSZJ,O,O,O,O,X,X,X,X,X,X,X
TILOZJS,O,X,O,O,O,X,X,X,X,X,X
TILOZSJ,O,O,O,O,O,X,X,O,X,X,X
TIJLSZO,O,O,O,O,X,X,X,O,X,X,X
TIJLSOZ,O,O,O,O,X,X,X,X,X,X,X
TIJLZSO,O,O,O,O,X,X,O,O,X,O,X
TIJLZOS,O,O,O,O,X,X,X,O,X,X,O
TIJLOSZ,O,X,O,O,O,X,X,X,X,X,X
TIJLOZS,O,O,O,O,O,X,X,O,X,X,X
TIJSLZO,O,O,X,O,X,X,X,O,X,X,X
TIJSLOZ,O,O,X,O,X,X,X,X,X,X,X
TIJSZLO,O,O,X,O,X,X,O,O,X,O,X
TIJSZOL,O,O,X,O,X,X,O,O,X,O,O
TIJSOLZ,O,O,X,O,X,X,X,X,X,X,X
TIJSOZL,O,X,X,O,X,X,X,X,X,X,X
TIJZLSO,O,O,O,O,X,X,O,O,X,O,X
TIJZLOS,O,O,O,O,X,X,X,O,X,X,O
TIJZSLO,O,O,O,O,X,X,O,O,X,O,X
TIJZSOL,O,O,O,O,X,X,O,O,X,O,O
TIJZOLS,O,O,O,O,X,X,X,O,X,X,O
TIJZOSL,O,O,O,O,X,X,O,O,X,O,O
TIJOLSZ,O,X,O,O,O,X,X,X,X,X,X
TIJOLZS,O,O,O,O,O,X,X,O,X,X,X
TIJOSLZ,O,X,X,O,O,X,X,X,X,X,X
TIJOSZL,O,X,X,O,O,X,X,X,X,X,X
TIJOZLS,O,O,O,O,O,X,X,O,X,X,O
TIJOZSL,O,O,O,O,O,X,O,O,X,O,O
TISLJZO,O,O,X,O,X,X,X,O,X,X,X
TISLJOZ,O,O,X,O,X,X,X,X,X,X,X
TISLZJO,O,O,X,O,X,X,X,O,X,X,X
TISLZOJ,O,O,X,O,X,X,X,O,X,X,X
TISLOJZ,X,O,X,O,X,X,X,X,X,X,X
TISLOZJ,O,O,X,O,X,X,X,X,X,X,X
TISJLZO,O,O,X,O,X,X,X,O,X,X,X
TISJLOZ,O,O,X,O,X,X,X,X,X,X,X
TISJZLO,O,O,X,O,X,X,X,O,X,X,X
TISJZOL,O,O,X,O,X,X,X,O,X,X,X
TISJOLZ,O,O,X,O,X,X,X,X,X,X,X
TISJOZL,O,X,X,O,X,X,X,X,X,X,X
TISZLJO,O,O,X,O,X,X,X,O,X,X,X
TISZLOJ,O,O,X,O,X,X,X,O,X,X,X
TISZJLO,O,O,X,O,X,X,X,O,X,X,X
TISZJOL,X,O,X,O,X,X,X,X,X,X,X
TISZOLJ,O,O,X,O,X,X,X,O,X,X,X
TISZOJL,X,O,X,O,X,X,X,X,X,X,X
TISOLJZ,X,O,X,O,X,X,X,X,X,X,X
TISOLZJ,O,O,X,O,X,X,X,X,X,X,X
TISOJLZ,X,O,X,O,X,X,X,X,X,X,X
TISOJZL,X,X,X,O,X,X,X,X,X,X,X
TISOZLJ,O,O,X,O,X,X,X,X,X,X,X
TISOZJL,O,O,X,O,X,X,X,X,X,X,X
TIZLJSO,O,O,O,O,X,X,X,O,X,X,X
TIZLJOS,O,O,O,O,O,X,X,O,X,X,X
TIZLSJO,O,O,O,O,X,X,X,O,X,X,X
TIZLSOJ,O,O,O,O,O,X,X,O,X,X,X
TIZLOJS,O,X,O,O,O,X,X,X,X,X,X
TIZLOSJ,O,O,O,O,O,X,X,O,X,X,X
TIZJLSO,O,O,O,O,X,X,O,O,X,O,X
TIZJLOS,O,O,O,O,O,X,X,O,X,X,O
TIZJSLO,O,O,O,O,X,X,O,O,X,O,X
TIZJSOL,O,O,O,O,X,X,O,O,X,O,O
TIZJOLS,O,O,O,O,X,X,X,O,X,X,O
TIZJOSL,O,O,O,O,X,X,O,O,X,O,O
