sequence,v115@HhA8AeA8GeC8GeD8BeC8Kel/IvhFzgBCiBeoB5oBXn?BUrB,v115@HhA8AeA8GeC8GeD8BeC8Kel/IvhFqlBThBmiB5oB0n?B3rB,v115@HhA8AeA8GeC8GeD8BeC8Kel/IvhFzgBumB3iB5oBys?BUrB,v115@HhA8AeA8GeC8GeD8BeC8Kel/IvhFulBcmBiiB5oBzn?B3rB,v115@HhA8AeA8GeC8GeD8BeC8Kel/IvhFzgBcnBeoB5oBSr?B3rB
TILJSZO,O,O,O,X,O
TILJSOZ,O,O,O,X,O
TILJZSO,O,O,O,X,O
TILJZOS,O,O,O,X,O
TILJOSZ,X,X,X,X,O
TILJOZS,X,O,X,X,O
TILSJZO,X,O,O,O,O
TILSJOZ,X,O,O,X,O
TILSZJO,X,O,O,O,X
TILSZOJ,X,O,O,O,X
TILSOJZ,X,O,O,O,O
TILSOZJ,X,O,O,O,X
TILZJSO,O,O,O,X,O
TILZJOS,O,O,O,X,O
TILZSJO,X,O,O,X,X
TILZSOJ,X,O,O,X,X
TILZOJS,O,O,O,X,O
TILZOSJ,X,O,O,X,X
TILOJSZ,X,X,X,O,O
TILOJZS,X,O,X,X,O
TILOSJZ,X,O,O,O,O
TILOSZJ,X,O,O,O,X
TILOZJS,X,O,O,X,O
TILOZSJ,X,O,O,O,X
TIJLSZO,O,O,O,X,O
TIJLSOZ,O,O,O,X,O
TIJLZSO,O,O,O,X,O
TIJLZOS,O,O,O,X,O
TIJLOSZ,X,X,X,X,O
TIJLOZS,X,O,X,X,O
TIJSLZO,O,O,X,O,O
TIJSLOZ,O,O,X,X,O
TIJSZLO,O,O,X,O,O
TIJSZOL,O,O,X,O,X
TIJSOLZ,O,X,X,O,X
TIJSOZL,O,X,X,O,X
TIJZLSO,O,O,O,X,O
TIJZLOS,O,O,O,X,O
TIJZSLO,O,O,O,X,O
TIJZSOL,O,O,O,X,X
TIJZOLS,O,O,O,X,O
TIJZOSL,O,O,O,X,X
TIJOLSZ,X,X,X,O,O
TIJOLZS,X,X,X,X,O
TIJOSLZ,O,X,X,O,X
TIJOSZL,O,X,X,O,X
TIJOZLS,O,X,X,X,O
TIJOZSL,O,X,X,X,X
TISLJZO,O,O,O,O,O
TISLJOZ,O,O,O,X,O
TISLZJO,O,O,O,O,X
TISLZOJ,O,O,O,O,X
TISLOJZ,X,O,O,O,O
TISLOZJ,X,O,O,O,X
TISJLZO,O,O,X,O,O
TISJLOZ,O,O,X,X,O
TISJZLO,O,O,X,O,O
TISJZOL,O,O,X,O,X
TISJOLZ,O,X,X,O,X
TISJOZL,O,X,X,O,X
TISZLJO,O,O,O,O,X
TISZLOJ,O,O,O,O,X
TISZJLO,O,O,O,O,X
TISZJOL,O,O,O,O,X
TISZOLJ,O,O,O,O,X
TISZOJL,O,O,O,O,X
TISOLJZ,X,O,X,O,X
TISOLZJ,X,O,X,O,X
TISOJLZ,X,X,X,O,X
TISOJZL,X,X,X,O,X
TISOZLJ,X,O,X,O,X
TISOZJL,X,O,X,O,X
TIZLJSO,O,O,O,X,O
TIZLJOS,O,O,O,X,O
TIZLSJO,X,O,O,X,X
