sequence,v115@GhA8IeA8EeC8AeB8DeE8JeT/IvhF/lBUhBRiBmnBlp?ByvB,v115@GhA8IeA8EeC8AeB8DeE8JeT/IvhFUiBaoBxlBlpB3q?BmqB,v115@GhA8IeA8EeC8AeB8DeE8JeOEJvhFlgBUiBaoBzkBXm?BRvB,v115@GhA8IeA8EeC8AeB8DeE8Jex/IvhFXhBVnBaoBmkB0p?BzqB,v115@GhA8IeA8EeC8AeB8DeE8Jel/IvhFUhBRiB/pBTlBmn?ByvB
TILJSZO,O,X,O,X,X
TILJSOZ,O,X,O,X,X
TILJZSO,O,X,O,X,X
TILJZOS,O,O,O,X,X
TILJOSZ,O,X,O,X,X
TILJOZS,O,O,O,X,X
TILSJZO,O,O,O,O,X
TILSJOZ,O,O,O,O,X
TILSZJO,O,O,O,O,X
TILSZOJ,O,O,O,O,X
TILSOJZ,O,O,O,O,X
TILSOZJ,O,O,O,O,X
TILZJSO,X,X,O,O,X
TILZJOS,X,O,O,O,X
TILZSJO,X,O,O,O,X
TILZSOJ,X,O,O,O,X
TILZOJS,X,O,O,O,X
TILZOSJ,X,O,O,O,X
TILOJSZ,O,X,O,X,X
TILOJZS,O,O,O,X,X
TILOSJZ,O,O,O,O,X
TILOSZJ,O,O,O,O,X
TILOZJS,X,O,O,O,X
TILOZSJ,X,O,O,O,X
TIJLSZO,O,X,O,X,X
TIJLSOZ,O,X,O,X,X
TIJLZSO,O,X,O,X,X
TIJLZOS,O,O,O,X,X
TIJLOSZ,O,X,O,X,X
TIJLOZS,O,O,O,X,X
TIJSLZO,O,X,O,X,X
TIJSLOZ,O,X,O,X,X
TIJSZLO,O,X,O,X,X
TIJSZOL,O,X,O,X,X
TIJSOLZ,O,X,O,X,X
TIJSOZL,O,X,O,X,X
TIJZLSO,O,X,O,X,X
TIJZLOS,O,O,O,X,X
TIJZSLO,O,X,O,X,X
TIJZSOL,O,X,O,X,X
TIJZOLS,O,O,O,X,X
TIJZOSL,O,X,O,X,X
TIJOLSZ,O,X,O,X,X
TIJOLZS,O,O,O,X,X
TIJOSLZ,O,X,O,X,X
TIJOSZL,O,X,O,X,X
TIJOZLS,O,O,O,X,X
TIJOZSL,O,X,O,X,X
TISLJZO,X,O,O,O,X
TISLJOZ,X,O,O,O,X
TISLZJO,X,O,O,O,X
TISLZOJ,X,O,O,O,X
TISLOJZ,X,O,O,O,X
TISLOZJ,X,O,O,O,X
TISJLZO,O,O,O,O,X
TISJLOZ,O,O,O,O,X
TISJZLO,O,O,O,X,X
TISJZOL,O,O,O,X,X
TISJOLZ,O,O,O,X,X
TISJOZL,O,O,O,X,X
TISZLJO,X,O,O,O,X
TISZLOJ,O,O,O,O,X
TISZJLO,O,O,O,O,X
TISZJOL,O,O,O,O,X
TISZOLJ,O,O,O,O,X
TISZOJL,O,O,O,X,X
TISOLJZ,X,O,O,O,X
TISOLZJ,X,O,O,O,X
TISOJLZ,O,O,O,O,X
TISOJZL,O,O,O,X,X
TISOZLJ,O,O,O,O,X
TISOZJL,O,O,O,O,X
TIZLJSO,X,X,O,O,X
TIZLJOS,X,O,O,O,X
TIZLSJO,X,O,O,O,X
TIZLSOJ,X,O,O,O,X
TIZLOJS,X,O,O,O,X
TIZLOSJ,X,O,O,O,X
TIZJLSO,X,X,O,O,X
TIZJLOS,X,O,O,O,X
TIZJSLO,X,X,O,O,X
TIZJSOL,X,X,O,O,X
TIZJOLS,X,O,O,O,X
TIZJOSL,X,X,O,O,X
TIZSLJO,X,O,O,O,X
TIZSLOJ,X,O,O,O,X
TIZSJLO,X,O,O,O,X
TIZSJOL,X,O,O,O,X
TIZSOLJ,X,O,O,O,X
TIZSOJL,X,O,O,X,X
TIZOLJS,X,O,O,O,X
TIZOLSJ,X,O,O,O,X
TIZOJLS,X,O,O,O,X
TIZOJSL,X,X,O,O,X
TIZOSLJ,X,O,O,O,X
TIZOSJL,X,O,O,O,X
TIOLJSZ,O,X,O,X,X
TIOLJZS,O,O,O,X,X
TIOLSJZ,O,O,O,O,X
TIOLSZJ,O,O,O,O,X
TIOLZJS,X,O,O,O,X
TIOLZSJ,X,O,O,O,X
TIOJLSZ,O,X,O,X,X
TIOJLZS,O,O,O,X,X
TIOJSLZ,O,X,O,X,X
TIOJSZL,O,X,O,X,X
TIOJZLS,O,O,O,X,X
TIOJZSL,O,X,O,X,X
TIOSLJZ,X,O,O,O,X
TIOSLZJ,X,O,O,O,X
TIOSJLZ,O,O,O,O,X
TIOSJZL,O,O,O,X,X
TIOSZLJ,O,O,O,O,X
TIOSZJL,O,O,O,O,X
TIOZLJS,X,O,O,O,X
TIOZLSJ,X,O,O,O,X
TIOZJLS,X,O,O,O,X
TIOZJSL,X,X,O,O,X
TIOZSLJ,X,O,O,O,X
TIOZSJL,X,O,O,O,X
TLIJSZO,O,X,O,X,X
TLIJSOZ,O,X,O,X,X
TLIJZSO,O,X,O,X,X
TLIJZOS,O,O,O,X,X
TLIJOSZ,O,X,O,X,X
TLIJOZS,O,O,O,X,X
TLISJZO,O,O,O,O,X
TLISJOZ,O,O,O,O,X
TLISZJO,O,O,O,O,X
TLISZOJ,O,O,O,O,X
TLISOJZ,O,O,O,O,X
TLISOZJ,O,O,O,O,X
TLIZJSO,X,X,O,O,X
TLIZJOS,X,O,O,O,X
TLIZSJO,X,O,O,O,X
TLIZSOJ,X,O,O,O,X
TLIZOJS,X,O,O,O,X
TLIZOSJ,X,O,O,O,X
TLIOJSZ,O,X,O,X,X
TLIOJZS,O,O,O,X,X
TLIOSJZ,O,O,O,O,X
TLIOSZJ,O,O,O,O,X
TLIOZJS,X,O,O,O,X
TLIOZSJ,X,O,O,O,X
TLJISZO,O,X,O,X,O
TLJISOZ,O,X,O,X,O
TLJIZSO,O,X,O,X,O
TLJIZOS,O,O,O,X,O
TLJIOSZ,O,X,O,X,O
TLJIOZS,O,O,O,X,O
TLJSIZO,O,O,O,O,O
TLJSIOZ,O,O,X,O,O
TLJSZIO,O,O,O,O,O
TLJSZOI,O,O,O,O,O
TLJSOIZ,O,O,X,O,O
TLJSOZI,O,O,O,O,O
TLJZISO,O,X,O,O,O
TLJZIOS,O,O,O,O,O
TLJZSIO,O,O,O,O,O
TLJZSOI,O,O,O,O,O
TLJZOIS,O,O,X,O,O
TLJZOSI,O,O,X,O,O
TLJOISZ,O,X,X,X,O
TLJOIZS,O,O,X,X,O
TLJOSIZ,O,O,X,O,O
TLJOSZI,O,O,X,O,O
TLJOZIS,O,O,X,O,O
TLJOZSI,O,O,X,O,O
TLSIJZO,O,O,O,O,O
TLSIJOZ,O,O,O,O,O
TLSIZJO,O,O,O,O,O
TLSIZOJ,O,O,O,O,O
TLSIOJZ,O,O,O,O,X
TLSIOZJ,O,O,O,O,X
TLSJIZO,O,O,O,O,O
TLSJIOZ,O,O,O,O,O
TLSJZIO,O,O,O,O,O
TLSJZOI,O,O,O,O,O
TLSJOIZ,O,O,X,O,O
TLSJOZI,O,O,O,O,O
TLSZIJO,O,O,O,O,O
TLSZIOJ,O,O,O,O,O
TLSZJIO,O,O,O,O,O
TLSZJOI,O,O,O,O,O
TLSZOIJ,O,O,O,O,O
TLSZOJI,O,O,O,O,O
TLSOIJZ,O,O,O,O,O
TLSOIZJ,O,O,O,O,O
TLSOJIZ,O,O,X,O,O
TLSOJZI,O,O,O,O,O
TLSOZIJ,O,O,O,O,O
TLSOZJI,O,O,O,O,O
TLZIJSO,X,X,O,O,X
TLZIJOS,X,O,O,O,X
TLZISJO,O,O,O,O,O
