sequence,v115@ThB8AeA8DeI8KeKEJvhFzfBfmBlhBcnBeoB5oB,v115@ThB8AeA8DeI8KeOEJvhF8kBfmBlhBaoB5oBTsB,v115@ThB8AeA8DeI8Kem/IvhFfmB0hBliB5oBTpByxB,v115@ThB8AeA8DeI8KeKEJvhFzfBfmB0hBmiB5oB1xB,v115@ThB8AeA8DeI8Kem/IvhFRhBcnBTkBFmB6tBXtB,v115@ThB8AeA8DeI8Kex/IvhFlhBcnBTkBmlB6tBXtB
TILJSZO,X,X,X,O,X,X
TILJSOZ,X,X,X,O,X,X
TILJZSO,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,X
TILJOSZ,X,X,X,O,X,X
TILJOZS,X,X,X,X,X,X
TILSJZO,X,X,X,O,X,X
TILSJOZ,X,X,X,O,X,X
TILSZJO,X,X,X,O,X,X
TILSZOJ,X,X,X,O,X,X
TILSOJZ,X,X,X,O,X,X
TILSOZJ,X,X,X,O,X,X
TILZJSO,X,X,X,X,X,X
TILZJOS,X,X,X,X,X,X
TILZSJO,X,X,X,X,X,X
TILZSOJ,X,X,X,X,X,X
TILZOJS,X,X,X,X,O,X
TILZOSJ,X,X,X,X,X,X
TILOJSZ,X,X,X,O,X,X
TILOJZS,X,X,X,X,O,X
TILOSJZ,X,X,X,O,X,X
TILOSZJ,X,X,X,O,X,X
TILOZJS,X,X,X,X,O,X
TILOZSJ,X,X,X,X,X,X
TIJLSZO,X,X,X,O,X,X
TIJLSOZ,X,X,X,O,X,X
TIJLZSO,X,X,X,X,X,X
TIJLZOS,X,X,X,X,X,X
TIJLOSZ,X,X,X,O,X,X
TIJLOZS,X,X,X,X,X,X
TIJSLZO,X,X,X,O,X,X
TIJSLOZ,X,X,X,O,X,X
TIJSZLO,X,X,X,O,X,X
TIJSZOL,X,X,X,X,X,X
TIJSOLZ,X,X,X,X,X,X
TIJSOZL,X,X,X,X,X,X
TIJZLSO,X,X,X,X,X,X
TIJZLOS,X,X,X,X,X,X
TIJZSLO,X,X,X,X,X,X
TIJZSOL,X,X,X,X,X,X
TIJZOLS,X,X,X,X,X,X
TIJZOSL,X,X,X,X,X,X
TIJOLSZ,X,X,X,X,X,X
TIJOLZS,X,X,X,X,X,X
TIJOSLZ,X,X,X,X,X,X
TIJOSZL,X,X,X,X,X,X
TIJOZLS,X,X,X,X,X,X
TIJOZSL,X,X,X,X,X,X
TISLJZO,X,X,X,O,X,X
TISLJOZ,X,X,X,O,X,X
TISLZJO,X,X,X,O,X,X
TISLZOJ,X,X,X,O,X,X
TISLOJZ,X,X,X,O,X,X
TISLOZJ,X,X,X,O,X,X
TISJLZO,X,X,X,O,X,X
TISJLOZ,X,X,X,O,X,X
TISJZLO,X,X,X,O,X,X
TISJZOL,X,X,X,X,X,X
TISJOLZ,X,X,X,X,X,X
TISJOZL,X,X,X,X,X,X
TISZLJO,X,X,X,O,X,X
TISZLOJ,X,X,X,O,X,X
TISZJLO,X,X,X,O,X,X
TISZJOL,X,X,X,X,X,X
TISZOLJ,X,X,X,X,X,X
TISZOJL,X,X,X,X,X,X
TISOLJZ,X,X,X,X,X,X
TISOLZJ,X,X,X,X,X,X
TISOJLZ,X,X,X,X,X,X
TISOJZL,X,X,X,X,X,X
TISOZLJ,X,X,X,X,X,X
TISOZJL,X,X,X,X,X,X
TIZLJSO,X,X,X,X,X,X
TIZLJOS,X,X,X,X,X,X
TIZLSJO,X,X,X,X,X,X
TIZLSOJ,X,X,X,X,X,X
TIZLOJS,X,X,X,X,O,X
TIZLOSJ,X,X,X,X,X,X
TIZJLSO,X,X,X,X,X,X
TIZJLOS,X,X,X,X,X,X
TIZJSLO,X,X,X,X,X,X
TIZJSOL,X,X,X,X,X,X
TIZJOLS,X,X,X,X,X,X
TIZJOSL,X,X,X,X,X,X
TIZSLJO,X,X,X,X,X,X
TIZSLOJ,X,X,X,X,X,X
TIZSJLO,X,X,X,X,X,X
TIZSJOL,X,X,X,X,X,X
TIZSOLJ,X,X,X,X,X,X
TIZSOJL,X,X,X,X,X,X
TIZOLJS,X,X,X,X,O,X
TIZOLSJ,X,X,X,X,X,X
TIZOJLS,X,X,X,X,O,X
TIZOJSL,X,X,X,X,X,X
TIZOSLJ,X,X,X,X,X,X
TIZOSJL,X,X,X,X,X,X
TIOLJSZ,X,X,X,X,X,X
TIOLJZS,X,X,X,X,O,X
TIOLSJZ,X,X,X,X,X,X
TIOLSZJ,X,X,X,X,X,X
TIOLZJS,X,X,X,X,O,X
TIOLZSJ,X,X,X,X,X,X
TIOJLSZ,X,X,X,X,X,X
TIOJLZS,X,X,X,X,O,X
TIOJSLZ,X,X,X,X,X,X
TIOJSZL,X,X,X,X,X,X
TIOJZLS,X,X,X,X,O,X
TIOJZSL,X,X,X,X,X,X
TIOSLJZ,X,X,X,X,X,X
TIOSLZJ,X,X,X,X,X,X
TIOSJLZ,X,X,X,X,X,X
TIOSJZL,X,X,X,X,X,X
TIOSZLJ,X,X,X,X,X,X
TIOSZJL,X,X,X,X,X,X
TIOZLJS,X,X,X,X,O,X
TIOZLSJ,X,X,X,X,X,X
TIOZJLS,X,X,X,X,O,X
TIOZJSL,X,X,X,X,X,X
TIOZSLJ,X,X,X,X,X,X
TIOZSJL,X,X,X,X,X,X
TLIJSZO,X,X,X,O,X,X
TLIJSOZ,X,X,X,O,X,X
TLIJZSO,X,X,X,X,X,X
TLIJZOS,X,X,X,X,X,X
TLIJOSZ,X,X,X,O,X,X
TLIJOZS,X,X,X,X,X,X
TLISJZO,X,X,X,O,X,X
TLISJOZ,X,X,X,O,X,X
TLISZJO,X,X,X,O,X,X
TLISZOJ,X,X,X,O,X,X
TLISOJZ,X,X,X,O,X,X
TLISOZJ,X,X,X,O,X,X
TLIZJSO,X,X,X,X,X,X
TLIZJOS,X,X,X,X,X,X
TLIZSJO,X,X,X,X,X,X
TLIZSOJ,X,X,X,X,X,X
TLIZOJS,X,X,X,X,O,X
TLIZOSJ,X,X,X,X,X,X
TLIOJSZ,X,X,X,O,X,X
TLIOJZS,X,X,X,X,O,X
TLIOSJZ,X,X,X,O,X,X
TLIOSZJ,X,X,X,O,X,X
TLIOZJS,X,X,X,X,O,X
TLIOZSJ,X,X,X,X,X,X
TLJISZO,X,X,X,O,X,X
TLJISOZ,X,X,X,O,X,X
TLJIZSO,X,X,X,X,X,X
TLJIZOS,X,X,X,X,X,X
TLJIOSZ,X,X,X,O,X,X
TLJIOZS,X,X,X,X,X,X
TLJSIZO,X,X,X,O,X,X
TLJSIOZ,X,X,X,O,X,X
TLJSZIO,X,X,X,O,X,X
TLJSZOI,X,X,X,O,X,X
TLJSOIZ,X,X,X,O,X,X
TLJSOZI,X,X,X,O,X,X
TLJZISO,X,X,X,X,X,X
TLJZIOS,X,X,X,X,X,X
TLJZSIO,X,X,X,X,X,X
TLJZSOI,X,X,X,X,X,X
TLJZOIS,X,X,X,X,X,O
TLJZOSI,X,X,X,X,X,O
TLJOISZ,X,X,X,O,X,X
TLJOIZS,X,X,X,X,X,O
TLJOSIZ,X,X,X,O,X,X
TLJOSZI,X,X,X,O,X,X
TLJOZIS,X,X,X,X,X,O
TLJOZSI,X,X,X,X,X,O
TLSIJZO,X,X,X,O,X,X
TLSIJOZ,X,X,X,O,X,X
TLSIZJO,X,X,X,O,X,X
TLSIZOJ,X,X,X,O,X,X
TLSIOJZ,X,X,X,O,X,X
TLSIOZJ,X,X,X,O,X,X
TLSJIZO,X,X,X,O,X,X
TLSJIOZ,X,X,X,O,X,X
TLSJZIO,X,X,X,O,X,X
TLSJZOI,X,X,X,O,X,X
TLSJOIZ,X,X,X,O,X,X
TLSJOZI,X,X,X,O,X,X
TLSZIJO,X,X,X,O,X,X
TLSZIOJ,X,X,X,O,X,X
TLSZJIO,X,X,X,O,X,X
TLSZJOI,X,X,X,O,X,X
TLSZOIJ,X,X,X,O,X,X
TLSZOJI,X,X,X,O,X,X
TLSOIJZ,X,X,X,O,X,X
TLSOIZJ,X,X,X,O,X,X
TLSOJIZ,X,X,X,O,X,X
TLSOJZI,X,X,X,O,X,X
TLSOZIJ,X,X,X,O,X,X
TLSOZJI,X,X,X,O,X,X
TLZIJSO,X,X,X,X,X,X
TLZIJOS,X,X,X,X,X,X
TLZISJO,X,X,X,X,X,X
TLZISOJ,X,X,X,X,X,X
TLZIOJS,X,X,X,X,O,X
TLZIOSJ,X,X,X,X,X,X
TLZJISO,X,X,X,X,X,X
TLZJIOS,X,X,X,X,X,X
TLZJSIO,X,X,X,X,X,X
TLZJSOI,X,X,X,X,X,X
TLZJOIS,X,X,X,X,X,O
TLZJOSI,X,X,X,X,X,O
TLZSIJO,X,X,X,X,X,X
TLZSIOJ,X,X,X,X,X,X
TLZSJIO,X,X,X,X,X,X
TLZSJOI,X,X,X,X,X,X
TLZSOIJ,X,X,X,X,X,X
TLZSOJI,X,X,X,X,X,X
TLZOIJS,X,X,X,X,O,X
TLZOISJ,X,X,X,X,X,X
TLZOJIS,X,X,X,X,O,X
TLZOJSI,X,X,X,X,O,X
TLZOSIJ,X,X,X,X,X,X
TLZOSJI,X,X,X,X,X,X
TLOIJSZ,X,X,X,O,X,X
TLOIJZS,X,X,X,X,O,X
TLOISJZ,X,X,X,O,X,X
TLOISZJ,X,X,X,O,X,X
TLOIZJS,X,X,X,X,O,X
TLOIZSJ,X,X,X,X,X,X
TLOJISZ,X,X,X,O,X,X
TLOJIZS,X,X,X,X,O,X
TLOJSIZ,X,X,X,O,X,X
TLOJSZI,X,X,X,O,X,X
TLOJZIS,X,X,X,X,O,X
