sequence,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeT/IvhFxgBmiBilBF?nB0pB3sB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jei/IvhFRhBziBFlBm?mB0pB3sB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFXhBVnBaoBm?kB0pBTsB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeOEJvhFVlBUhBRiBi?nBzpB3sB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeUBJvhFRiB/pBFlBK?sBznBmpB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFXhBTkBeqBF?nB8sBisB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeUBJvhFanBziBxkBl?pB3sBmpB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFXhBliBTkBe?qBysBUsB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFVmBikBmnB3?nBzpBUsB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JexAJvhFmiBTkBilBF?nB3sB0pB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jei/IvhFRhBFlBmmBz?nB0pB3sB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeT/IvhFOlBXhBRnB0?pBisBlsB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFXhBeoBypBF?nB0pBTsB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeKEJvhFUhBRiBFlB2?sB3sBzpB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeUBJvhFRiB/pBFlBy?sBTsBmpB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFXhB2pBFnB8?sBzpBisB
TILJSZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILJZSO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJOSZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILJOZS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILSJZO,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TILSJOZ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILSZJO,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TILSZOJ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TILSOJZ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILSOZJ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZJSO,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZJOS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZSJO,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZSOJ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZOJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZOSJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILOJSZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOJZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOSJZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOSZJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJLZSO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJLOZS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJSLZO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJSLOZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJSZLO,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJSZOL,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJSOLZ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJSOZL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJZLSO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
