sequence,v115@IhA8GeA8AeA8DeD8AeA8DeD8JeZEJvhFalBzgBUiBF?jB+rB3qB,v115@IhA8GeA8AeA8DeD8AeA8DeD8JeZEJvhFalBUhBFiBX?jB+qBTrB,v115@IhA8GeA8AeA8DeD8AeA8DeD8JeZEJvhFUgBamBFiBX?jB+rBTqB
TILJSZO,O,O,O
TILJSOZ,O,O,O
TILJZSO,O,O,O
TILJZOS,O,O,O
TILJOSZ,O,O,O
TILJOZS,O,O,O
TILSJZO,O,O,O
TILSJOZ,O,O,O
TILSZJO,O,O,X
TILSZOJ,O,O,X
TILSOJZ,O,O,X
TILSOZJ,O,O,X
TILZJSO,O,O,X
TILZJOS,O,O,X
TILZSJO,O,O,X
TILZSOJ,O,O,X
TILZOJS,O,O,X
TILZOSJ,X,O,X
TILOJSZ,O,O,X
TILOJZS,O,O,X
TILOSJZ,O,O,X
TILOSZJ,O,O,X
TILOZJS,O,O,X
TILOZSJ,X,O,X
TIJLSZO,O,O,O
TIJLSOZ,O,O,O
TIJLZSO,O,O,O
TIJLZOS,O,O,O
TIJLOSZ,O,O,O
TIJLOZS,O,O,O
TIJSLZO,O,O,O
TIJSLOZ,O,O,O
TIJSZLO,O,O,O
TIJSZOL,O,O,O
TIJSOLZ,O,O,O
TIJSOZL,O,O,O
TIJZLSO,O,O,O
TIJZLOS,O,O,O
TIJZSLO,O,O,O
TIJZSOL,O,O,O
TIJZOLS,O,O,O
TIJZOSL,O,O,O
TIJOLSZ,O,O,O
TIJOLZS,O,O,O
TIJOSLZ,O,O,O
TIJOSZL,O,O,O
TIJOZLS,O,O,O
TIJOZSL,O,O,O
TISLJZO,O,O,O
TISLJOZ,O,O,O
TISLZJO,O,O,X
TISLZOJ,O,O,X
TISLOJZ,O,O,X
TISLOZJ,O,O,X
TISJLZO,O,O,O
TISJLOZ,O,O,O
TISJZLO,O,O,O
TISJZOL,O,O,O
TISJOLZ,O,O,O
TISJOZL,O,O,O
TISZLJO,O,O,O
TISZLOJ,O,O,X
TISZJLO,O,O,O
TISZJOL,O,O,O
TISZOLJ,O,O,O
TISZOJL,O,O,O
TISOLJZ,O,O,X
TISOLZJ,O,O,X
TISOJLZ,O,O,O
TISOJZL,O,O,O
TISOZLJ,O,O,O
TISOZJL,O,O,O
TIZLJSO,O,O,O
TIZLJOS,O,O,O
TIZLSJO,O,O,O
TIZLSOJ,O,O,X
TIZLOJS,O,O,X
TIZLOSJ,X,O,X
TIZJLSO,O,O,O
TIZJLOS,O,O,O
TIZJSLO,O,O,O
TIZJSOL,O,O,O
TIZJOLS,O,O,O
TIZJOSL,O,O,O
TIZSLJO,O,O,O
TIZSLOJ,O,O,X
TIZSJLO,O,O,O
TIZSJOL,O,O,O
TIZSOLJ,O,O,O
TIZSOJL,O,O,O
TIZOLJS,O,O,O
TIZOLSJ,X,O,O
TIZOJLS,O,O,O
TIZOJSL,O,O,O
TIZOSLJ,X,O,O
TIZOSJL,X,O,O
TIOLJSZ,O,O,X
TIOLJZS,O,O,X
TIOLSJZ,O,O,X
TIOLSZJ,O,O,X
TIOLZJS,O,O,X
TIOLZSJ,X,O,X
TIOJLSZ,O,O,O
TIOJLZS,O,O,O
TIOJSLZ,O,O,O
TIOJSZL,O,O,O
TIOJZLS,O,O,O
TIOJZSL,O,O,O
TIOSLJZ,O,O,X
TIOSLZJ,O,O,X
TIOSJLZ,O,O,O
TIOSJZL,O,O,O
TIOSZLJ,O,O,O
TIOSZJL,O,O,O
TIOZLJS,O,O,O
TIOZLSJ,X,O,O
TIOZJLS,O,O,O
TIOZJSL,O,O,O
TIOZSLJ,X,O,O
TIOZSJL,X,O,O
TLIJSZO,O,O,O
TLIJSOZ,O,O,O
TLIJZSO,O,O,O
TLIJZOS,O,O,O
TLIJOSZ,O,O,O
TLIJOZS,O,O,O
TLISJZO,O,O,O
TLISJOZ,O,O,O
TLISZJO,O,O,X
TLISZOJ,O,O,X
TLISOJZ,O,O,X
TLISOZJ,O,O,X
TLIZJSO,O,O,X
TLIZJOS,O,O,X
TLIZSJO,O,O,X
TLIZSOJ,O,O,X
TLIZOJS,O,O,X
TLIZOSJ,X,O,X
TLIOJSZ,O,O,X
TLIOJZS,O,O,X
TLIOSJZ,O,O,X
TLIOSZJ,O,O,X
TLIOZJS,O,O,X
TLIOZSJ,X,O,X
TLJISZO,O,O,O
TLJISOZ,O,O,O
TLJIZSO,O,O,O
TLJIZOS,O,O,O
TLJIOSZ,O,O,O
TLJIOZS,O,O,O
TLJSIZO,O,O,O
TLJSIOZ,O,O,O
TLJSZIO,O,O,O
TLJSZOI,O,O,O
TLJSOIZ,O,O,O
TLJSOZI,O,O,O
TLJZISO,O,O,O
TLJZIOS,O,O,O
TLJZSIO,O,O,O
TLJZSOI,O,O,O
TLJZOIS,O,O,O
TLJZOSI,O,O,O
TLJOISZ,O,O,O
TLJOIZS,O,O,O
TLJOSIZ,O,O,O
TLJOSZI,O,O,O
TLJOZIS,O,O,O
TLJOZSI,O,O,O
TLSIJZO,O,O,O
TLSIJOZ,O,O,O
TLSIZJO,O,O,X
TLSIZOJ,O,O,X
TLSIOJZ,O,O,X
TLSIOZJ,O,O,X
TLSJIZO,O,O,O
TLSJIOZ,O,O,O
TLSJZIO,O,O,O
TLSJZOI,O,O,O
TLSJOIZ,O,O,O
TLSJOZI,O,O,O
TLSZIJO,O,O,X
TLSZIOJ,O,O,X
TLSZJIO,O,O,X
TLSZJOI,O,O,X
TLSZOIJ,O,O,X
TLSZOJI,O,O,X
TLSOIJZ,O,O,X
TLSOIZJ,O,O,X
TLSOJIZ,O,O,X
TLSOJZI,O,O,X
TLSOZIJ,O,O,X
TLSOZJI,O,O,X
TLZIJSO,O,O,X
TLZIJOS,O,O,X
TLZISJO,O,O,X
TLZISOJ,O,O,X
TLZIOJS,O,O,X
TLZIOSJ,X,O,X
TLZJISO,O,O,X
TLZJIOS,O,O,X
TLZJSIO,O,O,X
TLZJSOI,O,O,X
TLZJOIS,O,O,X
TLZJOSI,O,O,X
TLZSIJO,O,O,X
TLZSIOJ,O,O,X
TLZSJIO,O,O,X
TLZSJOI,O,O,X
TLZSOIJ,O,O,X
TLZSOJI,O,O,X
TLZOIJS,O,O,X
TLZOISJ,X,O,X
TLZOJIS,O,O,X
TLZOJSI,O,O,X
TLZOSIJ,X,O,X
TLZOSJI,X,O,X
TLOIJSZ,O,O,X
TLOIJZS,O,O,X
TLOISJZ,O,O,X
TLOISZJ,O,O,X
TLOIZJS,O,O,X
TLOIZSJ,X,O,X
TLOJISZ,O,O,X
TLOJIZS,O,O,X
TLOJSIZ,O,O,X
TLOJSZI,O,O,X
TLOJZIS,O,O,X
TLOJZSI,O,O,X
TLOSIJZ,O,O,X
TLOSIZJ,O,O,X
TLOSJIZ,O,O,X
TLOSJZI,O,O,X
