sequence,v115@MhA8IeB8BeA8AeG8AeA8JeZEJvhFUgBamBFiBTjBWq?BftB,v115@MhA8IeB8BeA8AeG8AeA8JeZEJvhFqkBmgBFiBTjB0l?BftB,v115@MhA8IeB8BeA8AeG8AeA8JeZEJvhFukBamBUiBTlBXo?BFtB
TILJSZO,O,O,X
TILJSOZ,O,O,X
TILJZSO,O,O,X
TILJZOS,O,O,X
TILJOSZ,O,X,X
TILJOZS,O,X,X
TILSJZO,O,O,X
TILSJOZ,O,O,X
TILSZJO,O,O,X
TILSZOJ,O,O,O
TILSOJZ,O,O,O
TILSOZJ,O,O,O
TILZJSO,O,O,X
TILZJOS,O,O,X
TILZSJO,O,O,X
TILZSOJ,O,O,O
TILZOJS,X,O,O
TILZOSJ,X,O,O
TILOJSZ,O,X,O
TILOJZS,O,X,O
TILOSJZ,O,O,O
TILOSZJ,O,O,O
TILOZJS,X,O,O
TILOZSJ,X,O,O
TIJLSZO,O,O,X
TIJLSOZ,O,O,X
TIJLZSO,O,O,X
TIJLZOS,O,O,X
TIJLOSZ,O,X,X
TIJLOZS,O,X,X
TIJSLZO,O,O,X
TIJSLOZ,O,O,X
TIJSZLO,O,X,X
TIJSZOL,O,X,O
TIJSOLZ,O,O,O
TIJSOZL,O,X,O
TIJZLSO,O,X,X
TIJZLOS,O,X,X
TIJZSLO,O,X,X
TIJZSOL,O,X,O
TIJZOLS,O,X,O
TIJZOSL,O,X,O
TIJOLSZ,O,X,O
TIJOLZS,O,X,O
TIJOSLZ,O,X,O
TIJOSZL,O,X,O
TIJOZLS,O,X,O
TIJOZSL,O,X,O
TISLJZO,O,O,X
TISLJOZ,O,O,X
TISLZJO,O,O,X
TISLZOJ,O,O,O
TISLOJZ,O,O,O
TISLOZJ,O,O,O
TISJLZO,O,O,X
TISJLOZ,O,O,X
TISJZLO,O,X,X
TISJZOL,O,X,O
TISJOLZ,O,O,O
TISJOZL,O,X,O
TISZLJO,O,O,X
TISZLOJ,O,O,O
TISZJLO,O,O,X
TISZJOL,O,O,O
TISZOLJ,O,O,O
TISZOJL,O,O,O
TISOLJZ,O,O,O
TISOLZJ,O,O,O
TISOJLZ,O,O,O
TISOJZL,O,X,O
TISOZLJ,O,O,O
TISOZJL,O,O,O
TIZLJSO,O,O,X
TIZLJOS,O,O,X
TIZLSJO,O,O,X
TIZLSOJ,O,O,O
TIZLOJS,X,O,O
TIZLOSJ,X,O,O
TIZJLSO,O,O,X
TIZJLOS,O,O,X
TIZJSLO,O,O,X
TIZJSOL,O,O,O
TIZJOLS,O,X,O
TIZJOSL,O,X,O
TIZSLJO,O,O,X
TIZSLOJ,O,O,O
TIZSJLO,O,O,X
TIZSJOL,O,O,O
TIZSOLJ,O,O,O
TIZSOJL,O,O,O
TIZOLJS,X,X,O
TIZOLSJ,X,X,O
TIZOJLS,X,X,O
TIZOJSL,X,X,O
TIZOSLJ,X,X,O
TIZOSJL,X,X,O
TIOLJSZ,O,X,O
TIOLJZS,O,X,O
TIOLSJZ,O,O,O
TIOLSZJ,O,O,O
TIOLZJS,X,O,O
TIOLZSJ,X,O,O
TIOJLSZ,O,X,O
TIOJLZS,O,X,O
TIOJSLZ,O,X,O
TIOJSZL,O,X,O
TIOJZLS,O,X,O
TIOJZSL,O,X,O
TIOSLJZ,O,O,O
TIOSLZJ,O,O,O
TIOSJLZ,O,O,O
TIOSJZL,O,X,O
TIOSZLJ,O,O,O
TIOSZJL,O,X,O
TIOZLJS,X,X,O
TIOZLSJ,X,X,O
TIOZJLS,X,X,O
TIOZJSL,X,X,O
TIOZSLJ,X,X,O
TIOZSJL,X,X,O
TLIJSZO,O,O,X
TLIJSOZ,O,O,X
TLIJZSO,O,O,X
TLIJZOS,O,O,X
TLIJOSZ,O,X,X
TLIJOZS,O,X,X
TLISJZO,O,O,X
TLISJOZ,O,O,X
TLISZJO,O,O,X
TLISZOJ,O,O,O
TLISOJZ,O,O,O
TLISOZJ,O,O,O
TLIZJSO,O,O,X
TLIZJOS,O,O,X
TLIZSJO,O,O,X
TLIZSOJ,O,O,O
TLIZOJS,X,O,O
TLIZOSJ,X,O,O
TLIOJSZ,O,X,O
TLIOJZS,O,X,O
TLIOSJZ,O,O,O
TLIOSZJ,O,O,O
TLIOZJS,X,O,O
TLIOZSJ,X,O,O
TLJISZO,O,O,X
TLJISOZ,O,O,X
TLJIZSO,O,O,X
TLJIZOS,O,O,X
TLJIOSZ,O,X,X
TLJIOZS,O,X,X
TLJSIZO,O,O,X
TLJSIOZ,O,O,X
TLJSZIO,O,O,X
TLJSZOI,O,O,X
TLJSOIZ,O,O,X
TLJSOZI,O,O,X
TLJZISO,O,O,X
TLJZIOS,O,O,X
TLJZSIO,O,O,X
TLJZSOI,O,O,X
TLJZOIS,O,O,X
TLJZOSI,O,O,X
TLJOISZ,O,X,X
TLJOIZS,O,X,X
TLJOSIZ,O,X,X
TLJOSZI,O,X,X
TLJOZIS,O,X,X
TLJOZSI,O,X,X
TLSIJZO,O,O,X
TLSIJOZ,O,O,X
TLSIZJO,O,O,X
TLSIZOJ,O,O,O
TLSIOJZ,O,O,O
TLSIOZJ,O,O,O
TLSJIZO,O,O,X
TLSJIOZ,O,O,X
TLSJZIO,O,O,X
TLSJZOI,O,O,X
TLSJOIZ,O,O,X
TLSJOZI,O,O,X
TLSZIJO,O,O,X
TLSZIOJ,O,O,O
TLSZJIO,O,O,X
TLSZJOI,O,O,X
TLSZOIJ,O,O,O
TLSZOJI,O,O,O
TLSOIJZ,O,O,O
TLSOIZJ,O,O,O
TLSOJIZ,O,O,O
TLSOJZI,O,O,O
TLSOZIJ,O,O,O
TLSOZJI,O,O,O
TLZIJSO,O,O,X
TLZIJOS,O,O,X
TLZISJO,O,O,X
TLZISOJ,O,O,O
TLZIOJS,X,O,O
TLZIOSJ,X,O,O
TLZJISO,O,O,X
TLZJIOS,O,O,X
TLZJSIO,O,O,X
TLZJSOI,O,O,X
TLZJOIS,O,O,X
TLZJOSI,O,O,X
TLZSIJO,O,O,X
TLZSIOJ,O,O,O
TLZSJIO,O,O,X
TLZSJOI,O,O,X
TLZSOIJ,O,O,O
TLZSOJI,O,O,O
TLZOIJS,X,O,O
TLZOISJ,X,O,O
TLZOJIS,X,O,O
TLZOJSI,X,O,O
TLZOSIJ,X,O,O
TLZOSJI,X,O,O
TLOIJSZ,O,X,O
TLOIJZS,O,X,O
TLOISJZ,O,O,O
TLOISZJ,O,O,O
TLOIZJS,X,O,O
TLOIZSJ,X,O,O
TLOJISZ,O,X,O
TLOJIZS,O,X,O
TLOJSIZ,O,X,O
TLOJSZI,O,X,O
TLOJZIS,O,X,O
TLOJZSI,O,X,O
TLOSIJZ,O,O,O
TLOSIZJ,O,O,O
TLOSJIZ,O,O,O
TLOSJZI,O,O,O
TLOSZIJ,O,O,O
TLOSZJI,O,O,O
TLOZIJS,X,O,O
TLOZISJ,X,O,O
TLOZJIS,X,O,O
TLOZJSI,X,O,O
TLOZSIJ,X,O,O
TLOZSJI,X,O,O
TJILSZO,O,O,X
TJILSOZ,O,O,X
TJILZSO,O,O,X
TJILZOS,O,O,X
TJILOSZ,O,X,X
TJILOZS,O,X,X
TJISLZO,O,O,X
TJISLOZ,O,O,X
TJISZLO,O,X,X
TJISZOL,O,X,O
TJISOLZ,O,O,O
TJISOZL,O,X,O
TJIZLSO,O,X,X
TJIZLOS,O,X,X
TJIZSLO,O,X,X
TJIZSOL,O,X,O
TJIZOLS,O,X,O
TJIZOSL,O,X,O
TJIOLSZ,O,X,O
TJIOLZS,O,X,O
TJIOSLZ,O,X,O
TJIOSZL,O,X,O
TJIOZLS,O,X,O
TJIOZSL,O,X,O
TJLISZO,O,O,X
TJLISOZ,O,O,X
TJLIZSO,O,O,X
TJLIZOS,O,O,X
TJLIOSZ,O,X,X
TJLIOZS,O,X,X
TJLSIZO,O,O,X
TJLSIOZ,O,O,X
TJLSZIO,O,O,X
TJLSZOI,O,O,X
TJLSOIZ,O,O,X
TJLSOZI,O,O,X
TJLZISO,O,O,X
TJLZIOS,O,O,X
TJLZSIO,O,O,X
TJLZSOI,O,O,X
TJLZOIS,O,O,X
TJLZOSI,O,O,X
TJLOISZ,O,X,X
TJLOIZS,O,X,X
TJLOSIZ,O,X,X
TJLOSZI,O,X,X
TJLOZIS,O,X,X
TJLOZSI,O,X,X
TJSILZO,O,O,X
TJSILOZ,O,O,X
TJSIZLO,O,X,X
TJSIZOL,O,X,O
TJSIOLZ,O,O,O
TJSIOZL,O,X,O
TJSLIZO,O,O,X
TJSLIOZ,O,O,X
TJSLZIO,O,O,X
TJSLZOI,O,O,X
TJSLOIZ,O,O,X
TJSLOZI,O,O,X
TJSZILO,O,O,X
TJSZIOL,O,O,O
TJSZLIO,O,O,X
TJSZLOI,O,O,X
TJSZOIL,O,O,O
TJSZOLI,O,O,O
TJSOILZ,O,O,O
TJSOIZL,O,X,O
TJSOLIZ,O,O,O
TJSOLZI,O,O,O
TJSOZIL,O,O,O
TJSOZLI,O,O,O
TJZILSO,O,O,X
TJZILOS,O,O,X
TJZISLO,O,O,X
TJZISOL,O,O,O
TJZIOLS,O,X,O
TJZIOSL,O,X,O
TJZLISO,O,O,X
TJZLIOS,O,O,X
TJZLSIO,O,O,X
TJZLSOI,O,O,X
TJZLOIS,O,O,X
TJZLOSI,O,O,X
TJZSILO,O,O,X
TJZSIOL,O,O,O
TJZSLIO,O,O,X
TJZSLOI,O,O,X
TJZSOIL,O,O,O
TJZSOLI,O,O,O
TJZOILS,O,X,O
TJZOISL,O,X,O
TJZOLIS,O,O,O
TJZOLSI,O,O,O
TJZOSIL,O,O,O
TJZOSLI,O,O,O
TJOILSZ,O,X,O
TJOILZS,O,X,O
TJOISLZ,O,X,O
TJOISZL,O,X,O
TJOIZLS,O,X,O
TJOIZSL,O,X,O
TJOLISZ,O,X,O
TJOLIZS,O,X,O
TJOLSIZ,O,X,O
TJOLSZI,O,X,O
TJOLZIS,O,X,O
TJOLZSI,O,X,O
TJOSILZ,O,X,O
TJOSIZL,O,X,O
TJOSLIZ,O,X,O
TJOSLZI,O,X,O
TJOSZIL,O,X,O
TJOSZLI,O,X,O
TJOZILS,O,X,O
TJOZISL,O,X,O
TJOZLIS,O,X,O
TJOZLSI,O,X,O
TJOZSIL,O,X,O
TJOZSLI,O,X,O
TSILJZO,O,O,X
TSILJOZ,O,O,X
TSILZJO,O,O,X
TSILZOJ,O,O,O
TSILOJZ,O,O,O
TSILOZJ,O,O,O
TSIJLZO,O,O,X
TSIJLOZ,O,O,X
TSIJZLO,O,X,X
TSIJZOL,O,X,O
TSIJOLZ,O,O,O
TSIJOZL,O,X,O
TSIZLJO,O,O,X
TSIZLOJ,O,O,O
TSIZJLO,O,O,X
TSIZJOL,O,O,O
TSIZOLJ,O,O,O
TSIZOJL,O,O,O
TSIOLJZ,O,O,O
TSIOLZJ,O,O,O
TSIOJLZ,O,O,O
TSIOJZL,O,X,O
TSIOZLJ,O,O,O
TSIOZJL,O,O,O
TSLIJZO,O,O,X
TSLIJOZ,O,O,X
TSLIZJO,O,O,X
TSLIZOJ,O,O,O
TSLIOJZ,O,O,O
TSLIOZJ,O,O,O
TSLJIZO,O,O,X
TSLJIOZ,O,O,X
TSLJZIO,O,O,X
TSLJZOI,O,O,X
TSLJOIZ,O,O,X
TSLJOZI,O,O,X
TSLZIJO,O,O,X
TSLZIOJ,O,O,O
TSLZJIO,O,O,X
TSLZJOI,O,O,X
TSLZOIJ,O,O,O
TSLZOJI,O,O,O
TSLOIJZ,O,O,O
TSLOIZJ,O,O,O
TSLOJIZ,O,O,O
TSLOJZI,O,O,O
TSLOZIJ,O,O,O
TSLOZJI,O,O,O
TSJILZO,O,O,X
TSJILOZ,O,O,X
TSJIZLO,O,X,X
TSJIZOL,O,X,O
TSJIOLZ,O,O,O
TSJIOZL,O,X,O
TSJLIZO,O,O,X
TSJLIOZ,O,O,X
TSJLZIO,O,O,X
TSJLZOI,O,O,X
TSJLOIZ,O,O,X
TSJLOZI,O,O,X
TSJZILO,O,O,X
TSJZIOL,O,O,O
TSJZLIO,O,O,X
TSJZLOI,O,O,X
TSJZOIL,O,O,O
TSJZOLI,O,O,O
TSJOILZ,O,O,O
TSJOIZL,O,X,O
TSJOLIZ,O,O,O
TSJOLZI,O,O,O
TSJOZIL,O,O,O
