sequence,v115@RhA8CeA8AeC8AeB8BeE8Ke/EJvhFUgBFhBmiB5oBCn?BTqB,v115@RhA8CeA8AeC8AeB8BeE8Ke/EJvhFalBFhB8mBziB5o?B+qB,v115@RhA8CeA8AeC8AeB8BeE8KeT/IvhF/lBFhBmiB5oBCn?BUqB
TILJSZO,O,X,X
TILJSOZ,X,X,X
TILJZSO,X,X,X
TILJZOS,X,X,X
TILJOSZ,O,X,X
TILJOZS,X,X,X
TILSJZO,O,X,X
TILSJOZ,X,X,X
TILSZJO,O,X,X
TILSZOJ,X,X,X
TILSOJZ,X,X,X
TILSOZJ,X,X,X
TILZJSO,X,X,X
TILZJOS,X,X,X
TILZSJO,X,X,X
TILZSOJ,X,X,X
TILZOJS,X,X,X
TILZOSJ,X,X,X
TILOJSZ,O,X,X
TILOJZS,X,X,X
TILOSJZ,O,X,X
TILOSZJ,O,X,X
TILOZJS,X,X,X
TILOZSJ,X,X,X
TIJLSZO,X,X,X
TIJLSOZ,X,X,X
TIJLZSO,X,X,X
TIJLZOS,X,X,X
TIJLOSZ,X,X,X
TIJLOZS,X,X,X
TIJSLZO,X,X,X
TIJSLOZ,X,X,X
TIJSZLO,O,X,X
TIJSZOL,X,X,X
TIJSOLZ,X,X,X
TIJSOZL,X,X,X
TIJZLSO,X,X,X
TIJZLOS,X,X,X
TIJZSLO,X,X,X
TIJZSOL,X,X,X
TIJZOLS,X,X,X
TIJZOSL,X,X,X
TIJOLSZ,X,X,X
TIJOLZS,X,X,X
TIJOSLZ,X,X,X
TIJOSZL,O,X,X
TIJOZLS,X,X,X
TIJOZSL,X,X,X
TISLJZO,O,X,X
TISLJOZ,X,X,X
TISLZJO,O,X,X
TISLZOJ,X,X,X
TISLOJZ,X,X,X
TISLOZJ,X,X,X
TISJLZO,X,X,X
TISJLOZ,X,X,X
TISJZLO,O,X,X
TISJZOL,X,X,X
TISJOLZ,X,X,X
TISJOZL,X,X,X
TISZLJO,O,X,X
TISZLOJ,X,X,X
TISZJLO,O,X,X
TISZJOL,X,X,X
TISZOLJ,X,X,X
TISZOJL,X,X,X
TISOLJZ,X,X,X
TISOLZJ,X,X,X
TISOJLZ,X,X,X
TISOJZL,X,X,X
TISOZLJ,X,X,X
TISOZJL,X,X,X
TIZLJSO,X,X,X
TIZLJOS,X,X,X
TIZLSJO,X,X,X
TIZLSOJ,X,X,X
TIZLOJS,X,X,X
TIZLOSJ,X,X,X
TIZJLSO,X,X,X
TIZJLOS,X,X,X
TIZJSLO,X,X,X
TIZJSOL,X,X,X
TIZJOLS,X,X,X
TIZJOSL,X,X,X
TIZSLJO,X,X,X
TIZSLOJ,X,X,X
TIZSJLO,X,X,X
TIZSJOL,X,X,X
TIZSOLJ,X,X,X
TIZSOJL,X,X,X
TIZOLJS,X,X,X
TIZOLSJ,X,X,X
TIZOJLS,X,X,X
TIZOJSL,X,X,X
TIZOSLJ,X,X,X
TIZOSJL,X,X,X
TIOLJSZ,O,X,X
TIOLJZS,X,X,X
TIOLSJZ,O,X,X
TIOLSZJ,O,X,X
TIOLZJS,X,X,X
TIOLZSJ,X,X,X
TIOJLSZ,X,X,X
TIOJLZS,X,X,X
TIOJSLZ,X,X,X
TIOJSZL,O,X,X
TIOJZLS,X,X,X
TIOJZSL,X,X,X
TIOSLJZ,O,X,X
TIOSLZJ,O,X,X
TIOSJLZ,X,X,X
TIOSJZL,O,X,X
TIOSZLJ,O,X,X
TIOSZJL,O,X,X
TIOZLJS,X,X,X
TIOZLSJ,X,X,X
TIOZJLS,X,X,X
TIOZJSL,X,X,X
TIOZSLJ,X,X,X
TIOZSJL,X,X,X
TLIJSZO,O,X,X
TLIJSOZ,X,X,X
TLIJZSO,X,X,X
TLIJZOS,X,X,X
TLIJOSZ,O,X,X
TLIJOZS,X,X,X
TLISJZO,O,X,X
TLISJOZ,X,X,X
TLISZJO,O,X,X
TLISZOJ,X,X,X
TLISOJZ,X,X,X
TLISOZJ,X,X,X
TLIZJSO,X,X,X
TLIZJOS,X,X,X
TLIZSJO,X,X,X
TLIZSOJ,X,X,X
TLIZOJS,X,X,X
TLIZOSJ,X,X,X
TLIOJSZ,O,X,X
TLIOJZS,X,X,X
TLIOSJZ,O,X,X
TLIOSZJ,O,X,X
TLIOZJS,X,X,X
TLIOZSJ,X,X,X
TLJISZO,O,X,X
TLJISOZ,X,X,X
TLJIZSO,X,X,X
