sequence,v115@IhA8CeA8EeA8CeB8DeA8BeF8JeZEJvhFalBzgBUiBG?jBVtB3qB,v115@IhA8CeA8EeA8CeB8DeA8BeF8JeZEJvhFalBzgBFiB8?nB+oB3qB,v115@IhA8CeA8EeA8CeB8DeA8BeF8JeZEJvhFUgBFiBTjBy?qBWtB3qB,v115@IhA8CeA8EeA8CeB8DeA8BeF8JeZEJvhFalBUiBGjBz?lBVtB3qB
TILJSZO,O,O,O,O
TILJSOZ,O,O,O,O
TILJZSO,O,O,O,O
TILJZOS,O,O,O,O
TILJOSZ,O,X,O,O
TILJOZS,O,X,O,O
TILSJZO,O,O,O,O
TILSJOZ,O,O,O,O
TILSZJO,O,X,O,O
TILSZOJ,O,X,X,O
TILSOJZ,O,O,X,O
TILSOZJ,O,X,X,O
TILZJSO,O,X,O,O
TILZJOS,O,X,O,O
TILZSJO,O,X,O,O
TILZSOJ,O,X,X,O
TILZOJS,O,X,O,O
TILZOSJ,O,X,X,O
TILOJSZ,O,X,O,O
TILOJZS,O,X,O,O
TILOSJZ,O,X,X,O
TILOSZJ,O,X,X,O
TILOZJS,O,X,O,O
TILOZSJ,O,X,X,O
TIJLSZO,O,O,O,O
TIJLSOZ,O,O,O,O
TIJLZSO,O,O,O,O
TIJLZOS,O,O,O,O
TIJLOSZ,O,X,O,O
TIJLOZS,O,X,O,O
TIJSLZO,O,O,O,O
TIJSLOZ,O,O,O,O
TIJSZLO,O,O,O,O
TIJSZOL,O,O,O,O
TIJSOLZ,O,O,O,O
TIJSOZL,O,O,O,O
TIJZLSO,O,O,O,O
TIJZLOS,O,O,O,O
TIJZSLO,O,O,O,O
TIJZSOL,O,O,O,O
TIJZOLS,O,O,O,O
TIJZOSL,O,O,O,O
TIJOLSZ,O,X,O,O
TIJOLZS,O,X,O,O
TIJOSLZ,O,X,O,O
TIJOSZL,O,X,O,O
TIJOZLS,O,X,O,O
TIJOZSL,O,X,O,O
TISLJZO,O,O,O,O
TISLJOZ,O,O,O,O
TISLZJO,O,X,O,O
TISLZOJ,O,X,X,O
TISLOJZ,O,O,X,O
TISLOZJ,O,X,X,O
TISJLZO,O,O,O,O
TISJLOZ,O,O,O,O
TISJZLO,O,O,O,O
TISJZOL,O,O,O,O
TISJOLZ,O,O,O,O
TISJOZL,O,O,O,O
TISZLJO,O,X,O,O
TISZLOJ,O,X,X,O
TISZJLO,O,X,O,O
TISZJOL,O,X,O,O
TISZOLJ,O,X,X,O
TISZOJL,O,X,X,O
TISOLJZ,O,O,X,O
TISOLZJ,O,X,X,O
TISOJLZ,O,O,X,O
TISOJZL,O,O,X,O
TISOZLJ,O,X,X,O
TISOZJL,O,X,X,O
TIZLJSO,O,X,O,O
TIZLJOS,O,X,O,O
TIZLSJO,O,X,O,O
TIZLSOJ,O,X,X,O
TIZLOJS,O,X,O,O
TIZLOSJ,O,X,X,O
TIZJLSO,O,X,O,O
TIZJLOS,O,X,O,O
TIZJSLO,O,X,O,O
TIZJSOL,O,X,O,O
TIZJOLS,O,X,O,O
TIZJOSL,O,X,O,O
TIZSLJO,O,X,O,O
TIZSLOJ,O,X,X,O
TIZSJLO,O,X,O,O
TIZSJOL,O,X,O,O
TIZSOLJ,O,X,X,O
TIZSOJL,O,X,X,O
TIZOLJS,O,X,O,O
TIZOLSJ,O,X,X,O
TIZOJLS,O,X,O,O
TIZOJSL,O,X,O,O
TIZOSLJ,O,X,X,O
TIZOSJL,O,X,X,O
TIOLJSZ,O,X,O,O
TIOLJZS,O,X,O,O
TIOLSJZ,O,X,X,O
TIOLSZJ,O,X,X,O
TIOLZJS,O,X,O,O
TIOLZSJ,O,X,X,O
TIOJLSZ,O,X,O,O
TIOJLZS,O,X,O,O
TIOJSLZ,O,X,O,O
TIOJSZL,O,X,O,O
TIOJZLS,O,X,O,O
TIOJZSL,O,X,O,O
TIOSLJZ,O,X,X,O
TIOSLZJ,O,X,X,O
TIOSJLZ,O,X,X,O
TIOSJZL,O,X,X,O
TIOSZLJ,O,X,X,O
TIOSZJL,O,X,X,O
TIOZLJS,O,X,O,O
TIOZLSJ,O,X,X,O
TIOZJLS,O,X,O,O
TIOZJSL,O,X,O,O
TIOZSLJ,O,X,X,O
TIOZSJL,O,X,X,O
TLIJSZO,O,O,O,O
TLIJSOZ,O,O,O,O
TLIJZSO,O,O,O,O
TLIJZOS,O,O,O,O
TLIJOSZ,O,X,O,O
TLIJOZS,O,X,O,O
TLISJZO,O,O,O,O
TLISJOZ,O,O,O,O
TLISZJO,O,X,O,O
TLISZOJ,O,X,X,O
TLISOJZ,O,O,X,O
TLISOZJ,O,X,X,O
TLIZJSO,O,X,O,O
TLIZJOS,O,X,O,O
TLIZSJO,O,X,O,O
TLIZSOJ,O,X,X,O
TLIZOJS,O,X,O,O
TLIZOSJ,O,X,X,O
TLIOJSZ,O,X,O,O
TLIOJZS,O,X,O,O
TLIOSJZ,O,X,X,O
TLIOSZJ,O,X,X,O
TLIOZJS,O,X,O,O
TLIOZSJ,O,X,X,O
TLJISZO,O,O,O,O
TLJISOZ,O,O,O,O
TLJIZSO,O,O,O,O
TLJIZOS,O,O,O,O
TLJIOSZ,O,X,O,O
TLJIOZS,O,X,O,O
TLJSIZO,O,O,O,O
TLJSIOZ,O,O,O,O
TLJSZIO,O,O,O,O
TLJSZOI,O,O,O,O
TLJSOIZ,O,O,O,O
TLJSOZI,O,O,O,O
TLJZISO,O,O,O,O
TLJZIOS,O,O,O,O
TLJZSIO,O,O,O,O
TLJZSOI,O,O,O,O
TLJZOIS,O,O,O,O
TLJZOSI,O,O,O,O
TLJOISZ,O,X,O,O
TLJOIZS,O,X,O,O
TLJOSIZ,O,X,O,O
TLJOSZI,O,X,O,O
TLJOZIS,O,X,O,O
TLJOZSI,O,X,O,O
TLSIJZO,O,O,O,O
TLSIJOZ,O,O,O,O
TLSIZJO,O,X,O,O
TLSIZOJ,O,X,X,O
TLSIOJZ,O,O,X,O
TLSIOZJ,O,X,X,O
TLSJIZO,O,O,O,O
TLSJIOZ,O,O,O,O
TLSJZIO,O,O,O,O
TLSJZOI,O,O,O,O
TLSJOIZ,O,O,O,O
TLSJOZI,O,O,O,O
TLSZIJO,O,X,O,O
TLSZIOJ,O,X,X,O
TLSZJIO,O,X,O,O
TLSZJOI,O,X,O,O
TLSZOIJ,O,X,X,O
TLSZOJI,O,X,X,O
TLSOIJZ,O,O,X,O
TLSOIZJ,O,X,X,O
TLSOJIZ,O,O,X,O
TLSOJZI,O,O,X,O
TLSOZIJ,O,X,X,O
TLSOZJI,O,X,X,O
TLZIJSO,O,X,O,O
TLZIJOS,O,X,O,O
TLZISJO,O,X,O,O
TLZISOJ,O,X,X,O
TLZIOJS,O,X,O,O
TLZIOSJ,O,X,X,O
TLZJISO,O,X,O,O
TLZJIOS,O,X,O,O
TLZJSIO,O,X,O,O
TLZJSOI,O,X,O,O
TLZJOIS,O,X,O,O
TLZJOSI,O,X,O,O
TLZSIJO,O,X,O,O
TLZSIOJ,O,X,X,O
TLZSJIO,O,X,O,O
TLZSJOI,O,X,O,O
TLZSOIJ,O,X,X,O
TLZSOJI,O,X,X,O
TLZOIJS,O,X,O,O
TLZOISJ,O,X,X,O
TLZOJIS,O,X,O,O
TLZOJSI,O,X,O,O
TLZOSIJ,O,X,X,O
TLZOSJI,O,X,X,O
TLOIJSZ,O,X,O,O
TLOIJZS,O,X,O,O
TLOISJZ,O,X,X,O
TLOISZJ,O,X,X,O
TLOIZJS,O,X,O,O
TLOIZSJ,O,X,X,O
TLOJISZ,O,X,O,O
TLOJIZS,O,X,O,O
TLOJSIZ,O,X,O,O
TLOJSZI,O,X,O,O
TLOJZIS,O,X,O,O
TLOJZSI,O,X,O,O
TLOSIJZ,O,X,X,O
TLOSIZJ,O,X,X,O
TLOSJIZ,O,X,X,O
TLOSJZI,O,X,X,O
TLOSZIJ,O,X,X,O
TLOSZJI,O,X,X,O
TLOZIJS,O,X,O,O
TLOZISJ,O,X,X,O
TLOZJIS,O,X,O,O
TLOZJSI,O,X,O,O
TLOZSIJ,O,X,X,O
TLOZSJI,O,X,X,O
TJILSZO,O,O,O,O
TJILSOZ,O,O,O,O
TJILZSO,O,O,O,O
TJILZOS,O,O,O,O
TJILOSZ,O,X,O,O
TJILOZS,O,X,O,O
TJISLZO,O,O,O,O
TJISLOZ,O,O,O,O
TJISZLO,O,O,O,O
TJISZOL,O,O,O,O
TJISOLZ,O,O,O,O
TJISOZL,O,O,O,O
TJIZLSO,O,O,O,O
TJIZLOS,O,O,O,O
TJIZSLO,O,O,O,O
TJIZSOL,O,O,O,O
TJIZOLS,O,O,O,O
TJIZOSL,O,O,O,O
TJIOLSZ,O,X,O,O
TJIOLZS,O,X,O,O
TJIOSLZ,O,X,O,O
TJIOSZL,O,X,O,O
TJIOZLS,O,X,O,O
TJIOZSL,O,X,O,O
TJLISZO,O,O,O,O
TJLISOZ,O,O,O,O
TJLIZSO,O,O,O,O
TJLIZOS,O,O,O,O
TJLIOSZ,O,X,O,O
TJLIOZS,O,X,O,O
TJLSIZO,O,O,O,O
TJLSIOZ,O,O,O,O
TJLSZIO,O,O,O,O
TJLSZOI,O,O,O,O
TJLSOIZ,O,O,O,O
TJLSOZI,O,O,O,O
TJLZISO,O,O,O,O
TJLZIOS,O,O,O,O
TJLZSIO,O,O,O,O
TJLZSOI,O,O,O,O
TJLZOIS,O,O,O,O
TJLZOSI,O,O,O,O
TJLOISZ,O,X,O,O
TJLOIZS,O,X,O,O
TJLOSIZ,O,X,O,O
TJLOSZI,O,X,O,O
TJLOZIS,O,X,O,O
TJLOZSI,O,X,O,O
TJSILZO,O,O,O,O
TJSILOZ,O,O,O,O
TJSIZLO,O,O,O,O
TJSIZOL,O,O,O,O
TJSIOLZ,O,O,O,O
TJSIOZL,O,O,O,O
TJSLIZO,O,O,O,O
TJSLIOZ,O,O,O,O
TJSLZIO,O,O,O,O
TJSLZOI,O,O,O,O
TJSLOIZ,O,O,O,O
TJSLOZI,O,O,O,O
TJSZILO,O,O,O,O
TJSZIOL,O,O,O,O
TJSZLIO,O,O,O,O
TJSZLOI,O,O,O,O
TJSZOIL,O,O,O,O
TJSZOLI,O,O,O,O
TJSOILZ,O,O,O,O
TJSOIZL,O,O,O,O
TJSOLIZ,O,O,O,O
TJSOLZI,O,O,O,O
TJSOZIL,O,O,O,O
TJSOZLI,O,O,O,O
TJZILSO,O,O,O,O
TJZILOS,O,O,O,O
TJZISLO,O,O,O,O
TJZISOL,O,O,O,O
TJZIOLS,O,O,O,O
TJZIOSL,O,O,O,O
TJZLISO,O,O,O,O
TJZLIOS,O,O,O,O
TJZLSIO,O,O,O,O
TJZLSOI,O,O,O,O
TJZLOIS,O,O,O,O
TJZLOSI,O,O,O,O
TJZSILO,O,O,O,O
TJZSIOL,O,O,O,O
TJZSLIO,O,O,O,O
TJZSLOI,O,O,O,O
TJZSOIL,O,O,O,O
TJZSOLI,O,O,O,O
TJZOILS,O,O,O,O
TJZOISL,O,O,O,O
TJZOLIS,O,O,O,O
TJZOLSI,O,O,O,O
TJZOSIL,O,O,O,O
TJZOSLI,O,O,O,O
TJOILSZ,O,X,O,O
TJOILZS,O,X,O,O
TJOISLZ,O,X,O,O
TJOISZL,O,X,O,O
TJOIZLS,O,X,O,O
TJOIZSL,O,X,O,O
TJOLISZ,O,X,O,O
TJOLIZS,O,X,O,O
TJOLSIZ,O,X,O,O
TJOLSZI,O,X,O,O
TJOLZIS,O,X,O,O
TJOLZSI,O,X,O,O
TJOSILZ,O,X,O,O
TJOSIZL,O,X,O,O
TJOSLIZ,O,X,O,O
TJOSLZI,O,X,O,O
TJOSZIL,O,X,O,O
TJOSZLI,O,X,O,O
TJOZILS,O,X,O,O
TJOZISL,O,X,O,O
TJOZLIS,O,X,O,O
TJOZLSI,O,X,O,O
TJOZSIL,O,X,O,O
TJOZSLI,O,X,O,O
TSILJZO,O,O,O,O
TSILJOZ,O,O,O,O
TSILZJO,O,X,O,O
TSILZOJ,O,X,X,O
TSILOJZ,O,O,X,O
TSILOZJ,O,X,X,O
TSIJLZO,O,O,O,O
TSIJLOZ,O,O,O,O
TSIJZLO,O,O,O,O
TSIJZOL,O,O,O,O
TSIJOLZ,O,O,O,O
TSIJOZL,O,O,O,O
TSIZLJO,O,X,O,O
TSIZLOJ,O,X,X,O
TSIZJLO,O,X,O,O
TSIZJOL,O,X,O,O
TSIZOLJ,O,X,X,O
TSIZOJL,O,X,X,O
TSIOLJZ,O,O,X,O
TSIOLZJ,O,X,X,O
TSIOJLZ,O,O,X,O
TSIOJZL,O,O,X,O
TSIOZLJ,O,X,X,O
TSIOZJL,O,X,X,O
TSLIJZO,O,O,O,O
TSLIJOZ,O,O,O,O
TSLIZJO,O,X,O,O
TSLIZOJ,O,X,X,O
TSLIOJZ,O,O,X,O
TSLIOZJ,O,X,X,O
TSLJIZO,O,O,O,O
TSLJIOZ,O,O,O,O
TSLJZIO,O,O,O,O
TSLJZOI,O,O,O,O
TSLJOIZ,O,O,O,O
TSLJOZI,O,O,O,O
TSLZIJO,O,X,O,O
TSLZIOJ,O,X,X,O
TSLZJIO,O,X,O,O
TSLZJOI,O,X,O,O
TSLZOIJ,O,X,X,O
TSLZOJI,O,X,X,O
TSLOIJZ,O,O,X,O
TSLOIZJ,O,X,X,O
TSLOJIZ,O,O,X,O
TSLOJZI,O,O,X,O
TSLOZIJ,O,X,X,O
TSLOZJI,O,X,X,O
TSJILZO,O,O,O,O
TSJILOZ,O,O,O,O
TSJIZLO,O,O,O,O
TSJIZOL,O,O,O,O
TSJIOLZ,O,O,O,O
TSJIOZL,O,O,O,O
TSJLIZO,O,O,O,O
TSJLIOZ,O,O,O,O
TSJLZIO,O,O,O,O
TSJLZOI,O,O,O,O
TSJLOIZ,O,O,O,O
TSJLOZI,O,O,O,O
TSJZILO,O,O,O,O
TSJZIOL,O,O,O,O
TSJZLIO,O,O,O,O
TSJZLOI,O,O,O,O
TSJZOIL,O,O,O,O
TSJZOLI,O,O,O,O
TSJOILZ,O,O,O,O
TSJOIZL,O,O,O,O
TSJOLIZ,O,O,O,O
TSJOLZI,O,O,O,O
TSJOZIL,O,O,O,O
TSJOZLI,O,O,O,O
TSZILJO,O,X,O,O
TSZILOJ,O,X,X,O
TSZIJLO,O,X,O,O
TSZIJOL,O,X,O,O
TSZIOLJ,O,X,X,O
TSZIOJL,O,X,X,O
TSZLIJO,O,X,O,O
TSZLIOJ,O,X,X,O
TSZLJIO,O,X,O,O
TSZLJOI,O,X,O,O
TSZLOIJ,O,X,X,O
TSZLOJI,O,X,X,O
TSZJILO,O,X,O,O
TSZJIOL,O,X,O,O
TSZJLIO,O,X,O,O
TSZJLOI,O,X,O,O
TSZJOIL,O,X,O,O
TSZJOLI,O,X,O,O
TSZOILJ,O,X,X,O
TSZOIJL,O,X,X,O
TSZOLIJ,O,X,X,O
TSZOLJI,O,X,X,O
TSZOJIL,O,X,X,O
TSZOJLI,O,X,X,O
TSOILJZ,O,O,X,O
TSOILZJ,O,X,X,O
TSOIJLZ,O,O,X,O
TSOIJZL,O,O,X,O
TSOIZLJ,O,X,X,O
TSOIZJL,O,X,X,O
TSOLIJZ,O,O,X,O
TSOLIZJ,O,X,X,O
TSOLJIZ,O,O,X,O
TSOLJZI,O,O,X,O
TSOLZIJ,O,X,X,O
TSOLZJI,O,X,X,O
TSOJILZ,O,O,X,O
TSOJIZL,O,O,X,O
TSOJLIZ,O,O,X,O
TSOJLZI,O,O,X,O
TSOJZIL,O,O,X,O
TSOJZLI,O,O,X,O
TSOZILJ,O,X,X,O
TSOZIJL,O,X,X,O
TSOZLIJ,O,X,X,O
TSOZLJI,O,X,X,O
TSOZJIL,O,X,X,O
TSOZJLI,O,X,X,O
TZILJSO,O,X,O,O
TZILJOS,O,X,O,O
TZILSJO,O,X,O,O
TZILSOJ,O,X,X,O
TZILOJS,O,X,O,O
TZILOSJ,O,X,X,O
TZIJLSO,O,X,O,O
TZIJLOS,O,X,O,O
TZIJSLO,O,X,O,O
TZIJSOL,O,X,O,O
TZIJOLS,O,X,O,O
TZIJOSL,O,X,O,O
TZISLJO,O,X,O,O
TZISLOJ,O,X,X,O
TZISJLO,O,X,O,O
TZISJOL,O,X,O,O
TZISOLJ,O,X,X,O
TZISOJL,O,X,X,O
TZIOLJS,O,X,O,O
TZIOLSJ,O,X,X,O
TZIOJLS,O,X,O,O
TZIOJSL,O,X,O,O
TZIOSLJ,O,X,X,O
TZIOSJL,O,X,X,O
TZLIJSO,O,X,O,O
TZLIJOS,O,X,O,O
TZLISJO,O,X,O,O
TZLISOJ,O,X,X,O
TZLIOJS,O,X,O,O
TZLIOSJ,O,X,X,O
TZLJISO,O,X,O,O
TZLJIOS,O,X,O,O
TZLJSIO,O,X,O,O
TZLJSOI,O,X,O,O
TZLJOIS,O,X,O,O
TZLJOSI,O,X,O,O
TZLSIJO,O,X,O,O
TZLSIOJ,O,X,X,O
TZLSJIO,O,X,O,O
TZLSJOI,O,X,O,O
TZLSOIJ,O,X,X,O
TZLSOJI,O,X,X,O
TZLOIJS,O,X,O,O
TZLOISJ,O,X,X,O
TZLOJIS,O,X,O,O
TZLOJSI,O,X,O,O
TZLOSIJ,O,X,X,O
TZLOSJI,O,X,X,O
TZJILSO,O,X,O,O
TZJILOS,O,X,O,O
TZJISLO,O,X,O,O
TZJISOL,O,X,O,O
TZJIOLS,O,X,O,O
TZJIOSL,O,X,O,O
TZJLISO,O,X,O,O
TZJLIOS,O,X,O,O
TZJLSIO,O,X,O,O
TZJLSOI,O,X,O,O
TZJLOIS,O,X,O,O
TZJLOSI,O,X,O,O
TZJSILO,O,X,O,O
TZJSIOL,O,X,O,O
TZJSLIO,O,X,O,O
TZJSLOI,O,X,O,O
TZJSOIL,O,X,O,O
TZJSOLI,O,X,O,O
TZJOILS,O,X,O,O
TZJOISL,O,X,O,O
TZJOLIS,O,X,O,O
TZJOLSI,O,X,O,O
TZJOSIL,O,X,O,O
TZJOSLI,O,X,O,O
TZSILJO,O,X,O,O
TZSILOJ,O,X,X,O
TZSIJLO,O,X,O,O
TZSIJOL,O,X,O,O
TZSIOLJ,O,X,X,O
TZSIOJL,O,X,X,O
TZSLIJO,O,X,O,O
TZSLIOJ,O,X,X,O
TZSLJIO,O,X,O,O
TZSLJOI,O,X,O,O
TZSLOIJ,O,X,X,O
TZSLOJI,O,X,X,O
TZSJILO,O,X,O,O
TZSJIOL,O,X,O,O
TZSJLIO,O,X,O,O
TZSJLOI,O,X,O,O
TZSJOIL,O,X,O,O
TZSJOLI,O,X,O,O
TZSOILJ,O,X,X,O
TZSOIJL,O,X,X,O
TZSOLIJ,O,X,X,O
TZSOLJI,O,X,X,O
TZSOJIL,O,X,X,O
TZSOJLI,O,X,X,O
TZOILJS,O,X,O,O
TZOILSJ,O,X,X,O
TZOIJLS,O,X,O,O
TZOIJSL,O,X,O,O
TZOISLJ,O,X,X,O
TZOISJL,O,X,X,O
TZOLIJS,O,X,O,O
TZOLISJ,O,X,X,O
TZOLJIS,O,X,O,O
TZOLJSI,O,X,O,O
TZOLSIJ,O,X,X,O
TZOLSJI,O,X,X,O
TZOJILS,O,X,O,O
TZOJISL,O,X,O,O
TZOJLIS,O,X,O,O
TZOJLSI,O,X,O,O
TZOJSIL,O,X,O,O
TZOJSLI,O,X,O,O
TZOSILJ,O,X,X,O
TZOSIJL,O,X,X,O
TZOSLIJ,O,X,X,O
TZOSLJI,O,X,X,O
TZOSJIL,O,X,X,O
TZOSJLI,O,X,X,O
TOILJSZ,O,X,O,O
TOILJZS,O,X,O,O
TOILSJZ,O,X,X,O
TOILSZJ,O,X,X,O
TOILZJS,O,X,O,O
TOILZSJ,O,X,X,O
TOIJLSZ,O,X,O,O
TOIJLZS,O,X,O,O
TOIJSLZ,O,X,O,O
TOIJSZL,O,X,O,O
TOIJZLS,O,X,O,O
TOIJZSL,O,X,O,O
TOISLJZ,O,X,X,O
TOISLZJ,O,X,X,O
TOISJLZ,O,X,X,O
TOISJZL,O,X,X,O
TOISZLJ,O,X,X,O
TOISZJL,O,X,X,O
TOIZLJS,O,X,O,O
TOIZLSJ,O,X,X,O
TOIZJLS,O,X,O,O
TOIZJSL,O,X,O,O
TOIZSLJ,O,X,X,O
TOIZSJL,O,X,X,O
TOLIJSZ,O,X,O,O
TOLIJZS,O,X,O,O
TOLISJZ,O,X,X,O
TOLISZJ,O,X,X,O
TOLIZJS,O,X,O,O
TOLIZSJ,O,X,X,O
TOLJISZ,O,X,O,O
TOLJIZS,O,X,O,O
