sequence,v115@OhA8GeE8AeA8CeE8JeZEJvhFukBUhBFiBTjBKqBfrB,v115@OhA8GeE8AeA8CeE8JeZEJvhFUgBFhBXiBTjBWqByvB
TILJSZO,O,X
TILJSOZ,O,X
TILJZSO,X,X
TILJZOS,X,X
TILJOSZ,O,X
TILJOZS,X,X
TILSJZO,O,X
TILSJOZ,O,X
TILSZJO,O,X
TILSZOJ,O,X
TILSOJZ,O,X
TILSOZJ,O,X
TILZJSO,X,X
TILZJOS,X,X
TILZSJO,X,X
TILZSOJ,X,X
TILZOJS,X,X
TILZOSJ,X,X
TILOJSZ,O,X
TILOJZS,X,X
TILOSJZ,O,X
TILOSZJ,O,X
TILOZJS,X,X
TILOZSJ,X,X
TIJLSZO,O,X
TIJLSOZ,O,X
TIJLZSO,X,X
TIJLZOS,X,X
TIJLOSZ,O,X
TIJLOZS,X,X
TIJSLZO,X,X
TIJSLOZ,X,X
TIJSZLO,X,X
TIJSZOL,X,X
TIJSOLZ,X,X
TIJSOZL,X,X
TIJZLSO,X,X
TIJZLOS,X,X
TIJZSLO,X,X
TIJZSOL,X,X
TIJZOLS,X,X
TIJZOSL,X,X
TIJOLSZ,O,X
TIJOLZS,X,X
TIJOSLZ,X,X
TIJOSZL,X,X
TIJOZLS,X,X
TIJOZSL,X,X
TISLJZO,O,X
TISLJOZ,O,X
TISLZJO,O,X
TISLZOJ,O,X
TISLOJZ,O,X
TISLOZJ,O,X
TISJLZO,X,X
TISJLOZ,X,X
TISJZLO,X,X
TISJZOL,X,X
TISJOLZ,X,X
TISJOZL,X,X
TISZLJO,O,X
TISZLOJ,O,X
TISZJLO,X,X
TISZJOL,X,X
TISZOLJ,O,X
TISZOJL,X,X
TISOLJZ,O,X
TISOLZJ,O,X
TISOJLZ,X,X
TISOJZL,X,X
TISOZLJ,O,X
TISOZJL,X,X
TIZLJSO,X,X
TIZLJOS,X,X
TIZLSJO,X,X
TIZLSOJ,X,X
TIZLOJS,X,X
TIZLOSJ,X,X
TIZJLSO,X,X
TIZJLOS,X,X
TIZJSLO,X,X
