sequence,v115@KhB8HeB8BeA8BeA8BeF8KeT/IvhFOlBlhBaoB5oBXn?B0pB,v115@KhB8HeB8BeA8BeA8BeF8KeOEJvhFXgBVnBaoB5oB0m?BzpB
TILJSZO,X,O
TILJSOZ,X,X
TILJZSO,X,X
TILJZOS,O,X
TILJOSZ,X,X
TILJOZS,X,X
TILSJZO,X,O
TILSJOZ,X,X
TILSZJO,X,X
TILSZOJ,X,X
TILSOJZ,X,X
TILSOZJ,X,X
TILZJSO,X,X
TILZJOS,O,X
TILZSJO,X,X
TILZSOJ,X,X
TILZOJS,O,X
TILZOSJ,X,X
TILOJSZ,X,O
TILOJZS,X,X
TILOSJZ,X,O
TILOSZJ,X,X
TILOZJS,X,X
TILOZSJ,X,X
TIJLSZO,X,O
TIJLSOZ,X,X
TIJLZSO,X,X
TIJLZOS,O,X
TIJLOSZ,X,X
TIJLOZS,X,X
TIJSLZO,X,O
TIJSLOZ,X,X
TIJSZLO,X,X
TIJSZOL,X,X
TIJSOLZ,X,X
TIJSOZL,X,X
TIJZLSO,X,X
TIJZLOS,O,X
TIJZSLO,X,X
TIJZSOL,X,X
TIJZOLS,O,X
TIJZOSL,X,X
TIJOLSZ,X,X
TIJOLZS,X,X
TIJOSLZ,X,X
TIJOSZL,X,X
TIJOZLS,X,X
TIJOZSL,X,X
TISLJZO,X,O
TISLJOZ,X,X
TISLZJO,X,X
TISLZOJ,X,X
TISLOJZ,X,X
TISLOZJ,X,X
TISJLZO,X,O
TISJLOZ,X,X
TISJZLO,X,X
TISJZOL,X,X
TISJOLZ,X,X
TISJOZL,X,X
TISZLJO,X,X
TISZLOJ,X,X
TISZJLO,X,X
TISZJOL,X,X
TISZOLJ,X,X
TISZOJL,X,X
TISOLJZ,X,X
TISOLZJ,X,X
TISOJLZ,X,X
TISOJZL,X,X
TISOZLJ,X,X
TISOZJL,X,X
TIZLJSO,X,X
TIZLJOS,O,X
TIZLSJO,X,X
TIZLSOJ,X,X
TIZLOJS,O,X
TIZLOSJ,X,X
TIZJLSO,X,X
TIZJLOS,O,X
TIZJSLO,X,X
TIZJSOL,X,X
TIZJOLS,O,X
TIZJOSL,X,X
TIZSLJO,X,X
TIZSLOJ,X,X
TIZSJLO,X,X
TIZSJOL,X,X
TIZSOLJ,X,X
TIZSOJL,X,X
TIZOLJS,O,X
TIZOLSJ,X,X
TIZOJLS,O,X
TIZOJSL,X,X
TIZOSLJ,X,X
TIZOSJL,X,X
TIOLJSZ,X,O
TIOLJZS,X,X
TIOLSJZ,X,O
TIOLSZJ,X,X
TIOLZJS,X,X
TIOLZSJ,X,X
TIOJLSZ,X,O
TIOJLZS,X,X
TIOJSLZ,X,O
TIOJSZL,X,X
TIOJZLS,X,X
TIOJZSL,X,X
TIOSLJZ,X,O
TIOSLZJ,X,X
TIOSJLZ,X,O
TIOSJZL,X,X
TIOSZLJ,X,X
TIOSZJL,X,X
TIOZLJS,X,X
TIOZLSJ,X,X
TIOZJLS,X,X
TIOZJSL,X,X
TIOZSLJ,X,X
TIOZSJL,X,X
TLIJSZO,X,O
