sequence,v115@MhB8EeA8BeB8DeF8BeA8JeZEJvhFukBFhB6nBTjB0l?BXtB,v115@MhB8EeA8BeB8DeF8BeA8JeZEJvhFukB1lB0iB6oBXm?BzsB
TILJSZO,X,X
TILJSOZ,O,X
TILJZSO,X,O
TILJZOS,X,X
TILJOSZ,X,X
TILJOZS,X,X
TILSJZO,X,X
TILSJOZ,O,X
TILSZJO,X,X
TILSZOJ,X,X
TILSOJZ,O,X
TILSOZJ,X,X
TILZJSO,X,O
TILZJOS,X,X
TILZSJO,X,X
TILZSOJ,X,X
TILZOJS,X,X
TILZOSJ,X,X
TILOJSZ,X,X
TILOJZS,X,X
TILOSJZ,X,X
TILOSZJ,X,X
TILOZJS,X,X
TILOZSJ,X,X
TIJLSZO,X,X
TIJLSOZ,O,X
TIJLZSO,X,O
TIJLZOS,X,X
TIJLOSZ,X,X
TIJLOZS,X,X
TIJSLZO,X,X
TIJSLOZ,O,X
TIJSZLO,X,X
TIJSZOL,X,X
TIJSOLZ,O,X
TIJSOZL,X,X
TIJZLSO,X,O
TIJZLOS,X,X
TIJZSLO,X,X
TIJZSOL,X,X
TIJZOLS,X,X
TIJZOSL,X,X
TIJOLSZ,X,X
TIJOLZS,X,O
TIJOSLZ,X,X
TIJOSZL,X,X
TIJOZLS,X,O
TIJOZSL,X,X
TISLJZO,X,X
TISLJOZ,O,X
TISLZJO,X,X
TISLZOJ,X,X
TISLOJZ,O,X
TISLOZJ,X,X
TISJLZO,X,X
TISJLOZ,O,X
TISJZLO,X,X
TISJZOL,X,X
TISJOLZ,O,X
TISJOZL,X,X
TISZLJO,X,X
TISZLOJ,X,X
TISZJLO,X,X
TISZJOL,X,X
TISZOLJ,X,X
TISZOJL,X,X
TISOLJZ,O,X
TISOLZJ,X,X
TISOJLZ,O,X
TISOJZL,X,X
TISOZLJ,X,X
TISOZJL,X,X
TIZLJSO,X,O
TIZLJOS,X,X
TIZLSJO,X,X
TIZLSOJ,X,X
TIZLOJS,X,X
TIZLOSJ,X,X
TIZJLSO,X,O
TIZJLOS,X,X
TIZJSLO,X,X
TIZJSOL,X,X
TIZJOLS,X,X
TIZJOSL,X,X
TIZSLJO,X,X
TIZSLOJ,X,X
TIZSJLO,X,X
TIZSJOL,X,X
TIZSOLJ,X,X
TIZSOJL,X,X
TIZOLJS,X,X
TIZOLSJ,X,X
TIZOJLS,X,X
TIZOJSL,X,X
TIZOSLJ,X,X
TIZOSJL,X,X
TIOLJSZ,X,X
TIOLJZS,X,O
TIOLSJZ,X,X
TIOLSZJ,X,X
TIOLZJS,X,O
TIOLZSJ,X,X
TIOJLSZ,X,X
TIOJLZS,X,O
TIOJSLZ,X,X
TIOJSZL,X,X
TIOJZLS,X,O
TIOJZSL,X,X
TIOSLJZ,X,X
TIOSLZJ,X,X
TIOSJLZ,X,X
TIOSJZL,X,X
TIOSZLJ,X,X
TIOSZJL,X,X
TIOZLJS,X,O
TIOZLSJ,X,X
TIOZJLS,X,O
TIOZJSL,X,X
TIOZSLJ,X,X
TIOZSJL,X,X
TLIJSZO,X,X
TLIJSOZ,O,X
TLIJZSO,X,O
TLIJZOS,X,X
TLIJOSZ,X,X
TLIJOZS,X,X
TLISJZO,X,X
TLISJOZ,O,X
TLISZJO,X,X
TLISZOJ,X,X
TLISOJZ,O,X
TLISOZJ,X,X
TLIZJSO,X,O
TLIZJOS,X,X
TLIZSJO,X,X
TLIZSOJ,X,X
TLIZOJS,X,X
TLIZOSJ,X,X
TLIOJSZ,X,X
TLIOJZS,X,X
TLIOSJZ,X,X
TLIOSZJ,X,X
TLIOZJS,X,X
TLIOZSJ,X,X
TLJISZO,X,X
TLJISOZ,O,X
TLJIZSO,X,O
TLJIZOS,X,X
TLJIOSZ,X,X
TLJIOZS,X,X
TLJSIZO,X,X
TLJSIOZ,O,X
TLJSZIO,X,X
TLJSZOI,X,X
TLJSOIZ,O,X
TLJSOZI,X,X
TLJZISO,X,O
TLJZIOS,X,X
TLJZSIO,X,X
TLJZSOI,X,X
TLJZOIS,X,X
TLJZOSI,X,X
TLJOISZ,X,X
TLJOIZS,X,X
TLJOSIZ,X,X
TLJOSZI,X,X
TLJOZIS,X,X
TLJOZSI,X,X
TLSIJZO,X,X
TLSIJOZ,O,X
TLSIZJO,X,X
TLSIZOJ,X,X
TLSIOJZ,O,X
TLSIOZJ,X,X
TLSJIZO,X,X
TLSJIOZ,O,X
TLSJZIO,X,X
TLSJZOI,X,X
TLSJOIZ,O,X
TLSJOZI,X,X
TLSZIJO,X,X
TLSZIOJ,X,X
TLSZJIO,X,X
TLSZJOI,X,X
TLSZOIJ,X,X
TLSZOJI,X,X
TLSOIJZ,O,X
TLSOIZJ,X,X
TLSOJIZ,O,X
TLSOJZI,X,X
TLSOZIJ,X,X
TLSOZJI,X,X
TLZIJSO,X,O
TLZIJOS,X,X
TLZISJO,X,X
TLZISOJ,X,X
TLZIOJS,X,X
TLZIOSJ,X,X
TLZJISO,X,O
TLZJIOS,X,X
TLZJSIO,X,X
TLZJSOI,X,X
TLZJOIS,X,X
TLZJOSI,X,X
TLZSIJO,X,X
TLZSIOJ,X,X
TLZSJIO,X,X
TLZSJOI,X,X
TLZSOIJ,X,X
TLZSOJI,X,X
TLZOIJS,X,X
TLZOISJ,X,X
TLZOJIS,X,X
TLZOJSI,X,X
TLZOSIJ,X,X
TLZOSJI,X,X
TLOIJSZ,X,X
TLOIJZS,X,X
TLOISJZ,X,X
TLOISZJ,X,X
TLOIZJS,X,X
TLOIZSJ,X,X
TLOJISZ,X,X
TLOJIZS,X,X
TLOJSIZ,X,X
TLOJSZI,X,X
TLOJZIS,X,X
TLOJZSI,X,X
TLOSIJZ,X,X
TLOSIZJ,X,X
TLOSJIZ,X,X
TLOSJZI,X,X
TLOSZIJ,X,X
TLOSZJI,X,X
TLOZIJS,X,X
TLOZISJ,X,X
TLOZJIS,X,X
TLOZJSI,X,X
TLOZSIJ,X,X
TLOZSJI,X,X
TJILSZO,X,X
TJILSOZ,O,X
TJILZSO,X,O
TJILZOS,X,X
TJILOSZ,X,X
TJILOZS,X,X
TJISLZO,X,X
TJISLOZ,O,X
TJISZLO,X,X
TJISZOL,X,X
TJISOLZ,O,X
TJISOZL,X,X
TJIZLSO,X,O
TJIZLOS,X,X
TJIZSLO,X,X
TJIZSOL,X,X
TJIZOLS,X,X
TJIZOSL,X,X
TJIOLSZ,X,X
TJIOLZS,X,O
TJIOSLZ,X,X
TJIOSZL,X,X
TJIOZLS,X,O
TJIOZSL,X,X
TJLISZO,X,X
TJLISOZ,O,X
TJLIZSO,X,O
TJLIZOS,X,X
TJLIOSZ,X,X
TJLIOZS,X,X
TJLSIZO,X,X
TJLSIOZ,O,X
TJLSZIO,X,X
TJLSZOI,X,X
TJLSOIZ,O,X
TJLSOZI,X,X
TJLZISO,X,O
TJLZIOS,X,X
TJLZSIO,X,X
TJLZSOI,X,X
TJLZOIS,X,X
TJLZOSI,X,X
TJLOISZ,X,X
TJLOIZS,X,X
TJLOSIZ,X,X
TJLOSZI,X,X
TJLOZIS,X,X
TJLOZSI,X,X
TJSILZO,X,X
TJSILOZ,O,X
TJSIZLO,X,X
TJSIZOL,X,X
TJSIOLZ,O,X
TJSIOZL,X,X
TJSLIZO,X,X
TJSLIOZ,O,X
TJSLZIO,X,X
TJSLZOI,X,X
TJSLOIZ,O,X
TJSLOZI,X,X
TJSZILO,X,X
TJSZIOL,X,X
TJSZLIO,X,X
TJSZLOI,X,X
TJSZOIL,X,X
TJSZOLI,X,X
TJSOILZ,O,X
TJSOIZL,X,X
TJSOLIZ,O,X
TJSOLZI,X,X
TJSOZIL,X,X
TJSOZLI,X,X
TJZILSO,X,O
TJZILOS,X,X
TJZISLO,X,X
TJZISOL,X,X
TJZIOLS,X,X
TJZIOSL,X,X
TJZLISO,X,O
TJZLIOS,X,X
TJZLSIO,X,X
TJZLSOI,X,X
TJZLOIS,X,X
TJZLOSI,X,X
TJZSILO,X,X
TJZSIOL,X,X
TJZSLIO,X,X
TJZSLOI,X,X
TJZSOIL,X,X
TJZSOLI,X,X
TJZOILS,X,X
TJZOISL,X,X
TJZOLIS,X,X
TJZOLSI,X,X
TJZOSIL,X,X
TJZOSLI,X,X
TJOILSZ,X,X
TJOILZS,X,O
TJOISLZ,X,X
TJOISZL,X,X
TJOIZLS,X,O
TJOIZSL,X,X
TJOLISZ,X,X
TJOLIZS,X,O
TJOLSIZ,X,X
TJOLSZI,X,X
TJOLZIS,X,O
TJOLZSI,X,X
TJOSILZ,X,X
TJOSIZL,X,X
TJOSLIZ,X,X
TJOSLZI,X,X
TJOSZIL,X,X
TJOSZLI,X,X
TJOZILS,X,O
TJOZISL,X,X
TJOZLIS,X,O
TJOZLSI,X,X
TJOZSIL,X,X
TJOZSLI,X,X
TSILJZO,X,X
TSILJOZ,O,X
TSILZJO,X,X
TSILZOJ,X,X
TSILOJZ,O,X
TSILOZJ,X,X
TSIJLZO,X,X
TSIJLOZ,O,X
TSIJZLO,X,X
TSIJZOL,X,X
TSIJOLZ,O,X
TSIJOZL,X,X
TSIZLJO,X,X
TSIZLOJ,X,X
TSIZJLO,X,X
TSIZJOL,X,X
TSIZOLJ,X,X
TSIZOJL,X,X
TSIOLJZ,O,X
TSIOLZJ,X,X
TSIOJLZ,O,X
TSIOJZL,X,X
TSIOZLJ,X,X
TSIOZJL,X,X
TSLIJZO,X,X
TSLIJOZ,O,X
TSLIZJO,X,X
TSLIZOJ,X,X
TSLIOJZ,O,X
TSLIOZJ,X,X
TSLJIZO,X,X
TSLJIOZ,O,X
TSLJZIO,X,X
TSLJZOI,X,X
TSLJOIZ,O,X
TSLJOZI,X,X
TSLZIJO,X,X
TSLZIOJ,X,X
TSLZJIO,X,X
TSLZJOI,X,X
TSLZOIJ,X,X
TSLZOJI,X,X
TSLOIJZ,O,X
TSLOIZJ,X,X
TSLOJIZ,O,X
TSLOJZI,X,X
TSLOZIJ,X,X
TSLOZJI,X,X
TSJILZO,X,X
TSJILOZ,O,X
TSJIZLO,X,X
TSJIZOL,X,X
TSJIOLZ,O,X
TSJIOZL,X,X
TSJLIZO,X,X
TSJLIOZ,O,X
TSJLZIO,X,X
TSJLZOI,X,X
TSJLOIZ,O,X
TSJLOZI,X,X
TSJZILO,X,X
TSJZIOL,X,X
TSJZLIO,X,X
TSJZLOI,X,X
TSJZOIL,X,X
TSJZOLI,X,X
TSJOILZ,O,X
TSJOIZL,X,X
