sequence,v115@RhA8CeA8AeC8AeB8BeE8Ke/EJvhFUgBFhBmiB5oBCn?BTqB,v115@RhA8CeA8AeC8AeB8BeE8Ke/EJvhFalBFhB8mBziB5o?B+qB,v115@RhA8CeA8AeC8AeB8BeE8KeT/IvhF/lBFhBmiB5oBCn?BUqB
TILJSZO,O,X,X
TILJSOZ,O,X,X
TILJZSO,O,X,O
TILJZOS,O,X,O
TILJOSZ,O,X,X
TILJOZS,O,X,O
TILSJZO,O,X,X
TILSJOZ,O,X,X
TILSZJO,O,X,X
TILSZOJ,O,X,X
TILSOJZ,O,X,X
TILSOZJ,O,X,X
TILZJSO,O,X,O
TILZJOS,O,X,O
TILZSJO,O,X,O
TILZSOJ,O,X,O
TILZOJS,O,X,O
TILZOSJ,O,X,O
TILOJSZ,O,X,X
TILOJZS,O,X,O
TILOSJZ,O,X,X
TILOSZJ,O,X,X
TILOZJS,O,X,O
TILOZSJ,O,X,O
TIJLSZO,O,X,X
TIJLSOZ,O,X,X
TIJLZSO,O,X,O
TIJLZOS,O,X,O
TIJLOSZ,O,X,X
TIJLOZS,O,X,O
TIJSLZO,O,O,X
TIJSLOZ,O,O,X
TIJSZLO,O,O,X
TIJSZOL,O,O,X
TIJSOLZ,O,O,X
TIJSOZL,O,O,X
TIJZLSO,X,O,O
TIJZLOS,X,O,O
TIJZSLO,O,O,O
TIJZSOL,O,O,O
TIJZOLS,X,O,O
TIJZOSL,O,O,O
TIJOLSZ,O,X,X
TIJOLZS,O,X,O
TIJOSLZ,O,O,X
TIJOSZL,O,O,X
TIJOZLS,X,O,O
TIJOZSL,O,O,O
TISLJZO,O,O,X
TISLJOZ,O,O,X
TISLZJO,O,O,X
TISLZOJ,O,O,X
TISLOJZ,O,O,X
TISLOZJ,O,O,X
TISJLZO,O,O,X
TISJLOZ,O,O,X
TISJZLO,O,O,X
TISJZOL,O,O,X
TISJOLZ,O,O,X
TISJOZL,O,O,X
TISZLJO,O,O,X
TISZLOJ,O,O,X
TISZJLO,O,O,X
TISZJOL,O,O,X
TISZOLJ,O,O,X
TISZOJL,O,O,X
TISOLJZ,O,O,X
TISOLZJ,O,O,X
TISOJLZ,O,O,X
TISOJZL,O,O,X
TISOZLJ,O,O,X
TISOZJL,O,O,X
TIZLJSO,O,O,O
TIZLJOS,O,O,O
TIZLSJO,O,X,O
TIZLSOJ,O,X,O
TIZLOJS,O,O,O
TIZLOSJ,O,X,O
TIZJLSO,X,O,O
TIZJLOS,X,O,O
TIZJSLO,O,O,O
TIZJSOL,O,O,O
TIZJOLS,X,O,O
TIZJOSL,O,O,O
TIZSLJO,O,O,O
TIZSLOJ,O,O,O
TIZSJLO,O,O,O
TIZSJOL,O,O,O
TIZSOLJ,O,O,O
TIZSOJL,O,O,O
TIZOLJS,O,O,O
TIZOLSJ,O,X,O
TIZOJLS,X,O,O
TIZOJSL,O,O,O
TIZOSLJ,O,O,O
TIZOSJL,O,O,O
TIOLJSZ,O,X,X
TIOLJZS,O,X,O
TIOLSJZ,O,X,X
TIOLSZJ,O,X,X
TIOLZJS,O,X,O
TIOLZSJ,O,X,O
TIOJLSZ,O,X,X
TIOJLZS,O,X,O
TIOJSLZ,O,O,X
TIOJSZL,O,O,X
TIOJZLS,X,O,O
TIOJZSL,O,O,O
TIOSLJZ,O,O,X
TIOSLZJ,O,O,X
TIOSJLZ,O,O,X
TIOSJZL,O,O,X
TIOSZLJ,O,O,X
TIOSZJL,O,O,X
TIOZLJS,O,O,O
TIOZLSJ,O,X,O
TIOZJLS,X,O,O
TIOZJSL,O,O,O
TIOZSLJ,O,O,O
TIOZSJL,O,O,O
TLIJSZO,O,X,X
TLIJSOZ,O,X,X
TLIJZSO,O,X,O
TLIJZOS,O,X,O
TLIJOSZ,O,X,X
TLIJOZS,O,X,O
TLISJZO,O,X,X
TLISJOZ,O,X,X
TLISZJO,O,X,X
TLISZOJ,O,X,X
TLISOJZ,O,X,X
TLISOZJ,O,X,X
TLIZJSO,O,X,O
TLIZJOS,O,X,O
TLIZSJO,O,X,O
TLIZSOJ,O,X,O
TLIZOJS,O,X,O
TLIZOSJ,O,X,O
TLIOJSZ,O,X,X
TLIOJZS,O,X,O
TLIOSJZ,O,X,X
TLIOSZJ,O,X,X
TLIOZJS,O,X,O
TLIOZSJ,O,X,O
TLJISZO,O,X,X
TLJISOZ,O,X,X
TLJIZSO,O,X,O
TLJIZOS,O,X,O
TLJIOSZ,O,X,X
TLJIOZS,O,X,O
TLJSIZO,O,X,X
TLJSIOZ,O,X,X
TLJSZIO,O,X,X
TLJSZOI,O,X,X
TLJSOIZ,O,X,X
TLJSOZI,O,X,X
TLJZISO,O,X,O
TLJZIOS,O,X,O
TLJZSIO,O,X,O
TLJZSOI,O,X,O
TLJZOIS,O,X,O
TLJZOSI,O,X,O
TLJOISZ,O,X,X
TLJOIZS,O,X,O
TLJOSIZ,O,X,X
TLJOSZI,O,X,X
TLJOZIS,O,X,O
TLJOZSI,O,X,O
TLSIJZO,O,X,X
TLSIJOZ,O,X,X
TLSIZJO,O,X,X
TLSIZOJ,O,X,X
TLSIOJZ,O,X,X
TLSIOZJ,O,X,X
TLSJIZO,O,X,X
TLSJIOZ,O,X,X
TLSJZIO,O,X,X
TLSJZOI,O,X,X
TLSJOIZ,O,X,X
TLSJOZI,O,X,X
TLSZIJO,O,X,X
TLSZIOJ,O,X,X
TLSZJIO,O,X,X
TLSZJOI,O,X,X
TLSZOIJ,O,X,X
TLSZOJI,O,X,X
