sequence,v115@9gA8IeA8IeA8EeA8CeG8BeA8JeuEJvhF3gB1mB0iB6?oBxqBzsB,v115@9gA8IeA8IeA8EeA8CeG8BeA8JeRAJvhF3hBFjBzkBW?rB6sBctB,v115@9gA8IeA8IeA8EeA8CeG8BeA8JeuEJvhF1lB0hB6nBT?jBxqBXtB,v115@9gA8IeA8IeA8EeA8CeG8BeA8JeRBJvhFGjBClBTmBl?nBUlBXtB,v115@9gA8IeA8IeA8EeA8CeG8BeA8JeCAJvhFxhBVqBUmBG?nBToBXtB,v115@9gA8IeA8IeA8EeA8CeG8BeA8JeRAJvhF3hBzkBWrBl?nBctBCtB
TILJSZO,O,X,O,X,X,X
TILJSOZ,O,X,O,X,X,X
TILJZSO,O,X,O,X,O,X
TILJZOS,O,X,O,X,O,X
TILJOSZ,O,X,X,O,X,X
TILJOZS,O,X,X,O,O,X
TILSJZO,O,X,O,X,X,X
TILSJOZ,O,X,O,X,X,X
TILSZJO,O,X,O,X,X,X
TILSZOJ,O,X,O,X,X,X
TILSOJZ,O,X,O,X,X,X
TILSOZJ,O,X,O,X,X,X
TILZJSO,O,X,O,X,O,X
TILZJOS,O,X,O,X,O,X
TILZSJO,O,X,O,X,O,X
TILZSOJ,O,X,O,X,X,X
TILZOJS,O,X,O,X,O,X
TILZOSJ,O,X,O,X,X,X
TILOJSZ,O,X,X,O,X,X
TILOJZS,O,X,X,O,O,X
TILOSJZ,O,X,X,O,X,X
TILOSZJ,O,X,X,X,X,X
TILOZJS,O,X,X,O,O,X
TILOZSJ,O,X,X,X,X,X
TIJLSZO,O,X,O,X,X,X
TIJLSOZ,O,X,O,X,X,X
TIJLZSO,O,X,O,X,O,X
TIJLZOS,O,X,O,X,O,X
TIJLOSZ,O,X,X,O,X,X
TIJLOZS,O,X,X,O,O,X
TIJSLZO,O,X,O,X,X,X
TIJSLOZ,O,X,O,X,X,X
TIJSZLO,O,X,O,X,X,X
TIJSZOL,O,X,O,X,X,X
TIJSOLZ,O,X,O,O,X,X
TIJSOZL,O,X,O,X,X,X
TIJZLSO,O,X,O,X,O,X
TIJZLOS,O,X,O,X,O,X
TIJZSLO,O,X,O,X,O,X
TIJZSOL,O,X,O,X,O,X
TIJZOLS,O,X,O,O,O,X
TIJZOSL,O,X,O,X,O,X
TIJOLSZ,O,X,X,O,X,X
TIJOLZS,O,X,X,O,O,X
