sequence,v115@ThA8EeB8AeI8JeZEJvhFupBFmBXnBToB0qBSxB,v115@ThA8EeB8AeI8Jei/IvhFRhB+nBTjBcpBlqB3rB,v115@ThA8EeB8AeI8JeZEJvhFupBfsB6sBToBlqBUrB
TILJSZO,X,X,X
TILJSOZ,X,X,O
TILJZSO,X,X,X
TILJZOS,X,X,X
TILJOSZ,X,X,O
TILJOZS,X,X,X
TILSJZO,X,X,X
TILSJOZ,X,X,O
TILSZJO,X,X,X
TILSZOJ,X,X,X
TILSOJZ,X,X,O
TILSOZJ,X,X,X
TILZJSO,X,X,X
TILZJOS,X,X,X
TILZSJO,X,X,X
TILZSOJ,X,X,X
TILZOJS,X,X,X
TILZOSJ,X,X,X
TILOJSZ,X,X,O
TILOJZS,X,X,X
TILOSJZ,X,X,O
TILOSZJ,X,X,X
TILOZJS,X,X,X
TILOZSJ,X,X,X
TIJLSZO,X,X,X
TIJLSOZ,X,X,O
TIJLZSO,X,X,X
TIJLZOS,X,X,X
TIJLOSZ,X,X,O
TIJLOZS,X,X,X
TIJSLZO,X,X,X
TIJSLOZ,X,X,O
TIJSZLO,X,X,X
TIJSZOL,X,X,X
TIJSOLZ,X,X,O
TIJSOZL,X,X,X
TIJZLSO,X,X,X
TIJZLOS,X,O,X
TIJZSLO,X,X,X
TIJZSOL,X,X,X
TIJZOLS,X,O,X
TIJZOSL,X,X,X
TIJOLSZ,X,X,O
TIJOLZS,X,X,X
TIJOSLZ,X,X,O
TIJOSZL,X,X,X
TIJOZLS,X,O,X
TIJOZSL,X,X,X
TISLJZO,X,X,X
TISLJOZ,X,X,O
TISLZJO,X,X,X
TISLZOJ,X,X,X
TISLOJZ,X,X,O
TISLOZJ,X,X,X
TISJLZO,X,X,X
TISJLOZ,X,X,O
TISJZLO,X,O,X
TISJZOL,X,O,X
TISJOLZ,X,X,O
TISJOZL,X,O,X
TISZLJO,X,O,X
TISZLOJ,X,X,X
TISZJLO,X,O,X
TISZJOL,X,O,X
TISZOLJ,X,X,X
