sequence,v115@GhA8IeA8EeA8CeB8BeG8Jei/IvhFRhBziBFlBXmB2s?B0pB,v115@GhA8IeA8EeA8CeB8BeG8Jex/IvhF0hBmiB/pBaqBzq?B1xB,v115@GhA8IeA8EeA8CeB8BeG8Jex/IvhFlhB3iBmkBzlBys?B0pB,v115@GhA8IeA8EeA8CeB8BeG8Jex/IvhF0hBmiBTkByqB1s?BXqB,v115@GhA8IeA8EeA8CeB8BeG8JeOEJvhF0gBlhB3iBysBRq?BzpB,v115@GhA8IeA8EeA8CeB8BeG8Jem/IvhFfmBlhBaoBTnBxp?B0pB,v115@GhA8IeA8EeA8CeB8BeG8JeKEJvhFRhBcnBeoBFlBXm?BzpB
TILJSZO,X,X,X,X,O,O,X
TILJSOZ,X,X,X,X,O,O,X
TILJZSO,X,X,X,X,O,X,X
TILJZOS,X,X,X,O,O,X,X
TILJOSZ,X,X,X,O,O,X,X
TILJOZS,X,X,X,O,O,X,X
TILSJZO,X,X,X,X,O,O,X
TILSJOZ,X,X,X,X,O,O,X
TILSZJO,X,X,O,X,O,O,X
TILSZOJ,X,X,O,X,O,X,X
TILSOJZ,X,X,O,X,O,O,X
TILSOZJ,X,X,O,X,O,X,X
TILZJSO,X,X,O,X,O,X,X
TILZJOS,X,X,O,O,O,X,X
TILZSJO,X,X,O,X,O,X,X
TILZSOJ,X,X,O,X,O,X,X
TILZOJS,X,X,O,O,O,X,X
TILZOSJ,X,X,O,O,O,X,X
TILOJSZ,X,X,O,O,O,X,X
TILOJZS,X,X,X,O,O,X,X
TILOSJZ,X,X,O,O,O,X,X
TILOSZJ,X,X,O,O,O,X,X
TILOZJS,X,X,O,O,O,X,X
TILOZSJ,X,X,O,O,O,X,X
TIJLSZO,X,X,X,X,O,O,X
TIJLSOZ,X,X,X,X,O,O,X
TIJLZSO,X,X,X,X,O,X,X
TIJLZOS,X,X,X,O,O,X,X
TIJLOSZ,X,X,X,O,O,X,X
TIJLOZS,X,X,X,O,O,X,X
TIJSLZO,X,O,X,X,O,O,X
TIJSLOZ,X,O,X,X,O,O,X
TIJSZLO,X,O,X,X,O,O,X
TIJSZOL,X,O,X,X,X,O,X
TIJSOLZ,X,O,X,X,X,O,X
TIJSOZL,X,O,X,X,X,O,X
TIJZLSO,X,X,X,X,O,X,X
TIJZLOS,X,X,X,O,O,X,X
TIJZSLO,X,O,X,X,O,X,X
TIJZSOL,X,O,X,X,X,X,X
TIJZOLS,X,O,X,O,O,X,X
TIJZOSL,X,O,X,O,X,X,X
TIJOLSZ,X,X,X,O,O,O,X
TIJOLZS,X,O,X,O,O,X,X
TIJOSLZ,X,O,X,O,X,O,X
TIJOSZL,X,O,X,O,X,O,X
TIJOZLS,X,O,X,O,O,X,X
TIJOZSL,X,O,X,O,X,X,X
TISLJZO,X,O,X,X,O,O,X
TISLJOZ,X,O,X,X,O,O,X
TISLZJO,X,O,X,X,O,O,X
TISLZOJ,X,O,X,X,O,X,X
TISLOJZ,X,O,X,X,O,O,X
TISLOZJ,X,O,X,X,O,O,X
TISJLZO,X,O,X,X,O,O,X
TISJLOZ,X,O,X,X,O,O,X
TISJZLO,X,O,X,X,O,O,X
TISJZOL,X,O,X,X,X,O,X
TISJOLZ,X,O,X,X,X,O,X
TISJOZL,X,O,X,X,X,O,X
TISZLJO,X,O,X,X,O,O,X
TISZLOJ,X,O,X,X,O,X,X
TISZJLO,X,O,X,X,O,O,X
TISZJOL,X,O,X,X,X,O,X
TISZOLJ,X,O,X,X,X,O,X
TISZOJL,X,O,X,X,X,O,X
TISOLJZ,X,O,X,X,X,O,X
TISOLZJ,X,O,X,X,X,O,X
TISOJLZ,X,O,X,X,X,O,X
TISOJZL,X,O,X,X,X,O,X
TISOZLJ,X,O,X,X,X,O,X
TISOZJL,X,O,X,X,X,O,X
TIZLJSO,X,X,O,X,O,X,X
TIZLJOS,X,X,O,O,O,X,X
TIZLSJO,X,X,O,X,O,X,X
TIZLSOJ,X,X,O,X,O,X,X
TIZLOJS,X,X,O,O,O,X,X
TIZLOSJ,X,X,O,O,O,X,X
TIZJLSO,X,X,O,X,O,X,X
TIZJLOS,X,X,O,O,O,X,X
TIZJSLO,X,O,O,X,O,X,X
TIZJSOL,X,O,X,X,X,X,X
TIZJOLS,X,O,O,O,O,X,X
TIZJOSL,X,O,X,O,X,X,X
TIZSLJO,X,O,X,X,O,X,X
TIZSLOJ,X,O,X,X,O,X,X
TIZSJLO,X,O,X,X,O,X,X
TIZSJOL,X,O,X,X,X,X,X
TIZSOLJ,X,O,X,X,X,X,X
TIZSOJL,X,O,X,X,X,X,X
TIZOLJS,X,O,O,O,O,X,X
TIZOLSJ,X,X,O,O,O,X,X
TIZOJLS,X,O,O,O,O,X,X
TIZOJSL,X,O,O,O,X,X,X
TIZOSLJ,X,O,O,X,X,X,X
TIZOSJL,X,O,X,O,X,X,X
TIOLJSZ,X,X,O,O,O,O,X
TIOLJZS,X,O,X,O,O,X,X
TIOLSJZ,X,X,O,O,O,O,X
TIOLSZJ,X,X,O,O,O,O,X
TIOLZJS,X,O,O,O,O,X,X
TIOLZSJ,X,X,O,O,O,X,X
TIOJLSZ,X,X,O,O,O,O,X
TIOJLZS,X,O,X,O,O,X,X
TIOJSLZ,X,O,X,O,X,O,X
TIOJSZL,X,O,X,O,X,O,X
TIOJZLS,X,O,X,O,O,X,X
TIOJZSL,X,O,X,O,X,X,X
TIOSLJZ,X,O,O,O,X,O,X
TIOSLZJ,X,O,O,O,X,O,X
TIOSJLZ,X,O,X,O,X,O,X
TIOSJZL,X,O,X,O,X,O,X
TIOSZLJ,X,O,X,X,X,O,X
TIOSZJL,X,O,X,O,X,O,X
TIOZLJS,X,O,O,O,O,X,X
TIOZLSJ,X,X,O,O,O,X,X
TIOZJLS,X,O,O,O,O,X,X
TIOZJSL,X,O,O,O,X,X,X
TIOZSLJ,X,O,O,X,X,X,X
TIOZSJL,X,O,X,O,X,X,X
TLIJSZO,X,X,X,X,O,O,O
TLIJSOZ,X,X,X,X,O,O,X
TLIJZSO,X,X,X,X,O,X,O
TLIJZOS,X,X,X,O,O,X,X
TLIJOSZ,X,X,X,O,O,X,X
TLIJOZS,X,X,X,O,O,X,X
TLISJZO,X,X,X,X,O,O,O
TLISJOZ,X,X,X,X,O,O,X
TLISZJO,X,X,O,X,O,O,X
TLISZOJ,X,X,O,X,O,X,X
TLISOJZ,X,X,O,X,O,O,X
TLISOZJ,X,X,O,X,O,X,X
TLIZJSO,X,X,O,X,O,X,X
TLIZJOS,X,X,O,O,O,X,X
TLIZSJO,X,X,O,X,O,X,X
TLIZSOJ,X,X,O,X,O,X,X
TLIZOJS,X,X,O,O,O,X,X
TLIZOSJ,X,X,O,O,O,X,X
TLIOJSZ,X,X,O,O,O,X,X
TLIOJZS,X,X,X,O,O,X,X
TLIOSJZ,X,X,O,O,O,X,X
TLIOSZJ,X,X,O,O,O,X,X
TLIOZJS,X,X,O,O,O,X,X
TLIOZSJ,X,X,O,O,O,X,X
TLJISZO,X,X,X,X,O,X,O
TLJISOZ,X,X,X,X,O,X,X
TLJIZSO,X,X,X,X,O,X,O
TLJIZOS,X,X,X,O,O,X,X
TLJIOSZ,X,X,X,O,O,X,X
TLJIOZS,X,X,X,O,O,X,X
TLJSIZO,X,O,X,X,O,O,O
TLJSIOZ,X,O,X,X,O,O,X
TLJSZIO,X,O,O,X,O,X,O
TLJSZOI,X,O,O,O,X,X,O
TLJSOIZ,X,O,O,O,O,X,X
TLJSOZI,X,O,O,O,X,X,O
TLJZISO,X,X,O,X,O,X,O
TLJZIOS,X,X,O,O,O,X,X
TLJZSIO,X,O,O,X,O,X,O
TLJZSOI,X,O,O,O,X,X,O
TLJZOIS,X,O,O,O,X,X,X
TLJZOSI,X,O,O,O,X,X,O
TLJOISZ,X,X,O,O,O,X,X
TLJOIZS,X,O,X,O,O,X,X
TLJOSIZ,X,O,O,O,O,X,X
TLJOSZI,X,O,O,O,X,X,O
TLJOZIS,X,O,O,O,X,X,X
TLJOZSI,X,O,O,O,X,X,O
TLSIJZO,X,O,X,X,O,O,O
TLSIJOZ,X,O,X,X,O,O,X
TLSIZJO,X,O,O,X,O,O,X
TLSIZOJ,X,O,O,X,O,X,X
TLSIOJZ,X,O,O,X,O,O,X
TLSIOZJ,X,O,O,X,O,O,X
TLSJIZO,X,O,X,X,O,O,O
TLSJIOZ,X,O,X,X,O,O,X
TLSJZIO,X,O,O,X,O,X,O
TLSJZOI,X,O,O,O,X,X,O
TLSJOIZ,X,O,O,O,O,X,X
TLSJOZI,X,O,O,O,X,X,O
TLSZIJO,X,O,O,X,O,O,X
TLSZIOJ,X,O,O,X,O,X,X
TLSZJIO,X,O,O,X,O,X,O
TLSZJOI,X,O,O,O,X,X,O
TLSZOIJ,X,O,O,O,X,X,X
TLSZOJI,X,O,O,O,X,X,X
TLSOIJZ,X,O,O,O,O,O,X
TLSOIZJ,X,O,O,O,O,O,X
TLSOJIZ,X,O,O,O,O,O,X
TLSOJZI,X,O,O,O,X,X,O
TLSOZIJ,X,O,O,O,X,O,X
TLSOZJI,X,O,O,O,X,X,X
TLZIJSO,X,X,O,X,O,X,X
TLZIJOS,X,X,O,O,O,X,X
TLZISJO,X,X,O,X,O,X,X
TLZISOJ,X,X,O,X,O,X,X
TLZIOJS,X,X,O,O,O,X,X
TLZIOSJ,X,X,O,O,O,X,X
TLZJISO,X,X,O,X,O,X,O
TLZJIOS,X,X,O,O,O,X,X
TLZJSIO,X,O,O,X,O,X,O
TLZJSOI,X,O,O,O,X,X,O
TLZJOIS,X,O,O,O,X,X,X
TLZJOSI,X,O,O,O,X,X,O
TLZSIJO,X,O,O,X,O,O,X
TLZSIOJ,X,O,O,X,O,X,X
TLZSJIO,X,O,O,X,O,X,O
TLZSJOI,X,O,O,O,X,X,O
TLZSOIJ,X,O,O,O,X,X,X
TLZSOJI,X,O,O,O,X,X,X
TLZOIJS,X,O,O,O,X,X,X
TLZOISJ,X,X,O,O,X,X,X
TLZOJIS,X,O,O,O,X,X,X
TLZOJSI,X,O,O,O,X,X,X
TLZOSIJ,X,O,O,O,X,X,X
TLZOSJI,X,O,O,O,X,X,X
TLOIJSZ,X,X,O,O,O,X,X
TLOIJZS,X,O,X,O,O,X,X
TLOISJZ,X,X,O,O,O,O,X
TLOISZJ,X,X,O,O,O,O,X
TLOIZJS,X,O,O,O,O,X,X
TLOIZSJ,X,X,O,O,O,X,X
TLOJISZ,X,X,O,O,O,X,X
TLOJIZS,X,O,X,O,O,X,X
TLOJSIZ,X,O,O,O,O,O,X
TLOJSZI,X,O,O,O,X,X,O
TLOJZIS,X,O,O,O,X,X,X
TLOJZSI,X,O,O,O,X,X,O
TLOSIJZ,X,O,O,O,O,O,X
TLOSIZJ,X,O,O,O,O,O,X
TLOSJIZ,X,O,O,O,O,O,X
TLOSJZI,X,O,O,O,X,X,O
TLOSZIJ,X,O,O,O,X,O,X
TLOSZJI,X,O,O,O,X,X,X
TLOZIJS,X,O,O,O,X,X,X
TLOZISJ,X,X,O,O,X,X,X
TLOZJIS,X,O,O,O,X,X,X
TLOZJSI,X,O,O,O,X,X,X
TLOZSIJ,X,O,O,O,X,O,X
TLOZSJI,X,O,O,O,X,X,X
TJILSZO,X,X,X,X,O,X,X
TJILSOZ,X,X,X,X,O,X,X
TJILZSO,X,X,X,X,O,X,X
TJILZOS,X,X,X,O,O,X,X
TJILOSZ,X,X,X,O,O,X,X
TJILOZS,X,X,X,O,O,X,X
TJISLZO,O,O,X,X,O,X,X
TJISLOZ,O,O,X,X,O,X,X
TJISZLO,O,O,X,X,O,X,X
TJISZOL,O,O,X,X,X,X,X
TJISOLZ,O,O,X,X,X,X,X
TJISOZL,O,O,X,X,X,X,X
TJIZLSO,O,X,X,X,O,X,X
TJIZLOS,O,X,X,O,O,X,X
TJIZSLO,O,O,X,X,O,X,X
TJIZSOL,O,O,X,X,X,X,X
TJIZOLS,O,O,X,O,O,X,X
TJIZOSL,O,O,X,O,X,X,X
TJIOLSZ,X,X,X,O,O,X,X
TJIOLZS,X,O,X,O,O,X,X
TJIOSLZ,O,O,X,O,X,X,X
TJIOSZL,O,O,X,O,X,X,X
TJIOZLS,O,O,X,O,O,X,X
TJIOZSL,O,O,X,O,X,X,X
TJLISZO,X,X,X,X,O,X,O
TJLISOZ,X,X,X,X,O,X,X
TJLIZSO,X,X,X,X,O,X,O
TJLIZOS,X,X,X,O,O,X,X
TJLIOSZ,X,X,X,O,O,X,X
TJLIOZS,X,X,X,O,O,X,X
TJLSIZO,X,O,X,X,O,O,O
TJLSIOZ,X,O,X,X,O,O,X
TJLSZIO,X,O,O,X,O,X,O
TJLSZOI,X,O,O,O,X,X,O
TJLSOIZ,X,O,O,O,O,X,X
TJLSOZI,X,O,O,O,X,X,O
TJLZISO,X,X,O,X,O,X,O
TJLZIOS,X,X,O,O,O,X,X
TJLZSIO,X,O,O,X,O,X,O
TJLZSOI,X,O,O,O,X,X,O
TJLZOIS,X,O,O,O,X,X,X
TJLZOSI,X,O,O,O,X,X,O
TJLOISZ,X,X,O,O,O,X,X
TJLOIZS,X,O,X,O,O,X,X
TJLOSIZ,X,O,O,O,O,X,X
TJLOSZI,X,O,O,O,X,X,O
TJLOZIS,X,O,O,O,X,X,X
TJLOZSI,X,O,O,O,X,X,O
TJSILZO,O,O,X,X,O,O,X
TJSILOZ,O,O,X,X,O,O,X
TJSIZLO,O,O,X,X,O,O,X
TJSIZOL,O,O,X,X,X,O,X
TJSIOLZ,O,O,X,X,X,O,X
TJSIOZL,O,O,X,X,X,O,X
TJSLIZO,O,O,X,X,O,O,O
TJSLIOZ,O,O,X,X,O,O,X
TJSLZIO,O,O,X,X,O,X,O
TJSLZOI,O,O,X,O,X,X,O
TJSLOIZ,O,O,X,O,O,X,X
TJSLOZI,O,O,X,O,X,X,O
TJSZILO,O,O,X,X,X,X,O
TJSZIOL,O,O,X,X,X,X,X
TJSZLIO,O,O,X,X,X,X,O
TJSZLOI,O,O,X,O,X,X,O
TJSZOIL,O,O,X,O,X,X,X
TJSZOLI,O,O,X,O,X,X,X
TJSOILZ,O,O,X,O,X,O,X
TJSOIZL,O,O,X,O,X,O,X
TJSOLIZ,O,O,X,O,X,O,X
TJSOLZI,O,O,X,O,X,X,X
TJSOZIL,O,O,X,O,X,X,X
TJSOZLI,O,O,X,O,X,X,X
TJZILSO,O,X,O,X,O,X,O
TJZILOS,O,X,O,O,O,X,X
TJZISLO,O,O,O,X,O,X,O
TJZISOL,O,O,X,X,X,X,X
TJZIOLS,O,O,O,O,O,X,X
TJZIOSL,O,O,X,O,X,X,X
TJZLISO,O,X,O,X,O,X,O
TJZLIOS,O,X,O,O,O,X,X
