sequence,v115@QhB8GeH8BeB8JeT/IvhFelBChBxiBXmBlnBUsB,v115@QhB8GeH8BeB8Je/EJvhFUgBRhBFjByqBzmB+sB,v115@QhB8GeH8BeB8Je/EJvhFalBGhBxiBzlBlnBUsB,v115@QhB8GeH8BeB8Jem/IvhFqlBThBxiB0kBVsB3sB,v115@QhB8GeH8BeB8Jem/IvhFRhB0kBzlBfsBlnBCtB
TILJSZO,O,O,X,X,X
TILJSOZ,O,O,X,X,X
TILJZSO,X,O,X,O,X
TILJZOS,X,X,X,O,X
TILJOSZ,O,O,X,X,X
TILJOZS,X,O,X,O,X
TILSJZO,O,O,X,X,X
TILSJOZ,O,O,O,X,X
TILSZJO,O,O,X,O,X
TILSZOJ,X,O,O,O,X
TILSOJZ,O,X,O,X,X
TILSOZJ,X,O,O,O,X
TILZJSO,X,X,X,O,X
TILZJOS,X,X,X,O,X
TILZSJO,X,O,X,O,X
TILZSOJ,X,O,X,O,X
TILZOJS,X,X,X,O,X
TILZOSJ,X,X,X,O,X
TILOJSZ,O,X,O,X,X
TILOJZS,X,X,X,O,X
TILOSJZ,O,X,O,X,X
TILOSZJ,X,O,O,O,X
TILOZJS,X,X,X,O,X
TILOZSJ,X,X,X,O,X
TIJLSZO,O,O,X,X,X
TIJLSOZ,O,O,X,X,X
TIJLZSO,X,O,X,O,X
TIJLZOS,X,X,X,O,X
TIJLOSZ,O,O,X,X,X
TIJLOZS,X,O,X,O,X
TIJSLZO,O,O,X,X,X
TIJSLOZ,O,O,O,X,X
TIJSZLO,O,O,X,X,X
TIJSZOL,O,O,X,X,X
TIJSOLZ,O,O,O,X,X
TIJSOZL,O,O,O,X,X
TIJZLSO,X,X,X,O,X
TIJZLOS,X,X,X,O,X
TIJZSLO,O,X,X,O,X
TIJZSOL,O,X,X,X,X
TIJZOLS,X,X,X,O,X
TIJZOSL,O,X,X,X,X
TIJOLSZ,O,O,O,X,X
TIJOLZS,X,O,X,O,X
TIJOSLZ,O,O,O,X,X
TIJOSZL,O,O,O,X,X
TIJOZLS,X,O,X,O,X
TIJOZSL,O,O,O,X,X
TISLJZO,O,O,X,X,X
TISLJOZ,O,O,O,X,X
TISLZJO,O,O,O,O,X
TISLZOJ,X,O,O,O,X
TISLOJZ,O,X,O,X,X
TISLOZJ,X,O,O,O,X
TISJLZO,O,O,X,X,X
TISJLOZ,O,O,O,X,X
TISJZLO,O,O,X,X,X
TISJZOL,O,O,X,X,X
TISJOLZ,O,O,O,X,X
TISJOZL,O,O,O,X,X
TISZLJO,O,O,O,O,X
TISZLOJ,X,O,O,O,X
TISZJLO,O,O,O,O,X
TISZJOL,O,O,X,X,X
TISZOLJ,X,O,O,O,X
TISZOJL,O,O,O,X,X
TISOLJZ,O,X,O,X,X
TISOLZJ,X,X,O,O,X
TISOJLZ,O,X,O,X,X
TISOJZL,O,X,O,X,X
TISOZLJ,X,X,O,O,X
TISOZJL,O,X,O,X,X
TIZLJSO,X,X,X,O,X
TIZLJOS,X,X,X,O,X
TIZLSJO,X,X,X,O,X
TIZLSOJ,X,X,X,O,X
TIZLOJS,X,X,X,O,X
TIZLOSJ,X,X,X,O,X
TIZJLSO,X,X,X,O,X
TIZJLOS,X,X,X,O,X
TIZJSLO,O,X,O,O,X
TIZJSOL,O,X,X,X,X
TIZJOLS,X,X,X,O,X
TIZJOSL,O,X,O,X,X
TIZSLJO,O,X,O,O,X
TIZSLOJ,X,X,O,O,X
TIZSJLO,O,X,O,O,X
TIZSJOL,O,X,X,X,X
TIZSOLJ,X,X,O,O,X
TIZSOJL,O,X,O,X,X
TIZOLJS,X,X,X,O,X
TIZOLSJ,X,X,X,O,X
TIZOJLS,X,X,X,O,X
TIZOJSL,O,X,O,X,X
TIZOSLJ,X,X,O,O,X
TIZOSJL,O,X,O,X,X
TIOLJSZ,O,X,O,X,X
TIOLJZS,X,X,X,O,X
TIOLSJZ,O,X,O,X,X
TIOLSZJ,X,X,O,O,X
TIOLZJS,X,X,X,O,X
TIOLZSJ,X,X,X,O,X
TIOJLSZ,O,X,O,X,X
TIOJLZS,X,X,X,O,X
TIOJSLZ,O,X,O,X,X
TIOJSZL,O,X,O,X,X
TIOJZLS,X,X,X,O,X
TIOJZSL,O,X,O,X,X
TIOSLJZ,O,X,O,X,X
TIOSLZJ,X,X,O,O,X
TIOSJLZ,O,X,O,X,X
TIOSJZL,O,X,O,X,X
TIOSZLJ,X,X,O,O,X
TIOSZJL,O,X,O,X,X
TIOZLJS,X,X,X,O,X
TIOZLSJ,X,X,X,O,X
TIOZJLS,X,X,X,O,X
TIOZJSL,O,X,O,X,X
TIOZSLJ,X,X,O,O,X
TIOZSJL,O,X,O,X,X
TLIJSZO,O,O,X,X,X
TLIJSOZ,O,O,X,X,X
TLIJZSO,X,O,X,O,X
TLIJZOS,X,X,X,O,X
TLIJOSZ,O,O,X,X,X
TLIJOZS,X,O,X,O,X
TLISJZO,O,O,X,X,X
TLISJOZ,O,O,O,X,X
TLISZJO,O,O,X,O,X
TLISZOJ,X,O,O,O,X
TLISOJZ,O,X,O,X,X
TLISOZJ,X,O,O,O,X
TLIZJSO,X,X,X,O,X
TLIZJOS,X,X,X,O,X
TLIZSJO,X,O,X,O,X
TLIZSOJ,X,O,X,O,X
TLIZOJS,X,X,X,O,X
TLIZOSJ,X,X,X,O,X
TLIOJSZ,O,X,O,X,X
TLIOJZS,X,X,X,O,X
TLIOSJZ,O,X,O,X,X
TLIOSZJ,X,O,O,O,X
TLIOZJS,X,X,X,O,X
TLIOZSJ,X,X,X,O,X
TLJISZO,O,O,X,X,X
TLJISOZ,O,O,X,X,X
TLJIZSO,X,O,X,O,X
TLJIZOS,X,X,X,O,X
TLJIOSZ,O,O,X,X,X
TLJIOZS,X,O,X,O,X
TLJSIZO,O,O,X,X,X
TLJSIOZ,O,O,X,X,X
TLJSZIO,O,O,X,X,X
TLJSZOI,O,O,X,X,X
TLJSOIZ,O,O,X,X,X
TLJSOZI,O,O,X,X,X
TLJZISO,X,O,X,O,X
TLJZIOS,X,X,X,O,X
TLJZSIO,X,O,X,O,X
TLJZSOI,X,O,X,O,X
TLJZOIS,X,O,X,O,X
TLJZOSI,X,O,X,O,X
TLJOISZ,O,O,X,X,X
TLJOIZS,X,O,X,O,X
TLJOSIZ,O,O,X,X,X
TLJOSZI,O,O,X,X,X
TLJOZIS,X,O,X,O,X
TLJOZSI,X,O,X,O,X
TLSIJZO,O,O,X,X,X
TLSIJOZ,O,O,O,X,X
TLSIZJO,O,O,X,O,X
TLSIZOJ,X,O,O,O,X
TLSIOJZ,O,X,O,X,X
TLSIOZJ,X,O,O,O,X
TLSJIZO,O,O,X,X,X
TLSJIOZ,O,O,O,X,X
TLSJZIO,O,O,X,X,X
TLSJZOI,O,O,X,X,X
TLSJOIZ,O,O,O,X,X
TLSJOZI,O,O,O,X,X
TLSZIJO,O,O,X,O,X
TLSZIOJ,X,O,O,O,X
TLSZJIO,O,O,X,O,X
TLSZJOI,O,O,X,O,X
TLSZOIJ,X,O,O,O,X
TLSZOJI,X,O,O,O,X
TLSOIJZ,O,O,O,X,X
TLSOIZJ,X,O,O,O,X
TLSOJIZ,O,O,O,X,X
TLSOJZI,O,O,O,X,X
TLSOZIJ,X,O,O,O,X
TLSOZJI,X,O,O,O,X
TLZIJSO,X,X,X,O,X
TLZIJOS,X,X,X,O,X
TLZISJO,X,O,X,O,X
TLZISOJ,X,O,X,O,X
TLZIOJS,X,X,X,O,X
TLZIOSJ,X,X,X,O,X
TLZJISO,X,O,X,O,X
TLZJIOS,X,X,X,O,X
TLZJSIO,X,O,X,O,X
TLZJSOI,X,O,X,O,X
TLZJOIS,X,O,X,O,X
TLZJOSI,X,O,X,O,X
TLZSIJO,X,O,X,O,X
TLZSIOJ,X,O,X,O,X
TLZSJIO,X,O,X,O,X
TLZSJOI,X,O,X,O,X
TLZSOIJ,X,O,X,O,X
TLZSOJI,X,O,X,O,X
TLZOIJS,X,X,X,O,X
TLZOISJ,X,X,X,O,X
TLZOJIS,X,X,X,O,X
TLZOJSI,X,X,X,O,X
TLZOSIJ,X,X,X,O,X
TLZOSJI,X,X,X,O,X
TLOIJSZ,O,O,O,X,X
TLOIJZS,X,O,X,O,X
TLOISJZ,O,O,O,X,X
TLOISZJ,X,O,O,O,X
TLOIZJS,X,X,X,O,X
TLOIZSJ,X,X,X,O,X
TLOJISZ,O,O,O,X,X
TLOJIZS,X,O,X,O,X
TLOJSIZ,O,O,O,X,X
TLOJSZI,O,O,O,X,X
TLOJZIS,X,O,X,O,X
TLOJZSI,X,O,X,O,X
TLOSIJZ,O,O,O,X,X
TLOSIZJ,X,O,O,O,X
TLOSJIZ,O,O,O,X,X
TLOSJZI,O,O,O,X,X
TLOSZIJ,X,O,O,O,X
TLOSZJI,X,O,O,O,X
TLOZIJS,X,X,X,O,X
TLOZISJ,X,X,X,O,X
TLOZJIS,X,X,X,O,X
TLOZJSI,X,X,X,O,X
TLOZSIJ,X,X,X,O,X
TLOZSJI,X,X,X,O,X
TJILSZO,O,O,X,X,X
TJILSOZ,O,O,X,X,X
TJILZSO,X,O,X,O,X
TJILZOS,X,X,X,O,X
TJILOSZ,O,O,X,X,X
TJILOZS,X,O,X,O,X
TJISLZO,O,O,X,X,X
TJISLOZ,O,O,O,X,X
TJISZLO,O,O,X,X,X
TJISZOL,O,O,X,X,X
TJISOLZ,O,O,O,X,X
TJISOZL,O,O,O,X,X
TJIZLSO,X,X,X,O,X
TJIZLOS,X,X,X,O,X
TJIZSLO,O,X,X,O,X
TJIZSOL,O,X,X,X,X
TJIZOLS,X,X,X,O,X
TJIZOSL,O,X,X,X,X
TJIOLSZ,O,O,O,X,X
TJIOLZS,X,O,X,O,X
TJIOSLZ,O,O,O,X,X
TJIOSZL,O,O,O,X,X
TJIOZLS,X,O,X,O,X
TJIOZSL,O,O,O,X,X
TJLISZO,O,O,X,X,X
TJLISOZ,O,O,X,X,X
TJLIZSO,X,O,X,O,X
TJLIZOS,X,X,X,O,X
TJLIOSZ,O,O,X,X,X
TJLIOZS,X,O,X,O,X
TJLSIZO,O,O,X,X,X
TJLSIOZ,O,O,X,X,X
TJLSZIO,O,O,X,X,X
TJLSZOI,O,O,X,X,X
TJLSOIZ,O,O,X,X,X
TJLSOZI,O,O,X,X,X
