sequence,v115@QhA8EeE8AeA8CeE8JeZEJvhFukBUhBFiBXjBTlByvB,v115@QhA8EeE8AeA8CeE8Jei/IvhFFiBXjBcpBxlBzlB2vB,v115@QhA8EeE8AeA8CeE8JeUBJvhFFiBXjBxkBmpBzqBipB
TILJSZO,O,X,X
TILJSOZ,X,X,X
TILJZSO,O,X,X
TILJZOS,X,X,X
TILJOSZ,X,X,X
TILJOZS,X,X,X
TILSJZO,O,X,X
TILSJOZ,X,X,X
TILSZJO,O,X,X
TILSZOJ,O,X,X
TILSOJZ,O,X,X
TILSOZJ,O,X,X
TILZJSO,O,X,X
TILZJOS,X,X,X
TILZSJO,O,X,X
TILZSOJ,O,X,X
TILZOJS,O,X,X
TILZOSJ,O,X,X
TILOJSZ,O,X,X
TILOJZS,O,X,X
TILOSJZ,O,X,X
TILOSZJ,O,X,X
TILOZJS,O,X,X
TILOZSJ,O,X,X
TIJLSZO,O,X,X
TIJLSOZ,X,X,X
TIJLZSO,O,X,X
TIJLZOS,X,X,X
TIJLOSZ,X,X,X
TIJLOZS,X,X,X
TIJSLZO,O,X,X
TIJSLOZ,X,X,X
TIJSZLO,O,O,X
TIJSZOL,X,X,X
TIJSOLZ,X,X,X
TIJSOZL,X,X,X
TIJZLSO,X,O,X
TIJZLOS,X,X,X
TIJZSLO,O,O,X
TIJZSOL,X,X,X
TIJZOLS,X,X,X
TIJZOSL,X,X,X
TIJOLSZ,X,X,X
TIJOLZS,X,X,X
TIJOSLZ,X,X,X
TIJOSZL,X,X,X
TIJOZLS,X,X,X
TIJOZSL,X,X,X
TISLJZO,O,X,X
TISLJOZ,X,X,X
TISLZJO,O,X,X
TISLZOJ,O,X,X
TISLOJZ,O,X,X
TISLOZJ,O,X,X
TISJLZO,O,X,X
TISJLOZ,X,X,X
TISJZLO,O,O,X
TISJZOL,X,X,X
TISJOLZ,X,X,X
TISJOZL,X,X,X
TISZLJO,O,O,X
TISZLOJ,O,X,X
TISZJLO,O,X,X
TISZJOL,X,X,X
TISZOLJ,X,X,X
TISZOJL,X,X,X
TISOLJZ,X,X,X
TISOLZJ,X,X,X
TISOJLZ,X,X,X
TISOJZL,X,X,X
TISOZLJ,X,X,X
TISOZJL,X,X,X
TIZLJSO,O,X,X
TIZLJOS,X,X,X
TIZLSJO,O,O,X
TIZLSOJ,O,X,X
TIZLOJS,O,X,X
TIZLOSJ,O,X,X
TIZJLSO,X,X,X
TIZJLOS,X,X,X
TIZJSLO,O,X,X
TIZJSOL,X,X,X
TIZJOLS,X,X,X
TIZJOSL,X,X,X
TIZSLJO,O,O,X
TIZSLOJ,O,X,X
TIZSJLO,O,X,X
TIZSJOL,X,X,X
TIZSOLJ,X,X,X
TIZSOJL,X,X,X
TIZOLJS,X,X,X
TIZOLSJ,X,X,X
TIZOJLS,X,X,X
TIZOJSL,X,X,X
TIZOSLJ,X,X,X
TIZOSJL,X,X,X
TIOLJSZ,X,X,X
TIOLJZS,X,X,X
TIOLSJZ,X,X,X
TIOLSZJ,X,X,X
TIOLZJS,X,X,X
TIOLZSJ,X,X,X
TIOJLSZ,X,X,X
TIOJLZS,X,X,X
TIOJSLZ,X,X,X
TIOJSZL,X,X,X
TIOJZLS,X,X,X
TIOJZSL,X,X,X
TIOSLJZ,X,X,X
TIOSLZJ,X,X,X
TIOSJLZ,X,X,X
TIOSJZL,X,X,X
TIOSZLJ,X,X,X
TIOSZJL,X,X,X
TIOZLJS,X,X,X
TIOZLSJ,X,X,X
TIOZJLS,X,X,X
TIOZJSL,X,X,X
TIOZSLJ,X,X,X
TIOZSJL,X,X,X
TLIJSZO,O,X,X
TLIJSOZ,X,X,X
TLIJZSO,O,X,X
TLIJZOS,X,X,X
TLIJOSZ,X,X,X
TLIJOZS,X,X,X
TLISJZO,O,X,X
TLISJOZ,X,X,X
TLISZJO,O,X,X
TLISZOJ,O,X,X
TLISOJZ,O,X,X
TLISOZJ,O,X,X
TLIZJSO,O,X,X
TLIZJOS,X,X,X
TLIZSJO,O,X,X
TLIZSOJ,O,X,X
TLIZOJS,O,X,X
TLIZOSJ,O,X,X
TLIOJSZ,O,X,X
TLIOJZS,O,X,X
TLIOSJZ,O,X,X
TLIOSZJ,O,X,X
TLIOZJS,O,X,X
TLIOZSJ,O,X,X
TLJISZO,O,X,X
TLJISOZ,X,X,X
TLJIZSO,O,X,X
TLJIZOS,X,X,X
TLJIOSZ,X,X,X
