sequence,v115@HhA8GeA8AeA8GeG8CeB8Je0/IvhFlgB3hBGjB6sBRq?BzrB,v115@HhA8GeA8AeA8GeG8CeB8Je0/IvhFxgBVnBGjBSqB/r?BTsB,v115@HhA8GeA8AeA8GeG8CeB8Je0/IvhFxgB/nBGjBSqBTm?BVxB,v115@HhA8GeA8AeA8GeG8CeB8Jex/IvhF8lBGjBzkBFnB3m?BSxB
TILJSZO,O,X,O,X
TILJSOZ,O,X,O,X
TILJZSO,O,X,O,X
TILJZOS,O,X,X,X
TILJOSZ,O,X,X,O
TILJOZS,O,X,X,O
TILSJZO,O,X,O,X
TILSJOZ,O,X,O,X
TILSZJO,O,X,O,X
TILSZOJ,O,X,O,X
TILSOJZ,O,X,O,X
TILSOZJ,O,X,O,X
TILZJSO,O,X,O,X
TILZJOS,O,X,X,X
TILZSJO,O,X,O,X
TILZSOJ,O,X,O,X
TILZOJS,O,X,O,X
TILZOSJ,O,X,O,X
TILOJSZ,O,X,O,O
TILOJZS,O,X,O,O
TILOSJZ,O,X,O,O
TILOSZJ,O,X,O,O
TILOZJS,O,X,O,O
TILOZSJ,O,X,O,O
TIJLSZO,O,X,X,X
TIJLSOZ,O,X,X,X
TIJLZSO,O,X,X,X
TIJLZOS,O,X,X,X
TIJLOSZ,O,X,X,O
TIJLOZS,O,X,X,O
TIJSLZO,O,X,X,X
TIJSLOZ,O,X,X,X
TIJSZLO,O,X,X,X
TIJSZOL,O,X,X,X
TIJSOLZ,O,X,X,X
TIJSOZL,O,X,X,X
TIJZLSO,O,X,X,X
TIJZLOS,O,X,X,X
TIJZSLO,O,X,X,X
TIJZSOL,O,X,X,X
TIJZOLS,O,X,X,X
TIJZOSL,O,X,X,X
TIJOLSZ,O,X,X,O
TIJOLZS,O,X,X,O
TIJOSLZ,O,X,X,X
TIJOSZL,O,X,X,X
TIJOZLS,O,X,X,O
TIJOZSL,O,X,X,X
TISLJZO,O,X,O,X
TISLJOZ,O,X,O,X
TISLZJO,O,X,O,X
TISLZOJ,O,X,O,X
TISLOJZ,O,X,O,X
TISLOZJ,O,X,O,X
TISJLZO,O,X,O,X
TISJLOZ,O,X,O,X
TISJZLO,O,X,O,X
TISJZOL,O,X,O,X
TISJOLZ,O,X,O,X
TISJOZL,O,X,O,X
TISZLJO,O,X,O,X
TISZLOJ,O,X,O,X
TISZJLO,O,X,O,X
TISZJOL,O,X,O,X
TISZOLJ,O,X,O,X
TISZOJL,O,X,O,X
TISOLJZ,O,X,O,X
TISOLZJ,O,X,O,X
TISOJLZ,O,X,O,X
TISOJZL,O,X,O,X
TISOZLJ,O,X,O,X
TISOZJL,O,X,O,X
TIZLJSO,O,X,O,X
TIZLJOS,O,X,X,X
TIZLSJO,O,X,O,X
TIZLSOJ,O,X,O,X
TIZLOJS,O,X,O,X
TIZLOSJ,O,X,O,X
TIZJLSO,O,X,O,X
TIZJLOS,O,X,X,X
TIZJSLO,O,X,O,X
TIZJSOL,O,X,O,X
TIZJOLS,O,X,X,X
TIZJOSL,O,X,X,X
TIZSLJO,O,X,O,X
TIZSLOJ,O,X,O,X
TIZSJLO,O,X,O,X
TIZSJOL,O,X,O,X
TIZSOLJ,O,X,O,X
TIZSOJL,O,X,O,X
