sequence,v115@9gA8IeA8IeA8GeA8AeD8BeD8JeuEJvhFFhB0iB6oBT?lBxrB3rB,v115@9gA8IeA8IeA8GeA8AeD8BeD8JeCAJvhFXhBxiBVqBU?nBGoBTrB,v115@9gA8IeA8IeA8GeA8AeD8BeD8JeRAJvhFFiB6oBzkBG?mB3nBUrB,v115@9gA8IeA8IeA8GeA8AeD8BeD8Jez/IvhFFiB6oBGmB3?nBRqBUrB
TILJSZO,O,O,X,O
TILJSOZ,X,O,X,O
TILJZSO,O,O,X,X
TILJZOS,O,O,X,X
TILJOSZ,O,O,X,O
TILJOZS,O,O,X,X
TILSJZO,O,O,X,O
TILSJOZ,X,O,X,O
TILSZJO,O,O,X,O
TILSZOJ,O,O,X,O
TILSOJZ,O,X,X,O
TILSOZJ,O,X,X,O
TILZJSO,O,O,X,X
TILZJOS,O,O,X,X
TILZSJO,O,O,X,X
TILZSOJ,O,O,X,X
TILZOJS,O,X,X,X
TILZOSJ,O,O,X,X
TILOJSZ,O,O,X,O
TILOJZS,O,O,X,X
TILOSJZ,O,O,X,O
TILOSZJ,O,O,X,O
TILOZJS,O,O,X,X
TILOZSJ,O,O,X,X
TIJLSZO,O,O,X,O
TIJLSOZ,X,O,X,O
TIJLZSO,O,O,X,X
TIJLZOS,O,O,X,X
TIJLOSZ,O,O,X,O
TIJLOZS,O,O,X,X
TIJSLZO,O,O,X,O
TIJSLOZ,X,O,X,O
TIJSZLO,O,O,X,O
TIJSZOL,X,O,X,O
TIJSOLZ,X,O,X,O
TIJSOZL,X,O,X,O
TIJZLSO,O,O,X,X
TIJZLOS,O,O,X,X
TIJZSLO,O,O,X,X
TIJZSOL,X,O,X,X
TIJZOLS,O,O,X,X
TIJZOSL,O,O,X,X
TIJOLSZ,O,O,X,O
TIJOLZS,O,O,X,X
TIJOSLZ,O,O,X,O
TIJOSZL,O,O,X,O
TIJOZLS,O,O,X,X
TIJOZSL,O,O,X,X
TISLJZO,O,O,X,O
TISLJOZ,X,O,X,O
TISLZJO,O,O,X,O
TISLZOJ,O,O,X,O
TISLOJZ,O,X,X,O
TISLOZJ,O,X,X,O
TISJLZO,O,O,X,O
TISJLOZ,X,O,X,O
TISJZLO,O,O,X,O
TISJZOL,X,O,X,O
TISJOLZ,X,O,X,O
TISJOZL,X,X,X,O
TISZLJO,O,O,X,O
TISZLOJ,O,O,X,O
TISZJLO,O,O,X,O
TISZJOL,X,O,X,O
TISZOLJ,O,O,X,O
TISZOJL,O,X,X,O
TISOLJZ,O,X,X,O
TISOLZJ,O,X,X,O
TISOJLZ,O,X,X,O
TISOJZL,O,X,X,O
TISOZLJ,O,X,X,O
