sequence,v115@JhC8EeA8BeB8EeE8CeA8Kex/IvhFlhBGjB0kB6sB/t?BzrB,v115@JhC8EeA8BeB8EeE8CeA8KeT/IvhF0hBliB5oBysBXl?BWxB,v115@JhC8EeA8BeB8EeE8CeA8KeT/IvhF6mBliB5oBesB8s?BXqB,v115@JhC8EeA8BeB8EeE8CeA8KeT/IvhF0hBxiB1sB6tBXl?BWxB,v115@JhC8EeA8BeB8EeE8CeA8KeT/IvhF6mBmiB5oB0nBXl?BVxB
TILJSZO,O,O,X,O,X
TILJSOZ,O,O,X,O,X
TILJZSO,X,O,O,O,O
TILJZOS,X,O,O,O,O
TILJOSZ,X,O,X,O,X
TILJOZS,X,O,O,O,O
TILSJZO,O,X,X,X,X
TILSJOZ,O,X,X,X,X
TILSZJO,O,X,X,X,O
TILSZOJ,O,O,X,O,O
TILSOJZ,O,X,X,X,X
TILSOZJ,X,O,X,O,O
TILZJSO,O,X,O,X,O
TILZJOS,X,O,O,O,O
TILZSJO,O,X,X,X,O
TILZSOJ,O,O,X,O,O
TILZOJS,X,O,O,O,O
TILZOSJ,O,O,X,O,O
TILOJSZ,X,O,X,O,X
TILOJZS,X,O,O,O,O
TILOSJZ,O,X,X,X,X
TILOSZJ,X,O,X,O,O
TILOZJS,X,O,O,O,O
TILOZSJ,X,O,X,O,O
TIJLSZO,O,O,X,O,X
TIJLSOZ,O,O,X,O,X
TIJLZSO,X,O,O,O,O
TIJLZOS,X,O,O,O,O
TIJLOSZ,X,O,X,O,X
TIJLOZS,X,O,O,O,O
TIJSLZO,O,X,X,X,X
TIJSLOZ,O,X,X,X,X
TIJSZLO,O,X,X,X,X
TIJSZOL,O,X,X,X,X
TIJSOLZ,O,X,X,X,X
TIJSOZL,O,X,X,X,X
TIJZLSO,X,O,O,O,O
TIJZLOS,X,O,O,O,O
TIJZSLO,X,X,O,X,O
TIJZSOL,X,X,O,X,O
TIJZOLS,X,O,O,O,O
TIJZOSL,X,X,O,X,O
TIJOLSZ,X,O,X,O,X
TIJOLZS,X,O,O,O,O
TIJOSLZ,O,X,X,X,X
TIJOSZL,O,X,X,X,X
TIJOZLS,X,O,O,O,O
TIJOZSL,X,X,O,X,O
TISLJZO,O,X,X,X,X
TISLJOZ,O,X,X,X,X
TISLZJO,O,X,X,X,O
TISLZOJ,X,X,X,X,O
TISLOJZ,O,X,X,X,X
TISLOZJ,X,X,X,X,O
TISJLZO,O,X,X,X,X
TISJLOZ,O,X,X,X,X
TISJZLO,O,X,X,X,X
TISJZOL,O,X,X,X,X
TISJOLZ,O,X,X,X,X
TISJOZL,O,X,X,X,X
