sequence,v115@KhA8FeA8AeB8FeE8BeC8Je/EJvhFFgBxhB6oBmmBzn?B0rB,v115@KhA8FeA8AeB8FeE8BeC8Jex/IvhFThBOnBXjBlkBSt?B0rB,v115@KhA8FeA8AeB8FeE8BeC8Je/EJvhFFgBOmB0iB6oBRs?BzrB,v115@KhA8FeA8AeB8FeE8BeC8Jex/IvhFThBiiB+oBlkB3n?B0rB,v115@KhA8FeA8AeB8FeE8BeC8Jex/IvhFXiB6oBlkB2rBzn?B0rB,v115@KhA8FeA8AeB8FeE8BeC8Jex/IvhF0hB6oBlkB2rBzn?BXsB,v115@KhA8FeA8AeB8FeE8BeC8Jex/IvhFThB8nB+oBlkByr?BXsB
TILJSZO,X,O,O,O,X,X,O
TILJSOZ,X,O,O,O,O,X,O
TILJZSO,X,O,O,O,X,X,O
TILJZOS,X,O,X,O,X,O,O
TILJOSZ,X,X,X,X,O,O,O
TILJOZS,X,X,X,X,O,O,O
TILSJZO,X,O,O,X,X,X,O
TILSJOZ,X,O,O,X,X,X,O
TILSZJO,X,O,O,X,X,X,X
TILSZOJ,X,O,O,X,X,X,X
TILSOJZ,X,O,O,X,O,O,O
TILSOZJ,X,O,O,X,O,X,X
TILZJSO,X,O,O,O,X,X,O
TILZJOS,X,O,X,O,X,X,O
TILZSJO,X,O,O,X,X,X,X
TILZSOJ,X,O,O,X,X,X,X
TILZOJS,X,O,X,O,O,O,O
TILZOSJ,X,O,X,X,O,X,X
TILOJSZ,X,X,X,X,O,O,O
TILOJZS,X,X,X,X,O,O,O
TILOSJZ,X,O,X,X,O,O,O
TILOSZJ,X,O,X,X,O,X,X
TILOZJS,X,O,X,X,O,O,O
TILOZSJ,X,O,X,X,O,X,X
TIJLSZO,X,O,O,O,X,X,O
TIJLSOZ,X,O,O,O,O,X,O
TIJLZSO,X,O,O,O,X,X,O
TIJLZOS,X,O,X,O,X,O,O
TIJLOSZ,X,X,X,X,O,O,O
TIJLOZS,X,X,X,X,O,O,O
TIJSLZO,X,X,O,O,X,X,O
TIJSLOZ,X,X,O,O,O,X,O
TIJSZLO,X,X,O,O,X,X,O
TIJSZOL,X,X,O,O,O,O,X
TIJSOLZ,X,X,O,O,O,O,X
TIJSOZL,X,X,O,O,O,O,X
TIJZLSO,X,O,O,O,X,X,O
TIJZLOS,X,O,X,O,X,O,O
TIJZSLO,X,O,O,O,X,X,O
TIJZSOL,X,O,O,O,O,O,X
TIJZOLS,X,O,X,O,O,O,O
TIJZOSL,X,O,X,O,O,O,X
TIJOLSZ,X,X,X,X,O,O,O
TIJOLZS,X,X,X,X,O,O,O
TIJOSLZ,X,X,X,O,O,O,X
TIJOSZL,X,X,X,O,O,O,X
TIJOZLS,X,X,X,O,O,O,O
TIJOZSL,X,X,X,O,O,O,X
TISLJZO,X,O,O,X,X,X,O
TISLJOZ,X,O,O,X,X,X,O
TISLZJO,X,O,O,X,X,X,X
TISLZOJ,X,O,O,X,X,X,X
TISLOJZ,X,O,O,X,O,O,O
TISLOZJ,X,O,O,X,O,X,X
TISJLZO,X,X,O,O,X,X,O
TISJLOZ,X,X,O,O,O,X,O
TISJZLO,X,X,O,O,X,X,O
TISJZOL,X,X,O,O,O,O,X
TISJOLZ,X,X,O,O,O,O,X
TISJOZL,X,X,O,O,O,O,X
TISZLJO,X,O,O,X,X,X,X
TISZLOJ,X,O,O,X,X,X,X
TISZJLO,X,O,O,O,X,X,X
TISZJOL,X,O,O,O,X,X,X
TISZOLJ,X,O,O,X,X,X,X
TISZOJL,X,O,O,O,X,X,X
TISOLJZ,X,X,O,X,O,O,X
TISOLZJ,X,X,O,X,O,X,X
TISOJLZ,X,X,O,X,O,O,X
TISOJZL,X,X,O,X,O,O,X
TISOZLJ,X,X,O,X,O,X,X
TISOZJL,X,X,O,X,O,X,X
TIZLJSO,X,O,O,O,X,X,O
TIZLJOS,X,O,X,O,X,X,O
TIZLSJO,X,O,O,X,X,X,X
TIZLSOJ,X,O,O,X,X,X,X
TIZLOJS,X,O,X,O,O,O,O
TIZLOSJ,X,O,X,X,O,X,X
TIZJLSO,X,O,O,O,X,X,O
TIZJLOS,X,O,X,O,X,O,O
TIZJSLO,X,O,O,O,X,X,O
TIZJSOL,X,O,O,O,O,O,X
TIZJOLS,X,O,X,O,O,O,O
TIZJOSL,X,O,X,O,O,O,X
TIZSLJO,X,O,O,X,X,X,X
TIZSLOJ,X,O,O,X,X,X,X
TIZSJLO,X,O,O,O,X,X,X
TIZSJOL,X,O,O,O,X,X,X
TIZSOLJ,X,O,O,X,X,X,X
TIZSOJL,X,O,O,O,X,X,X
TIZOLJS,X,O,X,O,O,O,X
TIZOLSJ,X,O,X,X,O,X,X
TIZOJLS,X,O,X,O,O,O,X
TIZOJSL,X,O,X,O,O,O,X
TIZOSLJ,X,O,X,X,O,X,X
TIZOSJL,X,O,X,O,O,X,X
TIOLJSZ,X,X,X,X,O,O,O
TIOLJZS,X,X,X,X,O,O,O
TIOLSJZ,X,O,X,X,O,O,O
TIOLSZJ,X,O,X,X,O,X,X
TIOLZJS,X,O,X,X,O,O,O
TIOLZSJ,X,O,X,X,O,X,X
TIOJLSZ,X,X,X,X,O,O,O
TIOJLZS,X,X,X,X,O,O,O
TIOJSLZ,X,X,X,O,O,O,X
TIOJSZL,X,X,X,O,O,O,X
TIOJZLS,X,X,X,O,O,O,O
TIOJZSL,X,X,X,O,O,O,X
TIOSLJZ,X,X,X,X,O,O,X
TIOSLZJ,X,X,X,X,O,X,X
TIOSJLZ,X,X,X,X,O,O,X
TIOSJZL,X,X,X,X,O,O,X
TIOSZLJ,X,X,X,X,O,X,X
TIOSZJL,X,X,X,X,O,X,X
TIOZLJS,X,O,X,O,O,O,X
TIOZLSJ,X,O,X,X,O,X,X
TIOZJLS,X,O,X,O,O,O,X
TIOZJSL,X,O,X,O,O,O,X
TIOZSLJ,X,O,X,X,O,X,X
TIOZSJL,X,O,X,O,O,X,X
TLIJSZO,X,O,O,O,X,X,O
TLIJSOZ,X,O,O,O,O,X,O
TLIJZSO,X,O,O,O,X,X,O
TLIJZOS,X,O,X,O,X,O,O
TLIJOSZ,X,X,X,X,O,O,O
TLIJOZS,X,X,X,X,O,O,O
TLISJZO,X,O,O,X,X,X,O
TLISJOZ,X,O,O,X,X,X,O
TLISZJO,X,O,O,X,X,X,X
TLISZOJ,X,O,O,X,X,X,X
TLISOJZ,X,O,O,X,O,O,O
TLISOZJ,X,O,O,X,O,X,X
TLIZJSO,X,O,O,O,X,X,O
TLIZJOS,X,O,X,O,X,X,O
TLIZSJO,X,O,O,X,X,X,X
TLIZSOJ,X,O,O,X,X,X,X
TLIZOJS,X,O,X,O,O,O,O
TLIZOSJ,X,O,X,X,O,X,X
TLIOJSZ,X,X,X,X,O,O,O
TLIOJZS,X,X,X,X,O,O,O
TLIOSJZ,X,O,X,X,O,O,O
TLIOSZJ,X,O,X,X,O,X,X
TLIOZJS,X,O,X,X,O,O,O
TLIOZSJ,X,O,X,X,O,X,X
TLJISZO,X,O,O,O,X,X,O
TLJISOZ,X,O,O,O,O,X,O
TLJIZSO,X,O,O,O,X,X,O
TLJIZOS,X,O,X,O,X,O,O
TLJIOSZ,X,X,X,X,O,O,O
TLJIOZS,X,X,X,X,O,O,O
TLJSIZO,X,O,O,O,X,X,O
TLJSIOZ,X,O,O,O,O,X,O
TLJSZIO,X,O,O,O,X,X,O
TLJSZOI,X,O,X,O,X,X,O
TLJSOIZ,X,O,O,O,O,X,O
TLJSOZI,X,O,X,O,O,X,O
TLJZISO,X,O,X,O,X,X,O
TLJZIOS,X,O,X,O,X,O,O
TLJZSIO,X,O,X,O,X,X,O
TLJZSOI,X,O,X,O,X,X,O
TLJZOIS,X,O,X,O,X,O,O
TLJZOSI,X,O,X,O,X,O,O
TLJOISZ,X,X,X,X,O,O,O
TLJOIZS,X,X,X,X,O,O,O
TLJOSIZ,X,X,X,X,O,O,O
TLJOSZI,X,X,X,X,O,O,O
TLJOZIS,X,X,X,X,O,O,O
TLJOZSI,X,X,X,X,O,O,O
TLSIJZO,X,O,O,X,X,X,O
TLSIJOZ,X,O,O,X,X,X,O
TLSIZJO,O,O,O,X,X,X,X
TLSIZOJ,O,O,O,X,X,X,X
TLSIOJZ,O,O,O,X,O,O,O
TLSIOZJ,O,O,O,X,O,X,X
TLSJIZO,X,O,O,X,X,X,O
TLSJIOZ,X,O,O,X,X,X,O
TLSJZIO,O,O,O,X,X,X,O
TLSJZOI,O,O,X,X,X,X,O
TLSJOIZ,O,O,O,X,X,X,O
TLSJOZI,O,O,X,X,X,X,O
TLSZIJO,O,O,O,X,X,X,X
TLSZIOJ,O,O,O,X,X,X,X
TLSZJIO,O,O,O,X,X,X,X
TLSZJOI,O,O,X,X,X,X,X
TLSZOIJ,O,O,X,X,X,X,X
TLSZOJI,O,O,X,X,X,X,X
TLSOIJZ,O,O,O,X,O,O,O
TLSOIZJ,O,O,O,X,O,X,X
TLSOJIZ,O,O,O,X,O,O,O
TLSOJZI,O,O,X,X,O,O,O
TLSOZIJ,O,O,X,X,O,X,X
TLSOZJI,O,O,X,X,O,X,X
TLZIJSO,X,O,X,O,X,X,O
TLZIJOS,X,O,X,O,X,X,O
TLZISJO,X,O,X,X,X,X,X
TLZISOJ,X,O,X,X,X,X,X
TLZIOJS,X,O,X,O,O,O,O
TLZIOSJ,X,O,X,X,O,X,X
TLZJISO,O,O,X,O,X,X,O
TLZJIOS,X,O,X,O,X,X,O
TLZJSIO,O,O,X,O,X,X,O
TLZJSOI,O,O,X,O,X,X,O
TLZJOIS,X,O,X,O,X,X,O
TLZJOSI,X,O,X,O,X,X,O
TLZSIJO,O,O,X,X,X,X,X
TLZSIOJ,O,O,X,X,X,X,X
TLZSJIO,O,O,X,X,X,X,X
TLZSJOI,O,O,X,X,X,X,X
TLZSOIJ,O,O,X,X,X,X,X
TLZSOJI,O,O,X,X,X,X,X
TLZOIJS,X,O,X,O,O,O,O
TLZOISJ,O,O,X,X,O,X,X
TLZOJIS,O,O,X,O,O,O,O
TLZOJSI,O,O,X,O,O,O,O
TLZOSIJ,O,O,X,X,O,X,X
TLZOSJI,O,O,X,X,O,X,X
TLOIJSZ,X,X,X,X,O,O,O
TLOIJZS,X,X,X,X,O,O,O
TLOISJZ,O,O,X,X,O,O,O
TLOISZJ,O,O,X,X,O,X,X
TLOIZJS,X,O,X,X,O,O,O
TLOIZSJ,X,O,X,X,O,X,X
TLOJISZ,X,X,X,X,O,O,O
TLOJIZS,X,X,X,X,O,O,O
TLOJSIZ,X,X,X,X,O,O,O
TLOJSZI,X,X,X,X,O,O,O
TLOJZIS,X,X,X,X,O,O,O
TLOJZSI,X,X,X,X,O,O,O
TLOSIJZ,O,O,X,X,O,O,O
TLOSIZJ,O,O,X,X,O,X,X
TLOSJIZ,O,O,X,X,O,O,O
TLOSJZI,O,O,X,X,O,O,O
TLOSZIJ,O,O,X,X,O,X,X
TLOSZJI,O,O,X,X,O,X,X
TLOZIJS,X,O,X,X,O,O,O
TLOZISJ,O,O,X,X,O,X,X
TLOZJIS,O,O,X,X,O,O,O
TLOZJSI,O,O,X,X,O,O,O
TLOZSIJ,O,O,X,X,O,X,X
TLOZSJI,O,O,X,X,O,X,X
TJILSZO,X,O,O,O,X,X,O
TJILSOZ,X,O,O,O,O,X,O
TJILZSO,X,O,O,O,X,X,O
TJILZOS,X,O,X,O,X,O,O
TJILOSZ,X,X,X,X,O,O,O
TJILOZS,X,X,X,X,O,O,O
TJISLZO,X,X,O,O,X,X,O
TJISLOZ,X,X,O,O,O,X,O
TJISZLO,X,X,O,O,X,X,O
TJISZOL,X,X,O,O,O,O,X
TJISOLZ,X,X,O,O,O,O,X
TJISOZL,X,X,O,O,O,O,X
TJIZLSO,X,O,O,O,X,X,O
TJIZLOS,X,O,X,O,X,O,O
TJIZSLO,X,O,O,O,X,X,O
TJIZSOL,X,O,O,O,O,O,X
TJIZOLS,X,O,X,O,O,O,O
TJIZOSL,X,O,X,O,O,O,X
TJIOLSZ,X,X,X,X,O,O,O
TJIOLZS,X,X,X,X,O,O,O
TJIOSLZ,X,X,X,O,O,O,X
TJIOSZL,X,X,X,O,O,O,X
TJIOZLS,X,X,X,O,O,O,O
TJIOZSL,X,X,X,O,O,O,X
TJLISZO,X,O,O,O,X,X,O
TJLISOZ,X,O,O,O,O,X,O
TJLIZSO,X,O,O,O,X,X,O
TJLIZOS,X,O,X,O,X,O,O
TJLIOSZ,X,X,X,X,O,O,O
TJLIOZS,X,X,X,X,O,O,O
TJLSIZO,X,O,O,O,X,X,O
TJLSIOZ,X,O,O,O,O,X,O
TJLSZIO,X,O,O,O,X,X,O
TJLSZOI,X,O,X,O,X,X,O
TJLSOIZ,X,O,O,O,O,X,O
TJLSOZI,X,O,X,O,O,X,O
TJLZISO,X,O,X,O,X,X,O
TJLZIOS,X,O,X,O,X,O,O
TJLZSIO,X,O,X,O,X,X,O
TJLZSOI,X,O,X,O,X,X,O
TJLZOIS,X,O,X,O,X,O,O
TJLZOSI,X,O,X,O,X,O,O
TJLOISZ,X,X,X,X,O,O,O
TJLOIZS,X,X,X,X,O,O,O
TJLOSIZ,X,X,X,X,O,O,O
TJLOSZI,X,X,X,X,O,O,O
