sequence,v115@MhA8DeC8BeB8CeF8Ne2EJvhFRgBUiBzlB6tB3sBFtB,v115@MhA8DeC8BeB8CeF8Ne2EJvhFRgBFiB6oBzlBUtB3sB,v115@MhA8DeC8BeB8CeF8NeT/IvhFmgBFiBXjB0lBStBxxB,v115@MhA8DeC8BeB8CeF8Nei/IvhFUiBFjBRlB+tBzlB3sB,v115@MhA8DeC8BeB8CeF8Nei/IvhFUiBGjBRlB/tBzlB1xB,v115@MhA8DeC8BeB8CeF8NeT/IvhFylBFiBGoB0lBXoBxxB
TILJSZO,X,X,O,O,O,X
TILJSOZ,X,X,O,O,O,O
TILJZSO,X,X,O,O,O,X
TILJZOS,X,X,O,O,X,O
TILJOSZ,X,X,O,X,X,O
TILJOZS,X,X,O,O,X,O
TILSJZO,X,X,O,X,O,X
TILSJOZ,X,X,O,X,O,O
TILSZJO,X,X,O,X,O,X
TILSZOJ,X,X,O,X,O,X
TILSOJZ,X,X,O,X,O,O
TILSOZJ,X,X,O,X,O,X
TILZJSO,X,X,O,O,O,X
TILZJOS,X,X,O,O,X,O
TILZSJO,X,X,O,X,O,X
TILZSOJ,X,X,O,X,O,X
TILZOJS,X,X,O,X,X,O
TILZOSJ,X,X,O,X,O,X
TILOJSZ,X,X,O,X,X,O
TILOJZS,X,X,O,X,X,O
TILOSJZ,X,X,O,X,O,O
TILOSZJ,X,X,O,X,O,X
TILOZJS,X,X,O,X,X,O
TILOZSJ,X,X,O,X,O,X
TIJLSZO,X,X,O,O,O,X
TIJLSOZ,X,X,O,O,O,O
TIJLZSO,X,O,O,O,O,X
TIJLZOS,X,O,O,O,X,O
TIJLOSZ,X,X,O,X,X,O
TIJLOZS,X,X,O,O,X,O
TIJSLZO,X,X,X,O,O,X
TIJSLOZ,X,X,X,O,O,O
TIJSZLO,X,O,X,O,O,X
TIJSZOL,X,X,X,O,O,X
TIJSOLZ,X,X,X,O,O,O
TIJSOZL,X,X,X,O,O,X
TIJZLSO,X,O,O,O,O,X
TIJZLOS,X,O,O,O,X,O
TIJZSLO,X,O,O,O,O,X
TIJZSOL,X,X,O,X,O,X
TIJZOLS,X,O,O,O,X,O
TIJZOSL,X,O,O,X,X,X
TIJOLSZ,X,X,O,X,X,O
TIJOLZS,X,O,O,O,X,O
TIJOSLZ,X,X,X,X,X,O
TIJOSZL,X,O,X,X,X,X
TIJOZLS,X,O,O,O,X,O
TIJOZSL,X,O,O,X,X,X
TISLJZO,X,X,O,X,O,X
TISLJOZ,X,X,O,X,O,O
TISLZJO,X,X,O,X,O,X
TISLZOJ,X,X,O,X,O,X
TISLOJZ,X,X,O,X,O,O
TISLOZJ,X,X,O,X,O,X
TISJLZO,X,X,X,X,O,X
TISJLOZ,X,X,X,X,O,O
TISJZLO,X,X,X,X,O,X
TISJZOL,X,X,X,X,O,X
TISJOLZ,X,X,X,X,O,O
TISJOZL,X,X,X,X,O,X
TISZLJO,X,X,O,X,O,X
TISZLOJ,X,X,O,X,O,X
TISZJLO,X,X,O,X,O,X
TISZJOL,X,X,O,X,O,X
TISZOLJ,X,X,O,X,O,X
TISZOJL,X,X,O,X,O,X
TISOLJZ,X,X,O,X,O,O
TISOLZJ,X,X,O,X,O,X
TISOJLZ,X,X,X,X,O,O
TISOJZL,X,X,X,X,O,X
TISOZLJ,X,X,O,X,O,X
TISOZJL,X,X,O,X,O,X
TIZLJSO,X,O,O,O,O,X
TIZLJOS,X,O,O,O,X,O
TIZLSJO,X,X,O,X,O,X
TIZLSOJ,X,X,O,X,O,X
TIZLOJS,X,O,O,X,X,O
TIZLOSJ,X,O,O,X,O,X
TIZJLSO,X,O,O,O,O,X
TIZJLOS,X,O,O,O,X,O
TIZJSLO,X,O,O,O,O,X
TIZJSOL,X,X,O,X,O,X
TIZJOLS,X,O,O,O,X,O
TIZJOSL,X,O,O,X,X,X
TIZSLJO,X,X,O,X,O,X
TIZSLOJ,X,X,O,X,O,X
TIZSJLO,X,X,O,X,O,X
TIZSJOL,X,X,O,X,O,X
TIZSOLJ,X,X,O,X,O,X
TIZSOJL,X,X,O,X,O,X
TIZOLJS,X,O,O,X,X,O
TIZOLSJ,X,O,O,X,O,X
TIZOJLS,X,O,O,X,X,O
TIZOJSL,X,O,O,X,X,X
TIZOSLJ,X,O,O,X,O,X
TIZOSJL,X,O,O,X,O,X
TIOLJSZ,X,X,O,X,X,O
TIOLJZS,X,O,O,X,X,O
TIOLSJZ,X,X,O,X,O,O
TIOLSZJ,X,X,O,X,O,X
TIOLZJS,X,O,O,X,X,O
TIOLZSJ,X,O,O,X,O,X
TIOJLSZ,X,X,O,X,X,O
TIOJLZS,X,O,O,X,X,O
TIOJSLZ,X,X,X,X,X,O
TIOJSZL,X,O,X,X,X,X
TIOJZLS,X,O,O,X,X,O
TIOJZSL,X,O,O,X,X,X
TIOSLJZ,X,X,O,X,O,O
TIOSLZJ,X,X,O,X,O,X
TIOSJLZ,X,X,X,X,O,O
TIOSJZL,X,O,X,X,O,X
TIOSZLJ,X,O,O,X,O,X
TIOSZJL,X,O,O,X,O,X
TIOZLJS,X,O,O,X,X,O
TIOZLSJ,X,O,O,X,O,X
TIOZJLS,X,O,O,X,X,O
TIOZJSL,X,O,O,X,X,X
TIOZSLJ,X,O,O,X,O,X
TIOZSJL,X,O,O,X,O,X
TLIJSZO,X,X,O,O,O,X
TLIJSOZ,X,X,O,O,O,O
TLIJZSO,X,X,O,O,O,X
TLIJZOS,X,X,O,O,X,O
TLIJOSZ,X,X,O,X,X,O
TLIJOZS,X,X,O,O,X,O
TLISJZO,X,X,O,X,O,X
TLISJOZ,X,X,O,X,O,O
TLISZJO,X,X,O,X,O,X
TLISZOJ,X,X,O,X,O,X
TLISOJZ,X,X,O,X,O,O
TLISOZJ,X,X,O,X,O,X
TLIZJSO,X,X,O,O,O,X
TLIZJOS,X,X,O,O,X,O
TLIZSJO,X,X,O,X,O,X
TLIZSOJ,X,X,O,X,O,X
TLIZOJS,X,X,O,X,X,O
TLIZOSJ,X,X,O,X,O,X
TLIOJSZ,X,X,O,X,X,O
TLIOJZS,X,X,O,X,X,O
TLIOSJZ,X,X,O,X,O,O
TLIOSZJ,X,X,O,X,O,X
TLIOZJS,X,X,O,X,X,O
TLIOZSJ,X,X,O,X,O,X
TLJISZO,X,X,X,O,O,X
TLJISOZ,X,X,X,O,O,O
TLJIZSO,X,O,X,O,O,X
TLJIZOS,X,O,X,O,X,O
TLJIOSZ,X,X,X,X,X,O
TLJIOZS,X,X,X,O,X,O
TLJSIZO,X,X,X,O,O,X
TLJSIOZ,X,X,X,O,O,X
TLJSZIO,X,X,X,O,O,X
TLJSZOI,O,X,X,O,O,X
TLJSOIZ,O,X,X,O,O,X
TLJSOZI,O,X,X,O,O,X
TLJZISO,X,O,X,O,O,X
TLJZIOS,X,O,X,O,X,X
TLJZSIO,X,O,X,O,O,X
TLJZSOI,X,O,X,X,O,X
TLJZOIS,O,O,X,O,X,X
TLJZOSI,O,O,X,X,X,X
TLJOISZ,O,X,X,X,X,O
TLJOIZS,O,O,X,O,X,O
TLJOSIZ,O,X,X,X,X,X
TLJOSZI,O,X,X,X,X,X
TLJOZIS,O,O,X,O,X,X
TLJOZSI,O,O,X,X,X,X
TLSIJZO,X,X,X,X,O,X
TLSIJOZ,X,X,X,X,O,O
TLSIZJO,X,X,X,X,O,X
TLSIZOJ,X,X,X,X,O,X
TLSIOJZ,X,X,X,X,O,O
TLSIOZJ,X,X,X,X,O,X
TLSJIZO,X,X,X,X,O,X
TLSJIOZ,X,X,X,X,O,X
TLSJZIO,X,X,X,X,O,X
TLSJZOI,O,X,X,X,O,X
TLSJOIZ,O,X,X,X,O,X
TLSJOZI,O,X,X,X,O,X
TLSZIJO,X,X,X,X,O,X
TLSZIOJ,X,X,X,X,O,X
TLSZJIO,X,X,X,X,O,X
TLSZJOI,O,X,X,X,O,X
TLSZOIJ,O,X,X,X,O,X
TLSZOJI,O,X,X,X,O,X
TLSOIJZ,O,X,X,X,O,O
TLSOIZJ,O,X,X,X,O,X
TLSOJIZ,O,X,X,X,O,X
TLSOJZI,O,X,X,X,O,X
TLSOZIJ,O,X,X,X,O,X
TLSOZJI,O,X,X,X,O,X
TLZIJSO,X,O,O,O,O,X
TLZIJOS,X,O,O,O,X,O
TLZISJO,X,X,O,X,O,X
TLZISOJ,X,X,O,X,O,X
TLZIOJS,X,O,O,X,X,O
TLZIOSJ,X,O,O,X,O,X
TLZJISO,X,O,O,O,O,X
TLZJIOS,X,O,O,O,X,X
TLZJSIO,X,O,X,O,O,X
TLZJSOI,X,O,X,X,O,X
TLZJOIS,O,O,O,O,X,X
TLZJOSI,O,O,X,X,X,X
TLZSIJO,X,X,X,X,O,X
TLZSIOJ,X,X,X,X,O,X
TLZSJIO,X,O,X,X,O,X
TLZSJOI,X,O,X,X,O,X
TLZSOIJ,X,O,X,X,O,X
TLZSOJI,X,O,X,X,O,X
TLZOIJS,O,O,O,X,X,O
TLZOISJ,X,O,O,X,O,X
TLZOJIS,O,O,O,X,X,X
TLZOJSI,O,O,X,X,X,X
