sequence,v115@GhA8IeA8DeA8AeB8AeA8CeE8AeA8Je/EJvhF1lB6mB?TiBZoBUlB2uB,v115@GhA8IeA8DeA8AeB8AeA8CeE8AeA8Je0AJvhF6mBTiB?ZoBlkBOpBXqB
TILJSZO,O,X
TILJSOZ,O,X
TILJZSO,O,X
TILJZOS,O,X
TILJOSZ,O,X
TILJOZS,O,X
TILSJZO,O,O
TILSJOZ,O,O
TILSZJO,X,O
TILSZOJ,X,O
TILSOJZ,O,O
TILSOZJ,X,O
TILZJSO,O,X
TILZJOS,O,X
TILZSJO,X,O
TILZSOJ,X,O
TILZOJS,O,X
TILZOSJ,X,O
TILOJSZ,O,X
TILOJZS,O,X
TILOSJZ,O,O
TILOSZJ,X,O
TILOZJS,O,X
TILOZSJ,X,O
TIJLSZO,O,X
TIJLSOZ,O,X
TIJLZSO,O,X
TIJLZOS,O,X
TIJLOSZ,O,X
TIJLOZS,O,X
TIJSLZO,O,X
TIJSLOZ,O,X
TIJSZLO,O,X
TIJSZOL,O,X
TIJSOLZ,O,X
TIJSOZL,O,X
TIJZLSO,O,X
TIJZLOS,O,X
TIJZSLO,O,X
TIJZSOL,O,X
TIJZOLS,O,X
TIJZOSL,O,X
TIJOLSZ,O,X
TIJOLZS,O,X
TIJOSLZ,O,X
TIJOSZL,O,X
TIJOZLS,O,X
TIJOZSL,O,X
TISLJZO,O,O
TISLJOZ,O,O
TISLZJO,X,O
TISLZOJ,X,O
TISLOJZ,O,O
TISLOZJ,X,O
TISJLZO,O,O
TISJLOZ,O,O
TISJZLO,O,O
TISJZOL,O,O
TISJOLZ,O,O
TISJOZL,O,O
TISZLJO,X,O
TISZLOJ,X,O
TISZJLO,X,O
TISZJOL,X,O
TISZOLJ,X,O
TISZOJL,X,O
TISOLJZ,O,O
TISOLZJ,X,O
TISOJLZ,O,O
TISOJZL,O,O
TISOZLJ,X,O
TISOZJL,X,O
TIZLJSO,O,X
TIZLJOS,O,X
TIZLSJO,X,O
TIZLSOJ,X,O
TIZLOJS,O,X
TIZLOSJ,X,O
