sequence,v115@NhA8IeE8CeF8JeT/IvhFOlB/mBRiBSoBtqB0pB,v115@NhA8IeE8CeF8JeNEJvhF3gBRiBSoBTmBUlBWvB,v115@NhA8IeE8CeF8JeOEJvhF/mBRiBSoBtpB0lBTqB,v115@NhA8IeE8CeF8JeNEJvhFUgB/mBGiBTjBRqBSvB
TILJSZO,O,X,O,X
TILJSOZ,O,O,O,X
TILJZSO,O,X,O,X
TILJZOS,O,O,X,X
TILJOSZ,X,O,O,X
TILJOZS,X,O,X,X
TILSJZO,O,X,O,O
TILSJOZ,O,O,O,O
TILSZJO,O,X,O,O
TILSZOJ,O,X,O,O
TILSOJZ,O,O,O,O
TILSOZJ,O,O,X,O
TILZJSO,O,X,O,X
TILZJOS,O,O,X,X
TILZSJO,O,X,O,O
TILZSOJ,O,X,O,O
TILZOJS,O,O,X,X
TILZOSJ,O,O,X,O
TILOJSZ,X,O,O,X
TILOJZS,X,O,X,X
TILOSJZ,X,O,O,O
TILOSZJ,X,O,X,O
TILOZJS,X,O,X,X
TILOZSJ,X,O,X,O
TIJLSZO,O,X,O,X
TIJLSOZ,O,O,O,X
TIJLZSO,O,X,O,X
TIJLZOS,O,O,X,X
TIJLOSZ,X,O,O,X
TIJLOZS,X,O,X,X
TIJSLZO,O,X,O,O
TIJSLOZ,O,O,O,O
TIJSZLO,O,X,O,O
TIJSZOL,O,X,O,O
TIJSOLZ,O,O,O,O
TIJSOZL,O,O,O,O
TIJZLSO,O,X,O,X
TIJZLOS,O,O,X,X
TIJZSLO,O,X,O,O
TIJZSOL,O,X,O,O
TIJZOLS,O,O,X,X
TIJZOSL,O,O,X,O
TIJOLSZ,X,O,O,X
TIJOLZS,X,O,X,X
TIJOSLZ,X,O,O,O
TIJOSZL,X,O,O,O
TIJOZLS,X,O,X,X
TIJOZSL,X,O,X,O
TISLJZO,O,X,O,O
TISLJOZ,O,O,O,O
TISLZJO,O,X,O,O
TISLZOJ,O,X,O,O
TISLOJZ,O,O,O,O
TISLOZJ,O,O,X,O
TISJLZO,O,X,O,O
TISJLOZ,O,O,O,O
TISJZLO,O,X,O,O
TISJZOL,O,X,O,O
TISJOLZ,O,O,O,O
TISJOZL,O,O,O,O
TISZLJO,O,X,O,O
TISZLOJ,O,X,O,O
TISZJLO,O,X,O,O
TISZJOL,O,X,O,O
TISZOLJ,O,X,O,O
TISZOJL,O,X,O,O
TISOLJZ,O,O,O,O
TISOLZJ,O,O,X,O
TISOJLZ,O,O,O,O
TISOJZL,O,O,O,O
TISOZLJ,O,O,X,O
TISOZJL,O,X,X,O
TIZLJSO,O,X,O,X
TIZLJOS,O,O,X,X
TIZLSJO,O,X,O,O
TIZLSOJ,O,X,O,O
TIZLOJS,O,O,X,X
TIZLOSJ,O,O,X,O
TIZJLSO,O,X,O,X
TIZJLOS,O,O,X,X
TIZJSLO,O,X,O,O
TIZJSOL,O,X,O,O
TIZJOLS,O,O,X,X
TIZJOSL,O,O,X,O
TIZSLJO,O,X,O,O
TIZSLOJ,O,X,O,O
TIZSJLO,O,X,O,O
TIZSJOL,O,X,O,O
TIZSOLJ,O,X,O,O
TIZSOJL,O,X,O,O
TIZOLJS,O,O,X,X
TIZOLSJ,O,O,X,O
TIZOJLS,O,O,X,X
TIZOJSL,O,O,X,O
TIZOSLJ,O,O,X,O
TIZOSJL,O,X,X,O
TIOLJSZ,X,O,O,X
TIOLJZS,X,O,X,X
TIOLSJZ,X,O,O,O
TIOLSZJ,X,O,X,O
TIOLZJS,X,O,X,X
TIOLZSJ,X,O,X,O
TIOJLSZ,X,O,O,X
TIOJLZS,X,O,X,X
TIOJSLZ,X,O,O,O
TIOJSZL,X,O,O,O
TIOJZLS,X,O,X,X
TIOJZSL,X,O,X,O
TIOSLJZ,X,O,O,O
TIOSLZJ,X,O,X,O
TIOSJLZ,X,O,O,O
TIOSJZL,X,O,O,O
TIOSZLJ,X,O,X,O
TIOSZJL,X,X,X,O
TIOZLJS,X,O,X,X
TIOZLSJ,X,O,X,O
TIOZJLS,X,O,X,X
TIOZJSL,X,O,X,O
TIOZSLJ,X,O,X,O
TIOZSJL,X,X,X,O
TLIJSZO,O,X,O,X
TLIJSOZ,O,O,O,X
TLIJZSO,O,X,O,X
TLIJZOS,O,O,X,X
TLIJOSZ,X,O,O,X
TLIJOZS,X,O,X,X
TLISJZO,O,X,O,O
TLISJOZ,O,O,O,O
TLISZJO,O,X,O,O
TLISZOJ,O,X,O,O
TLISOJZ,O,O,O,O
TLISOZJ,O,O,X,O
TLIZJSO,O,X,O,X
TLIZJOS,O,O,X,X
TLIZSJO,O,X,O,O
TLIZSOJ,O,X,O,O
TLIZOJS,O,O,X,X
TLIZOSJ,O,O,X,O
TLIOJSZ,X,O,O,X
TLIOJZS,X,O,X,X
TLIOSJZ,X,O,O,O
TLIOSZJ,X,O,X,O
TLIOZJS,X,O,X,X
TLIOZSJ,X,O,X,O
TLJISZO,O,X,O,X
TLJISOZ,O,O,O,X
TLJIZSO,O,X,O,X
TLJIZOS,O,O,X,X
TLJIOSZ,X,O,O,X
TLJIOZS,X,O,X,X
TLJSIZO,O,X,O,O
TLJSIOZ,O,O,O,O
TLJSZIO,O,X,O,X
TLJSZOI,O,X,O,O
TLJSOIZ,O,O,O,O
TLJSOZI,O,O,O,O
TLJZISO,O,X,O,X
TLJZIOS,O,O,X,X
TLJZSIO,O,X,O,X
TLJZSOI,O,X,O,O
TLJZOIS,O,O,X,X
TLJZOSI,O,O,O,O
TLJOISZ,X,O,O,X
TLJOIZS,X,O,X,X
TLJOSIZ,O,O,O,O
TLJOSZI,O,O,O,O
TLJOZIS,O,O,X,X
TLJOZSI,O,O,O,O
TLSIJZO,O,X,O,O
TLSIJOZ,O,O,O,O
TLSIZJO,O,X,O,O
TLSIZOJ,O,X,O,O
TLSIOJZ,O,O,O,O
TLSIOZJ,O,O,X,O
TLSJIZO,O,X,O,O
TLSJIOZ,O,O,O,O
TLSJZIO,O,X,O,X
TLSJZOI,O,X,O,O
TLSJOIZ,O,O,O,O
TLSJOZI,O,O,O,O
TLSZIJO,O,X,O,X
TLSZIOJ,O,X,O,X
TLSZJIO,O,X,O,X
TLSZJOI,O,X,O,O
TLSZOIJ,O,X,O,X
TLSZOJI,O,X,O,O
TLSOIJZ,O,O,O,O
TLSOIZJ,O,O,X,O
TLSOJIZ,O,O,O,O
TLSOJZI,O,O,O,O
TLSOZIJ,O,O,X,X
TLSOZJI,O,O,X,O
TLZIJSO,O,X,O,X
TLZIJOS,O,O,X,X
TLZISJO,O,X,O,X
TLZISOJ,O,X,O,X
TLZIOJS,O,O,X,X
TLZIOSJ,O,O,X,X
TLZJISO,O,X,O,X
TLZJIOS,O,O,X,X
TLZJSIO,O,X,O,X
TLZJSOI,O,X,O,O
TLZJOIS,O,O,X,X
TLZJOSI,O,O,O,O
TLZSIJO,O,X,O,X
TLZSIOJ,O,X,O,X
TLZSJIO,O,X,O,X
TLZSJOI,O,X,O,O
TLZSOIJ,O,X,O,X
TLZSOJI,O,X,O,O
TLZOIJS,O,O,X,X
TLZOISJ,O,O,X,X
TLZOJIS,O,O,X,X
TLZOJSI,O,O,O,O
TLZOSIJ,O,O,O,X
TLZOSJI,O,O,O,O
TLOIJSZ,X,O,O,X
TLOIJZS,X,O,X,X
TLOISJZ,X,O,O,O
TLOISZJ,X,O,X,O
TLOIZJS,X,O,X,X
TLOIZSJ,X,O,X,O
TLOJISZ,X,O,O,X
TLOJIZS,X,O,X,X
TLOJSIZ,O,O,O,O
TLOJSZI,O,O,O,O
TLOJZIS,O,O,X,X
TLOJZSI,O,O,O,O
TLOSIJZ,O,O,O,O
TLOSIZJ,O,O,X,O
TLOSJIZ,O,O,O,O
TLOSJZI,O,O,O,O
TLOSZIJ,O,O,X,X
TLOSZJI,O,O,X,O
TLOZIJS,O,O,X,X
TLOZISJ,O,O,X,X
TLOZJIS,O,O,X,X
TLOZJSI,O,O,O,O
TLOZSIJ,O,O,O,X
