sequence,v115@GhA8IeC8BeA8CeD8AeB8DeA8JeT/IvhFZlBulB9mBy?nBXsB0sB,v115@GhA8IeC8BeA8CeD8AeB8DeA8JeT/IvhFZlBulB9mBy?nB0sBXsB,v115@GhA8IeC8BeA8CeD8AeB8DeA8JeT/IvhFZlBulB3hBt?nB8rByxB,v115@GhA8IeC8BeA8CeD8AeB8DeA8Je2EJvhFRgB9mBiiBc?qBXsBzsB
TILJSZO,O,X,X,X
TILJSOZ,O,O,X,X
TILJZSO,X,O,O,X
TILJZOS,O,O,O,X
TILJOSZ,O,O,X,X
TILJOZS,O,O,O,X
TILSJZO,O,X,X,X
TILSJOZ,O,O,X,X
TILSZJO,O,X,X,X
TILSZOJ,O,X,X,X
TILSOJZ,O,O,X,X
TILSOZJ,O,X,X,X
TILZJSO,X,O,O,X
TILZJOS,O,O,O,X
TILZSJO,X,O,O,X
TILZSOJ,X,O,O,X
TILZOJS,O,O,O,X
TILZOSJ,X,O,O,X
TILOJSZ,O,O,X,X
TILOJZS,O,O,O,X
TILOSJZ,O,O,X,X
TILOSZJ,O,X,X,X
TILOZJS,O,O,O,X
TILOZSJ,X,O,O,X
TIJLSZO,O,X,X,X
TIJLSOZ,O,O,X,X
TIJLZSO,X,O,O,X
TIJLZOS,O,O,O,X
TIJLOSZ,O,O,X,X
TIJLOZS,O,O,O,X
TIJSLZO,O,X,X,X
TIJSLOZ,O,O,X,X
TIJSZLO,O,O,O,X
TIJSZOL,O,O,O,X
TIJSOLZ,O,O,X,X
TIJSOZL,O,O,O,X
TIJZLSO,X,O,O,X
TIJZLOS,O,O,O,X
TIJZSLO,O,O,O,X
TIJZSOL,O,O,O,X
TIJZOLS,O,O,O,X
TIJZOSL,O,O,O,X
TIJOLSZ,O,O,X,X
TIJOLZS,O,O,O,X
TIJOSLZ,O,O,X,X
TIJOSZL,O,O,O,X
TIJOZLS,O,O,O,X
TIJOZSL,O,O,O,X
TISLJZO,O,X,X,X
TISLJOZ,O,O,X,X
TISLZJO,O,X,X,O
TISLZOJ,O,X,X,O
TISLOJZ,O,O,X,X
TISLOZJ,O,X,X,X
TISJLZO,O,X,X,X
TISJLOZ,O,O,X,X
TISJZLO,O,O,O,X
TISJZOL,O,O,O,X
TISJOLZ,O,O,X,X
TISJOZL,O,O,O,X
TISZLJO,O,O,O,O
TISZLOJ,O,O,O,O
TISZJLO,O,O,O,O
TISZJOL,O,O,O,O
TISZOLJ,O,O,O,O
TISZOJL,O,O,O,O
TISOLJZ,O,O,X,X
TISOLZJ,O,X,X,X
TISOJLZ,O,O,X,X
TISOJZL,O,O,O,X
TISOZLJ,O,O,O,X
TISOZJL,O,O,O,X
TIZLJSO,X,O,O,O
TIZLJOS,O,O,O,X
TIZLSJO,X,O,O,O
TIZLSOJ,X,O,O,O
TIZLOJS,O,O,O,X
TIZLOSJ,X,O,O,X
TIZJLSO,X,O,O,O
TIZJLOS,O,O,O,X
TIZJSLO,O,O,O,O
TIZJSOL,O,O,O,O
TIZJOLS,O,O,O,X
TIZJOSL,O,O,O,O
TIZSLJO,O,O,O,O
TIZSLOJ,O,O,O,O
TIZSJLO,O,O,O,O
TIZSJOL,O,O,O,O
TIZSOLJ,O,O,O,O
TIZSOJL,O,O,O,O
TIZOLJS,O,O,O,X
TIZOLSJ,X,O,O,X
TIZOJLS,O,O,O,X
TIZOJSL,O,O,O,O
TIZOSLJ,O,O,O,O
TIZOSJL,O,O,O,O
TIOLJSZ,O,O,X,X
TIOLJZS,O,O,O,X
TIOLSJZ,O,O,X,X
TIOLSZJ,O,X,X,X
