sequence,v115@+gC8GeA8IeB8HeC8CeC8JeZEJvhFylBzhBGjBUoBFr?BXsB,v115@+gC8GeA8IeB8HeC8CeC8JeZEJvhFylBFiBTjBfsBWt?BUrB,v115@+gC8GeA8IeB8HeC8CeC8JeZEJvhFmhBCjBllBcrBTo?BXsB,v115@+gC8GeA8IeB8HeC8CeC8JeZEJvhFThBOnBXjB0lBSt?B1wB,v115@+gC8GeA8IeB8HeC8CeC8JeZEJvhFThBiiB+oB0lB3n?B1wB
TILJSZO,O,O,X,O,O
TILJSOZ,O,O,X,O,O
TILJZSO,O,O,X,O,O
TILJZOS,O,O,X,O,O
TILJOSZ,X,O,X,O,O
TILJOZS,O,O,X,O,X
TILSJZO,O,O,O,O,X
TILSJOZ,O,O,X,O,X
TILSZJO,O,O,O,O,X
TILSZOJ,O,X,O,O,X
TILSOJZ,O,O,O,O,X
TILSOZJ,O,X,O,O,X
TILZJSO,O,O,X,O,O
TILZJOS,O,O,O,O,O
TILZSJO,O,O,X,O,X
TILZSOJ,O,O,X,O,X
TILZOJS,O,X,O,O,O
TILZOSJ,O,X,O,O,X
TILOJSZ,X,X,O,O,O
TILOJZS,O,X,O,O,X
TILOSJZ,O,X,O,O,X
TILOSZJ,O,X,O,O,X
TILOZJS,O,X,O,O,X
TILOZSJ,O,X,O,O,X
TIJLSZO,O,O,X,O,O
TIJLSOZ,O,O,X,O,O
TIJLZSO,O,O,X,O,O
TIJLZOS,O,O,X,O,O
TIJLOSZ,X,O,X,O,O
TIJLOZS,O,O,X,O,X
TIJSLZO,O,O,O,O,O
TIJSLOZ,O,O,X,O,O
TIJSZLO,O,O,O,O,O
TIJSZOL,O,O,O,O,O
TIJSOLZ,O,O,O,O,O
TIJSOZL,O,O,O,X,O
TIJZLSO,O,O,X,O,O
TIJZLOS,O,O,O,O,O
TIJZSLO,O,O,X,O,O
TIJZSOL,O,O,O,O,O
TIJZOLS,O,O,O,O,O
TIJZOSL,O,O,O,O,O
TIJOLSZ,X,O,O,O,O
TIJOLZS,O,O,O,O,X
TIJOSLZ,X,O,O,O,O
TIJOSZL,X,O,O,X,O
TIJOZLS,O,O,O,O,O
TIJOZSL,O,O,O,O,O
TISLJZO,O,O,O,O,X
TISLJOZ,O,O,O,O,X
TISLZJO,O,O,O,O,X
TISLZOJ,O,X,O,O,X
TISLOJZ,O,O,O,O,X
TISLOZJ,O,X,O,O,X
TISJLZO,O,O,O,O,O
TISJLOZ,O,O,O,O,O
TISJZLO,O,O,O,O,O
TISJZOL,O,O,O,O,O
TISJOLZ,O,O,O,O,O
TISJOZL,O,O,O,X,O
TISZLJO,O,O,O,O,X
TISZLOJ,O,X,O,O,X
TISZJLO,O,O,O,O,O
TISZJOL,O,O,O,O,O
TISZOLJ,O,X,O,O,X
TISZOJL,O,X,O,O,O
TISOLJZ,O,O,O,O,X
TISOLZJ,O,X,O,O,X
TISOJLZ,O,O,O,O,O
TISOJZL,O,O,O,X,O
TISOZLJ,O,X,O,X,X
TISOZJL,O,X,O,X,X
TIZLJSO,O,O,X,O,O
TIZLJOS,O,O,O,O,O
TIZLSJO,O,O,X,O,X
TIZLSOJ,O,O,X,O,X
TIZLOJS,O,X,O,O,O
TIZLOSJ,O,X,O,O,X
TIZJLSO,O,O,X,O,O
TIZJLOS,O,O,O,O,O
TIZJSLO,O,O,X,O,O
TIZJSOL,O,O,O,O,O
TIZJOLS,O,O,O,O,O
TIZJOSL,O,O,O,O,O
TIZSLJO,O,O,O,O,X
TIZSLOJ,O,O,O,O,X
TIZSJLO,O,O,O,O,O
TIZSJOL,O,O,O,O,O
TIZSOLJ,O,O,O,O,X
TIZSOJL,O,O,O,O,O
TIZOLJS,O,X,O,O,O
TIZOLSJ,O,X,O,O,X
TIZOJLS,O,X,O,O,O
TIZOJSL,O,X,O,O,O
TIZOSLJ,O,X,O,O,X
TIZOSJL,O,X,O,O,O
TIOLJSZ,X,X,O,O,O
TIOLJZS,O,X,O,O,X
TIOLSJZ,O,X,O,O,X
TIOLSZJ,O,X,O,O,X
TIOLZJS,O,X,O,O,X
TIOLZSJ,O,X,O,O,X
TIOJLSZ,X,X,O,O,O
TIOJLZS,O,X,O,O,X
TIOJSLZ,X,X,O,O,O
TIOJSZL,X,X,O,X,O
TIOJZLS,O,X,O,O,O
TIOJZSL,O,X,O,O,O
TIOSLJZ,O,X,O,O,X
TIOSLZJ,O,X,O,O,X
TIOSJLZ,O,X,O,O,O
TIOSJZL,O,X,O,X,O
TIOSZLJ,O,X,O,X,X
TIOSZJL,O,X,O,X,X
TIOZLJS,O,X,O,O,O
TIOZLSJ,O,X,O,O,X
TIOZJLS,O,X,O,O,O
TIOZJSL,O,X,O,O,O
TIOZSLJ,O,X,O,O,X
TIOZSJL,O,X,O,O,O
TLIJSZO,O,O,X,O,O
TLIJSOZ,O,O,X,O,O
TLIJZSO,O,O,X,O,O
TLIJZOS,O,O,X,O,O
TLIJOSZ,X,O,X,O,O
TLIJOZS,O,O,X,O,X
TLISJZO,O,O,O,O,X
TLISJOZ,O,O,X,O,X
TLISZJO,O,O,O,O,X
TLISZOJ,O,X,O,O,X
TLISOJZ,O,O,O,O,X
TLISOZJ,O,X,O,O,X
TLIZJSO,O,O,X,O,O
TLIZJOS,O,O,O,O,O
TLIZSJO,O,O,X,O,X
TLIZSOJ,O,O,X,O,X
TLIZOJS,O,X,O,O,O
TLIZOSJ,O,X,O,O,X
TLIOJSZ,X,X,O,O,O
TLIOJZS,O,X,O,O,X
TLIOSJZ,O,X,O,O,X
TLIOSZJ,O,X,O,O,X
TLIOZJS,O,X,O,O,X
TLIOZSJ,O,X,O,O,X
TLJISZO,O,O,X,O,O
TLJISOZ,O,O,X,O,O
TLJIZSO,O,O,X,O,O
TLJIZOS,O,O,X,O,O
TLJIOSZ,X,O,X,O,O
TLJIOZS,O,O,X,O,X
TLJSIZO,O,O,X,O,O
TLJSIOZ,O,O,X,O,O
TLJSZIO,O,O,X,O,O
TLJSZOI,O,O,X,O,O
TLJSOIZ,O,O,X,O,O
TLJSOZI,O,O,X,O,O
TLJZISO,O,O,X,O,O
TLJZIOS,O,O,X,O,O
TLJZSIO,O,O,X,O,O
TLJZSOI,O,O,X,O,O
TLJZOIS,O,O,X,O,O
TLJZOSI,O,O,X,O,O
TLJOISZ,X,O,X,O,O
TLJOIZS,O,O,X,O,X
TLJOSIZ,X,O,X,O,O
TLJOSZI,X,O,X,O,O
TLJOZIS,O,O,X,O,X
TLJOZSI,O,O,X,O,X
TLSIJZO,O,O,O,O,X
TLSIJOZ,O,O,X,O,X
TLSIZJO,O,O,O,O,X
TLSIZOJ,O,X,O,O,X
TLSIOJZ,O,O,O,O,X
TLSIOZJ,O,X,O,O,X
TLSJIZO,O,O,O,O,X
TLSJIOZ,O,O,X,O,X
TLSJZIO,O,O,O,O,X
TLSJZOI,O,O,O,O,X
TLSJOIZ,O,O,X,O,X
TLSJOZI,O,O,X,O,X
TLSZIJO,O,O,O,O,X
TLSZIOJ,O,X,O,O,X
TLSZJIO,O,O,O,O,X
TLSZJOI,O,O,O,O,X
TLSZOIJ,O,X,O,O,X
TLSZOJI,O,X,O,O,X
TLSOIJZ,O,O,O,O,X
TLSOIZJ,O,X,O,O,X
TLSOJIZ,O,O,O,O,X
TLSOJZI,O,O,O,O,X
TLSOZIJ,O,X,O,O,X
TLSOZJI,O,X,O,O,X
TLZIJSO,O,O,X,O,O
TLZIJOS,O,O,O,O,O
TLZISJO,O,O,X,O,X
TLZISOJ,O,O,X,O,X
TLZIOJS,O,X,O,O,O
TLZIOSJ,O,X,O,O,X
TLZJISO,O,O,X,O,O
TLZJIOS,O,O,O,O,O
TLZJSIO,O,O,X,O,O
TLZJSOI,O,O,X,O,O
TLZJOIS,O,O,O,O,O
TLZJOSI,O,O,O,O,O
TLZSIJO,O,O,X,O,X
TLZSIOJ,O,O,X,O,X
TLZSJIO,O,O,X,O,X
TLZSJOI,O,O,X,O,X
TLZSOIJ,O,O,X,O,X
TLZSOJI,O,O,X,O,X
TLZOIJS,O,X,O,O,O
TLZOISJ,O,X,O,O,X
TLZOJIS,O,X,O,O,O
TLZOJSI,O,X,O,O,O
TLZOSIJ,O,X,O,O,X
TLZOSJI,O,X,O,O,X
TLOIJSZ,X,X,O,O,O
TLOIJZS,O,X,O,O,X
TLOISJZ,O,X,O,O,X
TLOISZJ,O,X,O,O,X
TLOIZJS,O,X,O,O,X
TLOIZSJ,O,X,O,O,X
TLOJISZ,X,X,O,O,O
TLOJIZS,O,X,O,O,X
TLOJSIZ,X,X,O,O,O
TLOJSZI,X,X,O,O,O
TLOJZIS,O,X,O,O,X
TLOJZSI,O,X,O,O,X
TLOSIJZ,O,X,O,O,X
TLOSIZJ,O,X,O,O,X
TLOSJIZ,O,X,O,O,X
TLOSJZI,O,X,O,O,X
TLOSZIJ,O,X,O,O,X
TLOSZJI,O,X,O,O,X
TLOZIJS,O,X,O,O,X
TLOZISJ,O,X,O,O,X
TLOZJIS,O,X,O,O,X
TLOZJSI,O,X,O,O,X
TLOZSIJ,O,X,O,O,X
TLOZSJI,O,X,O,O,X
TJILSZO,O,O,X,O,O
TJILSOZ,O,O,X,O,O
TJILZSO,O,O,X,O,O
TJILZOS,O,O,X,O,O
TJILOSZ,X,O,X,O,O
TJILOZS,O,O,X,O,X
TJISLZO,O,O,O,O,O
TJISLOZ,O,O,X,O,O
TJISZLO,O,O,O,O,O
TJISZOL,O,O,O,O,O
TJISOLZ,O,O,O,O,O
TJISOZL,O,O,O,X,O
TJIZLSO,O,O,X,O,O
TJIZLOS,O,O,O,O,O
TJIZSLO,O,O,X,O,O
TJIZSOL,O,O,O,O,O
TJIZOLS,O,O,O,O,O
TJIZOSL,O,O,O,O,O
TJIOLSZ,X,O,O,O,O
TJIOLZS,O,O,O,O,X
TJIOSLZ,X,O,O,O,O
TJIOSZL,X,O,O,X,O
TJIOZLS,O,O,O,O,O
TJIOZSL,O,O,O,O,O
TJLISZO,O,O,X,O,O
TJLISOZ,O,O,X,O,O
TJLIZSO,O,O,X,O,O
TJLIZOS,O,O,X,O,O
TJLIOSZ,X,O,X,O,O
TJLIOZS,O,O,X,O,X
TJLSIZO,O,O,X,O,O
TJLSIOZ,O,O,X,O,O
TJLSZIO,O,O,X,O,O
TJLSZOI,O,O,X,O,O
TJLSOIZ,O,O,X,O,O
TJLSOZI,O,O,X,O,O
TJLZISO,O,O,X,O,O
TJLZIOS,O,O,X,O,O
TJLZSIO,O,O,X,O,O
TJLZSOI,O,O,X,O,O
TJLZOIS,O,O,X,O,O
TJLZOSI,O,O,X,O,O
