sequence,v115@QhB8FeE8CeE8Jem/IvhFtlBxhBXjB0kBzmByvB,v115@QhB8FeE8CeE8Jex/IvhF6mBOnBXjB0kBdrBTqB,v115@QhB8FeE8CeE8Je/EJvhFUgBGhBxiBNrBinBTqB,v115@QhB8FeE8CeE8JeT/IvhF/lBGhBxiBNrBinBUqB,v115@QhB8FeE8CeE8JeT/IvhF9mBOnBXjBRqB0qBiqB
TILJSZO,X,O,O,X,O
TILJSOZ,X,X,O,X,O
TILJZSO,X,O,O,O,O
TILJZOS,X,O,O,O,O
TILJOSZ,X,X,O,X,O
TILJOZS,X,X,O,O,O
TILSJZO,X,O,O,X,O
TILSJOZ,X,X,O,X,O
TILSZJO,X,O,O,O,X
TILSZOJ,X,O,O,O,X
TILSOJZ,X,X,O,X,O
TILSOZJ,X,X,O,O,X
TILZJSO,X,O,O,O,X
TILZJOS,X,O,O,O,X
TILZSJO,X,O,O,O,X
TILZSOJ,X,O,O,O,X
TILZOJS,X,O,O,O,X
TILZOSJ,X,O,O,O,X
TILOJSZ,X,X,O,X,O
TILOJZS,X,X,O,O,O
TILOSJZ,X,X,O,X,O
TILOSZJ,X,X,O,O,X
TILOZJS,X,X,O,O,X
TILOZSJ,X,X,O,O,X
TIJLSZO,X,O,O,X,O
TIJLSOZ,X,X,O,X,O
TIJLZSO,X,O,O,X,O
TIJLZOS,X,O,O,X,O
TIJLOSZ,X,X,O,X,O
TIJLOZS,X,X,O,X,O
TIJSLZO,X,O,O,X,O
TIJSLOZ,X,X,O,X,O
TIJSZLO,X,O,O,X,O
TIJSZOL,X,O,O,X,O
TIJSOLZ,X,X,O,X,O
TIJSOZL,X,X,O,X,O
TIJZLSO,X,O,X,X,O
TIJZLOS,X,O,X,X,O
TIJZSLO,X,O,O,O,O
TIJZSOL,X,O,O,O,O
TIJZOLS,X,O,X,X,O
TIJZOSL,X,O,O,O,O
TIJOLSZ,X,X,O,X,O
TIJOLZS,X,X,O,X,O
TIJOSLZ,X,X,O,X,O
TIJOSZL,X,X,O,X,O
TIJOZLS,X,X,X,X,O
TIJOZSL,X,X,O,O,O
TISLJZO,X,O,O,X,O
TISLJOZ,X,X,O,X,O
TISLZJO,X,O,O,X,X
TISLZOJ,X,O,O,X,X
TISLOJZ,X,X,O,X,O
TISLOZJ,X,X,O,X,X
TISJLZO,X,O,O,X,O
TISJLOZ,X,X,O,X,O
TISJZLO,X,O,O,X,O
TISJZOL,X,O,O,X,O
TISJOLZ,X,X,O,X,O
TISJOZL,X,X,O,X,O
TISZLJO,X,O,O,O,X
TISZLOJ,X,O,O,O,X
TISZJLO,X,O,O,O,O
TISZJOL,X,O,O,O,O
TISZOLJ,X,O,O,O,X
TISZOJL,X,O,O,O,O
TISOLJZ,X,X,O,X,O
TISOLZJ,X,X,O,X,X
TISOJLZ,X,X,O,X,O
TISOJZL,X,X,O,X,O
TISOZLJ,X,X,O,O,X
TISOZJL,X,X,O,O,O
TIZLJSO,X,O,X,O,X
TIZLJOS,X,O,X,O,X
TIZLSJO,X,O,X,O,X
