sequence,v115@QhA8BeA8CeB8AeA8AeB8BeE8Jei/IvhF9lBThBxiBc?pBmnBXrB,v115@QhA8BeA8CeB8AeA8AeB8BeE8JeZEJvhFtkBXhBTiBO?oBSrB0qB,v115@QhA8BeA8CeB8AeA8AeB8BeE8Jei/IvhF3gB9mBxiBc?pBmnBzqB
TILJSZO,O,O,X
TILJSOZ,O,O,X
TILJZSO,O,O,X
TILJZOS,O,O,X
TILJOSZ,X,O,X
TILJOZS,X,O,X
TILSJZO,X,O,X
TILSJOZ,X,O,X
TILSZJO,X,O,O
TILSZOJ,X,O,O
TILSOJZ,X,O,X
TILSOZJ,X,O,X
TILZJSO,O,O,O
TILZJOS,O,O,X
TILZSJO,O,O,O
TILZSOJ,X,O,O
TILZOJS,O,O,X
TILZOSJ,X,O,O
TILOJSZ,X,O,X
TILOJZS,X,O,X
TILOSJZ,X,O,X
TILOSZJ,X,O,X
TILOZJS,X,O,X
TILOZSJ,X,O,X
TIJLSZO,O,O,O
TIJLSOZ,O,O,X
TIJLZSO,O,O,O
TIJLZOS,O,O,O
TIJLOSZ,X,O,X
TIJLOZS,X,O,X
TIJSLZO,O,O,O
TIJSLOZ,O,O,X
TIJSZLO,O,X,O
TIJSZOL,O,X,O
TIJSOLZ,O,O,X
TIJSOZL,O,X,O
TIJZLSO,O,O,O
TIJZLOS,O,O,O
TIJZSLO,O,X,O
TIJZSOL,O,X,O
TIJZOLS,O,O,O
TIJZOSL,O,X,O
TIJOLSZ,X,O,O
TIJOLZS,X,O,O
TIJOSLZ,O,O,O
TIJOSZL,O,X,O
TIJOZLS,O,O,O
TIJOZSL,O,X,O
TISLJZO,O,O,X
TISLJOZ,O,O,X
TISLZJO,O,O,O
TISLZOJ,O,O,O
TISLOJZ,X,O,X
TISLOZJ,O,O,X
TISJLZO,O,O,O
TISJLOZ,O,O,X
TISJZLO,O,X,O
TISJZOL,O,X,O
TISJOLZ,O,O,X
TISJOZL,O,X,O
TISZLJO,O,X,O
TISZLOJ,O,X,O
TISZJLO,O,X,O
TISZJOL,O,X,O
TISZOLJ,O,X,O
TISZOJL,O,X,X
TISOLJZ,X,O,X
TISOLZJ,O,O,X
TISOJLZ,O,O,X
TISOJZL,O,X,X
TISOZLJ,O,X,O
TISOZJL,O,X,X
TIZLJSO,O,O,O
TIZLJOS,O,O,O
TIZLSJO,O,O,O
TIZLSOJ,O,O,O
TIZLOJS,O,O,O
TIZLOSJ,X,O,O
TIZJLSO,O,O,O
TIZJLOS,O,O,O
TIZJSLO,O,X,O
TIZJSOL,O,X,O
TIZJOLS,O,O,O
TIZJOSL,O,X,O
TIZSLJO,O,X,O
TIZSLOJ,O,X,O
TIZSJLO,O,X,O
TIZSJOL,O,X,O
TIZSOLJ,O,X,O
TIZSOJL,O,X,X
TIZOLJS,O,O,O
TIZOLSJ,X,O,O
TIZOJLS,O,O,O
TIZOJSL,O,X,O
TIZOSLJ,X,X,O
TIZOSJL,X,X,O
TIOLJSZ,X,O,X
TIOLJZS,X,O,X
TIOLSJZ,X,O,X
TIOLSZJ,X,O,O
TIOLZJS,X,O,O
TIOLZSJ,X,O,O
TIOJLSZ,X,O,O
TIOJLZS,X,O,O
TIOJSLZ,O,O,O
TIOJSZL,O,X,O
TIOJZLS,O,O,O
TIOJZSL,O,X,O
TIOSLJZ,X,O,X
TIOSLZJ,X,O,O
TIOSJLZ,X,O,X
TIOSJZL,X,X,O
TIOSZLJ,X,X,O
TIOSZJL,X,X,O
TIOZLJS,O,O,O
TIOZLSJ,X,O,O
TIOZJLS,O,O,O
TIOZJSL,O,X,O
TIOZSLJ,X,X,O
TIOZSJL,X,X,O
TLIJSZO,O,O,X
TLIJSOZ,O,O,X
TLIJZSO,O,O,X
TLIJZOS,O,O,X
TLIJOSZ,X,O,X
TLIJOZS,X,O,X
TLISJZO,X,O,X
TLISJOZ,X,O,X
TLISZJO,X,O,O
TLISZOJ,X,O,O
TLISOJZ,X,O,X
TLISOZJ,X,O,X
TLIZJSO,O,O,O
TLIZJOS,O,O,X
TLIZSJO,O,O,O
TLIZSOJ,X,O,O
TLIZOJS,O,O,X
TLIZOSJ,X,O,O
TLIOJSZ,X,O,X
TLIOJZS,X,O,X
TLIOSJZ,X,O,X
TLIOSZJ,X,O,X
TLIOZJS,X,O,X
TLIOZSJ,X,O,X
TLJISZO,O,O,O
TLJISOZ,O,O,X
TLJIZSO,O,O,O
TLJIZOS,O,O,O
TLJIOSZ,X,O,X
TLJIOZS,X,O,X
TLJSIZO,O,O,O
TLJSIOZ,O,O,X
TLJSZIO,O,O,O
TLJSZOI,O,O,O
TLJSOIZ,O,O,X
TLJSOZI,O,O,X
TLJZISO,O,O,O
TLJZIOS,O,O,O
TLJZSIO,O,O,O
TLJZSOI,O,O,O
TLJZOIS,O,O,O
TLJZOSI,O,O,O
TLJOISZ,X,O,X
TLJOIZS,X,O,X
TLJOSIZ,X,O,X
TLJOSZI,X,O,X
TLJOZIS,X,O,X
TLJOZSI,X,O,X
TLSIJZO,X,O,X
TLSIJOZ,X,O,X
TLSIZJO,X,O,O
TLSIZOJ,X,O,O
TLSIOJZ,X,O,X
TLSIOZJ,X,O,X
TLSJIZO,X,O,O
TLSJIOZ,X,O,X
TLSJZIO,X,O,O
TLSJZOI,X,O,O
TLSJOIZ,X,O,X
TLSJOZI,X,O,X
TLSZIJO,X,O,O
TLSZIOJ,X,O,O
TLSZJIO,X,O,O
TLSZJOI,X,O,O
TLSZOIJ,X,O,O
TLSZOJI,X,O,O
TLSOIJZ,X,O,X
TLSOIZJ,X,O,X
TLSOJIZ,X,O,X
TLSOJZI,X,O,X
TLSOZIJ,X,O,X
TLSOZJI,X,O,X
TLZIJSO,O,O,O
TLZIJOS,O,O,O
TLZISJO,O,O,O
TLZISOJ,X,O,O
TLZIOJS,O,O,X
TLZIOSJ,X,O,O
TLZJISO,O,O,O
TLZJIOS,O,O,O
TLZJSIO,O,O,O
TLZJSOI,O,O,O
TLZJOIS,O,O,O
TLZJOSI,O,O,O
TLZSIJO,O,O,O
TLZSIOJ,X,O,O
TLZSJIO,O,O,O
TLZSJOI,O,O,O
TLZSOIJ,X,O,O
TLZSOJI,X,O,O
TLZOIJS,O,O,X
TLZOISJ,X,O,O
TLZOJIS,O,O,O
TLZOJSI,O,O,O
TLZOSIJ,X,O,O
TLZOSJI,X,O,O
TLOIJSZ,X,O,X
TLOIJZS,X,O,X
TLOISJZ,X,O,X
TLOISZJ,X,O,X
TLOIZJS,X,O,X
TLOIZSJ,X,O,X
TLOJISZ,X,O,X
TLOJIZS,X,O,X
TLOJSIZ,X,O,X
TLOJSZI,X,O,X
TLOJZIS,X,O,X
TLOJZSI,X,O,X
TLOSIJZ,X,O,X
TLOSIZJ,X,O,X
TLOSJIZ,X,O,X
TLOSJZI,X,O,X
TLOSZIJ,X,O,X
TLOSZJI,X,O,X
TLOZIJS,X,O,X
TLOZISJ,X,O,X
TLOZJIS,X,O,X
TLOZJSI,X,O,X
TLOZSIJ,X,O,X
TLOZSJI,X,O,X
TJILSZO,O,O,O
TJILSOZ,O,O,X
TJILZSO,O,O,O
TJILZOS,O,O,O
TJILOSZ,X,O,X
TJILOZS,X,O,X
TJISLZO,O,O,O
TJISLOZ,O,O,X
TJISZLO,O,X,O
TJISZOL,O,X,O
TJISOLZ,O,O,X
TJISOZL,O,X,O
TJIZLSO,O,O,O
TJIZLOS,O,O,O
TJIZSLO,O,X,O
TJIZSOL,O,X,O
TJIZOLS,O,O,O
TJIZOSL,O,X,O
TJIOLSZ,X,O,O
TJIOLZS,X,O,O
TJIOSLZ,O,O,O
TJIOSZL,O,X,O
TJIOZLS,O,O,O
TJIOZSL,O,X,O
TJLISZO,O,O,O
TJLISOZ,O,O,X
TJLIZSO,O,O,O
TJLIZOS,O,O,O
TJLIOSZ,X,O,X
TJLIOZS,X,O,X
TJLSIZO,O,O,O
TJLSIOZ,O,O,X
TJLSZIO,O,O,O
TJLSZOI,O,O,O
TJLSOIZ,O,O,X
TJLSOZI,O,O,X
TJLZISO,O,O,O
TJLZIOS,O,O,O
TJLZSIO,O,O,O
TJLZSOI,O,O,O
TJLZOIS,O,O,O
TJLZOSI,O,O,O
TJLOISZ,X,O,X
TJLOIZS,X,O,X
TJLOSIZ,X,O,X
TJLOSZI,X,O,X
TJLOZIS,X,O,X
TJLOZSI,X,O,X
TJSILZO,O,O,O
TJSILOZ,O,O,X
TJSIZLO,O,X,O
TJSIZOL,O,X,O
TJSIOLZ,O,O,X
TJSIOZL,O,X,O
TJSLIZO,O,O,O
TJSLIOZ,O,O,X
TJSLZIO,O,O,O
TJSLZOI,O,O,O
TJSLOIZ,O,O,X
TJSLOZI,O,O,X
TJSZILO,O,X,O
TJSZIOL,O,X,O
TJSZLIO,O,X,O
TJSZLOI,O,X,O
TJSZOIL,O,X,O
TJSZOLI,O,X,O
TJSOILZ,O,O,X
TJSOIZL,O,X,O
TJSOLIZ,O,O,X
TJSOLZI,O,O,X
TJSOZIL,O,X,O
TJSOZLI,O,X,O
TJZILSO,O,O,O
TJZILOS,O,O,O
TJZISLO,O,X,O
TJZISOL,O,X,O
TJZIOLS,O,O,O
TJZIOSL,O,X,O
TJZLISO,O,O,O
TJZLIOS,O,O,O
TJZLSIO,O,O,O
TJZLSOI,O,O,O
TJZLOIS,O,O,O
TJZLOSI,O,O,O
TJZSILO,O,X,O
TJZSIOL,O,X,O
TJZSLIO,O,X,O
TJZSLOI,O,X,O
TJZSOIL,O,X,O
TJZSOLI,O,X,O
TJZOILS,O,O,O
TJZOISL,O,X,O
TJZOLIS,O,O,O
TJZOLSI,O,O,O
TJZOSIL,O,X,O
TJZOSLI,O,X,O
TJOILSZ,X,O,O
TJOILZS,X,O,O
TJOISLZ,O,O,O
TJOISZL,O,X,O
TJOIZLS,O,O,O
TJOIZSL,O,X,O
TJOLISZ,X,O,O
TJOLIZS,X,O,O
TJOLSIZ,X,O,O
TJOLSZI,X,O,O
TJOLZIS,X,O,O
TJOLZSI,X,O,O
TJOSILZ,O,O,O
TJOSIZL,O,X,O
TJOSLIZ,O,O,O
TJOSLZI,O,O,O
TJOSZIL,O,X,O
TJOSZLI,O,X,O
TJOZILS,O,O,O
TJOZISL,O,X,O
TJOZLIS,O,O,O
TJOZLSI,O,O,O
TJOZSIL,O,X,O
TJOZSLI,O,X,O
TSILJZO,O,O,X
TSILJOZ,O,O,X
TSILZJO,O,O,O
TSILZOJ,O,O,O
TSILOJZ,X,O,X
TSILOZJ,O,O,X
TSIJLZO,O,O,O
TSIJLOZ,O,O,X
TSIJZLO,O,X,O
TSIJZOL,O,X,O
TSIJOLZ,O,O,X
TSIJOZL,O,X,O
TSIZLJO,O,X,O
TSIZLOJ,O,X,O
TSIZJLO,O,X,O
TSIZJOL,O,X,O
TSIZOLJ,O,X,O
TSIZOJL,O,X,X
TSIOLJZ,X,O,X
TSIOLZJ,O,O,X
TSIOJLZ,O,O,X
TSIOJZL,O,X,X
TSIOZLJ,O,X,O
TSIOZJL,O,X,X
TSLIJZO,O,O,X
TSLIJOZ,O,O,X
TSLIZJO,O,O,O
TSLIZOJ,O,O,O
TSLIOJZ,X,O,X
TSLIOZJ,O,O,X
TSLJIZO,O,O,O
TSLJIOZ,O,O,X
TSLJZIO,O,O,O
TSLJZOI,O,O,O
TSLJOIZ,O,O,X
TSLJOZI,O,O,X
TSLZIJO,O,O,O
TSLZIOJ,O,O,O
TSLZJIO,O,O,O
TSLZJOI,O,O,O
TSLZOIJ,O,O,O
TSLZOJI,O,O,O
TSLOIJZ,X,O,X
TSLOIZJ,O,O,X
TSLOJIZ,O,O,X
TSLOJZI,O,O,X
TSLOZIJ,O,O,X
TSLOZJI,O,O,X
TSJILZO,O,O,O
TSJILOZ,O,O,X
TSJIZLO,O,X,O
TSJIZOL,O,X,O
TSJIOLZ,O,O,X
TSJIOZL,O,X,O
TSJLIZO,O,O,O
TSJLIOZ,O,O,X
TSJLZIO,O,O,O
TSJLZOI,O,O,O
TSJLOIZ,O,O,X
TSJLOZI,O,O,X
TSJZILO,O,X,O
TSJZIOL,O,X,O
TSJZLIO,O,X,O
TSJZLOI,O,X,O
TSJZOIL,O,X,O
TSJZOLI,O,X,O
TSJOILZ,O,O,X
TSJOIZL,O,X,O
TSJOLIZ,O,O,X
TSJOLZI,O,O,X
