sequence,v115@9gB8HeC8GeA8IeE8CeA8KelAJvhFUiBGjB6rB/tBRq?BTsB,v115@9gB8HeC8GeA8IeE8CeA8Ke0AJvhFlhBGjB6sB/tBRq?BzrB,v115@9gB8HeC8GeA8IeE8CeA8Ke8FJvhFzhBaoB5oB+sBXl?BlrB,v115@9gB8HeC8GeA8IeE8CeA8Ke0AJvhFVnBGjB/tB6rBRq?BTsB,v115@9gB8HeC8GeA8IeE8CeA8Ke0BJvhFliB5oBzlBysBXl?BWxB
TILJSZO,O,O,O,X,X
TILJSOZ,O,O,O,X,O
TILJZSO,O,O,O,X,X
TILJZOS,X,X,O,X,O
TILJOSZ,O,X,O,X,O
TILJOZS,O,X,O,X,O
TILSJZO,O,O,X,X,X
TILSJOZ,O,O,X,X,X
TILSZJO,O,O,X,X,X
TILSZOJ,O,O,X,X,X
TILSOJZ,O,O,X,X,X
TILSOZJ,O,O,X,X,O
TILZJSO,O,O,O,X,X
TILZJOS,X,X,O,X,X
TILZSJO,O,O,X,X,X
TILZSOJ,O,O,X,X,X
TILZOJS,O,X,O,X,O
TILZOSJ,O,O,X,X,O
TILOJSZ,O,X,O,X,O
TILOJZS,O,X,O,X,O
TILOSJZ,O,O,X,X,X
TILOSZJ,O,O,X,X,O
TILOZJS,O,X,O,X,O
TILOZSJ,O,O,X,X,O
TIJLSZO,O,X,O,X,X
TIJLSOZ,O,X,O,X,O
TIJLZSO,O,X,O,X,X
TIJLZOS,X,X,O,X,O
TIJLOSZ,O,X,O,X,O
TIJLOZS,O,X,O,X,O
TIJSLZO,O,X,O,X,X
TIJSLOZ,O,X,O,X,X
TIJSZLO,O,X,O,X,X
TIJSZOL,O,X,O,X,X
TIJSOLZ,O,X,O,X,X
TIJSOZL,O,X,O,X,X
TIJZLSO,X,X,O,X,X
TIJZLOS,X,X,O,X,X
TIJZSLO,X,X,O,X,X
TIJZSOL,X,X,O,X,X
TIJZOLS,X,X,O,X,X
TIJZOSL,X,X,O,X,X
TIJOLSZ,X,X,O,X,O
TIJOLZS,X,X,O,X,O
TIJOSLZ,O,X,O,X,X
TIJOSZL,O,X,O,X,X
TIJOZLS,X,X,O,X,O
TIJOZSL,O,X,O,X,X
TISLJZO,O,O,X,X,X
TISLJOZ,O,O,X,X,X
TISLZJO,O,O,X,X,X
TISLZOJ,O,O,X,X,X
TISLOJZ,O,O,X,X,X
TISLOZJ,O,O,X,X,X
TISJLZO,O,O,O,X,X
TISJLOZ,O,O,O,X,X
TISJZLO,O,O,O,X,X
TISJZOL,O,O,O,O,X
TISJOLZ,O,O,O,O,X
TISJOZL,O,O,O,O,X
TISZLJO,O,O,X,X,X
TISZLOJ,O,O,X,X,X
TISZJLO,O,O,O,X,X
TISZJOL,O,O,O,O,X
TISZOLJ,O,O,X,O,X
TISZOJL,O,O,O,O,X
TISOLJZ,O,O,X,O,X
TISOLZJ,O,O,X,O,X
TISOJLZ,O,O,O,O,X
TISOJZL,O,O,O,O,X
TISOZLJ,O,O,X,O,X
TISOZJL,O,O,O,O,X
TIZLJSO,O,O,O,X,X
TIZLJOS,X,X,O,X,X
TIZLSJO,O,O,X,X,X
TIZLSOJ,O,O,X,X,X
TIZLOJS,O,X,O,X,X
TIZLOSJ,O,O,X,X,X
TIZJLSO,X,O,O,X,X
TIZJLOS,X,X,O,X,X
TIZJSLO,X,O,O,X,X
TIZJSOL,X,O,O,X,X
TIZJOLS,X,X,O,X,X
TIZJOSL,X,O,O,X,X
TIZSLJO,O,O,X,X,X
TIZSLOJ,O,O,X,X,X
TIZSJLO,O,O,O,X,X
TIZSJOL,O,O,O,O,X
TIZSOLJ,O,O,X,O,X
TIZSOJL,O,O,O,O,X
TIZOLJS,X,O,O,X,X
TIZOLSJ,O,O,X,O,X
TIZOJLS,X,X,O,X,X
TIZOJSL,O,O,O,O,X
TIZOSLJ,O,O,X,O,X
TIZOSJL,O,O,O,O,X
TIOLJSZ,O,O,O,X,O
TIOLJZS,O,O,O,X,O
