sequence,v115@MhA8HeB8EeI8Je0/IvhFxgBOnB6oBNpB3qBzsB,v115@MhA8HeB8EeI8Jex/IvhFXhBOnB6oBNpBUqBzsB,v115@MhA8HeB8EeI8Je0/IvhFxgBKnBziB+oBNpB3qB
TILJSZO,X,O,X
TILJSOZ,X,O,X
TILJZSO,O,X,X
TILJZOS,O,X,O
TILJOSZ,X,X,X
TILJOZS,X,X,O
TILSJZO,X,O,X
TILSJOZ,X,O,X
TILSZJO,X,X,X
TILSZOJ,X,X,X
TILSOJZ,X,O,X
TILSOZJ,X,X,X
TILZJSO,O,X,X
TILZJOS,O,X,O
TILZSJO,X,X,X
TILZSOJ,X,X,X
TILZOJS,O,X,X
TILZOSJ,X,X,X
TILOJSZ,X,O,X
TILOJZS,O,X,X
TILOSJZ,X,O,X
TILOSZJ,X,X,X
TILOZJS,O,X,X
TILOZSJ,X,X,X
TIJLSZO,X,O,X
TIJLSOZ,X,O,X
TIJLZSO,O,X,X
TIJLZOS,O,X,O
TIJLOSZ,X,X,X
TIJLOZS,X,X,O
TIJSLZO,X,O,X
TIJSLOZ,X,O,X
TIJSZLO,X,X,X
TIJSZOL,X,X,X
TIJSOLZ,X,O,X
TIJSOZL,X,X,X
TIJZLSO,O,X,X
TIJZLOS,O,X,O
TIJZSLO,X,X,X
TIJZSOL,X,X,X
TIJZOLS,O,X,X
TIJZOSL,X,X,X
TIJOLSZ,X,O,X
TIJOLZS,O,X,X
TIJOSLZ,X,O,X
TIJOSZL,X,X,X
TIJOZLS,O,X,X
TIJOZSL,X,X,X
TISLJZO,X,O,X
TISLJOZ,X,O,X
TISLZJO,X,X,X
TISLZOJ,X,X,X
TISLOJZ,X,O,X
TISLOZJ,X,X,X
TISJLZO,X,O,X
TISJLOZ,X,O,X
TISJZLO,X,X,X
TISJZOL,X,X,X
TISJOLZ,X,O,X
TISJOZL,X,X,X
TISZLJO,X,X,X
TISZLOJ,X,X,X
TISZJLO,X,X,X
TISZJOL,X,X,X
TISZOLJ,X,X,X
TISZOJL,X,X,X
TISOLJZ,X,O,X
TISOLZJ,X,X,X
TISOJLZ,X,O,X
TISOJZL,X,X,X
TISOZLJ,X,X,X
TISOZJL,X,X,X
TIZLJSO,O,X,X
TIZLJOS,O,X,O
TIZLSJO,X,X,X
TIZLSOJ,X,X,X
TIZLOJS,O,X,X
TIZLOSJ,X,X,X
TIZJLSO,O,X,X
TIZJLOS,O,X,O
