sequence,v115@EhC8IeA8HeD8AeA8CeC8Jex/IvhFihBTkBOqBfsBln?BUrB,v115@EhC8IeA8HeD8AeA8CeC8JeOEJvhFTgBihBfqBRnBUr?BFsB,v115@EhC8IeA8HeD8AeA8CeC8Jem/IvhFRhBTkBcqBimB3n?B1wB,v115@EhC8IeA8HeD8AeA8CeC8Jem/IvhFRhBTkBcqBKrBfs?BlsB,v115@EhC8IeA8HeD8AeA8CeC8Jem/IvhFRhBTkBfsBlnBiq?BUrB,v115@EhC8IeA8HeD8AeA8CeC8JeOEJvhF8kBzgBRnBiqBFs?B3rB,v115@EhC8IeA8HeD8AeA8CeC8JecFJvhFihBTkBRnBFrBXs?BmpB,v115@EhC8IeA8HeD8AeA8CeC8JeT/IvhFylBRnB0lBmpBFs?B3rB
TILJSZO,X,O,X,X,O,X,X,X
TILJSOZ,X,O,X,X,O,X,X,O
TILJZSO,X,O,O,X,O,O,X,X
TILJZOS,X,X,O,X,O,O,X,O
TILJOSZ,X,O,X,X,O,X,X,O
TILJOZS,X,X,X,X,O,O,X,O
TILSJZO,X,O,X,O,O,X,X,X
TILSJOZ,X,O,X,X,O,X,X,X
TILSZJO,X,O,O,O,O,O,X,X
TILSZOJ,X,O,O,O,O,O,X,X
TILSOJZ,X,O,X,X,O,X,X,X
TILSOZJ,X,O,X,O,O,O,X,X
TILZJSO,X,O,O,O,O,O,X,X
TILZJOS,X,X,O,X,O,O,X,X
TILZSJO,X,O,O,O,X,O,X,X
TILZSOJ,X,O,O,O,X,O,X,X
TILZOJS,X,X,O,O,O,O,X,X
TILZOSJ,X,X,O,O,X,O,X,X
TILOJSZ,X,O,X,X,O,X,X,X
TILOJZS,X,X,X,X,O,O,X,X
TILOSJZ,X,O,X,X,O,X,X,X
TILOSZJ,X,O,X,O,O,O,X,X
TILOZJS,X,X,O,O,O,O,X,X
TILOZSJ,X,X,O,O,X,O,X,X
TIJLSZO,O,O,X,X,O,X,X,X
TIJLSOZ,O,O,X,X,O,X,X,O
TIJLZSO,O,O,X,X,O,O,X,X
TIJLZOS,X,X,X,X,O,O,X,O
TIJLOSZ,X,O,X,X,O,X,X,O
TIJLOZS,X,X,X,X,O,O,X,O
TIJSLZO,O,O,X,O,O,X,X,X
TIJSLOZ,O,O,X,X,O,X,X,O
TIJSZLO,O,O,X,X,X,O,X,X
TIJSZOL,O,O,X,X,X,X,X,X
TIJSOLZ,O,O,X,X,O,X,X,O
TIJSOZL,O,O,X,X,O,X,X,X
TIJZLSO,O,O,X,X,X,O,X,X
TIJZLOS,X,O,X,X,X,O,X,O
TIJZSLO,O,O,X,X,X,O,X,X
TIJZSOL,O,O,X,X,X,X,X,X
TIJZOLS,O,O,X,X,X,O,X,O
TIJZOSL,O,O,X,X,X,X,X,X
TIJOLSZ,O,O,X,X,O,X,X,O
TIJOLZS,O,X,X,X,O,X,X,O
TIJOSLZ,O,O,X,X,O,X,X,O
TIJOSZL,O,O,X,X,O,X,X,X
TIJOZLS,O,X,X,X,O,O,X,O
TIJOZSL,O,X,X,X,O,X,X,X
TISLJZO,O,O,O,O,O,X,O,X
TISLJOZ,O,O,X,X,O,X,O,X
TISLZJO,X,O,O,O,O,O,O,X
TISLZOJ,X,O,O,O,O,O,O,X
TISLOJZ,O,O,X,X,O,X,O,X
TISLOZJ,O,O,O,O,O,O,O,X
TISJLZO,O,O,X,O,O,X,O,X
TISJLOZ,O,O,X,X,O,X,O,O
TISJZLO,O,O,X,X,X,O,O,X
TISJZOL,X,O,X,X,X,X,O,X
TISJOLZ,O,O,X,X,O,X,O,O
TISJOZL,O,O,X,X,O,X,O,X
TISZLJO,X,O,O,O,O,O,O,X
TISZLOJ,X,O,O,O,O,O,O,X
TISZJLO,X,O,O,X,X,O,O,X
TISZJOL,X,O,O,X,X,X,O,X
TISZOLJ,X,O,O,X,O,X,O,X
TISZOJL,X,O,O,X,O,X,O,X
TISOLJZ,O,O,X,X,O,X,O,X
TISOLZJ,O,O,O,O,O,X,O,X
TISOJLZ,O,O,X,X,O,X,O,X
TISOJZL,O,O,X,X,O,X,O,X
TISOZLJ,O,O,O,X,O,X,O,X
TISOZJL,O,O,O,X,O,X,O,X
TIZLJSO,X,O,O,O,O,O,X,X
TIZLJOS,X,O,O,X,O,O,X,X
TIZLSJO,X,O,O,O,X,O,X,X
TIZLSOJ,X,O,O,O,X,O,X,X
TIZLOJS,X,O,O,O,O,O,X,X
TIZLOSJ,X,O,O,O,X,O,X,X
TIZJLSO,O,O,O,O,X,O,X,X
TIZJLOS,X,O,O,X,X,O,X,O
TIZJSLO,O,O,O,X,X,O,X,X
TIZJSOL,O,O,O,X,X,X,X,X
TIZJOLS,O,O,O,X,X,O,X,O
TIZJOSL,O,O,O,X,X,X,X,X
TIZSLJO,O,O,O,O,O,O,X,X
TIZSLOJ,O,O,O,O,O,O,X,X
TIZSJLO,O,O,O,X,X,O,X,X
TIZSJOL,O,O,O,X,X,X,X,X
TIZSOLJ,O,O,O,X,O,X,X,X
TIZSOJL,O,O,O,X,O,X,X,X
TIZOLJS,X,O,O,O,O,O,X,X
TIZOLSJ,O,O,O,O,X,O,X,X
TIZOJLS,O,O,O,O,O,O,X,X
TIZOJSL,O,O,O,X,O,X,X,X
TIZOSLJ,O,O,O,X,X,X,X,X
TIZOSJL,O,O,O,X,X,X,X,X
TIOLJSZ,O,O,X,X,O,X,X,X
TIOLJZS,O,X,X,X,O,O,X,X
TIOLSJZ,O,O,X,X,O,X,X,X
TIOLSZJ,O,O,X,O,O,O,X,X
TIOLZJS,X,X,O,O,O,O,X,X
TIOLZSJ,O,X,O,O,X,O,X,X
TIOJLSZ,O,O,X,X,O,X,X,O
TIOJLZS,O,X,X,X,O,X,X,O
TIOJSLZ,O,O,X,X,O,X,X,O
TIOJSZL,O,O,X,X,O,X,X,X
TIOJZLS,O,X,X,X,O,O,X,O
TIOJZSL,O,X,X,X,O,X,X,X
TIOSLJZ,O,O,X,X,O,X,O,X
TIOSLZJ,O,O,O,O,O,X,O,X
TIOSJLZ,O,O,X,X,O,X,O,X
TIOSJZL,O,O,X,X,O,X,O,X
TIOSZLJ,O,O,O,X,O,X,O,X
TIOSZJL,O,O,O,X,O,X,O,X
