sequence,v115@HhA8IeD8FeA8BeF8Ke0/IvhFdmBumBaoB5oBTnBXqB,v115@HhA8IeD8FeA8BeF8Ke0/IvhFdmBqmBTiBeoB5oBXqB,v115@HhA8IeD8FeA8BeF8KeXAJvhFdmBzhBWoB6tBRsB0pB
TILJSZO,X,O,X
TILJSOZ,X,O,O
TILJZSO,X,O,X
TILJZOS,O,O,X
TILJOSZ,O,O,O
TILJOZS,O,O,X
TILSJZO,X,O,X
TILSJOZ,X,O,O
TILSZJO,X,O,X
TILSZOJ,O,X,X
TILSOJZ,O,X,O
TILSOZJ,O,X,X
TILZJSO,X,O,X
TILZJOS,O,O,X
TILZSJO,X,O,X
TILZSOJ,O,X,X
TILZOJS,O,O,X
TILZOSJ,O,X,X
TILOJSZ,O,O,O
TILOJZS,O,O,X
TILOSJZ,O,X,O
TILOSZJ,O,X,X
TILOZJS,O,O,X
TILOZSJ,O,X,X
TIJLSZO,X,O,X
TIJLSOZ,X,O,O
TIJLZSO,X,O,X
TIJLZOS,O,O,X
TIJLOSZ,O,O,O
TIJLOZS,O,O,X
TIJSLZO,X,O,X
TIJSLOZ,X,O,O
TIJSZLO,X,O,X
TIJSZOL,O,X,O
TIJSOLZ,O,X,O
TIJSOZL,O,X,O
TIJZLSO,X,O,X
TIJZLOS,O,O,X
TIJZSLO,X,O,X
TIJZSOL,O,X,O
TIJZOLS,O,O,X
TIJZOSL,O,X,O
TIJOLSZ,O,O,O
TIJOLZS,O,O,X
TIJOSLZ,O,X,O
TIJOSZL,O,X,O
TIJOZLS,O,O,X
TIJOZSL,O,X,O
TISLJZO,X,O,X
TISLJOZ,X,O,O
TISLZJO,X,O,X
TISLZOJ,O,X,X
TISLOJZ,O,X,O
TISLOZJ,O,X,X
TISJLZO,X,O,X
TISJLOZ,X,O,O
TISJZLO,X,O,X
TISJZOL,O,X,O
TISJOLZ,O,X,O
TISJOZL,O,X,O
TISZLJO,X,O,X
TISZLOJ,O,X,X
TISZJLO,X,O,X
TISZJOL,O,X,O
TISZOLJ,O,X,X
TISZOJL,O,X,O
TISOLJZ,O,X,O
TISOLZJ,O,X,X
TISOJLZ,O,X,O
TISOJZL,O,X,O
TISOZLJ,O,X,X
TISOZJL,O,X,O
TIZLJSO,X,O,X
TIZLJOS,O,O,X
TIZLSJO,X,O,X
TIZLSOJ,O,X,X
TIZLOJS,O,O,X
TIZLOSJ,O,X,X
TIZJLSO,X,O,X
TIZJLOS,O,O,X
TIZJSLO,X,O,X
TIZJSOL,O,X,O
TIZJOLS,O,O,X
TIZJOSL,O,X,O
TIZSLJO,X,O,X
TIZSLOJ,O,X,X
TIZSJLO,X,O,X
TIZSJOL,O,X,O
TIZSOLJ,O,X,X
TIZSOJL,O,X,O
TIZOLJS,O,O,X
TIZOLSJ,O,X,X
TIZOJLS,O,O,X
TIZOJSL,O,X,O
TIZOSLJ,O,X,X
TIZOSJL,O,X,O
TIOLJSZ,O,O,O
TIOLJZS,O,O,X
TIOLSJZ,O,X,O
TIOLSZJ,O,X,X
TIOLZJS,O,O,X
TIOLZSJ,O,X,X
TIOJLSZ,O,O,O
TIOJLZS,O,O,X
TIOJSLZ,O,X,O
TIOJSZL,O,X,O
TIOJZLS,O,O,X
TIOJZSL,O,X,O
TIOSLJZ,O,X,O
TIOSLZJ,O,X,X
TIOSJLZ,O,X,O
TIOSJZL,O,X,O
TIOSZLJ,O,X,X
TIOSZJL,O,X,O
TIOZLJS,O,O,X
TIOZLSJ,O,X,X
TIOZJLS,O,O,X
TIOZJSL,O,X,O
TIOZSLJ,O,X,X
TIOZSJL,O,X,O
TLIJSZO,X,O,X
TLIJSOZ,X,O,O
TLIJZSO,X,O,X
TLIJZOS,O,O,X
TLIJOSZ,O,O,O
TLIJOZS,O,O,X
TLISJZO,X,O,X
TLISJOZ,X,O,O
TLISZJO,X,O,X
TLISZOJ,O,X,X
TLISOJZ,O,X,O
TLISOZJ,O,X,X
TLIZJSO,X,O,X
TLIZJOS,O,O,X
TLIZSJO,X,O,X
TLIZSOJ,O,X,X
TLIZOJS,O,O,X
TLIZOSJ,O,X,X
TLIOJSZ,O,O,O
TLIOJZS,O,O,X
TLIOSJZ,O,X,O
TLIOSZJ,O,X,X
TLIOZJS,O,O,X
TLIOZSJ,O,X,X
TLJISZO,X,O,X
TLJISOZ,X,O,X
TLJIZSO,X,O,X
TLJIZOS,O,O,X
TLJIOSZ,O,O,X
TLJIOZS,O,O,X
TLJSIZO,X,O,X
TLJSIOZ,X,O,X
TLJSZIO,X,O,X
TLJSZOI,X,O,X
TLJSOIZ,X,O,X
TLJSOZI,X,O,X
TLJZISO,X,O,X
TLJZIOS,O,O,X
TLJZSIO,X,O,X
TLJZSOI,X,O,X
TLJZOIS,O,O,X
TLJZOSI,O,O,X
TLJOISZ,O,O,X
TLJOIZS,O,O,X
TLJOSIZ,O,O,X
TLJOSZI,O,O,X
TLJOZIS,O,O,X
TLJOZSI,O,O,X
TLSIJZO,X,O,X
TLSIJOZ,X,O,O
TLSIZJO,X,O,X
TLSIZOJ,O,X,X
TLSIOJZ,O,X,O
TLSIOZJ,O,X,X
TLSJIZO,X,O,X
TLSJIOZ,X,O,X
TLSJZIO,X,O,X
TLSJZOI,X,O,X
TLSJOIZ,X,O,X
TLSJOZI,X,O,X
TLSZIJO,X,O,X
TLSZIOJ,O,X,X
TLSZJIO,X,O,X
TLSZJOI,X,O,X
TLSZOIJ,O,X,X
TLSZOJI,O,O,X
TLSOIJZ,O,X,X
TLSOIZJ,O,X,X
TLSOJIZ,O,O,X
TLSOJZI,O,O,X
TLSOZIJ,O,X,X
TLSOZJI,O,O,X
TLZIJSO,X,O,X
TLZIJOS,O,O,X
TLZISJO,X,O,X
TLZISOJ,O,X,X
TLZIOJS,O,O,X
TLZIOSJ,O,X,X
TLZJISO,X,O,X
TLZJIOS,O,O,X
TLZJSIO,X,O,X
TLZJSOI,X,O,X
TLZJOIS,O,O,X
TLZJOSI,O,O,X
TLZSIJO,X,O,X
TLZSIOJ,O,X,X
TLZSJIO,X,O,X
TLZSJOI,X,O,X
TLZSOIJ,O,X,X
TLZSOJI,O,O,X
TLZOIJS,O,O,X
TLZOISJ,O,X,X
TLZOJIS,O,O,X
TLZOJSI,O,O,X
TLZOSIJ,O,X,X
TLZOSJI,O,O,X
TLOIJSZ,O,O,X
TLOIJZS,O,O,X
TLOISJZ,O,X,X
TLOISZJ,O,X,X
TLOIZJS,O,O,X
TLOIZSJ,O,X,X
TLOJISZ,O,O,X
TLOJIZS,O,O,X
TLOJSIZ,O,O,X
TLOJSZI,O,O,X
TLOJZIS,O,O,X
TLOJZSI,O,O,X
TLOSIJZ,O,X,X
TLOSIZJ,O,X,X
TLOSJIZ,O,O,X
TLOSJZI,O,O,X
TLOSZIJ,O,X,X
TLOSZJI,O,O,X
TLOZIJS,O,O,X
TLOZISJ,O,X,X
TLOZJIS,O,O,X
TLOZJSI,O,O,X
TLOZSIJ,O,X,X
TLOZSJI,O,O,X
TJILSZO,X,O,X
TJILSOZ,X,O,O
TJILZSO,X,O,X
TJILZOS,O,O,X
TJILOSZ,O,O,O
TJILOZS,O,O,X
TJISLZO,X,O,X
TJISLOZ,X,O,O
TJISZLO,X,O,X
TJISZOL,O,X,O
TJISOLZ,O,X,O
TJISOZL,O,X,O
TJIZLSO,X,O,X
TJIZLOS,O,O,X
TJIZSLO,X,O,X
TJIZSOL,O,X,O
TJIZOLS,O,O,X
