sequence,v115@LhA8IeD8BeE8BeB8KeOEJvhF6lB0hBdoB5oBzkBXsB,v115@LhA8IeD8BeE8BeB8KeKEJvhFzfB+lB0hBdoB5oBXsB
TILJSZO,X,X
TILJSOZ,X,X
TILJZSO,X,X
TILJZOS,X,O
TILJOSZ,X,X
TILJOZS,X,O
TILSJZO,X,X
TILSJOZ,X,X
TILSZJO,X,X
TILSZOJ,X,X
TILSOJZ,X,X
TILSOZJ,X,X
TILZJSO,X,X
TILZJOS,X,O
TILZSJO,X,X
TILZSOJ,X,X
TILZOJS,O,X
TILZOSJ,X,X
TILOJSZ,X,X
TILOJZS,O,O
TILOSJZ,X,X
TILOSZJ,X,X
TILOZJS,O,X
TILOZSJ,X,X
TIJLSZO,X,X
TIJLSOZ,X,X
TIJLZSO,X,X
TIJLZOS,X,O
TIJLOSZ,X,X
TIJLOZS,X,O
TIJSLZO,X,X
TIJSLOZ,X,X
TIJSZLO,X,X
TIJSZOL,X,X
TIJSOLZ,X,X
TIJSOZL,X,X
TIJZLSO,X,X
TIJZLOS,X,O
TIJZSLO,X,X
TIJZSOL,X,X
TIJZOLS,O,X
TIJZOSL,X,X
TIJOLSZ,X,X
TIJOLZS,O,X
TIJOSLZ,X,X
TIJOSZL,X,X
TIJOZLS,O,X
TIJOZSL,X,X
TISLJZO,X,X
TISLJOZ,X,X
TISLZJO,X,X
TISLZOJ,X,X
TISLOJZ,X,X
TISLOZJ,X,X
TISJLZO,X,X
TISJLOZ,X,X
TISJZLO,X,X
TISJZOL,X,X
TISJOLZ,X,X
TISJOZL,X,X
TISZLJO,X,X
TISZLOJ,X,X
TISZJLO,X,X
TISZJOL,X,X
TISZOLJ,X,X
TISZOJL,X,X
TISOLJZ,X,X
TISOLZJ,X,X
TISOJLZ,X,X
TISOJZL,X,X
TISOZLJ,X,X
TISOZJL,X,X
TIZLJSO,X,X
TIZLJOS,X,O
TIZLSJO,X,X
TIZLSOJ,X,X
TIZLOJS,O,X
TIZLOSJ,X,X
TIZJLSO,X,X
TIZJLOS,X,O
TIZJSLO,X,X
TIZJSOL,X,X
TIZJOLS,O,X
TIZJOSL,X,X
TIZSLJO,X,X
TIZSLOJ,X,X
TIZSJLO,X,X
TIZSJOL,X,X
TIZSOLJ,X,X
TIZSOJL,X,X
TIZOLJS,O,X
TIZOLSJ,X,X
TIZOJLS,O,X
TIZOJSL,X,X
TIZOSLJ,X,X
TIZOSJL,X,X
TIOLJSZ,X,X
TIOLJZS,O,X
TIOLSJZ,X,X
TIOLSZJ,X,X
TIOLZJS,O,X
TIOLZSJ,X,X
TIOJLSZ,X,X
TIOJLZS,O,X
TIOJSLZ,X,X
TIOJSZL,X,X
TIOJZLS,O,X
TIOJZSL,X,X
TIOSLJZ,X,X
TIOSLZJ,X,X
TIOSJLZ,X,X
TIOSJZL,X,X
TIOSZLJ,X,X
TIOSZJL,X,X
TIOZLJS,O,X
TIOZLSJ,X,X
TIOZJLS,O,X
TIOZJSL,X,X
TIOZSLJ,X,X
TIOZSJL,X,X
TLIJSZO,X,X
TLIJSOZ,X,X
TLIJZSO,X,X
TLIJZOS,X,O
TLIJOSZ,X,X
TLIJOZS,X,O
TLISJZO,X,X
TLISJOZ,X,X
TLISZJO,X,X
TLISZOJ,X,X
TLISOJZ,X,X
TLISOZJ,X,X
TLIZJSO,X,X
TLIZJOS,X,O
TLIZSJO,X,X
TLIZSOJ,X,X
TLIZOJS,O,X
TLIZOSJ,X,X
TLIOJSZ,X,X
TLIOJZS,O,O
TLIOSJZ,X,X
TLIOSZJ,X,X
TLIOZJS,O,X
TLIOZSJ,X,X
