sequence,v115@JhA8DeA8DeA8DeC8AeC8CeC8JeZEJvhFukBtlBXiBT?jBirB0rB,v115@JhA8DeA8DeA8DeC8AeC8CeC8JeZEJvhFukBUhBTjBf?rBdsBCsB,v115@JhA8DeA8DeA8DeC8AeC8CeC8Jei/IvhFtlBxhBTjBc?pBmrB3rB
TILJSZO,O,O,X
TILJSOZ,O,O,X
TILJZSO,O,X,X
TILJZOS,O,X,X
TILJOSZ,O,O,X
TILJOZS,O,X,X
TILSJZO,O,O,X
TILSJOZ,O,O,X
TILSZJO,O,O,X
TILSZOJ,O,O,X
TILSOJZ,O,O,X
TILSOZJ,O,O,X
TILZJSO,O,X,X
TILZJOS,O,X,O
TILZSJO,O,X,X
TILZSOJ,O,X,O
TILZOJS,O,X,O
TILZOSJ,O,X,O
TILOJSZ,O,O,X
TILOJZS,O,X,X
TILOSJZ,O,O,X
TILOSZJ,O,O,X
TILOZJS,O,X,O
TILOZSJ,O,X,O
TIJLSZO,O,O,X
TIJLSOZ,O,O,X
TIJLZSO,O,X,O
TIJLZOS,O,X,O
TIJLOSZ,O,O,X
TIJLOZS,O,X,O
TIJSLZO,O,O,X
TIJSLOZ,O,O,X
TIJSZLO,X,O,O
TIJSZOL,O,O,O
TIJSOLZ,O,O,X
TIJSOZL,O,O,O
TIJZLSO,O,X,O
TIJZLOS,O,X,O
TIJZSLO,X,O,O
TIJZSOL,O,O,O
TIJZOLS,O,X,O
TIJZOSL,O,O,O
TIJOLSZ,O,O,X
TIJOLZS,O,X,O
TIJOSLZ,O,O,X
TIJOSZL,O,O,O
TIJOZLS,O,X,O
TIJOZSL,O,O,O
TISLJZO,O,O,X
TISLJOZ,O,O,X
TISLZJO,O,O,X
TISLZOJ,O,O,X
TISLOJZ,O,O,X
TISLOZJ,O,O,X
TISJLZO,O,O,X
TISJLOZ,O,O,X
TISJZLO,X,O,X
TISJZOL,O,O,X
TISJOLZ,O,O,X
TISJOZL,O,O,X
TISZLJO,X,O,X
TISZLOJ,X,O,O
TISZJLO,X,O,X
TISZJOL,O,O,X
TISZOLJ,X,O,O
TISZOJL,O,O,X
TISOLJZ,O,O,X
TISOLZJ,O,O,X
TISOJLZ,O,O,X
TISOJZL,O,O,X
TISOZLJ,X,O,O
TISOZJL,O,O,X
TIZLJSO,O,X,O
TIZLJOS,O,X,O
TIZLSJO,O,X,X
TIZLSOJ,O,X,O
TIZLOJS,O,X,O
TIZLOSJ,O,X,O
TIZJLSO,O,X,O
TIZJLOS,O,X,O
TIZJSLO,X,O,O
TIZJSOL,O,O,O
TIZJOLS,O,X,O
TIZJOSL,O,O,O
TIZSLJO,X,O,X
TIZSLOJ,X,O,O
TIZSJLO,X,O,X
TIZSJOL,O,O,X
TIZSOLJ,X,O,O
TIZSOJL,O,O,X
TIZOLJS,O,X,O
TIZOLSJ,O,X,O
TIZOJLS,O,X,O
TIZOJSL,O,O,O
TIZOSLJ,X,O,O
TIZOSJL,O,O,X
TIOLJSZ,O,O,X
TIOLJZS,O,X,X
TIOLSJZ,O,O,X
TIOLSZJ,O,O,X
TIOLZJS,O,X,O
TIOLZSJ,O,X,O
TIOJLSZ,O,O,X
TIOJLZS,O,X,O
TIOJSLZ,O,O,X
TIOJSZL,O,O,O
TIOJZLS,O,X,O
TIOJZSL,O,O,O
TIOSLJZ,O,O,X
TIOSLZJ,O,O,X
TIOSJLZ,O,O,X
TIOSJZL,O,O,X
TIOSZLJ,X,O,O
TIOSZJL,O,O,X
TIOZLJS,O,X,O
TIOZLSJ,O,X,O
TIOZJLS,O,X,O
TIOZJSL,O,O,O
TIOZSLJ,X,O,O
TIOZSJL,O,O,X
TLIJSZO,O,O,X
TLIJSOZ,O,O,X
TLIJZSO,O,X,X
TLIJZOS,O,X,X
TLIJOSZ,O,O,X
TLIJOZS,O,X,X
TLISJZO,O,O,X
TLISJOZ,O,O,X
TLISZJO,O,O,X
TLISZOJ,O,O,X
TLISOJZ,O,O,X
TLISOZJ,O,O,X
TLIZJSO,O,X,X
TLIZJOS,O,X,O
TLIZSJO,O,X,X
TLIZSOJ,O,X,O
TLIZOJS,O,X,O
TLIZOSJ,O,X,O
TLIOJSZ,O,O,X
TLIOJZS,O,X,X
TLIOSJZ,O,O,X
TLIOSZJ,O,O,X
TLIOZJS,O,X,O
TLIOZSJ,O,X,O
TLJISZO,O,O,X
TLJISOZ,O,O,X
TLJIZSO,O,X,O
TLJIZOS,O,X,O
TLJIOSZ,O,O,X
TLJIOZS,O,X,O
TLJSIZO,O,O,X
TLJSIOZ,O,O,X
TLJSZIO,O,O,X
TLJSZOI,O,O,X
TLJSOIZ,O,O,X
TLJSOZI,O,O,X
TLJZISO,O,X,O
TLJZIOS,O,X,O
TLJZSIO,O,X,O
TLJZSOI,O,X,O
TLJZOIS,O,X,O
TLJZOSI,O,X,O
TLJOISZ,O,O,X
TLJOIZS,O,X,O
TLJOSIZ,O,O,X
TLJOSZI,O,O,X
TLJOZIS,O,X,O
TLJOZSI,O,X,O
TLSIJZO,O,O,X
TLSIJOZ,O,O,X
TLSIZJO,O,O,X
TLSIZOJ,O,O,X
TLSIOJZ,O,O,X
TLSIOZJ,O,O,X
TLSJIZO,O,O,X
TLSJIOZ,O,O,X
TLSJZIO,O,O,X
TLSJZOI,O,O,X
TLSJOIZ,O,O,X
TLSJOZI,O,O,X
TLSZIJO,O,O,X
TLSZIOJ,O,O,X
TLSZJIO,O,O,X
TLSZJOI,O,O,X
TLSZOIJ,O,O,X
TLSZOJI,O,O,X
TLSOIJZ,O,O,X
TLSOIZJ,O,O,X
TLSOJIZ,O,O,X
TLSOJZI,O,O,X
TLSOZIJ,O,O,X
TLSOZJI,O,O,X
TLZIJSO,O,X,O
TLZIJOS,O,X,O
TLZISJO,O,X,X
TLZISOJ,O,X,O
TLZIOJS,O,X,O
TLZIOSJ,O,X,O
TLZJISO,O,X,O
TLZJIOS,O,X,O
TLZJSIO,O,X,O
TLZJSOI,O,X,O
TLZJOIS,O,X,O
TLZJOSI,O,X,O
TLZSIJO,O,X,X
TLZSIOJ,O,X,O
TLZSJIO,O,X,O
TLZSJOI,O,X,O
TLZSOIJ,O,X,O
TLZSOJI,O,X,O
TLZOIJS,O,X,O
TLZOISJ,O,X,O
TLZOJIS,O,X,O
TLZOJSI,O,X,O
TLZOSIJ,O,X,O
TLZOSJI,O,X,O
TLOIJSZ,O,O,X
TLOIJZS,O,X,X
TLOISJZ,O,O,X
TLOISZJ,O,O,X
TLOIZJS,O,X,O
TLOIZSJ,O,X,O
TLOJISZ,O,O,X
TLOJIZS,O,X,O
TLOJSIZ,O,O,X
TLOJSZI,O,O,X
TLOJZIS,O,X,O
TLOJZSI,O,X,O
TLOSIJZ,O,O,X
TLOSIZJ,O,O,X
TLOSJIZ,O,O,X
TLOSJZI,O,O,X
TLOSZIJ,O,O,X
TLOSZJI,O,O,X
TLOZIJS,O,X,O
TLOZISJ,O,X,O
TLOZJIS,O,X,O
TLOZJSI,O,X,O
TLOZSIJ,O,X,O
TLOZSJI,O,X,O
TJILSZO,O,O,X
TJILSOZ,O,O,X
TJILZSO,O,X,O
TJILZOS,O,X,O
TJILOSZ,O,O,X
TJILOZS,O,X,O
TJISLZO,O,O,X
TJISLOZ,O,O,X
TJISZLO,X,O,O
TJISZOL,O,O,O
TJISOLZ,O,O,X
TJISOZL,O,O,O
TJIZLSO,O,X,O
TJIZLOS,O,X,O
TJIZSLO,X,O,O
TJIZSOL,O,O,O
TJIZOLS,O,X,O
TJIZOSL,O,O,O
TJIOLSZ,O,O,X
TJIOLZS,O,X,O
TJIOSLZ,O,O,X
TJIOSZL,O,O,O
TJIOZLS,O,X,O
TJIOZSL,O,O,O
TJLISZO,O,O,X
TJLISOZ,O,O,X
TJLIZSO,O,X,O
TJLIZOS,O,X,O
TJLIOSZ,O,O,X
TJLIOZS,O,X,O
TJLSIZO,O,O,X
TJLSIOZ,O,O,X
TJLSZIO,O,O,X
TJLSZOI,O,O,X
TJLSOIZ,O,O,X
TJLSOZI,O,O,X
TJLZISO,O,X,O
TJLZIOS,O,X,O
TJLZSIO,O,X,O
TJLZSOI,O,X,O
TJLZOIS,O,X,O
TJLZOSI,O,X,O
TJLOISZ,O,O,X
TJLOIZS,O,X,O
TJLOSIZ,O,O,X
TJLOSZI,O,O,X
TJLOZIS,O,X,O
TJLOZSI,O,X,O
TJSILZO,O,O,X
TJSILOZ,O,O,X
TJSIZLO,X,O,O
TJSIZOL,O,O,O
TJSIOLZ,O,O,X
TJSIOZL,O,O,O
TJSLIZO,O,O,X
TJSLIOZ,O,O,X
TJSLZIO,O,O,X
TJSLZOI,O,O,X
TJSLOIZ,O,O,X
TJSLOZI,O,O,X
TJSZILO,X,O,O
TJSZIOL,O,O,O
TJSZLIO,X,O,O
TJSZLOI,X,O,O
TJSZOIL,O,O,O
TJSZOLI,X,O,O
TJSOILZ,O,O,X
TJSOIZL,O,O,O
TJSOLIZ,O,O,X
TJSOLZI,O,O,X
TJSOZIL,O,O,O
TJSOZLI,X,O,O
TJZILSO,O,X,O
TJZILOS,O,X,O
TJZISLO,X,O,O
TJZISOL,O,O,O
TJZIOLS,O,X,O
TJZIOSL,O,O,O
TJZLISO,O,X,O
TJZLIOS,O,X,O
TJZLSIO,O,X,O
TJZLSOI,O,X,O
TJZLOIS,O,X,O
TJZLOSI,O,X,O
TJZSILO,X,O,O
TJZSIOL,O,O,O
TJZSLIO,X,O,O
TJZSLOI,X,O,O
TJZSOIL,O,O,O
TJZSOLI,X,O,O
TJZOILS,O,X,O
TJZOISL,O,O,O
TJZOLIS,O,X,O
TJZOLSI,O,X,O
TJZOSIL,O,O,O
TJZOSLI,X,O,O
TJOILSZ,O,O,X
TJOILZS,O,X,O
TJOISLZ,O,O,X
TJOISZL,O,O,O
TJOIZLS,O,X,O
TJOIZSL,O,O,O
TJOLISZ,O,O,X
TJOLIZS,O,X,O
TJOLSIZ,O,O,X
TJOLSZI,O,O,X
TJOLZIS,O,X,O
TJOLZSI,O,X,O
TJOSILZ,O,O,X
TJOSIZL,O,O,O
TJOSLIZ,O,O,X
TJOSLZI,O,O,X
TJOSZIL,O,O,O
TJOSZLI,X,O,O
TJOZILS,O,X,O
TJOZISL,O,O,O
TJOZLIS,O,X,O
TJOZLSI,O,X,O
TJOZSIL,O,O,O
TJOZSLI,X,O,O
TSILJZO,O,O,X
TSILJOZ,O,O,X
TSILZJO,O,O,X
TSILZOJ,O,O,X
TSILOJZ,O,O,X
TSILOZJ,O,O,X
TSIJLZO,O,O,X
TSIJLOZ,O,O,X
TSIJZLO,X,O,X
TSIJZOL,O,O,X
TSIJOLZ,O,O,X
TSIJOZL,O,O,X
TSIZLJO,X,O,X
TSIZLOJ,X,O,O
TSIZJLO,X,O,X
TSIZJOL,O,O,X
TSIZOLJ,X,O,O
TSIZOJL,O,O,X
TSIOLJZ,O,O,X
TSIOLZJ,O,O,X
TSIOJLZ,O,O,X
TSIOJZL,O,O,X
TSIOZLJ,X,O,O
TSIOZJL,O,O,X
TSLIJZO,O,O,X
TSLIJOZ,O,O,X
TSLIZJO,O,O,X
TSLIZOJ,O,O,X
TSLIOJZ,O,O,X
TSLIOZJ,O,O,X
TSLJIZO,O,O,X
TSLJIOZ,O,O,X
TSLJZIO,O,O,X
TSLJZOI,O,O,X
TSLJOIZ,O,O,X
TSLJOZI,O,O,X
TSLZIJO,O,O,X
TSLZIOJ,O,O,X
TSLZJIO,O,O,X
TSLZJOI,O,O,X
TSLZOIJ,O,O,X
TSLZOJI,O,O,X
TSLOIJZ,O,O,X
TSLOIZJ,O,O,X
TSLOJIZ,O,O,X
TSLOJZI,O,O,X
TSLOZIJ,O,O,X
TSLOZJI,O,O,X
TSJILZO,O,O,X
TSJILOZ,O,O,X
TSJIZLO,X,O,O
TSJIZOL,O,O,O
TSJIOLZ,O,O,X
TSJIOZL,O,O,O
TSJLIZO,O,O,X
TSJLIOZ,O,O,X
TSJLZIO,O,O,X
TSJLZOI,O,O,X
TSJLOIZ,O,O,X
TSJLOZI,O,O,X
TSJZILO,X,O,O
TSJZIOL,O,O,O
TSJZLIO,X,O,O
TSJZLOI,X,O,O
TSJZOIL,O,O,O
TSJZOLI,X,O,O
TSJOILZ,O,O,X
TSJOIZL,O,O,O
TSJOLIZ,O,O,X
TSJOLZI,O,O,X
