sequence,v115@OhA8EeA8AeC8BeA8BeF8KeXAJvhFdmBzhBaoB5oB2p?B0pB,v115@OhA8EeA8AeC8BeA8BeF8KeT/IvhFNlBRhBGjBimB/t?B0pB,v115@OhA8EeA8AeC8BeA8BeF8Ke0/IvhFdmBzhBaoB5oB2p?BXqB,v115@OhA8EeA8AeC8BeA8BeF8Ke0/IvhFdmBzhBaoB5oB/p?BOqB,v115@OhA8EeA8AeC8BeA8BeF8Kex/IvhFdmBzhBGjBypB/t?B0pB
TILJSZO,O,O,O,O,O
TILJSOZ,O,O,O,O,O
TILJZSO,O,O,O,X,X
TILJZOS,O,O,O,X,X
TILJOSZ,O,X,O,O,O
TILJOZS,O,X,O,X,X
TILSJZO,O,O,O,O,O
TILSJOZ,O,O,O,O,O
TILSZJO,O,O,X,O,O
TILSZOJ,O,O,X,O,O
TILSOJZ,O,O,O,O,O
TILSOZJ,O,O,X,O,O
TILZJSO,O,O,O,X,X
TILZJOS,O,O,O,X,X
TILZSJO,O,O,X,O,O
TILZSOJ,O,O,X,O,O
TILZOJS,O,O,O,X,X
TILZOSJ,O,O,X,O,O
TILOJSZ,O,X,O,O,O
TILOJZS,O,X,O,X,X
TILOSJZ,O,O,O,O,O
TILOSZJ,O,O,X,O,O
TILOZJS,O,O,O,X,X
TILOZSJ,O,O,X,O,O
TIJLSZO,O,X,O,O,X
TIJLSOZ,O,X,O,O,X
TIJLZSO,O,X,O,X,X
TIJLZOS,O,X,O,X,X
TIJLOSZ,O,X,O,O,X
TIJLOZS,O,X,O,X,X
TIJSLZO,O,O,O,O,X
TIJSLOZ,O,X,O,O,O
TIJSZLO,O,O,O,O,X
TIJSZOL,O,O,O,O,O
TIJSOLZ,O,X,O,O,O
TIJSOZL,O,O,O,O,O
TIJZLSO,O,X,O,X,X
TIJZLOS,O,X,O,X,X
TIJZSLO,O,O,O,X,X
TIJZSOL,O,O,O,X,X
TIJZOLS,O,X,O,X,X
TIJZOSL,O,O,O,X,X
TIJOLSZ,O,X,O,O,X
TIJOLZS,O,X,O,X,X
TIJOSLZ,O,X,O,O,O
TIJOSZL,O,X,O,O,O
TIJOZLS,O,X,O,X,X
TIJOZSL,O,X,O,X,X
TISLJZO,O,O,O,O,O
TISLJOZ,O,O,O,O,O
TISLZJO,O,O,X,O,O
TISLZOJ,O,O,X,O,O
TISLOJZ,O,O,O,O,O
TISLOZJ,O,O,X,O,O
TISJLZO,O,O,O,O,O
TISJLOZ,O,O,O,O,O
TISJZLO,O,O,O,O,X
TISJZOL,O,O,O,O,O
TISJOLZ,O,X,O,O,O
TISJOZL,O,O,O,O,O
TISZLJO,O,O,X,O,X
TISZLOJ,O,O,X,O,X
TISZJLO,O,O,X,O,X
TISZJOL,O,O,X,O,O
TISZOLJ,O,O,X,O,X
TISZOJL,O,O,X,O,O
TISOLJZ,O,X,O,O,O
TISOLZJ,O,X,X,O,O
TISOJLZ,O,X,O,O,O
TISOJZL,O,O,O,O,O
TISOZLJ,O,O,X,O,X
TISOZJL,O,O,X,O,O
TIZLJSO,O,O,O,X,X
TIZLJOS,O,O,O,X,X
TIZLSJO,O,O,X,O,X
TIZLSOJ,O,O,X,O,X
TIZLOJS,O,O,O,X,X
TIZLOSJ,O,O,X,O,X
TIZJLSO,O,X,O,X,X
TIZJLOS,O,X,O,X,X
TIZJSLO,O,O,O,X,X
TIZJSOL,O,O,O,X,X
TIZJOLS,O,X,O,X,X
TIZJOSL,O,O,O,X,X
TIZSLJO,O,O,X,O,X
TIZSLOJ,O,O,X,O,X
TIZSJLO,O,O,X,O,X
TIZSJOL,O,O,X,O,O
TIZSOLJ,O,O,X,O,X
TIZSOJL,O,O,X,O,O
TIZOLJS,O,O,O,X,X
TIZOLSJ,O,O,X,O,X
TIZOJLS,O,X,O,X,X
TIZOJSL,O,O,O,X,X
TIZOSLJ,O,O,X,O,X
TIZOSJL,O,O,X,O,O
TIOLJSZ,O,X,O,O,O
TIOLJZS,O,X,O,X,X
TIOLSJZ,O,X,O,O,O
TIOLSZJ,O,X,X,O,O
TIOLZJS,O,X,O,X,X
TIOLZSJ,O,X,X,O,O
TIOJLSZ,O,X,O,O,X
TIOJLZS,O,X,O,X,X
TIOJSLZ,O,X,O,O,O
TIOJSZL,O,X,O,O,O
TIOJZLS,O,X,O,X,X
TIOJZSL,O,X,O,X,X
TIOSLJZ,O,X,O,O,O
TIOSLZJ,O,X,X,O,O
TIOSJLZ,O,X,O,O,O
TIOSJZL,O,O,O,O,O
TIOSZLJ,O,O,X,O,X
TIOSZJL,O,O,X,O,O
TIOZLJS,O,X,O,X,X
TIOZLSJ,O,O,X,O,X
TIOZJLS,O,X,O,X,X
TIOZJSL,O,O,O,X,X
TIOZSLJ,O,O,X,O,X
TIOZSJL,O,O,X,O,O
TLIJSZO,O,O,O,O,O
TLIJSOZ,O,O,O,O,O
TLIJZSO,O,O,O,X,X
TLIJZOS,O,O,O,X,X
TLIJOSZ,O,X,O,O,O
TLIJOZS,O,X,O,X,X
TLISJZO,O,O,O,O,O
TLISJOZ,O,O,O,O,O
TLISZJO,O,O,X,O,O
TLISZOJ,O,O,X,O,O
TLISOJZ,O,O,O,O,O
TLISOZJ,O,O,X,O,O
TLIZJSO,O,O,O,X,X
TLIZJOS,O,O,O,X,X
TLIZSJO,O,O,X,O,O
TLIZSOJ,O,O,X,O,O
TLIZOJS,O,O,O,X,X
TLIZOSJ,O,O,X,O,O
TLIOJSZ,O,X,O,O,O
TLIOJZS,O,X,O,X,X
TLIOSJZ,O,O,O,O,O
TLIOSZJ,O,O,X,O,O
TLIOZJS,O,O,O,X,X
TLIOZSJ,O,O,X,O,O
TLJISZO,O,O,O,O,O
TLJISOZ,O,O,O,O,O
TLJIZSO,O,O,O,X,X
TLJIZOS,O,O,O,X,X
TLJIOSZ,O,X,O,O,O
TLJIOZS,O,X,O,X,X
TLJSIZO,O,O,O,O,O
TLJSIOZ,O,O,O,O,O
TLJSZIO,O,O,O,O,O
TLJSZOI,O,O,O,O,O
TLJSOIZ,O,O,O,O,O
TLJSOZI,O,O,O,O,O
TLJZISO,O,O,O,X,X
TLJZIOS,O,O,O,X,X
TLJZSIO,O,O,O,X,X
TLJZSOI,O,O,O,X,X
TLJZOIS,O,O,O,X,X
TLJZOSI,O,O,O,X,X
TLJOISZ,O,X,O,O,O
TLJOIZS,O,X,O,X,X
TLJOSIZ,O,X,O,O,O
TLJOSZI,O,X,O,O,O
TLJOZIS,O,X,O,X,X
TLJOZSI,O,X,O,X,X
TLSIJZO,O,O,O,O,O
TLSIJOZ,O,O,O,O,O
TLSIZJO,O,O,X,O,O
TLSIZOJ,O,O,X,O,O
TLSIOJZ,O,O,O,O,O
TLSIOZJ,O,O,X,O,O
TLSJIZO,O,O,O,O,O
TLSJIOZ,O,O,O,O,O
TLSJZIO,O,O,O,O,O
TLSJZOI,O,O,O,O,O
TLSJOIZ,O,O,O,O,O
TLSJOZI,O,O,O,O,O
TLSZIJO,O,O,X,O,O
TLSZIOJ,O,O,X,O,O
TLSZJIO,O,O,X,O,O
TLSZJOI,O,O,X,O,O
TLSZOIJ,O,O,X,O,O
TLSZOJI,O,O,X,O,O
TLSOIJZ,O,O,O,O,O
TLSOIZJ,O,O,X,O,O
TLSOJIZ,O,O,O,O,O
TLSOJZI,O,O,O,O,O
TLSOZIJ,O,O,X,O,O
TLSOZJI,O,O,X,O,O
TLZIJSO,O,O,O,X,X
TLZIJOS,O,O,O,X,X
TLZISJO,O,O,X,O,O
TLZISOJ,O,O,X,O,O
TLZIOJS,O,O,O,X,X
TLZIOSJ,O,O,X,O,O
TLZJISO,O,O,O,X,X
TLZJIOS,O,O,O,X,X
TLZJSIO,O,O,O,X,X
TLZJSOI,O,O,O,X,X
TLZJOIS,O,O,O,X,X
TLZJOSI,O,O,O,X,X
TLZSIJO,O,O,X,O,O
TLZSIOJ,O,O,X,O,O
TLZSJIO,O,O,X,O,O
TLZSJOI,O,O,X,O,O
