sequence,v115@OhA8EeA8AeC8BeA8BeF8KeXAJvhFdmBzhBaoB5oB2p?B0pB,v115@OhA8EeA8AeC8BeA8BeF8KeT/IvhFNlBRhBGjBimB/t?B0pB,v115@OhA8EeA8AeC8BeA8BeF8Ke0/IvhFdmBzhBaoB5oB2p?BXqB,v115@OhA8EeA8AeC8BeA8BeF8Ke0/IvhFdmBzhBaoB5oB/p?BOqB,v115@OhA8EeA8AeC8BeA8BeF8Kex/IvhFdmBzhBGjBypB/t?B0pB
TILJSZO,X,X,X,X,X
TILJSOZ,O,X,X,X,X
TILJZSO,X,X,X,X,X
TILJZOS,X,X,O,X,X
TILJOSZ,O,X,X,X,X
TILJOZS,X,X,O,X,X
TILSJZO,X,X,X,X,X
TILSJOZ,O,X,X,X,X
TILSZJO,X,X,X,X,X
TILSZOJ,X,X,X,O,X
TILSOJZ,O,X,X,X,X
TILSOZJ,X,X,X,O,X
TILZJSO,X,X,X,X,X
TILZJOS,X,X,X,X,X
TILZSJO,X,X,X,X,X
TILZSOJ,X,X,X,X,X
TILZOJS,X,X,X,X,X
TILZOSJ,X,X,X,X,X
TILOJSZ,O,X,X,X,X
TILOJZS,X,X,O,X,X
TILOSJZ,O,X,X,X,X
TILOSZJ,X,X,X,O,X
TILOZJS,X,X,X,X,X
TILOZSJ,X,X,X,X,X
TIJLSZO,X,X,X,X,X
TIJLSOZ,O,X,X,X,X
TIJLZSO,X,X,X,X,X
TIJLZOS,X,X,O,X,X
TIJLOSZ,O,X,X,X,X
TIJLOZS,X,X,O,X,X
TIJSLZO,X,X,X,X,X
TIJSLOZ,O,X,X,X,X
TIJSZLO,X,X,X,X,X
TIJSZOL,X,X,X,X,X
TIJSOLZ,O,X,X,X,X
TIJSOZL,X,X,X,X,X
TIJZLSO,X,X,X,X,X
TIJZLOS,X,X,O,X,X
TIJZSLO,X,X,X,X,X
TIJZSOL,X,X,X,X,X
TIJZOLS,X,X,O,X,X
TIJZOSL,X,X,X,X,X
TIJOLSZ,O,X,X,X,X
TIJOLZS,X,X,O,X,X
TIJOSLZ,O,X,X,X,X
TIJOSZL,X,X,X,X,X
TIJOZLS,X,X,O,X,X
TIJOZSL,X,X,X,X,X
TISLJZO,X,X,X,X,X
TISLJOZ,O,X,X,X,X
TISLZJO,X,X,X,X,X
TISLZOJ,X,X,X,O,X
TISLOJZ,O,X,X,X,X
TISLOZJ,X,X,X,O,X
TISJLZO,X,X,X,X,X
TISJLOZ,O,X,X,X,X
