sequence,v115@GhA8EeA8CeA8EeB8BeA8AeA8CeE8JeZEJvhFCgBXhB?miBdqB0nBzqB,v115@GhA8EeA8CeA8EeB8BeA8AeA8CeE8JeZEJvhFtkBXhB?TiBeoBiqB0qB,v115@GhA8EeA8CeA8EeB8BeA8AeA8CeE8Jex/IvhFXhBTiB?eoBNpBUlByvB,v115@GhA8EeA8CeA8EeB8BeA8AeA8CeE8Jex/IvhFXhBiiB?NpBznBmqBUqB,v115@GhA8EeA8CeA8EeB8BeA8AeA8CeE8JeZEJvhFtkBXhB?miB0nBTlByvB
TILJSZO,O,O,O,O,O
TILJSOZ,X,O,O,O,X
TILJZSO,O,O,O,O,O
TILJZOS,O,O,O,X,O
TILJOSZ,X,O,O,O,X
TILJOZS,X,O,O,O,X
TILSJZO,O,O,O,O,O
TILSJOZ,X,O,O,O,X
TILSZJO,O,O,O,O,O
TILSZOJ,O,X,O,O,O
TILSOJZ,X,O,O,O,X
TILSOZJ,O,X,X,O,O
TILZJSO,O,O,O,O,O
TILZJOS,O,O,O,X,O
TILZSJO,O,O,O,O,O
TILZSOJ,O,X,O,O,O
TILZOJS,O,X,O,X,O
TILZOSJ,O,X,O,X,O
TILOJSZ,O,O,O,O,X
TILOJZS,O,O,O,O,X
TILOSJZ,O,O,O,O,X
TILOSZJ,O,X,X,O,O
TILOZJS,O,X,X,O,O
TILOZSJ,O,X,X,O,O
TIJLSZO,O,O,O,O,O
TIJLSOZ,X,O,O,O,X
TIJLZSO,O,O,O,O,O
TIJLZOS,O,O,O,X,O
TIJLOSZ,X,O,O,O,X
TIJLOZS,X,O,O,O,X
TIJSLZO,O,O,O,O,X
TIJSLOZ,X,O,O,O,X
TIJSZLO,O,X,O,O,O
TIJSZOL,O,O,O,O,O
TIJSOLZ,X,O,O,O,X
TIJSOZL,X,O,O,O,X
TIJZLSO,O,O,O,O,O
TIJZLOS,O,O,O,X,O
TIJZSLO,O,X,O,O,O
TIJZSOL,O,O,O,O,O
TIJZOLS,O,O,O,O,O
TIJZOSL,O,O,O,O,O
TIJOLSZ,O,O,O,O,X
TIJOLZS,O,O,O,O,X
TIJOSLZ,O,O,O,O,X
TIJOSZL,O,O,O,O,X
TIJOZLS,O,O,O,O,X
TIJOZSL,O,O,O,O,X
TISLJZO,O,O,O,O,O
TISLJOZ,X,O,O,O,X
TISLZJO,O,O,O,O,O
TISLZOJ,O,X,O,O,O
TISLOJZ,X,O,O,O,X
TISLOZJ,O,X,X,O,O
TISJLZO,O,O,O,O,X
TISJLOZ,X,O,O,O,X
TISJZLO,O,X,O,O,O
TISJZOL,O,O,O,O,O
TISJOLZ,X,O,O,O,X
TISJOZL,X,O,O,O,X
TISZLJO,O,X,O,O,O
TISZLOJ,O,X,X,O,O
TISZJLO,O,X,O,X,O
TISZJOL,O,O,O,X,O
TISZOLJ,O,X,X,O,X
TISZOJL,O,X,O,X,O
TISOLJZ,O,X,X,O,X
TISOLZJ,O,X,X,O,X
TISOJLZ,O,O,O,O,X
TISOJZL,O,O,O,O,X
TISOZLJ,O,X,X,O,X
TISOZJL,O,X,X,X,O
TIZLJSO,O,O,O,O,O
TIZLJOS,O,O,O,X,O
TIZLSJO,O,O,O,O,O
TIZLSOJ,O,X,O,O,O
TIZLOJS,O,X,O,X,O
TIZLOSJ,O,X,O,X,O
TIZJLSO,O,O,O,O,O
TIZJLOS,O,O,O,X,O
TIZJSLO,O,X,O,O,O
TIZJSOL,O,O,O,O,O
TIZJOLS,O,O,O,O,O
TIZJOSL,O,O,O,O,O
TIZSLJO,O,X,O,O,O
TIZSLOJ,O,X,X,O,O
TIZSJLO,O,X,O,X,O
TIZSJOL,O,O,O,X,O
TIZSOLJ,O,X,X,O,X
TIZSOJL,O,X,O,X,O
TIZOLJS,O,X,X,O,O
TIZOLSJ,O,X,X,O,O
TIZOJLS,O,X,O,O,O
TIZOJSL,O,X,O,O,O
TIZOSLJ,O,X,X,O,X
TIZOSJL,O,X,O,X,O
TIOLJSZ,O,O,O,O,X
TIOLJZS,O,O,O,O,X
TIOLSJZ,O,O,O,O,X
TIOLSZJ,O,X,X,O,O
TIOLZJS,O,X,X,O,O
TIOLZSJ,O,X,X,O,O
TIOJLSZ,O,O,O,O,X
TIOJLZS,O,O,O,O,X
TIOJSLZ,O,O,O,O,X
TIOJSZL,O,O,O,O,X
TIOJZLS,O,O,O,O,X
TIOJZSL,O,O,O,O,X
TIOSLJZ,O,X,X,O,X
TIOSLZJ,O,X,X,O,X
TIOSJLZ,O,O,O,O,X
TIOSJZL,O,O,O,O,X
TIOSZLJ,O,X,X,O,X
TIOSZJL,O,X,X,X,O
TIOZLJS,O,X,X,O,O
TIOZLSJ,O,X,X,O,O
TIOZJLS,O,X,X,O,O
TIOZJSL,O,X,X,O,O
TIOZSLJ,O,X,X,O,X
TIOZSJL,O,X,X,X,O
TLIJSZO,O,O,O,O,O
TLIJSOZ,X,O,O,O,X
TLIJZSO,O,O,O,O,O
TLIJZOS,O,O,O,X,O
TLIJOSZ,X,O,O,O,X
TLIJOZS,X,O,O,O,X
TLISJZO,O,O,O,O,O
TLISJOZ,X,O,O,O,X
TLISZJO,O,O,O,O,O
TLISZOJ,O,X,O,O,O
TLISOJZ,X,O,O,O,X
TLISOZJ,O,X,X,O,O
TLIZJSO,O,O,O,O,O
TLIZJOS,O,O,O,X,O
TLIZSJO,O,O,O,O,O
TLIZSOJ,O,X,O,O,O
TLIZOJS,O,X,O,X,O
TLIZOSJ,O,X,O,X,O
TLIOJSZ,O,O,O,O,X
TLIOJZS,O,O,O,O,X
TLIOSJZ,O,O,O,O,X
TLIOSZJ,O,X,X,O,O
TLIOZJS,O,X,X,O,O
TLIOZSJ,O,X,X,O,O
TLJISZO,O,O,O,O,O
TLJISOZ,X,O,O,O,X
TLJIZSO,O,O,O,O,O
TLJIZOS,O,O,O,X,O
TLJIOSZ,X,O,O,O,X
TLJIOZS,X,O,O,O,X
TLJSIZO,O,O,O,O,O
TLJSIOZ,X,O,O,O,X
TLJSZIO,O,O,O,O,O
TLJSZOI,O,O,O,X,O
TLJSOIZ,X,O,O,O,X
TLJSOZI,X,O,O,O,X
TLJZISO,O,O,O,O,O
TLJZIOS,O,O,O,X,O
TLJZSIO,O,O,O,O,O
TLJZSOI,O,O,O,X,O
TLJZOIS,O,O,O,X,O
TLJZOSI,O,O,O,X,O
TLJOISZ,X,O,O,O,X
TLJOIZS,X,O,O,O,X
TLJOSIZ,X,O,O,O,X
TLJOSZI,X,O,O,O,X
TLJOZIS,X,O,O,O,X
TLJOZSI,X,O,O,O,X
TLSIJZO,O,O,O,O,O
TLSIJOZ,X,O,O,O,X
TLSIZJO,O,O,O,O,O
TLSIZOJ,O,X,O,O,O
TLSIOJZ,X,O,O,O,X
TLSIOZJ,O,X,X,O,O
TLSJIZO,O,O,O,O,O
TLSJIOZ,X,O,O,O,X
TLSJZIO,O,O,O,O,O
TLSJZOI,O,O,O,X,O
TLSJOIZ,X,O,O,O,X
TLSJOZI,X,O,O,O,X
TLSZIJO,O,O,O,O,O
TLSZIOJ,O,X,O,O,O
TLSZJIO,O,O,O,O,O
TLSZJOI,O,O,O,X,O
TLSZOIJ,O,X,O,X,O
TLSZOJI,O,X,O,X,O
TLSOIJZ,X,O,O,O,X
TLSOIZJ,O,X,X,O,O
TLSOJIZ,X,O,O,O,X
TLSOJZI,X,O,O,O,X
TLSOZIJ,O,X,O,O,O
TLSOZJI,O,X,O,O,O
TLZIJSO,O,O,O,O,O
TLZIJOS,O,O,O,X,O
TLZISJO,O,O,O,O,O
TLZISOJ,O,X,O,O,O
TLZIOJS,O,X,O,X,O
TLZIOSJ,O,X,O,X,O
TLZJISO,O,O,O,O,O
TLZJIOS,O,O,O,X,O
TLZJSIO,O,O,O,O,O
TLZJSOI,O,O,O,X,O
TLZJOIS,O,O,O,X,O
TLZJOSI,O,O,O,X,O
TLZSIJO,O,O,O,O,O
TLZSIOJ,O,X,O,O,O
TLZSJIO,O,O,O,O,O
TLZSJOI,O,O,O,X,O
TLZSOIJ,O,X,O,X,O
