sequence,v115@DhA8HeB8HeB8BeA8AeA8CeE8JeZEJvhFCgBXhBunBc?oBdqBzqB,v115@DhA8HeB8HeB8BeA8AeA8CeE8Jex/IvhFXhBGjBNpBU?lBznByvB,v115@DhA8HeB8HeB8BeA8AeA8CeE8Je0/IvhFxgBGjBNpB3?lBznByvB,v115@DhA8HeB8HeB8BeA8AeA8CeE8JeZEJvhFtkBXhBunBc?oBTlByvB
TILJSZO,X,O,X,X
TILJSOZ,X,O,X,X
TILJZSO,X,X,X,X
TILJZOS,X,X,X,X
TILJOSZ,X,X,X,X
TILJOZS,X,X,X,X
TILSJZO,X,O,X,X
TILSJOZ,X,O,X,X
TILSZJO,O,X,X,O
TILSZOJ,X,X,X,X
TILSOJZ,X,O,X,X
TILSOZJ,X,X,X,X
TILZJSO,O,X,X,O
TILZJOS,X,X,X,X
TILZSJO,O,X,X,O
TILZSOJ,X,X,X,X
TILZOJS,X,X,X,X
TILZOSJ,X,X,X,X
TILOJSZ,X,O,X,X
TILOJZS,X,X,X,X
TILOSJZ,X,O,X,X
TILOSZJ,X,X,X,X
TILOZJS,X,X,X,X
TILOZSJ,X,X,X,X
TIJLSZO,X,O,X,X
TIJLSOZ,X,O,X,X
TIJLZSO,X,X,X,X
TIJLZOS,X,X,X,X
TIJLOSZ,X,X,X,X
TIJLOZS,X,X,X,X
TIJSLZO,X,O,X,X
TIJSLOZ,X,O,X,X
TIJSZLO,X,X,X,X
TIJSZOL,X,O,X,X
TIJSOLZ,X,O,X,X
TIJSOZL,X,O,X,X
TIJZLSO,X,X,O,X
TIJZLOS,X,X,O,X
TIJZSLO,X,X,X,X
TIJZSOL,X,X,X,X
TIJZOLS,X,X,O,X
TIJZOSL,X,X,X,X
TIJOLSZ,X,X,X,X
TIJOLZS,X,X,X,X
TIJOSLZ,X,X,X,X
TIJOSZL,X,X,X,X
TIJOZLS,X,X,X,X
TIJOZSL,X,X,X,X
TISLJZO,X,X,X,X
TISLJOZ,X,X,X,X
TISLZJO,O,X,X,X
TISLZOJ,X,X,X,X
TISLOJZ,X,X,X,X
TISLOZJ,X,X,X,X
TISJLZO,X,O,X,X
TISJLOZ,X,O,X,X
TISJZLO,X,X,X,X
TISJZOL,X,O,X,X
TISJOLZ,X,O,X,X
TISJOZL,X,O,X,X
TISZLJO,O,X,X,X
TISZLOJ,X,X,X,X
TISZJLO,O,X,X,O
TISZJOL,X,X,X,X
TISZOLJ,X,X,X,X
TISZOJL,X,X,X,X
TISOLJZ,X,X,X,X
TISOLZJ,X,X,X,X
TISOJLZ,X,O,X,X
TISOJZL,X,O,X,X
TISOZLJ,X,X,X,X
TISOZJL,X,X,X,X
TIZLJSO,O,X,X,O
TIZLJOS,X,X,X,X
TIZLSJO,O,X,X,O
TIZLSOJ,X,X,X,X
TIZLOJS,X,X,X,X
TIZLOSJ,X,X,X,X
TIZJLSO,O,X,O,O
TIZJLOS,X,X,O,X
TIZJSLO,O,X,X,O
TIZJSOL,X,X,X,X
TIZJOLS,O,X,O,X
TIZJOSL,O,X,X,X
TIZSLJO,O,X,X,X
TIZSLOJ,X,X,X,X
TIZSJLO,O,X,X,O
TIZSJOL,X,X,X,X
TIZSOLJ,X,X,X,X
TIZSOJL,X,X,X,X
TIZOLJS,O,X,X,X
TIZOLSJ,O,X,X,X
TIZOJLS,O,X,O,X
TIZOJSL,O,X,X,X
TIZOSLJ,O,X,X,X
TIZOSJL,O,X,X,X
TIOLJSZ,X,O,X,X
TIOLJZS,X,X,X,X
TIOLSJZ,X,O,X,X
TIOLSZJ,O,X,X,X
TIOLZJS,O,X,X,X
TIOLZSJ,O,X,X,X
TIOJLSZ,X,O,X,X
TIOJLZS,X,X,X,X
TIOJSLZ,X,O,X,X
TIOJSZL,X,O,X,X
TIOJZLS,X,X,O,X
TIOJZSL,X,X,X,X
TIOSLJZ,X,X,X,X
TIOSLZJ,O,X,X,X
TIOSJLZ,X,O,X,X
TIOSJZL,X,O,X,X
TIOSZLJ,O,X,X,X
TIOSZJL,O,X,X,X
TIOZLJS,O,X,X,X
TIOZLSJ,O,X,X,X
TIOZJLS,O,X,O,X
TIOZJSL,O,X,X,X
TIOZSLJ,O,X,X,X
TIOZSJL,O,X,X,X
TLIJSZO,X,O,X,X
TLIJSOZ,X,O,X,X
TLIJZSO,X,X,O,X
TLIJZOS,X,X,O,X
TLIJOSZ,X,X,X,X
TLIJOZS,X,X,X,X
TLISJZO,X,O,X,X
TLISJOZ,X,O,X,X
TLISZJO,O,X,X,O
TLISZOJ,X,X,X,X
TLISOJZ,X,O,X,X
TLISOZJ,X,X,X,X
TLIZJSO,O,X,O,O
TLIZJOS,X,X,O,X
TLIZSJO,O,X,X,O
TLIZSOJ,X,X,X,X
TLIZOJS,X,X,O,X
TLIZOSJ,X,X,X,X
TLIOJSZ,X,O,X,X
TLIOJZS,X,X,O,X
TLIOSJZ,X,O,X,X
TLIOSZJ,X,X,X,X
TLIOZJS,X,X,O,X
TLIOZSJ,X,X,X,X
TLJISZO,X,O,X,X
TLJISOZ,X,O,X,X
TLJIZSO,X,X,O,X
TLJIZOS,X,X,O,X
TLJIOSZ,X,X,X,X
TLJIOZS,X,X,X,X
TLJSIZO,X,O,O,X
TLJSIOZ,X,O,X,X
TLJSZIO,X,O,O,X
TLJSZOI,X,X,X,X
TLJSOIZ,X,X,X,X
TLJSOZI,X,X,X,X
TLJZISO,X,O,O,X
TLJZIOS,X,X,O,X
TLJZSIO,X,O,O,X
TLJZSOI,X,X,X,X
TLJZOIS,X,X,X,X
TLJZOSI,X,X,X,X
TLJOISZ,X,X,X,X
TLJOIZS,X,X,X,X
TLJOSIZ,X,X,X,X
TLJOSZI,X,X,X,X
TLJOZIS,X,X,X,X
TLJOZSI,X,X,X,X
TLSIJZO,X,O,O,X
TLSIJOZ,X,O,X,X
TLSIZJO,O,X,O,O
TLSIZOJ,X,X,O,X
TLSIOJZ,X,O,O,X
TLSIOZJ,X,X,O,X
TLSJIZO,X,O,O,X
TLSJIOZ,X,O,X,X
TLSJZIO,X,O,O,X
TLSJZOI,X,X,X,X
TLSJOIZ,X,X,X,X
TLSJOZI,X,X,X,X
TLSZIJO,O,O,O,O
TLSZIOJ,X,O,O,X
TLSZJIO,O,O,O,O
TLSZJOI,X,X,X,X
TLSZOIJ,X,O,O,X
TLSZOJI,X,O,O,X
TLSOIJZ,X,O,O,X
TLSOIZJ,X,X,O,X
TLSOJIZ,X,O,O,X
TLSOJZI,X,O,O,X
TLSOZIJ,X,O,O,X
TLSOZJI,X,O,O,X
TLZIJSO,O,O,O,O
TLZIJOS,X,X,O,X
TLZISJO,O,O,X,O
TLZISOJ,X,O,X,X
TLZIOJS,X,O,O,X
TLZIOSJ,X,O,X,X
TLZJISO,O,O,O,O
TLZJIOS,X,X,O,X
TLZJSIO,O,O,O,O
TLZJSOI,X,X,X,X
TLZJOIS,X,X,X,X
TLZJOSI,X,X,X,X
TLZSIJO,O,O,O,O
TLZSIOJ,X,O,O,X
TLZSJIO,O,O,O,O
TLZSJOI,X,X,X,X
TLZSOIJ,X,O,O,X
TLZSOJI,X,O,O,X
TLZOIJS,X,O,O,X
TLZOISJ,X,O,X,X
TLZOJIS,X,O,O,X
TLZOJSI,X,O,O,X
TLZOSIJ,X,O,O,X
TLZOSJI,X,O,O,X
TLOIJSZ,X,O,X,X
TLOIJZS,X,X,O,X
TLOISJZ,X,O,X,X
TLOISZJ,X,X,X,X
TLOIZJS,X,X,O,X
TLOIZSJ,X,X,X,X
TLOJISZ,X,O,X,X
TLOJIZS,X,X,O,X
TLOJSIZ,X,O,O,X
TLOJSZI,X,O,O,X
TLOJZIS,X,O,O,X
TLOJZSI,X,O,O,X
TLOSIJZ,X,O,O,X
TLOSIZJ,X,X,O,X
TLOSJIZ,X,O,O,X
TLOSJZI,X,O,O,X
TLOSZIJ,X,O,O,X
TLOSZJI,X,O,O,X
TLOZIJS,X,O,O,X
TLOZISJ,X,O,X,X
TLOZJIS,X,O,O,X
TLOZJSI,X,O,O,X
TLOZSIJ,X,O,O,X
TLOZSJI,X,O,O,X
