sequence,v115@LhB8HeD8BeA8CeE8KeNEJvhF3gBUiBaoB5oBGqBzpB,v115@LhB8HeD8BeA8CeE8KeNEJvhF3gBUiBaoB5oBupBTqB,v115@LhB8HeD8BeA8CeE8KeNEJvhFRgBUiBGjB/tBCqBTqB
TILJSZO,O,O,O
TILJSOZ,O,X,O
TILJZSO,O,O,O
TILJZOS,O,O,X
TILJOSZ,O,O,X
TILJOZS,O,O,X
TILSJZO,O,O,O
TILSJOZ,O,X,O
TILSZJO,O,O,O
TILSZOJ,O,O,O
TILSOJZ,X,O,O
TILSOZJ,O,O,O
TILZJSO,O,O,O
TILZJOS,O,O,X
TILZSJO,O,O,O
TILZSOJ,O,O,O
TILZOJS,O,O,X
TILZOSJ,O,O,O
TILOJSZ,O,O,X
TILOJZS,O,O,X
TILOSJZ,X,O,O
TILOSZJ,O,O,O
TILOZJS,O,O,X
TILOZSJ,O,O,O
TIJLSZO,O,O,X
TIJLSOZ,O,X,X
TIJLZSO,O,O,X
TIJLZOS,O,O,X
TIJLOSZ,O,O,X
TIJLOZS,O,O,X
TIJSLZO,O,O,O
TIJSLOZ,O,X,X
TIJSZLO,O,O,O
TIJSZOL,O,X,O
TIJSOLZ,O,X,X
TIJSOZL,O,X,O
TIJZLSO,O,O,X
TIJZLOS,O,O,X
TIJZSLO,O,O,O
TIJZSOL,O,X,O
TIJZOLS,O,O,X
TIJZOSL,O,O,X
TIJOLSZ,O,O,X
TIJOLZS,O,O,X
TIJOSLZ,O,O,X
TIJOSZL,O,O,X
TIJOZLS,O,O,X
TIJOZSL,O,O,X
TISLJZO,O,O,O
TISLJOZ,O,X,O
TISLZJO,O,O,O
TISLZOJ,O,O,O
TISLOJZ,X,O,O
TISLOZJ,O,O,O
TISJLZO,O,O,O
TISJLOZ,O,X,O
TISJZLO,O,O,O
TISJZOL,O,X,O
TISJOLZ,O,X,X
TISJOZL,O,X,O
TISZLJO,O,O,O
TISZLOJ,O,O,O
TISZJLO,O,O,O
TISZJOL,O,X,O
TISZOLJ,O,O,X
TISZOJL,X,O,O
TISOLJZ,X,O,X
TISOLZJ,O,O,X
TISOJLZ,X,O,X
TISOJZL,X,O,O
TISOZLJ,O,O,X
TISOZJL,X,O,O
TIZLJSO,O,O,O
TIZLJOS,O,O,X
TIZLSJO,O,O,O
TIZLSOJ,O,O,O
TIZLOJS,O,O,X
TIZLOSJ,O,O,O
TIZJLSO,O,O,X
TIZJLOS,O,O,X
TIZJSLO,O,O,O
TIZJSOL,O,X,O
TIZJOLS,O,O,X
TIZJOSL,O,O,X
TIZSLJO,O,O,O
TIZSLOJ,O,O,O
TIZSJLO,O,O,O
TIZSJOL,O,X,O
TIZSOLJ,O,O,X
TIZSOJL,X,O,O
TIZOLJS,O,O,X
TIZOLSJ,O,O,X
TIZOJLS,O,O,X
TIZOJSL,O,O,X
TIZOSLJ,O,O,X
TIZOSJL,X,O,O
TIOLJSZ,O,O,X
TIOLJZS,O,O,X
TIOLSJZ,X,O,X
TIOLSZJ,O,O,X
TIOLZJS,O,O,X
TIOLZSJ,O,O,X
TIOJLSZ,O,O,X
TIOJLZS,O,O,X
TIOJSLZ,O,O,X
TIOJSZL,O,O,X
TIOJZLS,O,O,X
TIOJZSL,O,O,X
TIOSLJZ,X,O,X
TIOSLZJ,O,O,X
TIOSJLZ,X,O,X
TIOSJZL,X,O,O
TIOSZLJ,O,O,X
