sequence,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeGBJvhFxiBFlB8qB6?sBToB3rB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeGBJvhFTiB6oBRlB8?sBlqB3rB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeRBJvhFCjBUlBGmB/?sBToBVwB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeRBJvhFCjBFlB8qB+?rB/sBTtB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeRBJvhFCjBFlB8qBT?oBGsB3rB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JezBJvhFfoB6oBRlBl?qBGsBUrB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeGBJvhF/nBRlBToB0?qBlrBCtB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeWHJvhFTjBRlBXnBl?qBCtBUrB
TILJSZO,O,O,X,X,O,O,X,X
TILJSOZ,X,X,X,X,O,O,X,O
TILJZSO,O,O,X,X,O,X,X,X
TILJZOS,O,O,X,X,O,X,X,O
TILJOSZ,X,X,X,X,O,O,X,O
TILJOZS,X,O,X,X,O,X,X,O
TILSJZO,O,O,X,X,X,O,X,X
TILSJOZ,X,O,X,X,X,O,X,O
TILSZJO,O,O,X,X,X,O,X,X
TILSZOJ,O,O,X,X,X,X,X,X
TILSOJZ,O,O,X,X,X,O,X,O
TILSOZJ,O,O,X,X,X,X,X,X
TILZJSO,O,O,X,O,O,X,X,X
TILZJOS,O,O,X,X,O,X,X,O
TILZSJO,O,O,X,X,X,O,X,X
TILZSOJ,O,O,X,X,X,X,X,X
TILZOJS,O,O,X,X,O,X,X,O
TILZOSJ,O,O,X,X,O,X,X,X
TILOJSZ,O,X,X,X,O,X,X,O
TILOJZS,O,O,X,X,O,X,X,O
TILOSJZ,O,X,X,X,O,O,X,O
TILOSZJ,O,X,X,X,O,X,X,X
TILOZJS,O,O,X,X,O,X,X,O
TILOZSJ,O,O,X,X,O,X,X,X
TIJLSZO,X,O,O,X,O,O,X,X
TIJLSOZ,X,X,O,X,O,O,X,O
TIJLZSO,X,O,X,X,O,X,X,X
TIJLZOS,X,O,X,X,O,X,X,O
TIJLOSZ,X,X,X,X,O,O,X,O
TIJLOZS,X,O,X,X,O,X,X,O
TIJSLZO,X,O,O,O,O,O,X,X
TIJSLOZ,X,X,O,X,O,O,X,X
TIJSZLO,X,O,O,O,X,O,X,X
TIJSZOL,X,O,O,O,X,O,X,X
TIJSOLZ,X,X,O,O,O,O,X,X
TIJSOZL,X,X,O,O,X,O,X,X
TIJZLSO,X,O,X,O,O,X,X,X
TIJZLOS,X,O,X,X,O,X,X,X
TIJZSLO,X,O,O,O,O,O,X,X
TIJZSOL,X,O,O,O,O,O,X,X
TIJZOLS,X,O,X,X,O,X,X,X
TIJZOSL,X,O,X,O,O,O,X,X
TIJOLSZ,X,X,X,X,O,O,X,X
TIJOLZS,X,O,X,X,O,X,X,X
TIJOSLZ,X,X,O,O,O,O,X,X
TIJOSZL,X,X,O,O,X,O,X,X
TIJOZLS,X,O,X,X,O,X,X,X
TIJOZSL,X,O,X,O,O,O,X,X
TISLJZO,O,O,O,O,X,O,X,X
TISLJOZ,X,O,O,X,X,O,X,O
TISLZJO,O,O,O,X,X,O,X,X
TISLZOJ,O,O,O,X,X,X,X,X
TISLOJZ,O,O,O,X,X,O,X,O
TISLOZJ,O,O,O,X,X,X,X,X
TISJLZO,X,O,O,O,O,O,X,X
TISJLOZ,X,O,O,X,O,O,X,X
TISJZLO,X,O,O,O,X,O,X,X
TISJZOL,X,O,O,O,X,O,X,X
TISJOLZ,X,O,O,O,O,O,X,X
TISJOZL,X,O,O,O,X,O,X,X
TISZLJO,O,O,O,X,X,O,X,X
TISZLOJ,O,O,O,X,X,X,X,X
TISZJLO,O,O,O,O,O,O,X,X
TISZJOL,O,O,O,O,O,O,X,X
TISZOLJ,O,O,O,X,O,X,X,X
TISZOJL,O,O,O,X,O,X,X,X
TISOLJZ,O,O,O,O,O,O,X,X
TISOLZJ,O,O,O,X,O,X,X,X
TISOJLZ,X,O,O,O,O,O,X,X
TISOJZL,O,O,O,O,X,O,X,X
TISOZLJ,O,O,O,X,X,X,X,X
TISOZJL,O,O,O,X,X,X,X,X
TIZLJSO,O,O,X,O,O,X,O,X
TIZLJOS,O,O,X,X,O,X,O,O
TIZLSJO,O,O,X,X,X,O,O,X
TIZLSOJ,X,O,X,X,X,X,O,X
TIZLOJS,O,O,X,X,O,X,O,O
TIZLOSJ,O,O,X,X,O,X,O,X
TIZJLSO,O,O,O,O,O,X,O,X
TIZJLOS,O,O,X,X,O,X,O,X
TIZJSLO,X,O,O,O,O,O,O,X
TIZJSOL,X,O,O,O,O,O,O,X
TIZJOLS,O,O,X,X,O,X,O,X
TIZJOSL,O,O,O,O,O,O,O,X
TIZSLJO,X,O,O,X,X,O,O,X
TIZSLOJ,X,O,O,X,X,X,O,X
TIZSJLO,X,O,O,O,O,O,O,X
TIZSJOL,X,O,O,O,O,O,O,X
TIZSOLJ,X,O,O,X,O,X,O,X
TIZSOJL,X,O,O,X,O,X,O,X
TIZOLJS,O,O,X,X,O,X,O,X
TIZOLSJ,O,O,X,X,O,X,O,X
TIZOJLS,O,O,X,X,O,X,O,X
TIZOJSL,O,O,O,O,O,X,O,X
TIZOSLJ,O,O,O,X,O,X,O,X
TIZOSJL,O,O,O,X,O,X,O,X
TIOLJSZ,O,X,X,X,O,X,X,O
TIOLJZS,O,O,X,X,O,X,X,O
TIOLSJZ,O,X,X,X,O,O,X,O
TIOLSZJ,O,X,X,X,O,X,X,X
TIOLZJS,O,O,X,X,O,X,X,O
TIOLZSJ,O,O,X,X,O,X,X,X
TIOJLSZ,O,X,X,X,O,O,X,X
TIOJLZS,O,O,X,X,O,X,X,X
TIOJSLZ,X,X,O,O,O,O,X,X
TIOJSZL,O,X,O,O,X,O,X,X
TIOJZLS,O,O,X,X,O,X,X,X
TIOJZSL,O,O,X,O,O,O,X,X
TIOSLJZ,O,X,O,O,O,O,X,X
TIOSLZJ,O,X,O,X,O,X,X,X
TIOSJLZ,X,X,O,O,O,O,X,X
TIOSJZL,O,X,O,O,X,O,X,X
TIOSZLJ,O,X,O,X,X,X,X,X
TIOSZJL,O,X,O,X,X,X,X,X
TIOZLJS,O,O,X,X,O,X,O,X
TIOZLSJ,O,O,X,X,O,X,O,X
TIOZJLS,O,O,X,X,O,X,O,X
TIOZJSL,O,O,O,O,O,X,O,X
TIOZSLJ,O,O,O,X,O,X,O,X
TIOZSJL,O,O,O,X,O,X,O,X
TLIJSZO,O,O,X,X,O,O,X,X
TLIJSOZ,X,X,X,X,O,O,X,O
TLIJZSO,O,O,X,X,O,X,X,X
TLIJZOS,O,O,X,X,O,X,X,O
TLIJOSZ,X,X,X,X,O,O,X,O
TLIJOZS,X,O,X,X,O,X,X,O
TLISJZO,O,O,X,X,X,O,X,X
TLISJOZ,O,O,X,X,X,O,X,O
TLISZJO,O,O,X,X,X,O,X,X
TLISZOJ,O,O,X,X,X,X,X,X
TLISOJZ,O,O,X,X,X,O,X,O
TLISOZJ,O,O,X,X,X,X,X,X
TLIZJSO,O,O,X,O,O,X,X,X
TLIZJOS,O,O,X,X,O,X,X,O
