sequence,v115@PhA8FeA8BeA8AeI8KeOEJvhF6lBNmB3iB5oBzpBUsB,v115@PhA8FeA8BeA8AeI8KeKEJvhFzfB+lBNmB3iB5oBUsB
TILJSZO,X,O
TILJSOZ,O,O
TILJZSO,X,O
TILJZOS,X,O
TILJOSZ,O,O
TILJOZS,O,O
TILSJZO,X,O
TILSJOZ,O,O
TILSZJO,X,O
TILSZOJ,O,X
TILSOJZ,O,O
TILSOZJ,O,X
TILZJSO,X,O
TILZJOS,X,O
TILZSJO,X,O
TILZSOJ,O,X
TILZOJS,O,X
TILZOSJ,O,X
TILOJSZ,O,O
TILOJZS,O,O
TILOSJZ,O,O
TILOSZJ,O,X
TILOZJS,O,X
TILOZSJ,O,X
TIJLSZO,X,O
TIJLSOZ,O,O
TIJLZSO,X,O
TIJLZOS,X,O
TIJLOSZ,O,O
TIJLOZS,O,O
TIJSLZO,X,O
TIJSLOZ,O,O
TIJSZLO,X,O
TIJSZOL,O,X
TIJSOLZ,O,O
TIJSOZL,O,X
TIJZLSO,X,O
TIJZLOS,X,O
TIJZSLO,X,O
TIJZSOL,O,X
TIJZOLS,O,X
TIJZOSL,O,X
TIJOLSZ,O,O
TIJOLZS,O,O
TIJOSLZ,O,O
TIJOSZL,O,X
TIJOZLS,O,X
TIJOZSL,O,X
TISLJZO,X,O
TISLJOZ,O,O
TISLZJO,X,O
TISLZOJ,O,X
TISLOJZ,O,O
TISLOZJ,O,X
TISJLZO,X,O
TISJLOZ,O,O
TISJZLO,X,O
TISJZOL,O,X
TISJOLZ,O,O
TISJOZL,O,X
TISZLJO,X,O
TISZLOJ,O,X
TISZJLO,X,O
TISZJOL,O,X
TISZOLJ,O,X
TISZOJL,O,X
TISOLJZ,O,O
TISOLZJ,O,X
TISOJLZ,O,O
TISOJZL,O,X
TISOZLJ,O,X
TISOZJL,O,X
TIZLJSO,X,O
TIZLJOS,X,O
TIZLSJO,X,O
TIZLSOJ,O,X
TIZLOJS,O,X
TIZLOSJ,O,X
TIZJLSO,X,O
TIZJLOS,X,O
TIZJSLO,X,O
TIZJSOL,O,X
TIZJOLS,O,X
TIZJOSL,O,X
TIZSLJO,X,O
TIZSLOJ,O,X
TIZSJLO,X,O
TIZSJOL,O,X
TIZSOLJ,O,X
TIZSOJL,O,X
TIZOLJS,O,X
TIZOLSJ,O,X
TIZOJLS,O,X
TIZOJSL,O,X
TIZOSLJ,O,X
TIZOSJL,O,X
TIOLJSZ,O,O
TIOLJZS,O,O
TIOLSJZ,O,O
TIOLSZJ,O,X
TIOLZJS,O,X
TIOLZSJ,O,X
TIOJLSZ,O,O
TIOJLZS,O,O
TIOJSLZ,O,O
TIOJSZL,O,X
TIOJZLS,O,X
TIOJZSL,O,X
TIOSLJZ,O,O
TIOSLZJ,O,X
TIOSJLZ,O,O
TIOSJZL,O,X
TIOSZLJ,O,X
