sequence,v115@9gC8GeB8HeB8HeB8CeB8BeA8JeRBJvhFCjBllB3mBT?oB2vB0sB,v115@9gC8GeB8HeB8HeB8CeB8BeA8Je3AJvhF1mB0iB6oB2?vBRrBzsB,v115@9gC8GeB8HeB8HeB8CeB8BeA8JezAJvhFfnBxiBKqBu?sBctBFrB,v115@9gC8GeB8HeB8HeB8CeB8BeA8JeRBJvhFziB+oBilB3?mB1vB0sB,v115@9gC8GeB8HeB8HeB8CeB8BeA8Je3AJvhF1mBxiBusBc?tBTqBirB,v115@9gC8GeB8HeB8HeB8CeB8BeA8JezAJvhFGjBKqBRnBU?nBFrBXtB,v115@9gC8GeB8HeB8HeB8CeB8BeA8Je8GJvhFWoBKqBzlBx?sBFrBXtB,v115@9gC8GeB8HeB8HeB8CeB8BeA8JeXDJvhFxlBVsBctBa?rBTqBGsB,v115@9gC8GeB8HeB8HeB8CeB8BeA8JeRBJvhFGjBTlB0mBl?nByvBXtB,v115@9gC8GeB8HeB8HeB8CeB8BeA8JeRBJvhF+oBKqBfrB0?mBlnBzsB,v115@9gC8GeB8HeB8HeB8CeB8BeA8Je1FJvhF3mBTqBxsBu?sBctBirB,v115@9gC8GeB8HeB8HeB8CeB8BeA8Je3BJvhFOqBlnBctBR?rBzqBCtB
TILJSZO,X,O,X,O,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,O,X,X,X,X,X,X,X,X
TILJZSO,X,O,X,O,X,X,X,X,X,X,X,X
TILJZOS,X,X,X,O,X,X,O,X,X,X,X,X
TILJOSZ,X,X,X,O,X,X,X,X,X,X,X,X
TILJOZS,X,X,X,O,X,X,O,X,X,X,X,X
TILSJZO,X,O,X,O,X,X,X,X,X,X,X,X
TILSJOZ,X,X,X,O,X,X,X,X,X,X,X,X
TILSZJO,X,O,X,O,X,X,X,X,X,X,X,X
TILSZOJ,X,O,X,O,X,X,X,X,X,X,X,X
TILSOJZ,X,O,X,O,X,X,X,X,X,X,X,X
TILSOZJ,X,O,X,O,X,X,X,X,X,X,X,X
TILZJSO,X,O,X,O,X,X,X,X,X,X,X,X
TILZJOS,X,X,X,O,X,X,O,X,X,X,X,X
TILZSJO,X,O,X,O,X,X,X,X,X,X,X,X
TILZSOJ,X,O,X,O,X,X,X,O,X,X,X,X
TILZOJS,X,X,X,O,X,X,O,X,X,X,X,X
TILZOSJ,X,O,X,X,X,X,X,X,X,X,X,X
TILOJSZ,X,O,X,O,X,X,X,X,X,X,X,X
TILOJZS,X,O,X,O,X,X,O,X,X,X,X,X
TILOSJZ,X,O,X,O,X,X,X,X,X,X,X,X
TILOSZJ,X,O,X,O,X,X,X,X,X,X,X,X
TILOZJS,X,O,X,O,X,X,O,X,X,X,X,X
TILOZSJ,X,O,X,X,X,X,X,X,X,X,X,X
TIJLSZO,X,O,X,O,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,O,X,X,X,X,X,X,X,X
TIJLZSO,X,O,X,O,X,X,X,X,X,X,X,X
TIJLZOS,X,X,X,O,X,X,O,X,X,X,X,X
TIJLOSZ,X,X,X,O,X,X,X,X,X,X,X,X
TIJLOZS,X,X,X,O,X,X,O,X,X,X,X,X
TIJSLZO,X,O,X,O,X,X,X,X,X,X,X,X
TIJSLOZ,X,X,X,O,X,X,X,X,X,X,X,X
TIJSZLO,X,O,X,O,X,X,X,X,X,X,X,X
TIJSZOL,X,X,X,O,X,X,X,X,X,X,X,X
TIJSOLZ,X,O,X,O,X,X,X,X,X,X,X,X
TIJSOZL,X,O,X,O,X,X,X,X,X,X,X,X
TIJZLSO,X,O,X,O,X,X,X,X,X,X,X,X
TIJZLOS,X,X,X,O,X,X,O,X,X,X,X,X
TIJZSLO,X,O,X,O,X,X,X,X,X,X,X,X
TIJZSOL,X,X,X,O,X,X,X,O,X,X,X,X
TIJZOLS,X,X,X,O,X,X,X,X,X,X,X,X
TIJZOSL,X,X,X,O,X,X,X,X,X,X,X,X
TIJOLSZ,X,O,X,O,X,X,X,X,X,X,X,X
TIJOLZS,X,O,X,O,X,X,X,X,X,X,X,X
TIJOSLZ,X,O,X,O,X,X,X,X,X,X,X,X
TIJOSZL,X,O,X,O,X,X,X,X,X,X,X,X
TIJOZLS,X,O,X,X,X,X,X,X,X,X,X,X
TIJOZSL,X,O,X,X,X,X,X,X,X,X,X,X
TISLJZO,X,O,X,O,X,X,X,X,X,X,X,X
TISLJOZ,X,X,X,O,X,X,X,X,X,X,X,X
TISLZJO,X,O,X,O,X,X,X,X,X,X,X,X
TISLZOJ,X,O,X,X,X,X,X,X,X,X,X,X
TISLOJZ,X,O,X,X,X,X,X,X,X,X,X,X
TISLOZJ,X,O,X,X,X,X,X,X,X,X,X,X
TISJLZO,X,O,X,O,X,X,X,X,X,X,X,X
TISJLOZ,X,X,X,O,X,X,X,X,X,X,X,X
TISJZLO,X,O,X,O,X,X,X,X,X,X,X,X
TISJZOL,X,X,X,O,X,X,X,X,X,X,X,X
TISJOLZ,X,O,X,O,X,X,X,X,X,X,X,X
TISJOZL,X,O,X,O,X,X,X,X,X,X,X,X
TISZLJO,X,O,X,O,X,X,X,X,X,X,X,X
TISZLOJ,X,O,X,X,X,X,X,O,X,X,X,X
TISZJLO,X,O,X,O,X,X,X,X,X,X,X,X
TISZJOL,X,X,X,O,X,X,X,O,X,X,X,X
TISZOLJ,X,O,X,X,X,X,X,O,X,X,X,X
TISZOJL,X,O,X,O,X,X,X,O,X,X,X,X
TISOLJZ,X,O,X,X,X,X,X,X,X,X,X,X
TISOLZJ,X,O,X,X,X,X,X,X,X,X,X,X
TISOJLZ,X,O,X,O,X,X,X,X,X,X,X,X
TISOJZL,X,O,X,O,X,X,X,X,X,X,X,X
TISOZLJ,X,O,X,X,X,X,X,X,X,X,X,X
TISOZJL,X,O,X,O,X,X,X,X,X,X,X,X
TIZLJSO,X,O,X,O,X,X,X,X,X,X,X,X
TIZLJOS,X,X,X,O,X,X,O,X,X,X,X,X
TIZLSJO,X,O,X,O,X,X,X,X,X,X,X,X
TIZLSOJ,X,O,X,O,X,X,X,O,X,X,X,X
TIZLOJS,X,X,X,O,X,X,O,X,X,X,X,X
TIZLOSJ,X,O,X,X,X,X,X,X,X,X,X,X
TIZJLSO,X,O,X,O,X,X,X,X,X,X,X,X
TIZJLOS,X,X,X,O,X,X,O,X,X,X,X,X
TIZJSLO,X,O,X,O,X,X,X,X,X,X,X,X
TIZJSOL,X,X,X,O,X,X,X,O,X,X,X,X
TIZJOLS,X,X,X,O,X,X,X,X,X,X,X,X
TIZJOSL,X,X,X,O,X,X,X,X,X,X,X,X
TIZSLJO,X,O,X,O,X,X,X,X,X,X,X,X
TIZSLOJ,X,O,X,X,X,X,X,O,X,X,X,X
TIZSJLO,X,O,X,O,X,X,X,X,X,X,X,X
