sequence,v115@UhC8DeI8Ke0/IvhFlgB3hBaoB5oB2uBTsB,v115@UhC8DeI8KeOEJvhF0gBlhB3iB5oBzpByxB,v115@UhC8DeI8KeT/IvhFlgB3hBcnBeoB5oByuB,v115@UhC8DeI8KeKEJvhFflB0gBlhBziB5oB2xB
TILJSZO,O,O,X,O
TILJSOZ,X,X,X,O
TILJZSO,O,O,O,X
TILJZOS,X,X,O,X
TILJOSZ,X,X,X,O
TILJOZS,X,X,O,X
TILSJZO,O,O,X,O
TILSJOZ,X,X,X,O
TILSZJO,X,O,X,O
TILSZOJ,X,O,X,X
TILSOJZ,X,O,X,X
TILSOZJ,X,O,X,X
TILZJSO,X,O,X,X
TILZJOS,X,X,X,X
TILZSJO,X,O,X,X
TILZSOJ,X,O,X,X
TILZOJS,X,O,X,X
TILZOSJ,X,O,X,X
TILOJSZ,X,O,X,X
TILOJZS,X,O,O,X
TILOSJZ,X,O,X,X
TILOSZJ,X,O,X,X
TILOZJS,X,O,X,X
TILOZSJ,X,O,X,X
TIJLSZO,O,O,X,O
TIJLSOZ,X,X,X,O
TIJLZSO,O,O,O,X
TIJLZOS,X,X,O,X
TIJLOSZ,X,X,X,O
TIJLOZS,X,X,O,X
TIJSLZO,O,X,X,X
TIJSLOZ,X,X,X,X
TIJSZLO,O,X,X,X
TIJSZOL,O,X,X,X
TIJSOLZ,O,X,X,X
TIJSOZL,O,X,X,X
TIJZLSO,O,O,O,X
TIJZLOS,X,X,O,X
TIJZSLO,O,X,O,X
TIJZSOL,O,X,X,X
TIJZOLS,O,X,X,X
TIJZOSL,O,X,X,X
TIJOLSZ,O,X,X,O
TIJOLZS,O,X,X,X
TIJOSLZ,O,X,X,X
TIJOSZL,O,X,X,X
TIJOZLS,O,X,X,X
TIJOZSL,O,X,X,X
TISLJZO,O,X,X,X
TISLJOZ,X,X,X,X
TISLZJO,X,X,X,X
TISLZOJ,X,X,X,X
TISLOJZ,X,X,X,X
TISLOZJ,X,X,X,X
TISJLZO,O,X,X,X
TISJLOZ,X,X,X,X
TISJZLO,O,X,X,X
TISJZOL,O,X,X,X
TISJOLZ,O,X,X,X
TISJOZL,O,X,X,X
TISZLJO,X,X,X,X
TISZLOJ,X,X,X,X
TISZJLO,X,X,X,X
TISZJOL,X,X,X,X
TISZOLJ,X,X,X,X
TISZOJL,X,X,X,X
TISOLJZ,O,X,X,X
TISOLZJ,X,X,X,X
TISOJLZ,O,X,X,X
TISOJZL,O,X,X,X
TISOZLJ,X,X,X,X
TISOZJL,X,X,X,X
TIZLJSO,X,O,X,X
TIZLJOS,X,X,X,X
TIZLSJO,X,O,X,X
TIZLSOJ,X,O,X,X
