sequence,v115@QhA8GeC8AeE8AeC8JeZEJvhFukBamBUiBFjBTlBfsB,v115@QhA8GeC8AeE8AeC8JeZEJvhFqkBTgBemBUiBFjBfsB,v115@QhA8GeC8AeE8AeC8JeZEJvhFzfBUhBFiBXjBSqBmrB
TILJSZO,O,O,X
TILJSOZ,X,O,X
TILJZSO,X,X,X
TILJZOS,X,X,X
TILJOSZ,X,O,X
TILJOZS,X,X,X
TILSJZO,O,O,X
TILSJOZ,X,O,X
TILSZJO,O,O,X
TILSZOJ,O,X,X
TILSOJZ,O,O,X
TILSOZJ,O,X,X
TILZJSO,X,X,X
TILZJOS,X,X,X
TILZSJO,X,X,X
TILZSOJ,X,X,X
TILZOJS,X,X,X
TILZOSJ,X,X,X
TILOJSZ,O,O,X
TILOJZS,X,X,X
TILOSJZ,O,O,X
TILOSZJ,O,X,X
TILOZJS,X,X,X
TILOZSJ,X,X,X
TIJLSZO,O,O,X
TIJLSOZ,X,O,X
TIJLZSO,X,X,X
TIJLZOS,X,X,X
TIJLOSZ,X,O,X
TIJLOZS,X,X,X
TIJSLZO,O,O,X
TIJSLOZ,X,O,X
TIJSZLO,O,O,X
TIJSZOL,O,X,X
TIJSOLZ,O,X,X
TIJSOZL,O,X,X
TIJZLSO,X,X,X
TIJZLOS,X,X,X
TIJZSLO,X,X,X
TIJZSOL,X,X,X
TIJZOLS,X,X,X
TIJZOSL,X,X,X
TIJOLSZ,O,X,X
TIJOLZS,X,X,X
TIJOSLZ,O,X,X
TIJOSZL,O,X,X
TIJOZLS,X,X,X
TIJOZSL,X,X,X
TISLJZO,O,O,X
TISLJOZ,X,O,X
TISLZJO,O,O,X
TISLZOJ,O,X,X
TISLOJZ,O,O,X
TISLOZJ,O,X,X
TISJLZO,O,O,X
TISJLOZ,X,O,X
TISJZLO,O,O,X
TISJZOL,O,X,X
TISJOLZ,O,X,X
TISJOZL,O,X,X
TISZLJO,O,O,X
TISZLOJ,O,X,X
TISZJLO,O,O,X
TISZJOL,O,X,X
TISZOLJ,O,X,X
TISZOJL,O,X,X
TISOLJZ,O,X,X
TISOLZJ,O,X,X
TISOJLZ,O,X,X
TISOJZL,O,X,X
TISOZLJ,O,X,X
TISOZJL,O,X,X
TIZLJSO,X,X,X
TIZLJOS,X,X,X
TIZLSJO,X,X,X
TIZLSOJ,X,X,X
TIZLOJS,X,X,X
TIZLOSJ,X,X,X
TIZJLSO,X,X,X
TIZJLOS,X,X,X
TIZJSLO,X,X,X
TIZJSOL,X,X,X
TIZJOLS,X,X,X
TIZJOSL,X,X,X
TIZSLJO,X,X,X
TIZSLOJ,X,X,X
TIZSJLO,X,X,X
TIZSJOL,X,X,X
TIZSOLJ,X,X,X
TIZSOJL,X,X,X
TIZOLJS,X,X,X
TIZOLSJ,X,X,X
TIZOJLS,X,X,X
TIZOJSL,X,X,X
TIZOSLJ,X,X,X
TIZOSJL,X,X,X
TIOLJSZ,O,X,X
TIOLJZS,X,X,X
TIOLSJZ,O,X,X
TIOLSZJ,O,X,X
TIOLZJS,X,X,X
TIOLZSJ,X,X,X
TIOJLSZ,O,X,X
TIOJLZS,X,X,X
TIOJSLZ,O,X,X
TIOJSZL,O,X,X
TIOJZLS,X,X,X
TIOJZSL,X,X,X
TIOSLJZ,O,X,X
TIOSLZJ,O,X,X
TIOSJLZ,O,X,X
TIOSJZL,O,X,X
TIOSZLJ,O,X,X
TIOSZJL,O,X,X
TIOZLJS,X,X,X
TIOZLSJ,X,X,X
TIOZJLS,X,X,X
TIOZJSL,X,X,X
TIOZSLJ,X,X,X
TIOZSJL,X,X,X
TLIJSZO,O,O,X
TLIJSOZ,X,O,X
TLIJZSO,X,X,X
TLIJZOS,X,X,X
TLIJOSZ,X,O,X
TLIJOZS,X,X,X
TLISJZO,O,O,X
TLISJOZ,X,O,X
TLISZJO,O,O,X
TLISZOJ,O,X,X
TLISOJZ,O,O,X
TLISOZJ,O,X,X
TLIZJSO,X,X,X
TLIZJOS,X,X,X
TLIZSJO,X,X,X
TLIZSOJ,X,X,X
TLIZOJS,X,X,X
TLIZOSJ,X,X,X
TLIOJSZ,O,O,X
TLIOJZS,X,X,X
TLIOSJZ,O,O,X
TLIOSZJ,O,X,X
TLIOZJS,X,X,X
TLIOZSJ,X,X,X
TLJISZO,O,O,X
TLJISOZ,X,O,X
TLJIZSO,X,X,X
TLJIZOS,X,X,X
TLJIOSZ,X,O,X
TLJIOZS,X,X,X
TLJSIZO,O,O,X
TLJSIOZ,X,O,X
TLJSZIO,O,O,X
TLJSZOI,X,O,X
TLJSOIZ,X,O,X
TLJSOZI,X,O,X
TLJZISO,X,X,X
TLJZIOS,X,X,X
TLJZSIO,X,X,X
TLJZSOI,X,X,X
TLJZOIS,X,X,X
TLJZOSI,X,X,X
TLJOISZ,X,O,X
TLJOIZS,X,X,X
TLJOSIZ,X,O,X
TLJOSZI,X,O,X
TLJOZIS,X,X,X
TLJOZSI,X,X,X
TLSIJZO,O,O,X
TLSIJOZ,X,O,X
TLSIZJO,O,O,X
TLSIZOJ,O,X,X
TLSIOJZ,O,O,X
TLSIOZJ,O,X,X
TLSJIZO,O,O,X
TLSJIOZ,X,O,X
TLSJZIO,O,O,X
TLSJZOI,X,O,X
TLSJOIZ,X,O,X
TLSJOZI,X,O,X
TLSZIJO,O,O,X
TLSZIOJ,O,X,X
TLSZJIO,O,O,X
TLSZJOI,X,O,X
TLSZOIJ,O,X,X
TLSZOJI,O,X,X
TLSOIJZ,O,O,X
TLSOIZJ,O,X,X
TLSOJIZ,O,O,X
TLSOJZI,O,O,X
TLSOZIJ,O,X,X
TLSOZJI,O,X,X
TLZIJSO,X,X,X
TLZIJOS,X,X,X
TLZISJO,X,X,X
TLZISOJ,X,X,X
TLZIOJS,X,X,X
TLZIOSJ,X,X,X
TLZJISO,X,X,X
TLZJIOS,X,X,X
TLZJSIO,X,X,X
TLZJSOI,X,X,X
TLZJOIS,X,X,X
TLZJOSI,X,X,X
TLZSIJO,X,X,X
TLZSIOJ,X,X,X
TLZSJIO,X,X,X
TLZSJOI,X,X,X
TLZSOIJ,X,X,X
TLZSOJI,X,X,X
TLZOIJS,X,X,X
TLZOISJ,X,X,X
TLZOJIS,X,X,X
TLZOJSI,X,X,X
TLZOSIJ,X,X,X
TLZOSJI,X,X,X
TLOIJSZ,O,O,X
TLOIJZS,X,X,X
TLOISJZ,O,O,X
TLOISZJ,O,X,X
TLOIZJS,X,X,X
TLOIZSJ,X,X,X
TLOJISZ,O,O,X
TLOJIZS,X,X,X
TLOJSIZ,O,O,X
TLOJSZI,O,O,X
TLOJZIS,X,X,X
TLOJZSI,X,X,X
TLOSIJZ,O,O,X
TLOSIZJ,O,X,X
TLOSJIZ,O,O,X
TLOSJZI,O,O,X
TLOSZIJ,O,X,X
TLOSZJI,O,X,X
TLOZIJS,X,X,X
TLOZISJ,X,X,X
TLOZJIS,X,X,X
TLOZJSI,X,X,X
TLOZSIJ,X,X,X
TLOZSJI,X,X,X
TJILSZO,O,O,X
TJILSOZ,X,O,X
TJILZSO,X,X,X
TJILZOS,X,X,X
TJILOSZ,X,O,X
TJILOZS,X,X,X
TJISLZO,O,O,X
TJISLOZ,X,O,X
TJISZLO,O,O,X
TJISZOL,O,X,X
TJISOLZ,O,X,X
TJISOZL,O,X,X
TJIZLSO,X,X,X
TJIZLOS,X,X,X
TJIZSLO,X,X,X
TJIZSOL,X,X,X
TJIZOLS,X,X,X
TJIZOSL,X,X,X
TJIOLSZ,O,X,X
TJIOLZS,X,X,X
TJIOSLZ,O,X,X
TJIOSZL,O,X,X
TJIOZLS,X,X,X
TJIOZSL,X,X,X
TJLISZO,O,O,X
TJLISOZ,X,O,X
TJLIZSO,X,X,X
TJLIZOS,X,X,X
TJLIOSZ,X,O,X
TJLIOZS,X,X,X
TJLSIZO,O,O,X
TJLSIOZ,X,O,X
TJLSZIO,O,O,X
TJLSZOI,X,O,X
TJLSOIZ,X,O,X
TJLSOZI,X,O,X
TJLZISO,X,X,X
TJLZIOS,X,X,X
TJLZSIO,X,X,X
TJLZSOI,X,X,X
TJLZOIS,X,X,X
TJLZOSI,X,X,X
TJLOISZ,X,O,X
TJLOIZS,X,X,X
TJLOSIZ,X,O,X
TJLOSZI,X,O,X
TJLOZIS,X,X,X
TJLOZSI,X,X,X
TJSILZO,O,O,X
TJSILOZ,X,O,X
TJSIZLO,O,O,X
TJSIZOL,O,X,X
TJSIOLZ,O,X,X
TJSIOZL,O,X,X
TJSLIZO,O,O,X
TJSLIOZ,X,O,X
TJSLZIO,O,O,X
TJSLZOI,X,O,X
TJSLOIZ,X,O,X
TJSLOZI,X,O,X
TJSZILO,O,O,X
TJSZIOL,O,X,X
TJSZLIO,O,O,X
TJSZLOI,X,O,X
TJSZOIL,O,X,X
TJSZOLI,O,O,X
TJSOILZ,O,X,X
TJSOIZL,O,X,X
TJSOLIZ,O,O,X
TJSOLZI,O,O,X
TJSOZIL,O,X,X
TJSOZLI,O,O,X
TJZILSO,X,X,X
TJZILOS,X,X,X
TJZISLO,X,X,X
TJZISOL,X,X,X
TJZIOLS,X,X,X
TJZIOSL,X,X,X
TJZLISO,X,X,X
TJZLIOS,X,X,X
TJZLSIO,X,X,X
TJZLSOI,X,X,X
TJZLOIS,X,X,X
TJZLOSI,X,X,X
TJZSILO,X,X,X
TJZSIOL,X,X,X
TJZSLIO,X,X,X
TJZSLOI,X,X,X
TJZSOIL,X,X,X
TJZSOLI,X,X,X
TJZOILS,X,X,X
TJZOISL,X,X,X
TJZOLIS,X,X,X
TJZOLSI,X,X,X
TJZOSIL,X,X,X
TJZOSLI,X,X,X
TJOILSZ,O,X,X
TJOILZS,X,X,X
TJOISLZ,O,X,X
TJOISZL,O,X,X
TJOIZLS,X,X,X
TJOIZSL,X,X,X
TJOLISZ,O,O,X
TJOLIZS,X,X,X
TJOLSIZ,O,O,X
TJOLSZI,O,O,X
TJOLZIS,X,X,X
TJOLZSI,X,X,X
TJOSILZ,O,X,X
TJOSIZL,O,X,X
TJOSLIZ,O,O,X
TJOSLZI,O,O,X
TJOSZIL,O,X,X
TJOSZLI,O,O,X
TJOZILS,X,X,X
TJOZISL,X,X,X
TJOZLIS,X,X,X
TJOZLSI,X,X,X
TJOZSIL,X,X,X
TJOZSLI,X,X,X
TSILJZO,O,O,X
