sequence,v115@FhA8HeB8HeB8BeE8AeB8Kei/IvhFFhBXiB5oBcpBTl?BmrB,v115@FhA8HeB8HeB8BeE8AeB8KeT/IvhF/lBUhBFiB5oBip?BmrB,v115@FhA8HeB8HeB8BeE8AeB8KeT/IvhFmgBFiB5oB0lBfs?BipB,v115@FhA8HeB8HeB8BeE8AeB8Kei/IvhFzgBFiB5oBcpB2q?BfsB
TILJSZO,X,O,X,X
TILJSOZ,X,O,X,X
TILJZSO,X,O,X,X
TILJZOS,X,O,X,X
TILJOSZ,X,O,X,X
TILJOZS,X,O,X,X
TILSJZO,X,O,O,X
TILSJOZ,X,O,O,X
TILSZJO,X,O,O,X
TILSZOJ,X,O,O,X
TILSOJZ,X,O,O,X
TILSOZJ,X,O,O,X
TILZJSO,X,O,O,X
TILZJOS,X,O,O,X
TILZSJO,X,O,O,X
TILZSOJ,X,O,O,X
TILZOJS,X,O,O,X
TILZOSJ,X,O,O,X
TILOJSZ,X,O,X,X
TILOJZS,X,O,X,X
TILOSJZ,X,O,O,X
TILOSZJ,X,O,O,X
TILOZJS,X,O,O,X
TILOZSJ,X,O,O,X
TIJLSZO,O,O,X,X
TIJLSOZ,O,O,X,X
TIJLZSO,O,O,X,X
TIJLZOS,O,O,X,X
TIJLOSZ,O,O,X,X
TIJLOZS,O,O,X,X
TIJSLZO,O,O,X,O
TIJSLOZ,O,O,X,O
TIJSZLO,O,O,X,O
TIJSZOL,O,O,X,O
TIJSOLZ,O,O,X,O
TIJSOZL,O,O,X,O
TIJZLSO,O,O,X,O
TIJZLOS,O,O,X,O
TIJZSLO,O,O,X,O
TIJZSOL,O,O,X,O
TIJZOLS,O,X,X,O
TIJZOSL,O,O,X,O
TIJOLSZ,O,O,X,X
TIJOLZS,O,O,X,X
TIJOSLZ,O,O,X,O
TIJOSZL,O,O,X,O
TIJOZLS,O,X,X,O
TIJOZSL,O,O,X,O
TISLJZO,O,O,O,O
TISLJOZ,O,O,O,O
TISLZJO,O,O,O,O
TISLZOJ,O,O,O,O
TISLOJZ,X,O,O,X
TISLOZJ,O,O,O,X
TISJLZO,O,O,O,O
TISJLOZ,O,O,O,O
TISJZLO,O,O,O,O
TISJZOL,O,O,O,O
TISJOLZ,O,O,X,O
TISJOZL,O,O,X,O
TISZLJO,O,O,O,O
TISZLOJ,O,O,O,O
TISZJLO,O,O,O,O
TISZJOL,O,O,O,O
TISZOLJ,O,O,O,O
TISZOJL,O,X,O,O
TISOLJZ,X,O,O,X
TISOLZJ,O,O,O,X
TISOJLZ,O,X,X,O
TISOJZL,O,X,X,O
TISOZLJ,O,O,O,O
TISOZJL,O,X,O,O
TIZLJSO,O,O,O,O
TIZLJOS,O,O,O,O
TIZLSJO,O,O,O,O
TIZLSOJ,O,O,O,O
TIZLOJS,O,O,O,X
TIZLOSJ,O,O,O,X
TIZJLSO,O,O,O,O
TIZJLOS,O,O,O,O
TIZJSLO,O,O,O,O
TIZJSOL,O,O,O,O
TIZJOLS,O,X,X,O
TIZJOSL,O,O,X,O
TIZSLJO,O,O,O,O
TIZSLOJ,O,O,O,O
TIZSJLO,O,O,O,O
TIZSJOL,O,X,O,O
TIZSOLJ,O,O,O,O
TIZSOJL,O,X,O,O
TIZOLJS,O,X,X,X
TIZOLSJ,O,X,X,X
TIZOJLS,O,X,X,X
TIZOJSL,O,X,X,X
TIZOSLJ,O,X,X,X
TIZOSJL,O,X,X,X
TIOLJSZ,O,O,X,X
TIOLJZS,O,O,X,X
TIOLSJZ,X,O,X,X
TIOLSZJ,O,O,X,X
TIOLZJS,O,O,X,X
TIOLZSJ,O,O,X,X
TIOJLSZ,O,O,X,X
TIOJLZS,O,O,X,X
TIOJSLZ,O,O,X,X
TIOJSZL,O,O,X,X
TIOJZLS,O,X,X,X
TIOJZSL,O,O,X,X
TIOSLJZ,X,O,X,X
TIOSLZJ,O,O,X,X
TIOSJLZ,O,X,X,X
TIOSJZL,O,X,X,X
TIOSZLJ,O,O,X,X
TIOSZJL,O,X,X,X
TIOZLJS,O,X,X,X
TIOZLSJ,O,X,X,X
TIOZJLS,O,X,X,X
TIOZJSL,O,X,X,X
TIOZSLJ,O,X,X,X
TIOZSJL,O,X,X,X
TLIJSZO,X,O,X,X
TLIJSOZ,X,O,X,X
TLIJZSO,X,O,X,X
TLIJZOS,X,O,X,X
TLIJOSZ,X,O,X,X
TLIJOZS,X,O,X,X
TLISJZO,X,O,O,X
TLISJOZ,X,O,O,X
TLISZJO,X,O,O,X
TLISZOJ,X,O,O,X
TLISOJZ,X,O,O,X
TLISOZJ,X,O,O,X
TLIZJSO,X,O,O,X
TLIZJOS,X,O,O,X
TLIZSJO,X,O,O,X
TLIZSOJ,X,O,O,X
TLIZOJS,X,O,O,X
TLIZOSJ,X,O,O,X
TLIOJSZ,X,O,X,X
TLIOJZS,X,O,X,X
TLIOSJZ,X,O,O,X
TLIOSZJ,X,O,O,X
TLIOZJS,X,O,O,X
TLIOZSJ,X,O,O,X
TLJISZO,X,O,X,X
TLJISOZ,X,O,X,X
TLJIZSO,X,O,X,X
TLJIZOS,X,O,X,X
TLJIOSZ,X,O,X,X
TLJIOZS,X,O,X,X
TLJSIZO,X,O,X,X
TLJSIOZ,X,O,X,X
TLJSZIO,X,O,X,X
TLJSZOI,X,O,X,X
TLJSOIZ,X,O,X,X
TLJSOZI,X,O,X,X
TLJZISO,X,O,X,X
TLJZIOS,X,O,X,X
TLJZSIO,X,O,X,X
TLJZSOI,X,O,X,X
TLJZOIS,X,O,X,X
TLJZOSI,X,O,X,X
TLJOISZ,X,O,X,X
TLJOIZS,X,O,X,X
TLJOSIZ,X,O,X,X
TLJOSZI,X,O,X,X
TLJOZIS,X,O,X,X
TLJOZSI,X,O,X,X
TLSIJZO,X,O,O,X
TLSIJOZ,X,O,O,X
TLSIZJO,X,O,O,X
TLSIZOJ,X,O,O,X
TLSIOJZ,X,O,O,X
TLSIOZJ,X,O,O,X
TLSJIZO,X,O,O,X
TLSJIOZ,X,O,O,X
TLSJZIO,X,O,O,X
TLSJZOI,X,O,O,X
TLSJOIZ,X,O,O,X
TLSJOZI,X,O,O,X
TLSZIJO,X,O,O,X
TLSZIOJ,X,O,O,X
TLSZJIO,X,O,O,X
TLSZJOI,X,O,O,X
TLSZOIJ,X,O,O,X
TLSZOJI,X,O,O,X
TLSOIJZ,X,O,O,X
TLSOIZJ,X,O,O,X
TLSOJIZ,X,O,O,X
TLSOJZI,X,O,O,X
TLSOZIJ,X,O,O,X
TLSOZJI,X,O,O,X
TLZIJSO,X,O,O,X
TLZIJOS,X,O,O,X
TLZISJO,X,O,O,X
TLZISOJ,X,O,O,X
TLZIOJS,X,O,O,X
TLZIOSJ,X,O,O,X
TLZJISO,X,O,O,X
TLZJIOS,X,O,O,X
TLZJSIO,X,O,O,X
TLZJSOI,X,O,O,X
TLZJOIS,X,O,O,X
TLZJOSI,X,O,O,X
TLZSIJO,X,O,O,X
TLZSIOJ,X,O,O,X
TLZSJIO,X,O,O,X
TLZSJOI,X,O,O,X
TLZSOIJ,X,O,O,X
TLZSOJI,X,O,O,X
TLZOIJS,X,O,O,X
TLZOISJ,X,O,O,X
TLZOJIS,X,O,O,X
TLZOJSI,X,O,O,X
TLZOSIJ,X,O,O,X
TLZOSJI,X,O,O,X
TLOIJSZ,X,O,X,X
TLOIJZS,X,O,X,X
TLOISJZ,X,O,O,X
TLOISZJ,X,O,O,X
TLOIZJS,X,O,O,X
TLOIZSJ,X,O,O,X
TLOJISZ,X,O,X,X
TLOJIZS,X,O,X,X
TLOJSIZ,X,O,X,X
TLOJSZI,X,O,X,X
TLOJZIS,X,O,X,X
TLOJZSI,X,O,X,X
TLOSIJZ,X,O,O,X
TLOSIZJ,X,O,O,X
TLOSJIZ,X,O,O,X
TLOSJZI,X,O,O,X
TLOSZIJ,X,O,O,X
TLOSZJI,X,O,O,X
TLOZIJS,X,O,O,X
TLOZISJ,X,O,O,X
TLOZJIS,X,O,O,X
TLOZJSI,X,O,O,X
TLOZSIJ,X,O,O,X
TLOZSJI,X,O,O,X
