sequence,v115@FhB8HeB8FeA8AeB8EeE8Jex/IvhF0hB6nBOpBllBzp?BXrB,v115@FhB8HeB8FeA8AeB8EeE8JeOEJvhFXgB0hB6nB1uBxq?BzqB,v115@FhB8HeB8FeA8AeB8EeE8Jex/IvhF0hB6nBllBmpBXr?BTpB,v115@FhB8HeB8FeA8AeB8EeE8Jex/IvhF6nBOpB0lBlmBzp?BXrB,v115@FhB8HeB8FeA8AeB8EeE8JexAJvhF6nBOpBXlBlmBzq?B0pB,v115@FhB8HeB8FeA8AeB8EeE8JecEJvhFxgB6nBXlBlmBzq?B2uB,v115@FhB8HeB8FeA8AeB8EeE8Je/EJvhFFgB0hB6nB2uBxq?BzqB,v115@FhB8HeB8FeA8AeB8EeE8Jex/IvhF6nB0lBlmBmpBTp?BXrB
TILJSZO,X,O,X,X,X,X,O,X
TILJSOZ,X,O,X,X,X,X,O,X
TILJZSO,X,O,X,X,X,X,O,X
TILJZOS,X,O,X,X,X,X,X,O
TILJOSZ,X,O,X,X,O,O,X,X
TILJOZS,X,O,X,O,X,X,X,X
TILSJZO,X,O,X,X,X,X,X,X
TILSJOZ,X,O,X,X,X,X,X,X
TILSZJO,X,O,X,X,X,X,X,X
TILSZOJ,X,O,X,X,X,X,X,X
TILSOJZ,X,O,X,X,O,O,X,X
TILSOZJ,X,O,X,X,O,O,X,X
TILZJSO,X,O,X,X,X,X,O,X
TILZJOS,X,O,X,X,X,X,X,X
TILZSJO,X,O,X,X,X,X,X,X
TILZSOJ,X,O,X,X,X,X,X,X
TILZOJS,X,O,X,X,X,X,X,X
TILZOSJ,X,O,X,X,O,O,X,X
TILOJSZ,X,O,X,X,O,O,X,X
TILOJZS,X,O,X,O,X,X,X,X
TILOSJZ,X,O,X,X,O,O,X,X
TILOSZJ,X,O,X,X,O,O,X,X
TILOZJS,X,O,X,O,X,X,X,X
TILOZSJ,X,O,X,X,O,O,X,X
TIJLSZO,X,O,X,X,X,X,O,X
TIJLSOZ,X,O,X,X,X,X,O,X
TIJLZSO,X,O,X,X,X,X,O,X
TIJLZOS,X,O,X,X,X,X,X,O
TIJLOSZ,X,O,X,X,O,O,X,X
TIJLOZS,X,O,X,O,X,X,X,X
TIJSLZO,X,O,X,X,X,X,O,X
TIJSLOZ,X,O,X,X,X,X,O,X
TIJSZLO,X,O,X,X,X,X,O,X
TIJSZOL,X,O,X,X,X,X,O,X
TIJSOLZ,X,O,X,X,X,X,O,X
TIJSOZL,X,O,X,X,X,X,O,X
TIJZLSO,X,O,X,X,X,X,O,X
TIJZLOS,X,O,X,X,X,X,X,O
TIJZSLO,X,O,X,X,X,X,O,X
TIJZSOL,X,O,X,X,X,X,O,X
TIJZOLS,X,O,X,X,X,X,X,X
TIJZOSL,X,O,X,X,X,X,X,X
TIJOLSZ,X,O,X,X,O,O,X,X
TIJOLZS,X,O,X,O,X,X,X,X
TIJOSLZ,X,O,X,X,O,O,X,X
TIJOSZL,X,O,X,X,O,O,X,X
TIJOZLS,X,O,X,O,X,X,X,X
TIJOZSL,X,O,X,O,X,X,X,X
TISLJZO,X,O,X,X,X,X,X,X
TISLJOZ,X,O,X,X,X,X,X,X
TISLZJO,X,O,X,X,X,X,X,X
TISLZOJ,X,O,X,X,X,X,X,X
TISLOJZ,X,O,X,X,O,O,X,X
TISLOZJ,X,O,X,X,O,O,X,X
TISJLZO,X,O,X,X,X,X,X,X
TISJLOZ,X,O,X,X,X,X,X,X
TISJZLO,X,O,X,X,X,X,X,X
TISJZOL,X,O,X,X,X,X,X,X
TISJOLZ,X,O,X,X,X,X,X,X
TISJOZL,X,O,X,X,X,X,X,X
TISZLJO,X,O,X,X,X,X,X,X
TISZLOJ,X,O,X,X,X,X,X,X
TISZJLO,X,O,X,X,X,X,X,X
TISZJOL,X,O,X,X,X,X,X,X
TISZOLJ,X,O,X,X,X,X,X,X
TISZOJL,X,O,X,X,X,X,X,X
TISOLJZ,X,O,X,X,O,O,X,X
TISOLZJ,X,O,X,X,O,O,X,X
TISOJLZ,X,O,X,X,O,O,X,X
TISOJZL,X,O,X,X,O,O,X,X
TISOZLJ,X,O,X,X,O,O,X,X
TISOZJL,X,O,X,X,O,O,X,X
TIZLJSO,X,O,X,X,X,X,O,X
TIZLJOS,X,O,X,X,X,X,X,X
TIZLSJO,X,O,X,X,X,X,X,X
TIZLSOJ,X,O,X,X,X,X,X,X
TIZLOJS,X,O,X,X,X,X,X,X
TIZLOSJ,X,O,X,X,O,O,X,X
TIZJLSO,X,O,X,X,X,X,O,X
TIZJLOS,X,O,X,X,X,X,X,X
TIZJSLO,X,O,X,X,X,X,O,X
TIZJSOL,X,O,X,X,X,X,O,X
TIZJOLS,X,O,X,X,X,X,X,X
TIZJOSL,X,O,X,X,X,X,X,X
TIZSLJO,X,O,X,X,X,X,X,X
TIZSLOJ,X,O,X,X,X,X,X,X
TIZSJLO,X,O,X,X,X,X,X,X
TIZSJOL,X,O,X,X,X,X,X,X
TIZSOLJ,X,O,X,X,X,X,X,X
TIZSOJL,X,O,X,X,X,X,X,X
TIZOLJS,X,O,X,X,X,X,X,X
TIZOLSJ,X,O,X,X,O,O,X,X
TIZOJLS,X,O,X,X,X,X,X,X
TIZOJSL,X,O,X,X,X,X,X,X
TIZOSLJ,X,O,X,X,O,O,X,X
TIZOSJL,X,O,X,X,O,O,X,X
TIOLJSZ,X,O,X,X,O,O,X,X
TIOLJZS,X,O,X,O,X,X,X,X
TIOLSJZ,X,O,X,X,O,O,X,X
TIOLSZJ,X,O,X,X,O,O,X,X
TIOLZJS,X,O,X,O,X,X,X,X
TIOLZSJ,X,O,X,X,O,O,X,X
TIOJLSZ,X,O,X,X,O,O,X,X
TIOJLZS,X,O,X,O,X,X,X,X
TIOJSLZ,X,O,X,X,O,O,X,X
TIOJSZL,X,O,X,X,O,O,X,X
TIOJZLS,X,O,X,O,X,X,X,X
TIOJZSL,X,O,X,O,X,X,X,X
TIOSLJZ,X,O,X,X,O,O,X,X
TIOSLZJ,X,O,X,X,O,O,X,X
TIOSJLZ,X,O,X,X,O,O,X,X
TIOSJZL,X,O,X,X,O,O,X,X
TIOSZLJ,X,O,X,X,O,O,X,X
TIOSZJL,X,O,X,X,O,O,X,X
TIOZLJS,X,O,X,O,X,X,X,X
TIOZLSJ,X,O,X,X,O,O,X,X
TIOZJLS,X,O,X,O,X,X,X,X
TIOZJSL,X,O,X,O,X,X,X,X
TIOZSLJ,X,O,X,X,O,O,X,X
TIOZSJL,X,O,X,X,O,O,X,X
TLIJSZO,X,O,X,X,X,X,O,X
TLIJSOZ,X,O,X,X,X,X,O,X
TLIJZSO,X,O,X,X,X,X,O,X
