sequence,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFUgBFhBTjBW?qByvBXtB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFUgBFhB6oBf?qBetBzqB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFzfBFhB6oBf?rBetBUqB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFUgBFhBWqBT?oByvBXtB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JexAJvhF0kBllBToBO?pByvBXtB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFqkBFhBTjB0?lBXtB2vB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFCgBllBToBO?rBUqBXtB
TILJSZO,O,O,O,O,X,X,X
TILJSOZ,O,O,O,O,X,X,X
TILJZSO,O,O,O,O,X,X,X
TILJZOS,O,O,X,O,O,X,X
TILJOSZ,O,O,O,O,X,X,X
TILJOZS,O,O,X,O,O,X,X
TILSJZO,O,O,O,O,X,X,X
TILSJOZ,O,O,O,O,X,X,X
TILSZJO,O,O,O,X,X,O,X
TILSZOJ,O,X,O,X,O,O,X
TILSOJZ,O,X,X,O,X,X,X
TILSOZJ,O,X,X,X,O,O,X
TILZJSO,O,X,X,O,X,O,X
TILZJOS,O,X,X,O,O,X,X
TILZSJO,O,X,X,X,X,O,X
TILZSOJ,O,X,X,X,O,O,X
TILZOJS,X,X,X,O,O,X,X
TILZOSJ,X,X,X,X,O,O,X
TILOJSZ,O,O,X,O,X,X,X
TILOJZS,O,O,X,O,O,X,X
TILOSJZ,O,O,X,O,X,X,X
TILOSZJ,O,O,X,X,O,X,X
TILOZJS,X,X,X,O,O,X,X
TILOZSJ,X,X,X,X,O,X,X
TIJLSZO,O,O,O,O,X,X,X
TIJLSOZ,O,O,O,O,X,X,X
TIJLZSO,O,O,O,O,X,X,X
TIJLZOS,O,O,O,O,X,X,X
TIJLOSZ,O,O,O,O,X,X,X
TIJLOZS,O,O,X,O,X,X,X
TIJSLZO,O,O,O,X,X,X,X
TIJSLOZ,O,O,O,X,X,X,X
TIJSZLO,O,O,O,X,X,X,X
TIJSZOL,O,O,O,X,X,X,X
TIJSOLZ,O,O,O,X,X,X,X
TIJSOZL,O,O,O,X,X,X,X
TIJZLSO,O,O,O,X,X,X,X
TIJZLOS,X,O,O,X,X,X,X
TIJZSLO,O,O,O,X,X,X,X
TIJZSOL,O,O,O,X,X,X,X
TIJZOLS,X,O,O,X,X,X,X
TIJZOSL,O,O,O,X,X,X,X
TIJOLSZ,X,O,O,O,X,X,X
TIJOLZS,X,O,X,O,X,X,X
TIJOSLZ,O,O,O,X,X,X,X
TIJOSZL,O,O,O,X,X,X,X
TIJOZLS,X,O,X,X,X,X,X
TIJOZSL,O,O,X,X,X,X,X
TISLJZO,O,O,O,O,X,X,X
TISLJOZ,O,O,O,O,X,X,X
TISLZJO,O,O,O,X,X,O,X
TISLZOJ,O,X,O,X,X,O,X
TISLOJZ,O,X,X,O,X,X,X
TISLOZJ,O,X,X,X,X,O,X
TISJLZO,O,O,O,X,X,X,X
TISJLOZ,O,O,O,X,X,X,X
TISJZLO,O,O,O,X,X,X,X
TISJZOL,O,O,O,X,X,X,X
TISJOLZ,O,O,O,X,X,X,X
TISJOZL,O,O,O,X,X,X,X
TISZLJO,O,O,O,X,X,X,X
TISZLOJ,O,X,O,X,X,X,X
TISZJLO,O,O,O,X,X,X,X
TISZJOL,O,O,O,X,X,X,X
TISZOLJ,O,X,O,X,X,X,X
TISZOJL,O,O,O,X,X,X,X
