sequence,v115@OhA8AeA8GeC8AeE8BeB8JeZEJvhFukB3gBzhBFjByq?BUsB,v115@OhA8AeA8GeC8AeE8BeB8JeZEJvhFCgBemBzhBFjBXl?BUsB,v115@OhA8AeA8GeC8AeE8BeB8JeZEJvhFCgBemBFjBXlBzm?BUsB,v115@OhA8AeA8GeC8AeE8BeB8JeZEJvhFukB3gBFjByqBzm?BUsB
TILJSZO,O,O,O,O
TILJSOZ,O,O,O,O
TILJZSO,O,O,X,O
TILJZOS,O,O,X,O
TILJOSZ,O,X,O,O
TILJOZS,O,X,X,O
TILSJZO,O,O,O,O
TILSJOZ,O,O,O,O
TILSZJO,O,O,O,O
TILSZOJ,O,X,O,O
TILSOJZ,O,O,O,O
TILSOZJ,O,X,O,O
TILZJSO,O,X,X,O
TILZJOS,O,X,X,O
TILZSJO,O,X,X,O
TILZSOJ,O,X,X,O
TILZOJS,O,X,X,O
TILZOSJ,O,X,X,O
TILOJSZ,O,X,O,O
TILOJZS,O,X,X,O
TILOSJZ,O,X,O,O
TILOSZJ,O,X,O,O
TILOZJS,O,X,X,O
TILOZSJ,O,X,X,O
TIJLSZO,O,O,O,O
TIJLSOZ,O,O,O,O
TIJLZSO,O,O,X,O
TIJLZOS,O,O,X,O
TIJLOSZ,O,X,O,O
TIJLOZS,O,X,X,O
TIJSLZO,O,O,O,O
TIJSLOZ,O,O,O,O
TIJSZLO,X,O,O,X
TIJSZOL,X,O,O,X
TIJSOLZ,X,O,O,O
TIJSOZL,X,O,O,X
TIJZLSO,O,O,X,O
TIJZLOS,O,O,X,O
TIJZSLO,X,O,O,X
TIJZSOL,X,O,O,X
TIJZOLS,X,O,X,O
TIJZOSL,X,O,O,X
TIJOLSZ,O,X,O,O
TIJOLZS,O,X,X,O
TIJOSLZ,X,O,O,O
TIJOSZL,X,O,O,X
TIJOZLS,X,O,X,O
TIJOZSL,X,O,O,X
TISLJZO,O,O,O,O
TISLJOZ,O,O,O,O
TISLZJO,O,O,O,O
TISLZOJ,O,X,O,O
TISLOJZ,O,O,O,O
TISLOZJ,O,X,O,O
TISJLZO,O,O,O,O
TISJLOZ,O,O,O,O
TISJZLO,X,O,O,X
TISJZOL,X,O,O,X
TISJOLZ,X,O,O,O
TISJOZL,X,O,O,X
TISZLJO,X,O,O,X
TISZLOJ,X,X,O,X
TISZJLO,X,O,O,X
TISZJOL,X,O,O,X
TISZOLJ,X,X,O,X
TISZOJL,X,X,O,X
TISOLJZ,X,O,O,O
TISOLZJ,X,X,O,O
TISOJLZ,X,O,O,O
TISOJZL,X,O,O,X
TISOZLJ,X,X,O,X
TISOZJL,X,X,O,X
TIZLJSO,O,X,X,O
TIZLJOS,O,X,X,O
TIZLSJO,O,X,X,O
TIZLSOJ,O,X,X,O
TIZLOJS,O,X,X,O
TIZLOSJ,O,X,X,O
TIZJLSO,O,O,X,O
TIZJLOS,O,O,X,O
TIZJSLO,X,O,O,X
TIZJSOL,X,O,O,X
TIZJOLS,X,O,X,O
TIZJOSL,X,O,O,X
TIZSLJO,X,O,O,X
TIZSLOJ,X,X,O,X
TIZSJLO,X,O,O,X
TIZSJOL,X,O,O,X
TIZSOLJ,X,X,O,X
TIZSOJL,X,X,O,X
TIZOLJS,X,X,X,O
TIZOLSJ,X,X,X,O
TIZOJLS,X,X,X,O
TIZOJSL,X,X,O,X
TIZOSLJ,X,X,O,X
TIZOSJL,X,X,O,X
TIOLJSZ,O,X,O,O
TIOLJZS,O,X,X,O
TIOLSJZ,O,X,O,O
TIOLSZJ,O,X,O,O
TIOLZJS,O,X,X,O
TIOLZSJ,O,X,X,O
TIOJLSZ,O,X,O,O
TIOJLZS,O,X,X,O
TIOJSLZ,X,O,O,O
TIOJSZL,X,O,O,X
TIOJZLS,X,O,X,O
TIOJZSL,X,O,O,X
TIOSLJZ,X,O,O,O
TIOSLZJ,X,X,O,O
TIOSJLZ,X,O,O,O
TIOSJZL,X,O,O,X
TIOSZLJ,X,X,O,X
TIOSZJL,X,X,O,X
TIOZLJS,X,X,X,O
TIOZLSJ,X,X,X,O
TIOZJLS,X,X,X,O
TIOZJSL,X,X,O,X
TIOZSLJ,X,X,O,X
TIOZSJL,X,X,O,X
TLIJSZO,O,O,O,O
TLIJSOZ,O,O,O,O
TLIJZSO,O,O,X,O
TLIJZOS,O,O,X,O
TLIJOSZ,O,X,O,O
TLIJOZS,O,X,X,O
TLISJZO,O,O,O,O
TLISJOZ,O,O,O,O
TLISZJO,O,O,O,O
TLISZOJ,O,X,O,O
TLISOJZ,O,O,O,O
TLISOZJ,O,X,O,O
TLIZJSO,O,X,X,O
TLIZJOS,O,X,X,O
TLIZSJO,O,X,X,O
TLIZSOJ,O,X,X,O
TLIZOJS,O,X,X,O
TLIZOSJ,O,X,X,O
TLIOJSZ,O,X,O,O
TLIOJZS,O,X,X,O
TLIOSJZ,O,X,O,O
TLIOSZJ,O,X,O,O
TLIOZJS,O,X,X,O
TLIOZSJ,O,X,X,O
TLJISZO,O,O,O,O
TLJISOZ,O,O,O,O
TLJIZSO,O,O,X,O
TLJIZOS,O,O,X,O
TLJIOSZ,O,X,O,O
TLJIOZS,O,X,X,O
TLJSIZO,O,O,O,O
TLJSIOZ,O,O,O,O
TLJSZIO,O,O,O,O
TLJSZOI,O,O,O,O
TLJSOIZ,O,O,O,O
TLJSOZI,O,O,O,O
TLJZISO,O,O,X,O
TLJZIOS,O,O,X,O
TLJZSIO,O,O,X,O
TLJZSOI,O,O,X,O
TLJZOIS,O,O,X,O
TLJZOSI,O,O,X,O
TLJOISZ,O,X,O,O
TLJOIZS,O,X,X,O
TLJOSIZ,O,X,O,O
TLJOSZI,O,X,O,O
TLJOZIS,O,X,X,O
TLJOZSI,O,X,X,O
TLSIJZO,O,O,O,O
TLSIJOZ,O,O,O,O
TLSIZJO,O,O,O,O
TLSIZOJ,O,X,O,O
TLSIOJZ,O,O,O,O
TLSIOZJ,O,X,O,O
TLSJIZO,O,O,O,O
TLSJIOZ,O,O,O,O
TLSJZIO,O,O,O,O
TLSJZOI,O,O,O,O
TLSJOIZ,O,O,O,O
TLSJOZI,O,O,O,O
TLSZIJO,O,O,O,O
TLSZIOJ,O,X,O,O
TLSZJIO,O,O,O,O
TLSZJOI,O,O,O,O
TLSZOIJ,O,X,O,O
TLSZOJI,O,X,O,O
TLSOIJZ,O,O,O,O
TLSOIZJ,O,X,O,O
TLSOJIZ,O,O,O,O
TLSOJZI,O,O,O,O
TLSOZIJ,O,X,O,O
TLSOZJI,O,X,O,O
TLZIJSO,O,X,X,O
TLZIJOS,O,X,X,O
TLZISJO,O,X,X,O
TLZISOJ,O,X,X,O
TLZIOJS,O,X,X,O
TLZIOSJ,O,X,X,O
TLZJISO,O,X,X,O
TLZJIOS,O,X,X,O
TLZJSIO,O,X,X,O
TLZJSOI,O,X,X,O
TLZJOIS,O,X,X,O
TLZJOSI,O,X,X,O
TLZSIJO,O,X,X,O
TLZSIOJ,O,X,X,O
TLZSJIO,O,X,X,O
TLZSJOI,O,X,X,O
TLZSOIJ,O,X,X,O
TLZSOJI,O,X,X,O
TLZOIJS,O,X,X,O
TLZOISJ,O,X,X,O
TLZOJIS,O,X,X,O
TLZOJSI,O,X,X,O
TLZOSIJ,O,X,X,O
TLZOSJI,O,X,X,O
TLOIJSZ,O,X,O,O
TLOIJZS,O,X,X,O
TLOISJZ,O,X,O,O
TLOISZJ,O,X,O,O
TLOIZJS,O,X,X,O
TLOIZSJ,O,X,X,O
TLOJISZ,O,X,O,O
TLOJIZS,O,X,X,O
TLOJSIZ,O,X,O,O
TLOJSZI,O,X,O,O
TLOJZIS,O,X,X,O
TLOJZSI,O,X,X,O
TLOSIJZ,O,X,O,O
TLOSIZJ,O,X,O,O
TLOSJIZ,O,X,O,O
TLOSJZI,O,X,O,O
TLOSZIJ,O,X,O,O
TLOSZJI,O,X,O,O
TLOZIJS,O,X,X,O
TLOZISJ,O,X,X,O
TLOZJIS,O,X,X,O
TLOZJSI,O,X,X,O
TLOZSIJ,O,X,X,O
TLOZSJI,O,X,X,O
TJILSZO,O,O,O,O
TJILSOZ,O,O,O,O
TJILZSO,O,O,X,O
TJILZOS,O,O,X,O
TJILOSZ,O,X,O,O
TJILOZS,O,X,X,O
TJISLZO,O,O,O,O
TJISLOZ,O,O,O,O
TJISZLO,X,O,O,X
TJISZOL,X,O,O,X
TJISOLZ,X,O,O,O
TJISOZL,X,O,O,X
TJIZLSO,O,O,X,O
TJIZLOS,O,O,X,O
TJIZSLO,X,O,O,X
TJIZSOL,X,O,O,X
TJIZOLS,X,O,X,O
TJIZOSL,X,O,O,X
TJIOLSZ,O,X,O,O
TJIOLZS,O,X,X,O
TJIOSLZ,X,O,O,O
TJIOSZL,X,O,O,X
TJIOZLS,X,O,X,O
TJIOZSL,X,O,O,X
TJLISZO,O,O,O,O
TJLISOZ,O,O,O,O
TJLIZSO,O,O,X,O
TJLIZOS,O,O,X,O
TJLIOSZ,O,X,O,O
TJLIOZS,O,X,X,O
TJLSIZO,O,O,O,O
TJLSIOZ,O,O,O,O
TJLSZIO,O,O,O,O
TJLSZOI,O,O,O,O
TJLSOIZ,O,O,O,O
TJLSOZI,O,O,O,O
TJLZISO,O,O,X,O
TJLZIOS,O,O,X,O
TJLZSIO,O,O,X,O
TJLZSOI,O,O,X,O
TJLZOIS,O,O,X,O
TJLZOSI,O,O,X,O
TJLOISZ,O,X,O,O
TJLOIZS,O,X,X,O
TJLOSIZ,O,X,O,O
TJLOSZI,O,X,O,O
TJLOZIS,O,X,X,O
TJLOZSI,O,X,X,O
TJSILZO,O,O,O,O
TJSILOZ,O,O,O,O
TJSIZLO,X,O,O,X
TJSIZOL,X,O,O,X
TJSIOLZ,X,O,O,O
TJSIOZL,X,O,O,X
TJSLIZO,O,O,O,O
TJSLIOZ,O,O,O,O
TJSLZIO,O,O,O,O
TJSLZOI,O,O,O,O
TJSLOIZ,O,O,O,O
TJSLOZI,O,O,O,O
TJSZILO,X,O,O,X
TJSZIOL,X,O,O,X
TJSZLIO,X,O,O,X
TJSZLOI,X,O,O,X
TJSZOIL,X,O,O,X
TJSZOLI,X,O,O,X
TJSOILZ,X,O,O,O
TJSOIZL,X,O,O,X
TJSOLIZ,X,O,O,O
TJSOLZI,X,O,O,O
TJSOZIL,X,O,O,X
TJSOZLI,X,O,O,X
TJZILSO,O,O,X,O
TJZILOS,O,O,X,O
TJZISLO,X,O,O,X
TJZISOL,X,O,O,X
TJZIOLS,X,O,X,O
TJZIOSL,X,O,O,X
TJZLISO,O,O,X,O
TJZLIOS,O,O,X,O
TJZLSIO,O,O,X,O
TJZLSOI,O,O,X,O
TJZLOIS,O,O,X,O
TJZLOSI,O,O,X,O
TJZSILO,X,O,O,X
TJZSIOL,X,O,O,X
TJZSLIO,X,O,O,X
TJZSLOI,X,O,O,X
TJZSOIL,X,O,O,X
TJZSOLI,X,O,O,X
TJZOILS,X,O,X,O
TJZOISL,X,O,O,X
TJZOLIS,X,O,X,O
TJZOLSI,X,O,X,O
TJZOSIL,X,O,O,X
TJZOSLI,X,O,O,X
TJOILSZ,O,X,O,O
TJOILZS,O,X,X,O
TJOISLZ,X,O,O,O
TJOISZL,X,O,O,X
TJOIZLS,X,O,X,O
TJOIZSL,X,O,O,X
TJOLISZ,O,X,O,O
TJOLIZS,O,X,X,O
TJOLSIZ,O,X,O,O
TJOLSZI,O,X,O,O
TJOLZIS,O,X,X,O
TJOLZSI,O,X,X,O
TJOSILZ,X,O,O,O
TJOSIZL,X,O,O,X
TJOSLIZ,X,O,O,O
TJOSLZI,X,O,O,O
TJOSZIL,X,O,O,X
TJOSZLI,X,O,O,X
TJOZILS,X,O,X,O
TJOZISL,X,O,O,X
TJOZLIS,X,O,X,O
TJOZLSI,X,O,X,O
TJOZSIL,X,O,O,X
TJOZSLI,X,O,O,X
TSILJZO,O,O,O,O
TSILJOZ,O,O,O,O
TSILZJO,O,O,O,O
TSILZOJ,O,X,O,O
TSILOJZ,O,O,O,O
TSILOZJ,O,X,O,O
TSIJLZO,O,O,O,O
TSIJLOZ,O,O,O,O
TSIJZLO,X,O,O,X
TSIJZOL,X,O,O,X
TSIJOLZ,X,O,O,O
TSIJOZL,X,O,O,X
TSIZLJO,X,O,O,X
TSIZLOJ,X,X,O,X
TSIZJLO,X,O,O,X
TSIZJOL,X,O,O,X
TSIZOLJ,X,X,O,X
TSIZOJL,X,X,O,X
TSIOLJZ,X,O,O,O
TSIOLZJ,X,X,O,O
TSIOJLZ,X,O,O,O
TSIOJZL,X,O,O,X
TSIOZLJ,X,X,O,X
TSIOZJL,X,X,O,X
TSLIJZO,O,O,O,O
TSLIJOZ,O,O,O,O
TSLIZJO,O,O,O,O
TSLIZOJ,O,X,O,O
TSLIOJZ,O,O,O,O
TSLIOZJ,O,X,O,O
TSLJIZO,O,O,O,O
TSLJIOZ,O,O,O,O
TSLJZIO,O,O,O,O
TSLJZOI,O,O,O,O
TSLJOIZ,O,O,O,O
TSLJOZI,O,O,O,O
TSLZIJO,O,O,O,O
TSLZIOJ,O,X,O,O
TSLZJIO,O,O,O,O
TSLZJOI,O,O,O,O
TSLZOIJ,O,X,O,O
TSLZOJI,O,X,O,O
TSLOIJZ,O,O,O,O
TSLOIZJ,O,X,O,O
TSLOJIZ,O,O,O,O
TSLOJZI,O,O,O,O
TSLOZIJ,O,X,O,O
TSLOZJI,O,X,O,O
TSJILZO,O,O,O,O
TSJILOZ,O,O,O,O
TSJIZLO,X,O,O,X
TSJIZOL,X,O,O,X
TSJIOLZ,X,O,O,O
TSJIOZL,X,O,O,X
TSJLIZO,O,O,O,O
TSJLIOZ,O,O,O,O
TSJLZIO,O,O,O,O
TSJLZOI,O,O,O,O
TSJLOIZ,O,O,O,O
TSJLOZI,O,O,O,O
TSJZILO,X,O,O,X
TSJZIOL,X,O,O,X
TSJZLIO,X,O,O,X
TSJZLOI,X,O,O,X
TSJZOIL,X,O,O,X
TSJZOLI,X,O,O,X
TSJOILZ,X,O,O,O
TSJOIZL,X,O,O,X
TSJOLIZ,X,O,O,O
TSJOLZI,X,O,O,O
TSJOZIL,X,O,O,X
TSJOZLI,X,O,O,X
TSZILJO,X,O,O,X
TSZILOJ,X,X,O,X
TSZIJLO,X,O,O,X
TSZIJOL,X,O,O,X
TSZIOLJ,X,X,O,X
TSZIOJL,X,X,O,X
TSZLIJO,X,O,O,X
TSZLIOJ,X,X,O,X
TSZLJIO,X,O,O,X
TSZLJOI,X,O,O,X
TSZLOIJ,X,X,O,X
TSZLOJI,X,X,O,X
TSZJILO,X,O,O,X
TSZJIOL,X,O,O,X
TSZJLIO,X,O,O,X
TSZJLOI,X,O,O,X
TSZJOIL,X,O,O,X
TSZJOLI,X,O,O,X
TSZOILJ,X,X,O,X
TSZOIJL,X,X,O,X
TSZOLIJ,X,X,O,X
TSZOLJI,X,X,O,X
TSZOJIL,X,X,O,X
TSZOJLI,X,X,O,X
TSOILJZ,X,O,O,O
TSOILZJ,X,X,O,O
TSOIJLZ,X,O,O,O
TSOIJZL,X,O,O,X
TSOIZLJ,X,X,O,X
TSOIZJL,X,X,O,X
TSOLIJZ,X,O,O,O
TSOLIZJ,X,X,O,O
TSOLJIZ,X,O,O,O
TSOLJZI,X,O,O,O
TSOLZIJ,X,X,O,O
TSOLZJI,X,X,O,O
TSOJILZ,X,O,O,O
TSOJIZL,X,O,O,X
TSOJLIZ,X,O,O,O
TSOJLZI,X,O,O,O
TSOJZIL,X,O,O,X
TSOJZLI,X,O,O,X
TSOZILJ,X,X,O,X
TSOZIJL,X,X,O,X
TSOZLIJ,X,X,O,X
TSOZLJI,X,X,O,X
TSOZJIL,X,X,O,X
TSOZJLI,X,X,O,X
TZILJSO,O,X,X,O
TZILJOS,O,X,X,O
TZILSJO,O,X,X,O
TZILSOJ,O,X,X,O
TZILOJS,O,X,X,O
TZILOSJ,O,X,X,O
TZIJLSO,O,O,X,O
TZIJLOS,O,O,X,O
TZIJSLO,X,O,O,X
TZIJSOL,X,O,O,X
TZIJOLS,X,O,X,O
TZIJOSL,X,O,O,X
TZISLJO,X,O,O,X
TZISLOJ,X,X,O,X
TZISJLO,X,O,O,X
TZISJOL,X,O,O,X
TZISOLJ,X,X,O,X
TZISOJL,X,X,O,X
TZIOLJS,X,X,X,O
TZIOLSJ,X,X,X,O
TZIOJLS,X,X,X,O
TZIOJSL,X,X,O,X
TZIOSLJ,X,X,O,X
TZIOSJL,X,X,O,X
TZLIJSO,O,X,X,O
TZLIJOS,O,X,X,O
TZLISJO,O,X,X,O
TZLISOJ,O,X,X,O
TZLIOJS,O,X,X,O
TZLIOSJ,O,X,X,O
TZLJISO,O,X,X,O
TZLJIOS,O,X,X,O
TZLJSIO,O,X,X,O
TZLJSOI,O,X,X,O
TZLJOIS,O,X,X,O
TZLJOSI,O,X,X,O
TZLSIJO,O,X,X,O
TZLSIOJ,O,X,X,O
TZLSJIO,O,X,X,O
TZLSJOI,O,X,X,O
TZLSOIJ,O,X,X,O
TZLSOJI,O,X,X,O
TZLOIJS,O,X,X,O
TZLOISJ,O,X,X,O
TZLOJIS,O,X,X,O
TZLOJSI,O,X,X,O
TZLOSIJ,O,X,X,O
TZLOSJI,O,X,X,O
TZJILSO,O,O,X,O
TZJILOS,O,O,X,O
TZJISLO,X,O,O,X
TZJISOL,X,O,O,X
TZJIOLS,X,O,X,O
TZJIOSL,X,O,O,X
TZJLISO,O,O,X,O
TZJLIOS,O,O,X,O
TZJLSIO,O,O,X,O
TZJLSOI,O,O,X,O
TZJLOIS,O,O,X,O
TZJLOSI,O,O,X,O
TZJSILO,X,O,O,X
TZJSIOL,X,O,O,X
TZJSLIO,X,O,O,X
TZJSLOI,X,O,O,X
TZJSOIL,X,O,O,X
TZJSOLI,X,O,O,X
TZJOILS,X,O,X,O
TZJOISL,X,O,O,X
TZJOLIS,X,O,X,O
TZJOLSI,X,O,X,O
TZJOSIL,X,O,O,X
TZJOSLI,X,O,O,X
TZSILJO,X,O,O,X
TZSILOJ,X,X,O,X
TZSIJLO,X,O,O,X
TZSIJOL,X,O,O,X
TZSIOLJ,X,X,O,X
TZSIOJL,X,X,O,X
TZSLIJO,X,O,O,X
TZSLIOJ,X,X,O,X
TZSLJIO,X,O,O,X
TZSLJOI,X,O,O,X
TZSLOIJ,X,X,O,X
TZSLOJI,X,X,O,X
TZSJILO,X,O,O,X
TZSJIOL,X,O,O,X
TZSJLIO,X,O,O,X
TZSJLOI,X,O,O,X
TZSJOIL,X,O,O,X
TZSJOLI,X,O,O,X
TZSOILJ,X,X,O,X
TZSOIJL,X,X,O,X
TZSOLIJ,X,X,O,X
TZSOLJI,X,X,O,X
TZSOJIL,X,X,O,X
TZSOJLI,X,X,O,X
TZOILJS,X,X,X,O
TZOILSJ,X,X,X,O
TZOIJLS,X,X,X,O
TZOIJSL,X,X,O,X
TZOISLJ,X,X,O,X
TZOISJL,X,X,O,X
TZOLIJS,X,X,X,O
TZOLISJ,X,X,X,O
TZOLJIS,X,X,X,O
TZOLJSI,X,X,X,O
TZOLSIJ,X,X,X,O
TZOLSJI,X,X,X,O
TZOJILS,X,X,X,O
TZOJISL,X,X,O,X
TZOJLIS,X,X,X,O
TZOJLSI,X,X,X,O
TZOJSIL,X,X,O,X
TZOJSLI,X,X,O,X
TZOSILJ,X,X,O,X
TZOSIJL,X,X,O,X
TZOSLIJ,X,X,O,X
TZOSLJI,X,X,O,X
TZOSJIL,X,X,O,X
TZOSJLI,X,X,O,X
TOILJSZ,O,X,O,O
TOILJZS,O,X,X,O
TOILSJZ,O,X,O,O
TOILSZJ,O,X,O,O
TOILZJS,O,X,X,O
TOILZSJ,O,X,X,O
TOIJLSZ,O,X,O,O
TOIJLZS,O,X,X,O
TOIJSLZ,X,O,O,O
TOIJSZL,X,O,O,X
TOIJZLS,X,O,X,O
TOIJZSL,X,O,O,X
TOISLJZ,X,O,O,O
TOISLZJ,X,X,O,O
TOISJLZ,X,O,O,O
TOISJZL,X,O,O,X
TOISZLJ,X,X,O,X
TOISZJL,X,X,O,X
TOIZLJS,X,X,X,O
TOIZLSJ,X,X,X,O
TOIZJLS,X,X,X,O
TOIZJSL,X,X,O,X
TOIZSLJ,X,X,O,X
TOIZSJL,X,X,O,X
TOLIJSZ,O,X,O,O
TOLIJZS,O,X,X,O
TOLISJZ,O,X,O,O
TOLISZJ,O,X,O,O
TOLIZJS,O,X,X,O
TOLIZSJ,O,X,X,O
TOLJISZ,O,X,O,O
TOLJIZS,O,X,X,O
TOLJSIZ,O,X,O,O
