sequence,v115@IhB8HeA8FeD8AeB8AeA8AeB8JeOEJvhFlgB3hB5nBT?jB8rBiqB
TILJSZO,X
TILJSOZ,X
TILJZSO,O
TILJZOS,O
TILJOSZ,X
TILJOZS,O
TILSJZO,X
TILSJOZ,X
TILSZJO,X
TILSZOJ,X
TILSOJZ,X
TILSOZJ,X
TILZJSO,O
TILZJOS,O
TILZSJO,O
TILZSOJ,O
TILZOJS,O
TILZOSJ,O
TILOJSZ,X
TILOJZS,O
TILOSJZ,X
TILOSZJ,X
TILOZJS,O
TILOZSJ,O
TIJLSZO,X
TIJLSOZ,X
TIJLZSO,O
TIJLZOS,O
TIJLOSZ,X
TIJLOZS,O
TIJSLZO,X
TIJSLOZ,X
TIJSZLO,X
TIJSZOL,X
TIJSOLZ,X
TIJSOZL,X
TIJZLSO,X
TIJZLOS,X
TIJZSLO,X
TIJZSOL,O
TIJZOLS,X
TIJZOSL,O
TIJOLSZ,X
TIJOLZS,O
TIJOSLZ,X
TIJOSZL,X
TIJOZLS,X
TIJOZSL,O
TISLJZO,X
TISLJOZ,X
TISLZJO,X
TISLZOJ,X
TISLOJZ,X
TISLOZJ,X
TISJLZO,X
TISJLOZ,X
TISJZLO,X
TISJZOL,X
TISJOLZ,X
TISJOZL,X
TISZLJO,X
TISZLOJ,X
TISZJLO,X
TISZJOL,X
TISZOLJ,X
TISZOJL,X
TISOLJZ,X
TISOLZJ,X
TISOJLZ,X
TISOJZL,X
TISOZLJ,X
TISOZJL,X
TIZLJSO,X
TIZLJOS,X
TIZLSJO,X
TIZLSOJ,X
TIZLOJS,X
TIZLOSJ,X
TIZJLSO,X
TIZJLOS,X
TIZJSLO,X
TIZJSOL,O
TIZJOLS,X
TIZJOSL,O
TIZSLJO,X
TIZSLOJ,X
TIZSJLO,X
TIZSJOL,O
TIZSOLJ,X
TIZSOJL,O
TIZOLJS,X
TIZOLSJ,X
TIZOJLS,X
TIZOJSL,O
TIZOSLJ,X
TIZOSJL,O
TIOLJSZ,X
TIOLJZS,O
TIOLSJZ,X
TIOLSZJ,X
TIOLZJS,O
TIOLZSJ,O
TIOJLSZ,X
TIOJLZS,O
TIOJSLZ,X
TIOJSZL,X
TIOJZLS,X
TIOJZSL,O
TIOSLJZ,X
TIOSLZJ,X
TIOSJLZ,X
TIOSJZL,X
TIOSZLJ,X
TIOSZJL,X
TIOZLJS,X
TIOZLSJ,X
TIOZJLS,X
TIOZJSL,O
TIOZSLJ,X
TIOZSJL,O
TLIJSZO,X
TLIJSOZ,X
TLIJZSO,O
TLIJZOS,O
TLIJOSZ,X
TLIJOZS,O
TLISJZO,X
TLISJOZ,X
TLISZJO,X
TLISZOJ,X
TLISOJZ,X
TLISOZJ,X
TLIZJSO,O
TLIZJOS,O
TLIZSJO,O
TLIZSOJ,O
TLIZOJS,O
TLIZOSJ,O
TLIOJSZ,X
TLIOJZS,O
TLIOSJZ,X
TLIOSZJ,X
TLIOZJS,O
TLIOZSJ,O
TLJISZO,X
TLJISOZ,X
TLJIZSO,O
TLJIZOS,O
TLJIOSZ,X
TLJIOZS,O
TLJSIZO,X
TLJSIOZ,X
TLJSZIO,X
TLJSZOI,X
TLJSOIZ,X
TLJSOZI,X
TLJZISO,O
TLJZIOS,O
TLJZSIO,O
TLJZSOI,O
TLJZOIS,O
TLJZOSI,O
TLJOISZ,X
TLJOIZS,O
TLJOSIZ,X
TLJOSZI,X
TLJOZIS,O
TLJOZSI,O
TLSIJZO,X
TLSIJOZ,X
TLSIZJO,X
TLSIZOJ,X
TLSIOJZ,X
TLSIOZJ,X
TLSJIZO,X
TLSJIOZ,X
TLSJZIO,X
TLSJZOI,X
TLSJOIZ,X
TLSJOZI,X
TLSZIJO,X
TLSZIOJ,X
TLSZJIO,X
TLSZJOI,X
TLSZOIJ,X
TLSZOJI,X
TLSOIJZ,X
TLSOIZJ,X
TLSOJIZ,X
TLSOJZI,X
TLSOZIJ,X
TLSOZJI,X
TLZIJSO,O
TLZIJOS,O
TLZISJO,O
TLZISOJ,O
TLZIOJS,O
TLZIOSJ,O
TLZJISO,O
TLZJIOS,O
TLZJSIO,O
TLZJSOI,O
TLZJOIS,O
TLZJOSI,O
TLZSIJO,O
TLZSIOJ,O
TLZSJIO,O
TLZSJOI,O
TLZSOIJ,O
TLZSOJI,O
TLZOIJS,O
TLZOISJ,O
TLZOJIS,O
TLZOJSI,O
TLZOSIJ,O
TLZOSJI,O
TLOIJSZ,X
TLOIJZS,O
TLOISJZ,X
TLOISZJ,X
TLOIZJS,O
TLOIZSJ,O
TLOJISZ,X
TLOJIZS,O
TLOJSIZ,X
TLOJSZI,X
TLOJZIS,O
TLOJZSI,O
TLOSIJZ,X
TLOSIZJ,X
TLOSJIZ,X
TLOSJZI,X
TLOSZIJ,X
TLOSZJI,X
TLOZIJS,O
TLOZISJ,O
TLOZJIS,O
TLOZJSI,O
TLOZSIJ,O
TLOZSJI,O
TJILSZO,X
TJILSOZ,X
TJILZSO,O
TJILZOS,O
TJILOSZ,X
TJILOZS,O
TJISLZO,X
TJISLOZ,X
TJISZLO,X
TJISZOL,X
TJISOLZ,X
TJISOZL,X
TJIZLSO,X
TJIZLOS,X
TJIZSLO,X
TJIZSOL,O
TJIZOLS,X
TJIZOSL,O
TJIOLSZ,X
TJIOLZS,O
TJIOSLZ,X
TJIOSZL,X
TJIOZLS,X
TJIOZSL,O
TJLISZO,X
TJLISOZ,X
TJLIZSO,O
TJLIZOS,O
TJLIOSZ,X
TJLIOZS,O
TJLSIZO,X
TJLSIOZ,X
TJLSZIO,X
TJLSZOI,X
TJLSOIZ,X
TJLSOZI,X
TJLZISO,O
TJLZIOS,O
TJLZSIO,O
TJLZSOI,O
TJLZOIS,O
TJLZOSI,O
TJLOISZ,X
TJLOIZS,O
TJLOSIZ,X
TJLOSZI,X
TJLOZIS,O
TJLOZSI,O
TJSILZO,X
TJSILOZ,X
TJSIZLO,X
TJSIZOL,X
TJSIOLZ,X
TJSIOZL,X
TJSLIZO,X
TJSLIOZ,X
TJSLZIO,X
TJSLZOI,X
TJSLOIZ,X
TJSLOZI,X
TJSZILO,X
TJSZIOL,X
TJSZLIO,X
TJSZLOI,X
TJSZOIL,X
TJSZOLI,X
TJSOILZ,X
TJSOIZL,X
TJSOLIZ,X
TJSOLZI,X
TJSOZIL,X
TJSOZLI,X
TJZILSO,X
TJZILOS,X
TJZISLO,X
TJZISOL,O
TJZIOLS,X
TJZIOSL,O
TJZLISO,X
TJZLIOS,X
TJZLSIO,X
TJZLSOI,X
TJZLOIS,X
TJZLOSI,X
TJZSILO,X
TJZSIOL,O
TJZSLIO,X
TJZSLOI,X
TJZSOIL,O
TJZSOLI,X
TJZOILS,X
TJZOISL,O
TJZOLIS,X
TJZOLSI,X
TJZOSIL,O
TJZOSLI,X
TJOILSZ,X
TJOILZS,O
TJOISLZ,X
TJOISZL,X
TJOIZLS,X
TJOIZSL,O
TJOLISZ,X
TJOLIZS,O
TJOLSIZ,X
TJOLSZI,X
TJOLZIS,O
TJOLZSI,O
TJOSILZ,X
TJOSIZL,X
TJOSLIZ,X
TJOSLZI,X
TJOSZIL,X
TJOSZLI,X
TJOZILS,X
TJOZISL,O
TJOZLIS,X
TJOZLSI,X
TJOZSIL,O
TJOZSLI,X
TSILJZO,X
TSILJOZ,X
TSILZJO,X
TSILZOJ,X
TSILOJZ,X
TSILOZJ,X
TSIJLZO,X
TSIJLOZ,X
TSIJZLO,X
TSIJZOL,X
TSIJOLZ,X
TSIJOZL,X
TSIZLJO,X
TSIZLOJ,X
TSIZJLO,X
TSIZJOL,X
TSIZOLJ,X
TSIZOJL,X
TSIOLJZ,X
TSIOLZJ,X
TSIOJLZ,X
TSIOJZL,X
TSIOZLJ,X
TSIOZJL,X
TSLIJZO,X
TSLIJOZ,X
TSLIZJO,X
TSLIZOJ,X
TSLIOJZ,X
TSLIOZJ,X
TSLJIZO,X
TSLJIOZ,X
TSLJZIO,X
TSLJZOI,X
TSLJOIZ,X
TSLJOZI,X
TSLZIJO,X
TSLZIOJ,X
TSLZJIO,X
TSLZJOI,X
TSLZOIJ,X
TSLZOJI,X
TSLOIJZ,X
TSLOIZJ,X
TSLOJIZ,X
TSLOJZI,X
TSLOZIJ,X
